,sentences
0,케인 TV 공식 프로필 캠 & 게임 잡탱이 방송 [18] 자~ 유 튜브 어린이들 선비 쟁이 들 트위치 그지 빵꾸 쟁이 들 안녕 안녕~ 유 튜브 컨텐츠 촬영 시 오프닝 멘트 [19] 대한민국의 인터넷 방송인 이자 방송인. 2007년 아프리카 TV를 통해 데뷔했으며 현재는 트위치와 유 튜브에서 방송을 이어 가고 있다.
1,비디오 게임과 [20] 시청자들 과의 일상 생활 잡담을 주력 컨텐츠로 한다.
2,대한민국 인터넷 방송 역사에서 윰댕 등과 함께 1 세대 방송인 중 한명으로 휴지기들을 제외하고 2007년부터 현재까지 롱런하고 있는 몇 안되는 방송인이다.
3,[21] 장난전화로 워낙 유명세를 탔던 경력이 있는지라 케 인이란 이름을 떠올리면 그쪽으로 생각하는 사람들이 많다.
4,"[22] 한때 방송을 접고 수능 공부한다고 사라지는 가 싶었지만 복귀, 다음 tv 팟에서 방송을 시작했다."
5,"2016년 7월부터 다음 팟 방송과 트위치 방송을 동시에 중계하기 시작했고, [23] 2016년 8월부터 다음 팟 송출을 중단하고 트위치로 완전히 옮겼다."
6,"[24]' 케인' 이라는 닉네임은 WWE 소속의 프로 레슬러 케 인에서 이름이 유래했는데, 아프리카에서 BJ로 활동하던 시절 레슬러 케 인의 가면을 쓰고 캠 방송을 해서 그렇다."
7,"그런데 나중에 캠이 켜진 걸 모르고 "" 아 우 더워"" 하며 가면을 벗는 바람에 얼굴이 드러났고, 그 다음부턴 얼굴을 공개하고 방송을 한 게 지금까지 이어져 오고 있는 것 .KOF 98을 집중적으로 방송해서 그런지 프 사 중 하나가 불꽃의 운명의 크리스에 다가 자기 얼굴을 박아 넣은 그림이다."
8,저 불꽃의 운명의 크리스는 케 인이 KOF 98을 할 때 셀 렉율 1위인 캐릭터다.
9,케인 TV 소개 영상 [33] 트위치의 다른 스트 리머들처럼 평범하게 게임을 하며 시청자들과 꾸준히 소통하고 오디오를 채우는 능력은 부족한 편이다.
10,적절한 단어를 떠올리고 문장을 완성시키는데 많은 애를 먹어서 괴상한 어휘가 놀림거리나 밈이 되는 경우가 많다.
11,"하지만 이를 상회하는 연기력과 아이디어, 유니 크한 캐릭터 덕분에 트위치 내에선 케트키로 통하는 스트 리머. 특히 남의 눈치를 보지 않고 자기 본위적인 잔잔한 썰 방이나 상황 극을 할 때는 웃음 코드를 찾는 능력이 빛이 발하는 재담가이며, 고전 게임이나 KOF 같은 게임을 하면서 다양한 소스를 만들어 내기도 한다."
12,전반적으로 연예인 박명수와 비슷한 계열이라고 생각하면 이해가 쉽다.
13,"[34] 그리고 이 개 초 딩 같은 면모가 호불호가 크게 갈려 반감을 사는 부분이 기도 하다. 능숙하게 진행하다가도 뭔 가가 막히거나 시비가 걸리면 바로 급 발진해서 귀청이 떨어져 라 고래고래 소리를 질러대며 짜증을 부리는데, 익숙 해진 사람들이야 또 급 발진을 한다며 되려 신나하지만, 유입층 진입을 막는 요소이기도 하기 때문. [35] 기본적으로 시청자 하대를 깔고 가는 컨셉 때문에 유 튜브 편집 본에서 생 방으로 넘어왔다 그대로 떨어져 나가는 시청층도 적지 않다."
14,"물론 케 인의 생 방 주 시청층은 이런 모습에 오히려 열광하고 있기 때문에, 시청자 수에 비해 충성층의 비중이 굉장히 높은 편이다."
15,방송 짬 밥이 오래된 만큼 아이디어와 다양한 시도를 통해 창의 적인 콘텐츠를 만들어 내는데 능숙한 것이 특징이다.
16,"특유의 게으름 덕분에 기계, 새로운 프로그램 등을 쉽게 익히거나 다루는 능력이 좋은 건 아니지만, 갖춰 진 재료만으로 무언가를 기획하고 만들어 내는 능력이 상당히 뛰어난 편. 일단 명목은 종합 게임( 고전 게임) 스트 리 머지만 생 방 중엔 게임이 차지하는 시간이 적고, 시청자와의 토크 비중이 매우 크다."
17,"유 튜브에 올릴 본방 컨텐츠를 2~4 시간 정도 잡고, 나머지를 먹 방이나 시청자와의 노가리로 채운다."
18,케인 본인이 게임이 아닌 토크를 메인 컨텐츠라고 생각하고 있기에 사실상 분류는 남 캠 방에 가깝다.
19,"기본적인 게임 실력이 나쁘지 않고 특히나 게임 하나에 빠지면 무조건 끝장을 내야 하는 성격도 있어 본인이 하고 싶은 게임이 없는 건 아니지만, 시청자들의 반응과 본인의 경쟁력을 고려해서 편성한다."
20,유 튜브에 올라가지 않는 게임은 새벽에 나 조용히 즐기는 편. 주로 과거 자신이 즐겼던 오락실 고전 게임과 KOF를 하기에 20대 중 후반 ~30 대 정도의 비교적 연령 대가 높은 시청자들에게 인기가 좋은 편이며 유 튜브에서의 인기로 인해 젊은 층의 유입도 생긴 편이다.
21,허약하고 [36] 또 입이 짧은데 다 자기 관리가 안되는지라 잔병 치레가 잦다.
22,"놀라 울 정도로 사회력과 생활력이 없고, 게을러 터져서 인내심 없이 쉽게 짜증을 내는데, 이런 성격이 ' 나이 값 못하고 땡 깡 부리는 못된 할 아방 탱이' 라는 케인의 소시민 캐릭터를 만들어 준다."
23,"그래서 방송 시청자들이 재미를 찾는 주된 포인트는 이런 케인이 게으름을 피우며 엉뚱한 짓을 하거나, 자만 하다 게임에서 탈탈 털리거나, 시청자의 도 네이션 공격에 당해서 발끈하는 것. 지각, 결 방, 성의 없는 도 네이션 반응 등은 일반 스트리머가 하면 욕 먹기 딱 좋은 행동들이지만, 케인은 이런 성격 덕에 안하무인 인 방송 컨셉이 일상화되어 있다."
24,"물론 케 인도 자신의 입장을 잘 알고 있기 때문에 선을 넘지 않는 수위 조절과 상황 설정, 알맞는 리액션을 제대로 보여주면서 방송을 유지하고 있다."
