,sentences
0,2016년 12월 22일부터 바뀌는 대한민국 운전면허시험을 게임을 통해서 연습할 수 있는 시뮬레이션 앱입니다.
1,장내기능시험과 도로 주행시험을 연습할 수 있습니다.
2,바뀌는 감점 내용과 감점 항목을 게임에 실제 적용하였습니다.
3,계속 업데이트하며 더 좋은 앱으로 만들어 가겠습니다.John
4,"3:16 이 1 인 개발하는 게임 이자, 운전면허 학습용을 목적으로 제작한 학습용 게임 이자 운전 시뮬레이션 게임이지만, 현재 상황으로는 오픈 월드 사실상 한국 버전 포 르자 호라이 즌 게임이다."
5,약칭 운 교로 불린다.2015
6,년 2월부터 제작되었으며# 2016년 12월 4일에 안 드로 이드를 통해 출시되었다.
7,운전면허시험이 개정된 이후 어려워진 걸 생각해 개발자가 개정된 면허시험의 내용을 게임화 한 것이다.
8,"2017년 8월 21일부터 iOS도 지원하며 자유 주행, 장내기능시험과 도로 주행시험이 구현되어 있다.2019"
9,년 후반 기준으로 Google Play 다운로드 수는 약 1000 만이다.
10,2016년 12월에 이 앱의 다운 로드 수가 1만에서 5만을 웃돌았지만 2017년이 들면서 급격히 늘어난 것을 알 수 있다.
11,"2020년 현재는 하 술할 초딩들의 대규모 유입과, 이에 개발 자가 적절하게 대처하지 못한 점으로 인해 15세 미만 저 연령 유저들 한정으로 큰 인기를 끌고 있고, 나머지 연령 대에서는 기피하는 게임이다."
12,출시 초반에는 실기시험인 장내기능시험과 도로 주행시험만 구현되었지만 꾸준한 업 데이트 [4 ]를 통해 자유 주행이 생겼다.
13,그래픽 퀄리티도 그다지 좋지는 못하나 자동차에는 신경을 쓴 것이 보인다.
14,장내 기능 시험자유 주행도로 주행 시험 경기장자유 주행기록 측정   자 세한 내용은 3D 운전교실/ 차량 목록 문서를 의 번째 문단을의 부분을 참고하십시오.
15,  자 세한 내용은 3D 운전교실/ 맵 문서를의 번째 문단을의 부분을 참고하십시오.
16,"남자와 여자 캐릭터, 교통경찰이 있다."
17,예외로 인물은 아니지만 강아지도 있다.
18,"남자 캐릭터는 예전에는 파란색 체육복을 입고 있었으나, 업데이트로 회사원의 복장을 입고 있는 인물로 교체되었다."
19,"[5] 여자 캐릭터는 검은색 긴 치마를 입고 있고, 긴 흑발 머리이다.23.4"
20,버전에서 NPC 인물이 3D 화 되었다.
21,동시에 그림자도 추가 되었다.
22,교통경찰은 일반적인 경찰 복장을 하고 있다.
23,그리고 교통경찰을 자동차로 박으면 자동차가 튀어 오르는 기능이 있다.
24,[6] 참고로 초기 버전에는 빨간색 옷을 입고 있는 남자 캐릭터도 존재하였으나 삭제되었다.
25,현재 22개의 언어를 지원한다.
26,"심지어, 이 언어들 로 전도 영상이 모두 번역되어 있다."
27,[7] 현재는 내비게이션에도 외국어 지원이 된다.
28,  자 세한 내용은 3D 운전교실/ 비판 및 문제점 문서를 의 번째 문단을의 부분을 참고하십시오.
29,  자 세한 내용은 3D 운전교실/ 버그 문서를 의 번째 문단을의 부분을 참고하십시오.
30,  자 세한 내용은 3D 운전교실/ 업 데이트 내역 문서를 의 번째 문단을의 부분을 참고하십시오.
31,  자 세한 내용은 3D 운전교실( 유 튜버) 문서를 의 번째 문단을의 부분을 참고하십시오.
32,"파워 슬라이드: 가속을 하여 속도를 빠르게 하고, 원하는 방향으로 핸들을 튼다."
33,백스핀: 차가 후진을 하고 있을 때 핸들을 가고 싶은 쪽으로 확 꺾고 기어를 D로 한 다음 악셀을 밟는다.
34,그러면 차가 유턴을 하며 달리게 된다.
35,슈퍼 브레이크: 슬라이드 사용시 사이드 브레이크를 당기면 확실히 더 빨리 제동되는 것을 확인할 수 있다.360
36,"° 스핀: G70, 카 마로로 스티어링을 오른쪽이나 왼쪽으로 돌리면서 악셀 레이터를 밟으면 된다."
37,관성 드리프트 핸들과 페달 조절이 까다롭기 때문에 초보한 태는 어려울 수 있다.
38,아우 디 R8 이랑 FXX-K 로 해야 잘된다.
39,시도 영상 배경음악은 Arc North - Oceanside를 사용하고 있다.
40,개발자가 지하 주차장과 회전 교차로 사이의 빈 공간에 땅을 만들려 다가 주유소가 묻혀 버리는 버그가 있었다.
41,현재는 자리를 옮겨서 산에 묻히지 않는다.
42,2018년 크리스마스 선물은 개발자에 의하면 구독자 선물 차가 아니라 하늘을 나는 기능이라고 한다.
43,자동차 놀이터에서만 할 수 있는 기능이었으나 개발자의 실수로 자유 주행 맵을 제외한 지하 주차장과 서킷에서도 구현이 됐었다.
44,해 당 기능은 2년 후 22.51 버전에 어린이날 기념으로 모든 맵에 다시 추가 되었다.
45,현재는 호수공원의 분수대를 타면 하늘을 나는 기능이 주어진다.
