,sentences
0,"아프리카 TV 와 유 튜브에서 활동하는 인터넷 방송인. 주 콘텐츠는 리그 오브 레 전 드이며 게임, 소통, 먹 방, 쿡 방 등을 하기도 한다."
1,"과거 트위치와 아프리카 TV 동시 송출을 했었으나, 기 뉴 다의 권유로 아프리카만 송출 중이다."
2,"방송을 하기 전, 19 살 때 길거리에서 최 군을 만 나 인터뷰에 나왔었다."
3,최 군 TV 아이스크림을 먹고 있는 여성이 19살 앵 지 앵 피 셜 )) 저 땐 38kg 이었다.
4,한쪽 눈 쌍수 전이다.
5,머리가 다르다.20
6,살 오버 워치 붐 때 BJ 해물 파전과 스트 리머 이녕을 보고 BJ를 생각하기 시작했다.
7,"아르바이트를 하면서 돈을 벌어 컴퓨터를 사고, 이사를 하자마자 방송을 시작했다."
8,※ 나중 이야기 지만 후에 해물 파전에게 생일 축하 별 풍선을 받고 눈물을 흘렸다.
9,주로 PC 방에서 아르바이트를 했다고
10,한다.
11,진상 손님들한테 는 짜 파게 티에 기름을 안 넣어 줬다고
12,한다.
13,시청자들이 혹시 짜 파게 티에 올리브유 안 넣어 줬어?
14,라고 맞추자 화들짝 놀래면서 어떻게 맞췄냐고 웃었다 더 자세한 앵지의 인생사가 궁금하다면 항아리의 꿈꾸는 라디오 앵 지편 참고 17년 5월 아프리카에서 오버워치로 방송을 시작했다.17
15,"년 12월 기준 지금은 배 틀 그라운드를 주로 하고 있으며, 종종 롤과 오버워치를 하고 있다."
16,롤은 본계 정이 헬 퍼를 쓰다 정지 당했다는 드립을 친다.
17,"현재 부캐를 사용하고 있으며, 언 랭이다."
18,처음 방송 시작할 때 뇌 청 순이 하고 싶어서 닉네임을 뇌 청 순 앵지로 했다고
19,한다.
20,"트위치 와 아프리카에서 동시 송출을 했다, 현재는 아프리카에서만 하는 중. 주로 아침 10시 ~11 시에 방송 시작, 오후 7~8 시 쯤 방송 종료, 평균 7~10 시간 정도 방송한다."
21,현재는 오후 2~3 시에 방송을 시작해서 밤 11~12 시까지 방송을 진행 중이다.
22,가끔 씩 교복을 입거나 가발을 쓰고 방송을 한다.
23,"[13] ' 덕 후들의 휴게 소' 라는 보이는 라디오 컨텐츠와 배틀 그라운드, 먹 방을 한다."
24,"[14] 배틀 그라운드 듀오, 스쿼드를 할 때면 상대 BJ 방 채팅 창까지 읽으며 소통할 정도로 소통이 뛰어나다."
25,방송 중에 화장실을 자주 간다.
26,"유나 땅, 상어 녀 성대 모사가 놀라울 정도로 비슷하며 취미로 우타이 테를 하는 등 여러 모로 재능이 많다."
27,동시 송출을 끊은 지 약 한 달 만에 베스트 BJ가 되는 기록을 세웠다.
28,부산 지스타를 기점으로 준 메이저로 자리잡게 되었다.
29,기 뉴 다의 도움으로 빅 파일의 스폰을 받고 있으며 빅 파일 광고음악을 따로 만들 정도로 홍보를 열심히 해서 빅 파일의 사랑을 받고 있는 중이다.
30,빅 파일 송 - 앵 튜브 미친 듯한 스폰 홍보로 17년 12월 2일 동네겜방누나와 함께 피씨 팩토리 스폰을 따 내 었다.
31,본인 스스로 한 효 주를 닮았다고
32,"하며, 시청자가 한 효 주를 닮았다고"
33,하면 기분 좋아하며 손 하트를 날리곤 한다.
34,"채팅 창은 "" 간신 쳐 내"" 로 도배된다."
35,"한 효 주는 안 닮았지만 금강 연화랑 닮았다 춤, 노래, 성대 모사, 연기, 애교, 다른 비제이 리액션 따라하기 등등 엄청난 개수의 리액션을 보유 중이며 생각보다 매우 잘한다."
36,( 게임 빼고 다 잘 함) 앵 지 리액션 17년 12월 20일 BJ 건전지와 합동방송을 진행하였다.17
37,"년 12월 14일 와꾸 대장 봉 준의 항엔 터 vs 굴엔 터에서 기 뉴다,"
38,"이 아린과 함께 항엔 터 대표로 나와 굴엔 터와 대결을 하였고, 항엔 터의 패배로 인해 일주일간 굴엔 터의 멤버인 한 유주와 트레이드가 되었다.17"
39,"년 12월 26일 트레이드 기간이 끝나고, 다시 항엔 터로 복귀하였다.18"
40,년 1월 9일 베스트 비제이에 선발된 지 약 2개월 만에 드디어 시 그니 처풍을 만들었다.18
41,"년 4월 23일 남매 상봉, 금강 연화 합방 18년 7월 20일( 스타 크래프트) 앵뀨 단 합숙 20 년 롤을 주력으로 포켓 몬, 동물의 숲 ,GTA 등 여러 가지 게임을 플레이 하고 있다.20"
42,년 3월 20일 무희 열의 스케치북에 출연 생각보다 뛰어난 노래 실력으로 김 봉 준 과 시청자들을 놀라게 만들었다.20
43,년 7월 방송을 시작한지 약 3년 만에 유 투브 구독자 수 10만명을 돌파하였다.
