,sentences
0,"http: //afreeca .com /axiaxi 아프리카 개인 방송국( 방송 국명은 Axiyo)https: //www .youtube .com /channel /UC58e7PIf49oMlDljMFPSy0w 개인 Youtube 채널도란 나 ! 저 열 다섯 살이요 [1] 목우 [2] 아프리카 TV의 리그 오브 레 전드 방송 전문 BJ. 이즈 리얼과 베인 이 판치던 시즌에서 최초로 3,4 ,5 챌린저를 찍고 유지했던 유명한 그레 이브 즈 장인이다."
1,[3] 공식적인 방송 시작 일은 2015년 5월 1일이다.
2,[4] 닉네임 Axiyo는 그리스 신화에 나오는 ' 강 '의 신 악 시오스에서 따왔다고
3,한다.
4,[5] 팬닉은 닉네임 뒤에 Yo를 붙인다.
5,"방송에서 2017년 기준 25 세라 밝혔으며, 울산에 거주한다고 한다."
6,"생일은 4월 22일. 방송 시작 일부터 볼 때 2015년 8월 ~2016 년 3월까지의 방송 때 가장 폼이 좋은 편이었으며, 이후 스멀 스멀 떨어지기 시작하니 시청자도 어느 정도 줄어들어 왔다."
7,"다만, 낮에 방송을 키고 큰 제재 없이 랭겜에서 슈퍼 플레이 등이 나오게 된다면 시청자 수는 급증한다."
8,평소 밤 혹은 새벽에 키는 습관과 함께 긴 수면으로 인하여 시청자 수는 2000명 내외. 최고 시청자 수는 아래에서 서술할 관련인물에 있는 데스 티니 와의 듀오로 약 12000명에 해당했다.
9,[6] 많은 시간을 LOL에 보낸 만큼 아는 것도 상당히 많다.
10,"전 프로 들이라 던가 누구 부캐인지는 꽤 많이 알고 있으며, 모스트를 보고 어느 정도 알 수 있다고"
11,한다.
12,경상도 사투리를 찰지게 쓴다.
13,그러나 본인은 서울말이라고 우긴다 사실은 소 울 말이라 더 라 특히나 발음 몇 개가 안 된다.
14,챔프 이름이나 팬 닉네임을 제대로 발음하지 못해 시청자들한테 놀림을 받기도 한다.
15,영어 닉네임은 잡영어님으로 통일. [7] 요즘은 조금 나아진 것도 같다.
16,"듀오하는 사람, 친한 사람들이 경상도권이 많이 없어 가끔 씩 말투가 서울말로 될 때가 있긴 하다. 하지만 서울 사람들이 듣기엔 그냥 사투리. 상 남자처럼 시원시원 한 플레이와 굵직한 목소리의 콜라보 레이션이 아주 잘 맞고, 중간 중간 귀엽게도 삐질 삐질 도망갈 때도 웃음 포인트가 된다."
17,"그에 맞게 대표적인 챔피언은 그레이브즈였으나, 리메이크 이후에는 오히려 대표하는 챔피언이 없어 졌다."
18,그나마 비슷하다면 팬 일러 덕에 바드. 마이크를 통해 들을 수 있는 목소리에 비해 취향은 아기를 좋아한다.
19,귀여운 걸 좋아하고 무서운 건 싫어한다.
20,"굵직한 목소리를 듣고 노래를 듣고 싶어 하는 시청자가 있지만, 본인이 노래를 듣는 건 좋아하지만 부르는 건 잘 못한다고. 별명은 "" 푸린"" "" 잠 만보"" 등이 있다.2018"
21,"년 8월 현재, Axiyo( 본캐), 예리 살 렘, HC 악 시, 시야 좀 모구 봐, 목우 목우 [8] 5개의 아이디를 가지고 있다."
22,강만 식이 악시에게 용이라는 이름으로 부르는 것으로 추측해 이름에 ' 용' 이 들어갈 가능성이 높다.
23,여신 미 쓰리의 이름이 이유미므로 악 시의 성도 이 씨일 테니 가운데 이름을 알아보도록 해보자 자칭 영어 브론즈 4. 시청자들은 5라고 놀린다
24,컨텐츠를 위해 계정을 다르게 두거나 특정인 과의 듀오만을 위해 5개까지 가능한 계정을 모두 사용한다.
25,"[34] 생일인 16년 4월 22일에는 친한 BJ 및 매니저, 열혈 그리고 친한 여성팬만 아니 이런 차별을 대놓고.. 골라 전화로 생일 축하 노래를 불러 달라고 했다."
26,여기서 캬하하는 하지 않았으며( 정확하게는 안 왔다.
27,"대신 몇 만원짜리 건강식품을 받았다고..),"
28,"꿀 탱탱 과 유 소나, 롤 프로 게이 머 상 윤 , 호진 lee에게도 생일 축하 노래를 들었다."
29,롤선생에게는 오로 나 민 C를 춰 달라고 했다.
30,"힘들어서 접었다 기에 1 절만 들었다 방송 시간대는 랜덤. 주로 새벽방송이 잦은데, 시간 대가 시간대인데 다, 악 시 특유의 낮은 목소리와 원래 말을 잘 하지 않는 성격 때문에 ' 수면방송 '으로 불리는 경우가 많다."
31,매니저도 잔다.
32,게임할 때 항상 음악을 들으며 선곡이 좋아 시청자들이 노래 제목을 많이 물어본다.
33,"이런 곡들은 대부분 시청자들이 골라 주는 편. 채팅속도도 느린 편이며, 누군가 자러 간다고 하면 시청자들이 친절하게 잘 자라고 인사해 준다."
34,다정한 방이다.
35,[35] 시끄러운 사람과 듀오를 하거나 서든 어택 같은 게임을 할 땐 잠 깬다고 불평하는 시청자도 있다.No.1
36,잠방 타이틀을 달고 있는 만큼 시청자들을 잘 재운다.
37,본방에서 잠 든(?) 사람들 때문에 중계 방에서 넘어오지 못하는 시청자들도 꽤 된다고 한다.
38,"방송을 종료한다 해도 시청자들이 자느라 안 빠지는 걸 보며 "" 오늘도 몇 천명 재웠네"
39,""" 라고 뿌듯하게(?) 마무리한다."
40,방송 종료할 땐 항상 팬이 ' 안녕! 디지몬' 을 개사해서 불러 준 방종 곡을 재생한다.
41,너무 길어서 1 절만 다시 녹음해 달라는 요청이 많다.
42,[36] 다시 리메이크되어 슬 옹 님 [37] 이 부른 것으로 교체했다.
43,이전의 오글거린다는 평이 대다수 사라지고 잘 부른다는 말이 많다.
44,나이와 사는 지역 외의 신상정보는 공개하지 않는다.
45,캠 방송 또한 하지 않는다.
46,[38 ]BJ 가 멘 탈이 좋은 편이며 욕설도 하지 않는다.
47,그래서 인지 다른 방송에 비해 여성 시청자들이 많은 편이다.
48,남성시 청자들은 대부분 솔 랭과 화려한 슈퍼 플레이를 보고 감탄하러 온다.
49,"의외로 게이들이 꽤 있다.. 대표 게이 공 그( 시청자 이자 BJ). 첫 번째 판이나 두 번째 판은 마이크를 잘 켜지 않으며 이유는 대부분 귀찮아서, 졸려서 라고 답한다."
50,혼자 게임을 할 때에도 마이크를 잘 켜지 않는데 별 풍선이 100개 이상 터졌을 때에만 마이크를 잠깐 켜고 읽어 준다.
51,오오 오 감사합니다
52,프로 게이 머 제의가 들어왔지만 거절했다고
53,한다.
54,이유는 그냥 귀찮아... 이라곤 하지만 방송하며 게임은 게임으로 즐기고 싶다고
55,한다.
56,"유 소나, 닭 쳐 등과 함께 한 멸망 전 이후로 아프리카 TV에서 나 BJ가 따로 주최하는 행사에는 귀찮다는 이유로 참가하지 않는다."
57,2015년 신인상 후보에도 올라갔지만 우연인지 그 당시 방송 횟수가 적어 다른 후보들보다 월등 한 시청자를 갖고 있음에도 신인상에 오르지 못했다.
58,"맵가 리 개나 로고, 대기 화면 등은 모두 시청자들이 만들어 준다."
59,직접 강 퇴하거나 블랙하는 건 매우 예민한 사항이 아니면 하지 않는다.
60,"다만, 본인의 눈에 거슬리면 블랙으로 들어간다."
61,2016년 5월 18일 ~25 일까지 일주일간 장애인 비하로 인해 방송국 서비스정지를 당했다.
62,25일 정지가 풀린 당일 방송을 켜서 솔 랭을 하며 본인은 잘 못했다고
63,"인정하고 있지만 매니저, 열혈, 팬들이 방 내에서는 이를 덮어 버리고 없던 일로 하려는 것으로 보임. 사실임에도 불구하고, 이상한 소문 취급을 하며 왜곡어 그로 성 발언이라며 이 이루어지고 있다."
64,"[39] 별 풍선 유도는 은근히 많이 하는 편이나, 안 쏜다 싶으면 이미지 관리 차 장난이라고 말하는 눈치인데, 팬들의 유도가 더 많을 정도이다."
65,그만큼 관심이 많다는 증거이지만 은근히 심한 편이라 쏘는 사람이 기분 나쁠 수 있다.
66,공 그가 어떤 감정일지 ?16 년 6월 24 일자 방송. 토크 온 컨텐츠를 응용해 성대 모사를 내는 사람을 뽑아 같이 일반게임을 돌렸다.
67,16년 6월 27일. 캬하하의 생일로 방송 중에 10002개 회장한테 밖에 못받아 봤다고...
68,풍을 카드로 충전하여 쐈다.
69,당연히 맵은 가려서 충전했으나 악 시가 먼저 충전한다고 말을 해서 악 시 방에서는 스포일러. 오다 주웠어 얼마 안되어 악시인 것이 확인되자 캬하하는 타 BJ가 생일을 챙겨준 것이 처음이라고 언급. 석현아 생일 축하해 라고 띄어쓰기가 귀찮은지 저런 채팅을 치고 곧 토크 온 컨텐츠를 하러 돌아왔다.
70,시크한 거보 소 16년 9월. 벌칙으로 첫 24 시간방송을 하게 되었으며 비슷한 상황으로 24 시간방송을 하게 된 캬하하와 함께 듀오를 했다.
71,계속해서 지쳐 가는 캬하하에 비해 조금 여유로운 악 시가 스킬을 다 피하는 게 눈에 보였을 정도 .16 년 12월 27일. 스타 크래프트 랜 타 디를 드디어 했다.
72,"그것도 무려 켠 김에 왕까지 가 되어 버렸는데, 하도 못 깨니까 시청자들이 알려준다."
73,"버전은 1.77V 지옥 난이도이며, 클리어하기 전 까지는 안 잔다라고 했으니 더 이상의 자세한 설명은 생략한다.2017"
74,년 4월 22일. 악 시의 비공식적인 2015년 4월 22일은 제외하고 공식적인 방송에서의 3 번째 아니고 2 번째 생일을 맞는 날이다.
75,컨텐츠로서 1:1 을 원하는 유저들이 보이자 퀵 뷰 30 일치라는 조건을 걸어 시청자가 승리할 경우 퀵 뷰를 주었다.
76,지만.. 사실 빡겜하는 챌린저한테 퀵 뷰 뜯겠다고
77,도전하는 시청자들이 용감할 따름 ..2017 년 5월 24일. 한 열혈 팬이 1등을 하면 팬클럽 회장을 달겠다고
78,언급하자 엄청나게 집중하는 모습을 보였다.
79,"그 모습을 본 팬들은 자 낳괴 자 낳악... 결과적으로 빅 판다 때문에 아쉽게 3등을 하여 회장을 달지는 않았지만, 그 수치가 어마어마하자 악 시의 멘 탈이 나갔던 것을 볼 수 있었다."
80,그것도 그냥 멘 탈이 나간 게 아니라 다음 게임에서 뒹굴뒹굴 구르거나 점프를 하면서 허공에 총을 쏘는 등 악 시답지 않은 진짜 자낳괴의 모습을 보였다.
81,"이후 다으니 Yo가 별 풍선을 쏘아 금새 멘 탈을 어느 정도 회복했지만, 다음이 문제다."
82,평소의 쿨한 모습만 보다 이런 모습을 보니 웃기기도 하고 별 풍선 수치가 많아 그러려니
83,"하겠지만, 반대로 비판하자면 다음 방송을 하는 데 집중 조차도 못했고, 이어 롤 점검이 끝난 때에 매니저들과 롤을 플레이하면서 평정 심을 잃고 하기 싫다는 말을 대놓고 해 버렸다는 점이 방송인으로서는 해선 안 될 말이었다."
84,자기 방송을 보는 사람이 천 단위를 넘겼는데도 불구하고 실망스럽게 저러한 언급이 나온 것은 확실히 잘못된 점이다.
85,"악 시는 컨텐츠를 위해 여러 번 챌린저, 마스터 계정이 어도 쿨하게 삭제하고 다시 생성했는데, 새 계정을 만들 때 요즘은 열혈 팬의 닉네임을 넣어서 만든다."
86,"요즘 비제이들 사이에서 이렇게 만드는 게 유행이라고.. 릴리스 타나는 회장 릴 리 리와 트리스타나를 합친 아이디, 다으니펫은 부회장 다으니의 추천으로 만들어 진 아이디, 예리하게 떤 짐은 예리와 떤 짐을 넣은 아이디를 시청자들한테 추천 받다가 만들어 졌다."
87,피 넛이 얘기하길 락스 타이 거즈 시절에 원 딜러 영입 1 순위라고 말했었다.
88,주 컨텐츠 여서 꽤나 자주 했던 게임들이 주로 올려 졌다.
89,"일회성으로 한 게임은 특별한 특징이나 시청자들의 반응이 없으면 제외함. 솔로 랭크 큐가 잘 잡히지 않을 때 나, 쉬고 싶을 때 시청자와 함께 하는 큐 플레이를 했다."
90,"게임 승패에 그다지 집착하지 않으며, 시청자와 즐겜하는 분위기. 연상 퀴즈를 할 때 시청자들이 말해 주는 답을 컨닝한다든지(...) 하는 플레이가 자주 보였다."
91,"큐 플레이의 서비스가 2015년 12월 31 일부로 종료된 관계로, FOW.KR 에서 롤 관련 동영상을 본다."
92,[40] 컨텐츠는 아래에 적힌 것 들이 대
93,부분이다.
94,"메이플스토리를 하기 전 까지는 대부분이 LOL 이었고, 질리게 되면 오버워치를 하곤 했다."
95,"컨텐츠에 관해서는 호불호가 많이 갈리는 편이나, 하고 싶은 것을 그 때마다 집중해서 하기 때문에 놓치게 되면 못 보게 되기 쉽다."
96,"대표적인 예로, 지렁이 키우기는 더 이상 하지 않는다."
97,아래는 일회성으로 했었던 게임들의 내용이다.
98,"윷놀이, 쿵쿵 따, 사천성 등 넷 마블에 있는 게임도 했었다."
99,"사천성은 강만 식과도 같이 했었으며, 눈이 아프다고"
100,하며 더 이상 하지 않았다.
101,"메이 플 스토리를 본격적으로 현질 시작한 이후로는 주 컨텐츠가 메이플스토리가 됐었으나, 상술한 대로 다시 접어서 다른 걸로 바뀌었다."
102,캬 하하 : 원 딜 전문 BJ 인 캬하하와 동갑내기 친구 사이. 캬하하와 듀오하며 인지도를 많이 올렸었다.
103,"캬하하는 게임 중에 말이 많은 반면, 악 시는 필요한 말 이외에는 잘 하지 않는 경우가 많아 악 시방 시청자 중 몇몇은 적응이 안 된다는 사람도 있는 듯. 최근에는 캬하하와의 듀오를 위해 AxiAaxi 계정을 삭제하고 캬 악 듀오( 캬 하하, 악 시 듀오) 전용 계정인 A2B2C3D4E5F6G7를 만들었다."
104,"배치는 10승 0패로 골드 1을 받았으며, 쭉 연승 하다 23 연승에서 끊기고 말았다."
105,"6월 다시 게임을 같이 돌려 연승을 쌓는 듯 했으나, 1 패가 더 쌓였다."
106,"아군으로 든 적군으로든 서로 간에 할 만큼 충분히 기량을 보여주었으나, 대부분은 악 시의 승률이 높았다."
107,"끝나고 나면 듀오를 하기도 했는데, 헬 퍼 사건 당시 악 시는 해명 때는 참여하지 않았다."
108,대신 본인의 방송에서 해 준 말은 마녀 사냥을 당하는 것 같다고
109,"했고, 당시 닭 쳐 와 듀오이다 보니 조용히 있는 것이 최고라는 닭 쳐의 말을 듣고 수습은 매니저들이 분쟁 유도성 발언으로 제재를 가하는 것으로 끝냈다."
110,그 사건 이후로도 아직 까지 친한 것으로 보인다.
111,"닭 쳐 : 다인 랭크는 챌린저인 닭 쳐, 리헨즈와 자주 돌렸다."
112,"이 멤버로 게임을 할 때 제일 편한지, BJ가 말을 많이 한다."
113,"특히 닭 쳐는 ROX Tigers 팀의 미드 식스맨으로 들어갔고, 울보라는 별명이 있다."
114,"요즘은 리헨즈보다 다른 사람과 같이 하며, 닭 쳐는 꾸준히 게임을 했었으나 현재 EDG Zet로 중국의 EDG에 입 단하여 포지션이 MID에서 AD Carry로 바뀌었다고"
115,한다.
116,[65] 같이 하고 싶어도 이제는 하기에는 적정시기가 아닌 듯. 꿀 탱탱 : 리 븐 이 한창 날뛰는 시절 랭크게임을 돌리다 한창 물오른 꿀 탱탱이 같이 듀오하자는 제안으로 하기 시작했다.
117,이전 1000점을 찍었던 성과도 있고 하니 같이 하기 시작했다.
118,"얼마되지 않아 말을 놓고, 말을 놓은 이후로 부터는 서로 편하게 얘기하며 같은 경상도 사투리를 쓰다 보니 사투리 듀오라고 도 불렸다."
119,"대신에 문제는 던지거나 게임이 잘 풀리지 않게 되어 악 시가 꿀 탱탱을 커버하는 일이 많이 발생했으며, 리 븐 이 힘을 잘 쓰지 못하는 시기가 오는 것은 물론 리 븐 밴이 나오게 되면 정말로 게임이 힘들어 지는 경우가 많았다."
120,"[66] 제일 문제는 아무리 봐도 역시나 탱시브이며 [67]], 시청자들 간에도 터지면 양쪽 다 큰일이 난다."
121,"로이 조 : 악 시의 방송 특성 상 켜 놓고 자는 사람이 많은데, 조용히 보고 있는 BJ나 챌린저, 마스터 유저들이 꽤 되어 로이 조도 이 중에 한 명으로 들어와서 보고 있던 것. 그리고 로이 조가 본인방송 중에서도 악 시와 듀오 게임을 하고 싶다는 발언을 하자 역시나 로이 조의 시청자들이 악 시의 방송으로 대거 유입되어 ㄹ ㅇ ㄱ을 외치고, 당시의 매니저가 제재를 너무 빡세게 주던지라 부들부들 Yo 다... 강 퇴까지 당한 유저도 있다고"
122,한다.
123,로이 조한테 일러바쳐 봐야 어쩔 수 없는 일이 곤 했는데 매니저들 ??에게 주의를 주고 악 시는 흔쾌히 로이 조와의 듀오를 받아들였다.
124,이후 로이 조의 컨텐츠 장인대전 로이 챔 스는 물론 다인 랭크를 가장한 버스 태워 주기 등에도 참여해 주었다.
125,사실상 갱 제랑 악 시가 둘이 서 캐리한다 너무 많이 죽자 이번에는 3 데스만 하자고 주의를 주니 로이 조 입장에서는 마음대로 되지 않아 할 수 없는 노릇. 이런 부담 때문인지 로이 조가 악 시와 자주 듀오하지는 않았다.
