,sentences
0,서든 어택에 관한 다양한 분야를 다루는 카페. 2019년 3월 17일에 기존 네이버 카페에서 커뮤니티 사이트로 리 뉴 얼했다.
1,"서든 어택의 커뮤니티 중에서 최대 규모이지만, 친목질, 어 뷰 징 등의 문제점이 있다."
2,서든 어택 관련 커뮤니티 임에도 해당 게임과 상관없는 내 용의 게시 글이 자주 보인다.
3,게시 글을 보다 보면 대부분 정신 연령이 초 중생 수준이다.
4,[3] 서든 어택의 무료 스킨을 많이 제공한다.
5,"유저들 간 친목질이 매우 심하며, 잊을 만하면 나오는 여왕벌 같은 여성 유저들을 추종하는 속칭 보 빨러 들이 너무 많다."
6,뭐.. 여왕벌이나 보 빨러 나 거기서 거기다
7,"2019년 03월 17일 오전 5시 44 분경 탕 카페 리 뉴 얼 및 이사 안내라는 제목의 글이 올라왔는데, 카페 주제가 변경되어 새롭게 운영될 예정이라는 언급을 하고 있었다."
8,"리 뉴 얼 전 아무런 사전 공지, 탕 카페 유저들의 리 뉴 얼 찬반투표도 없이 한 순간에 리 뉴 얼했으며, 전형적인 카페 매매와 같은 절차를 밟았다."
9,"[4] 결국 기존의 네이버 카페는 팔렸으며, 블록 체인 카페로 바뀌었다."
10,"그리고 탕 카페 커뮤니티의 활성화를 위해 네이버 카페에서 확장성이 좋은 일반 사이트로 변경, 리 뉴 얼하였다."
11,과연 일반 사이트가 확장성이 좋을까?
12,카페의 기능이나 유입을 보면 카페가 더욱 더 확장성이 좋을 것이다.
