,sentences
0,"안녕하십니까,"
1,개리 형입니다.
2,"[5] 롤 큐 소속 리그 오브 레전드를 주 컨텐츠로 삼는 유 튜버 겸 트위치 스트 리머. 그 분이 부르는 애칭은 오른 빠돌이의 준말인 "" 오빠"" 다."
3,탱커 챔피언들을 능숙하게 잘 다룰 뿐 아니라 애착 역시 상당히 강하다.
4,"CC 기를 활용한 시원시원 한 플레이를 통해 탱커의 매력을 느낀다고. 당연한 얘기 지만 탱커 챔피언들의 카운터인 상대하기 까다로운 이 렐 리아, 일라 오이, 다리 우스, 피 오라, 잭스, 아트 록스, 클 레드 등의 브루 저 챔피언들을 상대하는 것을 매우 꺼린다."
5,"패치 내역에 이러한 챔피언들이 너프를 먹으면 웃음꽃이 피고, 버프를 먹으면 치를 떨며 증오할 정도. 물론 상대를 아예 못 하는 것이 절대 아니다."
6,카운터들 하나 하나 상대 법을 연구함으로써 대비하여 직접 대면했을 때 솔 킬 을 내는 모습을 매우 자주 볼 수 있다.
7,그리고 베인 제외 탑의 견제 형 챔피언은 어려워하지 않는 모습을 보인다.
8,"[6] 특히 제 이스, 티 모 상대로 콩콩 이를 들고 라인 전을 압도하는 모습은 그의 방송에서 흔히 볼 수 있는 장면이다."
9,"본인 피셜에 따르면 게임 내에서의 기본 적인 피지 컬 은 다른 천상계 유저들에 비하면 모자란 편이라고. 스킬 샷이 빗맞거나 반대로 적의 스킬을 못 피했을 때 항상 ""1 년만 젊었어도!!!"" 라는 말을 자주 내뱉으며 한탄한다.2018"
10,"년에도, 2019년에도, 그리고 2020년에도 하고 있는 소리다"
11,"하지만 모자란 피지 컬 을 커버하는 상황 판단 능력, 소위 말해 뇌지 컬 이 상당해서 그랜드 마스터까지 올라갈 수 있었다."
12,"각 챔피언 별 상대 법과 갱 호응 및 회피, 한 타 운영 법은 여타 천상계 유저들에게도 밀리지 않는다."
13,그렇다고
14,라인 전 실력이 안 좋은 편도 아니다.
15,"탱커 챔피언의 카운터들을 상대로도 솔 킬 도 심심찮게 내는 것으로 보아 상황 판단을 통한 킬, 로 밍, 갱, 한 타 등 각종 각 보는 능력 역시 탁월하다."
16,무엇보다도 개리 형이 천상계에 있을 수 있는 가장 큰 이유는 팀원에 대한 배려가 기본적으로 배어 있다.
17,"자신이 킬 먹는 것을 절대 좋아하지 않고 아군 딜러에게 킬 을 주는 것을 선호하며, 한 타 때 이니 시에 집착하기보다 물 몸 챔피언들을 우선적으로 보호한다."
18,아군 딜러가 망해도 꼬박꼬박 케어해 주고 오른 플레이 중이면 아이템을 우선적으로 강화해 준다.
19,"소환 사들의 어머니 한편 개리 형 자신은 마스터 티어를 찍을 정도로 꽤 실력자 이지만, 프로 게이 머들처럼 피지 컬 좋은 실력 방송이 아니라 그냥 재미있게 편안히 볼 수 있는 방송을 추구하고 있다."
20,"또 한, 프로 게이 머들의 피지 컬 에서 나오는 플레이는 당연히 보통 일반인들이 따라하기 힘드니, 개리 형은 그러한 피지 컬 안 좋은 사람들도 쉽게 따라할 수 있게 플레이 방식을 연구하고 이해하기 쉽게 풀어서 설명해 준다."
21,"방송 종료 시 대부분 나오는 음악은 IKSON의 PARADISE 이며, 연패로 하루를 끝마치게 될 경우 높은 확률로 애국가가 재생된다."
22,정말 가끔 씩 클래식을 틀기도 한다.
23,최근에는 유영석의 행복한 세상의 족 제비 한국판 엔딩 곡 출사표가 재생된다.So...
24,"Easy( 또는 Sexy)... Wow... 본인이 정말 멋진 플레이를 보여줬을 때, 손으로 얼굴을 훑고 그윽한 눈빛으로 카메라를 응시하며 마이크를 잡고 말하는 라는 유행어다."
25,"이 때 재생하는 음악은 앨 런 워커의 ""Fade"". 아마 매 드무비 영상 삽입곡으로 많이 쓰이다 보니 본인의 슈퍼 플레이를 매 드무 비에 빗 대어 부각하고 싶었던 듯하다."
26,So Easy 모음 영상도 있다.
27,"시청자들이 어떨 때 ""So... Easy... Wow..."" 하고 어떨 때 ""So... Sexy!!! Wow..."" 하냐고 종종 묻는데, ""So... Easy... Wow..."" 는 상대 플레이어가 약간 빈틈을 보여서 개리 형이 어렵지 않게 킬 을 땄을 때 주로 하고, ""So... Sexy!!! Wow..."" 는 그야말로 개리 형이 슈퍼 플레이를 했을 때 주로 한다."
28,"과거에는 ""So... Sexy!!! Wow..."" 할 때는 Sexy에 소리를 지르면서 포인트를 줬는데, 요즘은 말 그대로 요염하고 섹시하게 Sexy에 포인트를 준다."
29,"보통 이 유행어 외칠 때는 귀환 버튼 눌러놓고 리액션을 하는데, 종종 리액션 도중 이즈 리얼의 궁극기 같은 글로벌 스킬이나 정글 러의 갱 킹에 의해 죽는 경우가 있다."
30,"오니? 어이 없는 상황에서 본능적으로 나오는 감탄사. 본인이 유행어로 밀려고 의도한 것은 아니나, 편집자를 구한 이후 편집자가 영상의 편집 점에 개리 형 사진과 함께 이 감탄사 소리를 넣으면서 유행어가 되었다."
