,sentences
0,리그 오브 레전드를 주 컨텐츠로 삼는 유 튜버 겸 인터넷 방송인. 질 리 언 장인으로 유명하다.
1,"오로지 질 리 언만으로 마스터를 달성할 정도의 실력자. 포지션은 미드, 서 폿, 심지어는 탑을 가는 모습을 보여주어 포지션을 거의 가리지 않는 모습을 보여준다."
2,질 리 언과 가장 궁합이 잘 맞는 챔피언으로 람머스를 언급한다.
3,"일명 "" 질 머 스"" 라 하여 질 리 언의 시간 왜곡과 람머스의 대회전의 시너지로 엄청나게 빠른 속도로 이니 쉬를 하는 람머스를 고뇌의 영상에서 심심찮게 볼 수 있다."
4,때문에 람머스 장인 병 찬이 구른다 와 듀오를 하는 일이 잦다.
5,"주로 장인 유저들이라면 자신의 챔피언 하나만을 파는 모습으로 컨텐츠를 짜는 경우가 매우 많은데, 고뇌는 질 리 언 강의 나 매 드무비 뿐만 아니라 뉴 메타와 숨겨 진 꿀 챔프를 소개하는 것으로 유명 세를 탔다."
6,"한 창 "" 무협지"" 라는 뉴 메타 소개 채널이 뜨고 난 이후 무협 지가 영상 업 로드를 멈추자, 그 자리를 고뇌가 대신하게 되어 고뇌 유 튜브는 "" 고 협지"" 라는 별명이 생기기도 했다."
7,덕분에 뉴 메타를 안 좋아하는 유저들에게 욕을 좀 많이 먹기도 했다(...). 특히 미드 AP 노틸러스와 AD 트위스티드 페이트 영상이 고뇌가 소개한 뉴 메타를 쓰는 플레이어를 같은 팀으로 만나서 졌다고
8,"욕을 많이 먹었고, 싫어요"
9,개 수도 많다.
10,"하지만 이것이 채널 성장의 원동력이 되었다는 것은 부정할 수 없고, 구독자 수에 비해 조회 수도 잘 나오는 편이다."
11,"이러한 컨텐츠를 진행하면서 고뇌가 항상 하는 말이 "" 꿀은 선착순"". 라 이엇 게임즈가 혁신적이고 충분히 실전성 있는 뉴 메타를 억제하는 패치를 빠른 시일 내에 항상 해 왔던 것으로 보아, 이 말은 설득력이 높다고"
12,할 수밖에 없다.
13,고뇌의 컨텐츠는 단순히 게임 플레이 관련 팁만 있는 것이 아니다.
14,"본인이 리그 오브 레 전 드라는 게임에 있어 상당히 애착을 가지는 만큼, 그만큼 라이 엇의 게임 운영과 유저들의 비 매너 행위에 대해 비판하는 영상들도 아낌없이 올린다."
15,"특히, 트롤링과 어 뷰 징을 하는 유저들의 행태에 분노하여 라이엇에게 일침을 날리는 모습을 보이기도 한다."
16,"고뇌의 게임 플레이 특이 사항으로는 일단 절대 채팅으로 욕설을 일절 하지 않고, 항복도 거의 안 하는 강한 멘 탈을 소유하고 있다."
17,이것이 종종 역전으로도 이어져 고뇌의 장점이라면 장점이라 할 수 있다.
18,영상 [2] 을 찍기 위해서 PBE 서버에서 정화 유 체화로 닷 지유 도를 하였고 닷 지실 패시 다시 하기 혹은 아이템사고 가만히 있었다는 논란이 일어났다.https
19,: //talk .op .gg /s /lol /free /2569785 [3] 또한 일반 서버에도 닷 지유도 의심이 있었었다.https
20,: //talk .op .gg /s /lol /free /2570954 [4] 고 뇌 유 튜브와 해당 커뮤니티에 사과 영상을 올렸고 방송을 중단하고 반성의 시간을 갖는다 하였다.
21,또 한 고뇌 라 하는 의심과 논란에 대해서 어느 부분이 허위사실 혹은 과장 선동이고 어느 부분이 사실인지 해당 커뮤니티에 올렸다.
22,요악하자면 본인은 닷 지유 도와 다시 하기를 하였고 아이템 사고 가만히 있는 행위를 하지 않았다 등등의 이야기를 했다.
23,또 한 해당 커뮤니티와 유 튜브에 7월 13일 유 튜브에서 올린 영상에서 피해를 본 유저들에게 친 추를 받은 유저 한에서 일일이 사과를 한 사실이 드러났다.
24,상대방이 지속적으로 부계 정을 파고 언론조작( 혹은 선동) 을 직접 사진을 찍어 보여주었다.
25,이 후 위의 두 개의 글이 삭제되었다.
26,유 튜브 영상 BGM으로 냥 코 대전쟁 OST를 선호한다.
27,"천상계 유저들 사이에서 저격 트롤 러로 오해 받던 탑 람머스 장인 "" 병 찬이 구른다"" 와 듀오를 한 적이 있다."
28,고뇌 덕분에 이 사람이 트롤 러라는 것은 유저들의 오해였다는 것에 대해 어느 정도 해명할 수 있었다.
29,자수성가의 대명사이다.
30,자수성가 본인이 직접 연구한 뉴 메타는 거의 다 질 리 언이다.
31,다른 챔피언들은 다른 유저들의 전적을 보고 영상으로 쉽게 설명한다.
32,미드 강타 질 리 언 [1] 탑 AD 도벽 질 리 언 미드 AP 노 틸 러스 정복자 문도 박사 빙결 강화 초가스 미드 AD 도벽 트위스티드 페이트집중 공격 말 파이트탑 여진/ 착취의 손아귀 스카 너서 폿 스웨인 미드 누 누와 윌 럼 프 탑 워윅미드/ 탑 녹턴
