,sentences
0,청하! 여러분의 청정한 게임 유 튜버 청원입니다!
1,게임에 얽힌 이야기를 소개하는 유 튜버. 자신의 설명에 따르면 실력이 청정 수급이라고 한다.
2,민감한 주제를 격렬한 언어로 강도 높게 비판하는 성향이 많은 다른 게임 정보 유튜버들과 다르게 소 소한 게임 주제를 포착해 조곤조곤 한 내레이션과 부드러운 편집을 사용한다.
3,그래서 구독자 수에 비해 유명세나 화제성은 조금 덜한 편이지만 애착이 강한 많은 팬을 보유하고 있어 편당 높은 조 회수와 많은 댓 글 수를 자랑한다.
4,"소리 없는 강자 스타일의 유 튜버. 매주 화, 금 6시에 높은 퀄리티의 영상을 업 로드한다."
5,"영상 도입부와 마무리에 맥락상 없어도 될 분량 뻥튀기의 멘트가 많아 도입부 파트 1분, 마무리 파트 30초를 스킵하고 봐도 아무런 문제가 없다."
6,"다만, 콘텐츠가 항상 건전하고 유익하기 때문에 ( 가끔은 아니지만) 무리한 분량 늘리기로 인식되지는 않고, 시청자가 편안하게 호흡을 가다듬으며 들을 수 있는 여유를 제공한다는 느낌을 준다."
7,"대부분의 게임 리뷰 형 유튜버들이 더 자극적이고 더 정신 없는 편집 및 멘트 스타일을 추구하는 경향과 반대인데, 청원이 는 이를 고유의 장점으로 잘 살려 내고 있다.2018"
8,년도 즈음엔 낮은 톤에 살짝 탁한 목소리였지만 이후 마이크를 바꾸고 점점 개선되어 2020년 기준 밝고 높으면서도 조곤조곤 명확한 내레이션으로 게임 이슈를 소개하고 있다.
9,"매주 일, 화 8시에 트위치에서 게임 방송을 하는데, 유 튜브에 업 로드된 게임 주제를 다루는 영상에 비하면 조 회수가 턱없이 적은 편이며, 간혹 유 튜브에서 동시 방송하기도 하지만 유 튜브에는 게임 방송 영상을 따로 업 로드하지 않고 방송이 끝나면 그냥 지워 버린다.2018"
10,년 11월 쯤에 새로운 고급 마이크로 바꾸었다고
11,한다.2019
12,년 2월 15일 오전 1시 18분 경 구독자 10만을 달성했다.2019
13,년 3월 5 일쯤에 누군가에게 이메일을 보내려고 구 글 닉네임을 clean_one으로 바꿨다가 유 튜브 채널 명도 같이 바뀌어 버리는 일이 발생했다.
14,2019년 5월 5일에 [4] 닉네임이 청원 이로 돌아왔지만 그의 clean_one 이라는 닉네임은 구독자들이 놀리는 목적으로 계속 사용되고 있다.
15,클 하! 여러분의 클린한 게임 유 튜버 클린 원입니다!
16,[5] 영상을 시작할 때 상단 왼쪽에 영상 주제에 대한 설명을 스킵할 시간을 표시한다.
17,추가로 어떤 게임의 화면이 나오면 그 게임의 제목도 같이 표시한다.
18,"가끔 깜빡할 때도 있다 전에는 영상을 매주 금요일에 하나만 올렸으나 지금은 화요일 하나, 금요일에 하나씩 올려 1주일에 2개의 영상을 올린다."
19,국내에 알려 지지 않은 해외 온라인 게임부터 시작해서 EVE 온라인의 최신 사건 및 사고를 자세하게 다룬다.
20,그래 선지 ○ 월 한 달 간 일어나는 게임 관련 사건 사고 영상이 나올 때마다 영상 댓 글에 EVE 온라인 언급이 많이 나온다.
21,트위치 생방송에서 트위치의 채널 포인트를 이용한 예측( 토토) 을 자주 사용한다.
22,청원 랜드를 방제로도 한다 2020년 9월 4일 구독자 30만 명을 달성했다.
23,일상과 관련된 영상들이 올라오는 곳. 게임 내에서 유저들이 만들어 낸 사건 [3] 을 소개하는 콘텐츠이다.
24,게임에 얽혀 있는 이야기를 소개하는 콘텐츠. 말 그대로 ○○ 월에 벌어진 게임 관련 이슈를 정리하는 콘텐츠.
