,sentences
0,혁☆ 명! 폴란드 편 이후 새롭게 생긴 월수의 인사말이다.
1,"[12] 합성물 제작 유 튜버. 심 영물로 2017년에 데뷔했으며, 현재는 게 리 모드 애니메이션 제작에 주력을 두고 있다."
2,그 때문에 야인 시대 합성물 제작자로 출발했음에도 불구하고 김 근육 시리즈에서는 기존 캐릭터들의 유명한 대사가 많이 쓰이지 않는다.
3,과거 쇼 미 더 머니에 나간 심 영이라는 야인 시대 합성물 시리즈를 제작한 유 튜버 수 월의 부계 정으로 시작한 채널이다.
4,"수 월 채널의 수익 창출이 막히자, 수익 창출이 막힐 일이 없는 채널을 만들어 보자는 취지에서 시작되었다."
5,[13] 그러다가 ' 김 근육' 시리즈를 제작한 이후로는 수 월 채널 대신 이 Wall Su 채널에만 컨텐츠가 업 로드되면서 부계 정이 본 계정으로 되어 버렸다.
6,"2020년 3월 14일, 부계 정인 Wall Su가 원래 계정의 구독자 수를 추월했고, 수 월 채널도 2020년 5월 10일이 되어서 야 9개월 만에 영상이 업 로드 될 정도로 수월 본인도 본 계정을 부계 정으로 취급하고 있다."
7,이 때문에 유튜버의 호칭이 수월과 월수 모두 혼용되고 있다.
8,채널 개설 초반에는 ' 수 월' 이라는 이름을 더 자주 사용하였지만 현재는 본인도 ' 월수' 라는 이름을 많이 사용 중이다.
9,"원래는 수 월 채널을 통해 들어온 구독자가 유지되고 있었으나, 후술할 김 근육 시리즈 영상이 인기를 끌면서 구독자 수가 급상승했다."
10,"그리고 5월 28일 오후 6시, 구독자 10만 명을 달성하여 한국에서 DJ DOG, 김 도고 Doggo Kim, 여유만 만에 이어 네 번째로 10만 구독자를 달성한 합성물 유튜버가 되었다."
11,"[14] 구독자 애칭은 ' 반동 노무새끼들', 야인 시대 심 영의 대사이며 줄여서 ' 반무 새' 다."
12,"이 때문에 어떤 시청자가 왜 시청자를 그렇게 부르냐고 하자 직접 애칭의 뜻이라며 해명 삼아 7 행 시를 짓기도 했는데, 반동 노무새끼들의 뜻은 ' 반짝이는 동그라미가 노래를 하면 무지개가 춤을 추고 새까만 먹구름도 끼룩끼룩 날아가듯 한다."
13,"맨들 맨들 맨들 맨들 맨들 맨들' 이라고 한다(... )2020 년 9월 6 일경, 총 조 회수 1억 회를 달성하였다."
14,우울증을 앓고 있었다.
15,"수 월로 활동하던 시절부터 우울증을 앓고 있었고, 우울감을 해소하기 위해 김 근육 시리즈를 만든 것으로 보인다."
16,"실제로 김 근육 시리즈를 만들고, 구독자들의 온갖 댓 글과 드립을 보면서 웃으면서 우울 감이 해소가 된다고 밝혔다."
17,다만 수 월 본인이 영상의 기괴함이 본인의 우울함과 비례한다고 밝힌 바가 있어 가끔 부담스러울 정도로 기괴한 영상이 올라오면 괜찮냐
