,sentences
0,"트위치에서 방송을 하는 스트 리머. 스트리머를 하기 전에는 게임 개발자 (EA 팀장), 일 러스트 레이터, 만화가 등 다양한 활동을 하였다."
1,"디시 인사이드에서 와 갤, 롤 갤, 고 갤, 확 갤 [3], 언 갤 등 지에서 김치 도살자라는 닉네임으로 활동했다."
2,"본인이 직접 밝힌 바에 의하면 리그 오브 레 전 드가 북미 서버만 존재할 당시 만들었던 닉네임 ""Kimchi Butcher""에서 유래한 것이라고 한다."
3,"즉, "" 김치도 살자"" 가 아니라"
4,"Kimchi Butcher, "" 김치 도살자"" 이다."
5,"그런데 이 이름 때문에 자꾸 일 베 충으로 오해를 사서 스트레스를 많이 받았고 [4], 결국 이름을 김도로 바꾸게 되었다고."
6,"이제 더 이상 공식적으로 "" 김치도 살자"" 라는 이름은 사용하지 않겠다고"
7,선언했다.
8,방송 중에 채팅으로 이걸 언급했다가는 밴을 당할 수 있다.
9,[5] 현재는 김치 도살자의 약칭이 아니고 영미권에서 익명을 나타낼 때 쓰는 존 도 (John Doe) 라는 단어에서 에서 도 (Doe )를 따오고 김 씨에서 김을 따와서 익명 같은 이름을 추구했다고
10,설명하고 있다.
11,"물론 믿는 사람은 아무도 없지 만인 디 시절 필명은 미 틴 퇴 끼, 미 틴 택 기, 이 택 기, 리 택 기. 씰 온라인에 나오는 꾀돌이와 비슷한 맛이 간 모습을 한 토끼 캐릭터나 그냥 맛 간 자신의 안경 쓴 캐릭을 자캐로 썼다."
12,이 당시에 대부분의 작품이 그림은 인 디풍의 거칠고 심플하고 아기자기 하지만 피와 폭력이 난무하는 과격하고 잔인한 개그를 구사했다.
13,참고로 2018년 8월을 기준으로 만화가 시절 사용하던
14,블 로그와 트위터를 모두 비공개로 바꾸어 놓았다.
15,예전에 그린 그림들은 개인적으로 찾아보아야 한다.
16,"돌아온 마이 짱: 돌아온 럭키 짱의 6, 7, 8, 9, 10 화를 LOL 캐릭터로 합성한 패러디 물. 던 전 일기: 던 전을 소재로 한 판타지 4 컷 만화. 5 화 이후로 외전을 마지막으로 올라오지 않고 있다."
17,노루 만화( 하스 스톤): 노루 야캐요를 유행 어로 만든 단편 만화. 클릭! 무사고 내무반 .COM : 육군 복무시절 국방부에서 일명 만화 병으로 차출되어 국방 일보에 연재되는 사고 예방 만화 제작에 참여했다.
18,2개월 만에 4명이 60 회분을 그리는 기염을 토했다고
19,한다.
20,국 방일 보브 리스 톨 탐험대 : 구름 엔터테인먼트에서 브리스 톨 탐험대의 마케팅 디자인과 일 러스트에 참여했다.EA
21,재직 ( 크로노스 시리즈) : EA 모바일 코리아에서 팀장으로 4년 간 근무했다.
22,가장 오래 다닌 게임회사라고 한다.
23,"모바일 게임 크로노스 윙, 크로노스 소드의 개발에 참여했으며 영웅 서기 후반 시리즈의 개발에도 관여했다고"
24,한다.
25,친구인 똘 똘똘이가 제작에 참여한 검은 방 4에서도 스탭 롤에 이름을 올리기도 했다.
26,당시 모바일 게임 제작사는 다른 팀 사이에서도 바쁘면 손을 빌리는 일이 종종 있었다고
27,한다.
28,제작에 참여할 때는 주로 도트 그래픽 관련으로 작업했다고.
29,게임계 탑 수준인 대기업에 근무했던 경험이 있다 보니 방송에서 두고두고 시청자나 본인의 드립거리가 된다.
30,방황하며 백수 생활을 보냈던 경험을 진솔하게 털어 놨던 나이트 인 더 우 즈 방송 때는 평소와는 다르게 꽤 진지한 모습으로 무거운 사생활 이야기를 공개했다.
31,"' 선배가 꽂아 줘서 겨우 취직했다' 는 말이 나오자 기만 자 소리를 들어야 했고, FIFA 18 카드 깡을 할 때는 똘 똘똘이가 ' 전직 EA 직원이 하는 카드 깡인데 왜 좋은 선수가 안 나 오냐 '라고 화를 내기도 했다."
32,Apex 레 전드 방송에서는 컴퓨터에 오리진이 깔려 있으면 바이러스가 걸린 듯한 기분이었다며 EA에 대한 혐오감을 드러내기도 했다.
33,똘삼에 의하면 재직 시절 스톡 옵션으로 EA 주식을 받았지만 김도는 퇴사하자마자 바로 팔았다고
34,한다.
35,큐 라 레: 마법 도서관 : 국내 모바일 카드게임 큐 라 레: 마법 도서관의 일 러스트 작업에 참여했다.
36,"닥터 레진의 무책임 하스 스톤 연구소 : 레진 코믹스에서 하스 스톤 만화로 "" 닥터 레진의 무책임 하스 스톤 연구소 ""를 연재했다."
37,블 리 자드 본사의 승인을 받은 만화라고 하는 데 밴 브로드를 까는 만화를 올리기도 했다.
38,2016년 2월 19일 연재 분을 끝으로 시즌 1이 종료되었는데 시즌 2가 나올 것으로 예상했던 돌 갤러들의 기대와는 달리 시즌 2는 자신이 없어서 그냥 포기했다고.
39,## 여담으로 캐릭터( 금례와 레진 박사 )에 대한 권리는 레진에 있다고
40,한다.
