,sentences
0,"대한민국의 인터넷 방송인. 본명은 백 진호. [10] 1993년 10월 27 일생 [11] 애청자는 2020년 5월 29일 기준으로 33,650명 가량, 아프리카 BJ 랭킹은 400위 안팎. 현재는 유 튜브와 트위치에서 생방송을 한다."
1,"[12] 장파라는 닉네임의 유래가 2016년 10월 20일 20 시경에 유 튜브 첫 생 방 채널 때 본인이 아닌 어느 친구분의 별명이 "" 장애인 파이터"" 라 그걸 줄여서 정했다고"
2,한다.
3,"물론, 주파수를 의미하는 장파에서 따온 것은 절대 아니다.2012"
4,년 9월 30일부터 유 튜브를 운영하기 시작했다.
5,[13] 업 로드 된 장파의 유 튜브를 어플로 볼 수 있는 장파 in me 라는 어 플 또한 있었으나 현재 스토어에서 내려갔다.GTA
6,5가 나오기 전이 던 2013년 이전에는 주로 GTA 4를 통해 인지도를 많이 쌓았고 브금 술사 베스트 BJ를 달았다.
7,방송 경력이 의외로 길다.
8,"[21] 2007년 4월 13일, 15살이라는 나이에 처음 방송할 때 게임은 드래곤 볼 Z 스파 킹 메테 오 (2007 년 작) 였다."
9,"현재는 GTA 5(2013 년 작 )를 중심으로 방송하고 스타 크래프트 2 시리즈, 메탈 기어 솔리드 5, 캐쥬 얼 인 디 게임 등등도 방송한다."
10,방송국 소개에 나온 것처럼 신작 비디오 게임도 방송한다.GTA
11,4 방송을 할 때 상당히 많은 브금을 상황에 맞춰서 잘 틀어서 시청자들에게 브금 술사라는 별명을 얻었다.
12,당시 GTA 4 게임방송 했던
13,BJ 들 중에 선 바이크 스턴트를 잘했다.
14,"욕설이 현재보다 훨씬 심했던 건 덤. 채팅 창에서 일어나는 이모 티 콘 도배, 어 그로, 싸움 등은 바로 블랙을 넣곤 한다."
15,베스트 BJ를 단 시점쯤 부터 욕설을 줄여 나가 서 현재 방송에선 거의 욕설을 하지 않는다.
16,물론 아예 안하지는 않는다 현재는 방송 영상을 녹화 뒤 유 튜브에 올리기 때문에 저작권문제 등으로 NCS 브금과 같은 한정된 브금으로 방송을 진행한다.
17,그래서 오래된 장파 팬들은 많이 아쉬워한다.
18,"여러 게임과 최근 먹 방, 그리고 캠 방송까지 하지만 Grand Theft Auto 시리즈를 할 때 만큼의 인기가 없어서 항상 딜레마라고 본인 스스로 방송을 통해 밝혔다."
19,방송 경력이 길지만 캠을 통해 얼굴을 공개한 건 오래되지 않았다.
20,"방송 자체는 2007년 초에 시작했고, 얼굴을 공개한 건 2014년 7월이다."
21,[22] 방송의 재미 포인트가 뜬금없는 상황에서 나오는 게임 내 BJ 장파의 행동과 멘트 그리고 그 상황에 맞는 BGM이라 GTA 시리즈나 스케이트 3처럼 자유도가 높은 게임에서는 큰 재미를 선사하지만 스토리를 쭉 따라가는 게임이나 스테이지를 깨서 나아가는 게임에선 재미가 반감된다.
22,이러한 특징 때문에 주 시청자 층이 상당히 어리다.
23,후원이 잘 터지지 않는 이유 중에 하나다.
24,장파 방송에서는 고등학생 시청자도 늙었다고
25,봐야 한다(...). 전화 데이트 방송을 하면 5초 이상 대화가 이어지기 어려운 통화가 부지기수다.
26,그렇다 보니 시청자 수에 비해 방송 중 후원이 거의 터 지질 않는다.
27,[23] 그나마 유 튜브 조 회수와 구독 수가 잘 나와서 다행. 하지만 유 튜브에서도 수익이 잘 나오지 않는다고
28,한다 [24] 아프리카 TV에서 클럽이 유행일 때 장파가 중심이 되어서 BJ 히 안을 포함한 몇몇 BJ 들과 클럽을 결성했지만 본인이 스스로 관두어 얼마 가지 못했다.
29,"그 인연으로 메이플스토리를 주로 하는 BJ 히 안과 합동방송을 가끔 하는데, GTA 온라인을 같이 할 당시 둘이 서 자주 티격태격 하는 모습 때문에 시청자들이 ' 둘이 잘 어울린다."
30,"', ' 둘이 사귀는 거 아님?' 등의 반응을 보였지만 둘은 강력 부인하고 있다."
