,sentences
0,"CJ ENM에서 운영하는 케이블방송 채널. 중국 드라마, 예능, 다큐멘터리 및 시사 교양을 위주로 방송하는 중국 컨텐츠 채널로 2005년에 ' 하오 TV(Hao TV)' 라는 이름으로 개국되었다."
1,처음에는 CJ가 인수하기 전까지 독립 채널이었으며 2008년 CJ 미디어 ( 현 CJ ENM)에 인수되었다.
2,중국 컨텐츠를 제공하는 채널이라는 점에서 미국 드라마를 방송하는 채널들에 비해서 인지도가 낮다.
3,심지어는 CJ ENM의 채널인 것을 모르는 사람이 태반이다.
4,"경쟁관계에 있는 채널로는 CHING이 있으며, IPTV를 비롯한 다수의 유료방송사업자에 의해 시청이 가능하다."
5,초기에는 중화 뉴스라는 명칭으로 보통화( 표준 중국어) 와 연변 지역의 조선어 뉴스 프로그램을 방영했었다.
6,최신 중국 드라마를 수입하고 있다.
7,"중국에서 큰 인기 몰이를 한 랑야방을 중국 방영이 끝난 후 1주일 뒤에 방영해 주었고 판 빙빙이 주연과 제작을 맡아 화제가 된 무미랑 전기가 3월 방영, 랑 야 방 출연진들이 대거 등장한 위장 자까지 최신 시대극을 모두 방영해 주고 있다."
8,무미랑 전기가 끝난 후에는 류 시 시가 주연을 맡은 여의 명 비전이 방영했다.
9,한국 방영이 결정되면 출연 배우들의 간단한 인터뷰 영상을 보여 준다.
10,랑 야 방의 경우 NG 영상 클립을 방영했으며 위장 자는 메이킹 필름을 보여 주었다.
11,"또 한, 2016년 개편 후 위 클 리 차이나 우, 삼국지 덕 후 콘서트, 주유 천하 등 자체 제작물을 만들어 방 영하였다."
12,중국 드라마는 보통 하루에 2편 씩 38 분씩 해 주는데 이것을 우리나라 기준으로 45분으로 맞추다 보니 보다 보면 꼭 시작할 때 전편이 5분 가량 반복된다는 단점이 있다.
13,번역이 너무 짧다.
14,긴 문단도 한마디로 축약해서 번역해 버리니 중 드팬 사이에서는 극 이해에 방해가 될 정도라고 여겨 진다.
15,[1] 국내 중드 매니아들은 wavve를 이용하는 경우가 많다.
16,국내 OTT 중 제일 많은 중드를 보유했기 때문이다.
17,"채널 칭, 채널 차이나, 아시아 앤의 중드를 wavve로 다 볼 수 있는데 이 중화 TV의 작품은 티빙으로만 볼 수 있기 때문에 불편함을 토로하는 중 드매니 아들이 많다."
18,또 한 중국 근대사를 다룬 사극도 잘 방영하지 않는다.
19,중국 공산당이 반드시 나오는 사극을 찾기 힘들다.
20,"그리고 더빙, 그런 거 없다."
