,sentences
0,Escape from Tarkov 유튜버로 11.8만명의 구독자를 보유한 [3] 한국인 유튜버지만 구독자의 80% 가 외국인인 글로벌 유 튜 버이다.
1,커뮤니티로 나무 위 키 편집 시 개인정보나 거주지 상세 기재는 지양해 달라고 이야기 하였다.2019
2,년에 Escape from Tarkov 라는 게임이 상승세를 타며 동시에 유저들에게 서 인기가 높아 지고 있는 유 튜 버이다.
3,"댓 글의 대부분이 외국어 댓 글이고, 구독자도 80% 이상이 외국인이라서 처음 보는 한국인들은 외국인 유튜버로 많이 오해한다."
4,게임 자체가 국내에서는 인지도가 최근에 급상승하는 추세이기 때문에 초창기에는 한국어 댓 글을 찾아보기가 굉장히 힘들었다.
5,"올라 오는 영상의 제목, 길이가 매우 간결한 것이 특징이다."
6,"한국 유 튜브로는 제목이 자동 번역되어서 어색하게 나오기도 하는데, 그 어색한 변역이 매력이라는 의견도 있다."
7,트위치는 매일 오전 9시에 진행한다.
8,"주 컨텐츠인 타르 코프는 굉장히 하드 코어한 FPS 게임인데도 불구하고, 잔잔한 노래와 실력으로 타르 코프를 힐링 게임으로 오해하기 딱 좋게 만들었다."
9,메이 플 스토리 브금이 깔린 채로 음식을 먹는 장면은 진짜 힐 링 게임 같이 보이기도 한다.
10,커뮤니티에 보면 원래 이런 게임이었냐고 하소연 하는 유저도 종종 보인다.
11,커뮤니티에 공지를 올릴 때 외국인 구독자를 위해서 인지 영어와 한글을 같이 기재한다.
12,"오히려 한국인 구독자가 최근에 늘어난 것을 보면 한국인을 배려하는 것 같기도... 스트 리머 본인이 직접 개인정보 기재를 꺼려 하는 만큼, 작성에 유의 부탁 드립니다."
13,"생방송에서 자기 및 트수가 변태이며, M 기질이 조금 있다고"
14,하였다.
15,유 튜브에서는 대부분이 외국 댓 글이지만 트위치 생방송에서는 한국인이 다수다.
16,정치 또는 인종 관련 발언은 외국인 한국인 가리지 않고 단호하게 밴한다.
17,트수 리머이다.
18,"( 트수+ 스트 리머) 애 교는 단가가 세다 단 취하면 공짜. 얼마까지 알아보고 오셨어 요트 위치 생방송 중에 "" 클립 수출은 절대 하지 말아 달라"" 고하였다."
19,"본인 스스로 영어를 잘 못 한다고 하지만, 문법은 대부분 맞는 편이다."
20,기 -만 게임을 잘 못한다.
21,"편집으로 잘하는 것 ""처럼"" 만드는 것 이라고... 기- 만 2"" 초롱이"" 라는 반려 견과 같이 지낸다."
22,미역국을 굉장히 좋아한다.
23,"방송 전 먹은 음식은 대부분이 미역국 일 정도... 트위치 생 방 때 한 애 교가 몇 개 남았는데, 대표적으로 모에모에큥이 있다.4"
24,월 28일 트위치가 맛이 가서 유 튜브 생방송을 켰는데 세계 각지에서 온 시청자들과 각종 어 그로 꾼 들이 많아서 곤욕을 치뤘었다.
25,주량이 낮은 편이며 술을 딱 4번 (20 년 5월 6일 기준) 마셔 보았다고
26,한다.5
27,"월 6 일자 방송에선 KGB 맥주 반 캔에 취했으며, 반 캔 나/ 엘 반 딱 이라는 별명이 생겼다."
28,술에 취하면 귀여운 잡담을 한다.
29,"의성어는 기본 이요, 힘들다고"
30,사이 사이에 중얼거리는 게 포인트. 자신 얼굴이 USEC 같이 생겼다고
31,한다.
32,영상에 한국인이라는 걸 조금씩 알리기도 한다.
33,"메이 플 스토리 배경 음악을 즐겨 사용한다 던지... 뇌 절을 싫어한다, 5월 6일 방송에서 뇌 절하면 모가지를 베겠다고"
34,"했을 정도. 의외로 특이한 입맛을 가지고 있다, 기네스 흑맥주와 썬 키 스트 자 몽을 섞어 먹는 기행을 선보일 정도. 뭐? 생방송에서 본인이 군대를 다녀오지 않았다고"
35,밝혔다.
36,고맙다
37,냥 [4 ]HI & Welcome
