,sentences
0,경기도의 지방 공기업. 본사는 경기도 수원시 권선구 권 중로 46 ( 권선동 )에 위치해 있다.
1,경기도 청과 마찬가지로 북부본부는 경기도 의정부시에 위치하고 있다.
2,( 경기도 의정부시 용 민로 192 ( 민락동)) 사장은 2019년 2월부터 이헌 욱 변호사 [2] 가 재임 중이다.2020
3,"년 7월 15일, 경기도시공사에서 ‘ 경기주택도시공사 (GH)’ 로 사명을 변경하였다."
4,"경기도시공사 시절 로고. 경기도에서 경기도 각지의 신도시를 개발하고 산업단지를 유치하며, 경기도의 각종 기반시설을 확충하기 위하여 만든 지방 공기업이다."
5,경기도가 전액 출자 하여 지분율은 100% 이다.
6,광역자치단체마다 설립되어 있는 도시개발공사 중 하나이다.
7,"원래 이름은 경기지방공사였다가, 2007 년 광 교신도시 개발을 시작하면서 경기도시공사로 변경하였고, 2020년 7월 15일, 현재의 이름 GH로 변경되었다."
8,"한류 월드나 광 교신도시, 판교 테크노 밸리 등 경기도의 주거복지, 택지개발, 공공주택사업, 산업단지조성, 주택사업, 위 수탁/ 환경시설, 도시 재생사업 등을 하고 있다."
9,별도의 아파트 브랜드가 있다.
10,"이름은 써 미트 빌 과 자연& 인데, 광 교신도시나, 한강 신도시 등 경기도 지역 내에서 경기도시공사가 주거사업을 시행, 시공하여 아파트가 완공되면 저 브랜드가 붙는 경우가 있다."
11,"예를 들면 자연 앤 자 이, 자연 앤 힐 스테이트, 자연 앤 데시 앙 등으로 시행사의 브랜드와 주요 시공사들의 브랜드가 함께 붙도록 한다."
12,광 교신도시나 한강 신도시가 아니더라도 GH 주관으로 건설된 아파트에는 여지없이 ' 자연 앤' 브랜드가 붙는다.
13,"본사가 위치한 수원시 권선구야 구도심에 속하지만 북부본부가 있는 의정부시 민 락 2 지구는 의정부시의 신도시 포지션인데, 경기주택도시공사가 시행하지 않고 한국 토지주택공사에서 시행한 점이 나름 아이러니 하다. 초대 민병 균 (1997 ~2001 )2 대 장 홍 렬 (2001 ~2002 )3 ~4 대 오국 환 (2002 ~2006 )5 대 권 재 욱 (2006 ~2008 )6 대 이 한준 (2008 ~2011 )7 대 이재 영 (2011 ~2013 )8 대 최승 대 (2013 ~2014 )9 대 최금식 (2014 ~2017 )10 대 김용 학 (2017 ~2018) 직무 대행 이 홍 균 (2018 ~2019 )11 대 이헌 욱 (2019~ ) 택지개발 등을 위한 토지의 취득, 개발, 비축 및 공급, 임대관리주택 및 일반 건축물의 건설, 개량, 공급, 임대 및 관리도시 재정비 사업 및 리모델링 사업 관광지, 리조트 등 위락단지의 조성 및 관리도로, 도시 철도, 주차장 등 교통관련시설의 건설 및 운영· 유지관리 해외무역, 외자유치, 과학기술진흥 지원 등 지역경제 활성화에 기여할 수 있는 업무건설 자재의 생산 및 공급 체육시설의 조성 및 관리 국가 또는 지방자치단체가 대행 또는 위탁한 업무 경기도 지사가 필요 하다고 인정하여 대행한 사업의 추진 및 관리 상 기의 업무에 부수되는 설계 용역 및 감리 등의 업무「 해외건설 촉진법 」에 따른 해외 건설업, 다만 비투자사업에 한함 그 밖의 지방 공기업 법 제 2 조에서 정하는 사업 광 교신도시 광 교 호수공원 다산 신도시 한류 월드 판교 테크노 밸리 광 교 테크노 밸리경기 북부 테크노 밸리 킨 텍스 지원단 지동 탄 호수공원"
