,sentences
0,"ASIAN KUNG-FU GENERATION의 정규 2 집 ' 솔파(ソルファ)' 의 수록 곡. 싱글 커트가 되지 않은 곡임에도 불구하고 [1] 팬들 내에서는 상당한 인기를 구가하고 있는 곡이었으며, 아지 캉 본인들도 이 곡에 대해 애정이 깊은 건지 라이브에 나왔다 하면 거의 빠지지 않고 부르는 곡이 기도 하다. 또 한 정규 4 집 ' 월드 월드 월드(ワールド ワールド ワールド)' 의 수록 곡 트래블 로그(トラベログ )에는 2005년 나 노무 겐 페스티벌에서 Re:Re: ~ N.G .S 의 연주 사이에 두 곡을 편곡한 전주가 사용되는 등, 여러 면에서 팬들에게나 아지 캉 본인들에게나 의미가 큰 곡. 앨범 아트 이 곡은 2004년 아지 캉 정규 2 집 ソルファ 의 8 번 트랙으로 공개된 곡이다."
1,"아지캉의 보컬 고토 마사 후미가 밝힌 바에 따르면 이 곡과 ' 솔파' 의 또 다른 수록 곡 ' 사이렌(サイレン)', ' 라스트 씬(ラストシーン)' 은 스토리 면에서 유기적으로 연결되어 있다고"
2,한다.
3,"순서대로 사이렌 - 라스트 신 - Re:Re: 로 스토리가 이어지며 [2], 각각 ' 연 인의 권태기'( 사이렌의 경우 남녀버젼이 둘 다 존재한다.)"
4,- ' 이 별' - ' 재회의 소망' 이라는 의미를 담고 있다.
5,"제 목인 Re:Re: 는 "" 답장의 답장 ""이란 의미로 "" 다시 한 번"" 이라는 뜻을 담고 있다."
6,"어쨌거나 당시에는 이런 점들을 제외하면 별다른 특징 없는 평범한 앨범 수록 곡들 중 하나였었던데 다가, 같은 앨범에 그 유명한 리 라이트가 있었던 탓에 상대적으로 밀리는 감이 있었다."
7,"덕분에 이 곡도 여타 앨범 수록 곡들처럼 아지 캉 팬들 내에서 나 인기 있는 [3], 소위 아는 사람만 아는 곡 정도의 위상이었다.Re"
8,":Re: 는 음 원 버전과 라이브 버전이 꽤 차이가 큰 것으로 유명한 데, 라이브 버전에서는 전주 부분이 편곡되어 대략 1분 30초 정도의 길이로 늘어난다."
9,대략 2006년 즈음부터 정형화 된 것으로 보인다.
10,이 라이브 버전은 2006년에 발매된 컴 필 레이션 앨범 ' 피드백 파일(フィードバックファイル) '에도 수록되어 있다.
11,"싱글 앨범 아트 공식 PV Short ver. [4 ]PV Full ver.Full Ver. 이렇게 아는 사람만 아는 곡이였지만, 뜬금없이 이 곡이 재녹음된 버전으로 TVA 나 만이 없는 거리의 오프닝 테마로 쓰이게 된다는 뉴스가 발표된다."
12,"이런 애니메이션 홍보 효과에 힘입어 많은 사람들의 관심을 받게 되면서 Re:Re: 는 발매된지 대략 12년 만에 재평가 아닌 재평가를 받게 되고, 리 라이트와 함께 아지캉의 대표곡으로 부상할 정도로 상당한 인기를 끌게 된다."
13,"다만 이 리 레코딩의 풀 버전에 대해서는 상당히 호불호가 갈리는데, 라이브 버전처럼 전주를 1분 30초 가량으로 늘린 점이 제일 큰 요인. 어떤 사람들은 이 긴 전주가 노래의 흥을 돋운다고 좋아하기도 하고, 어떤 사람들은 전주가 너무 길어서 부담스럽다고"
14,하기도 한다.
15,사실 이 점에 대해서는 아지 캉 본인들도 고민을 많이 했다고
16,"하는데, ' 아예 2004년 판과는 완전히 다르게 리 레코딩을 할 것인지, 아니면 그냥 라이브 버전을 착실하게 따라 리 레코딩을 할 것인지' 로 머리를 싸맸다고..."
17,ソルファ 리 레코딩 판이 발매되면서 싱글과는 약간 다르게 연주되었다.
18,싱글에 비해 좀 더 거칠어졌다.
19,신기하게도 2004년에 만들어 진 이 곡의 가사가 2012년부터 연재를 시작한 나 만이 없는 거리의 스토리 내용과 비슷하다.
20,"작가 산 베 케이는 아시안 쿵푸 제너레이션의 팬이 기도하며, 애니메이션과 만화에도 'Re :Re:' 라는 문구가 등장한다.Re"
21,:Re: 君を 待った 널 기다렸어
22,僕は 待った 난 기다렸어
23,途切れない 明日も 過ぎて 行って 시간도 끊임없이 흘러가고 立ち 止まって 振り 返って 멈춰서 선 돌아보곤 止めどない 今日を 嘆き 合った 멈추지 않는 오늘을 서로 한탄했지
24,"記憶だって　 永遠になんて 殘らないものとおもい 知って 기억 마저도 영원히 남는 건 아니란 걸 절감하곤 僕はずっと 搔きむしって　 心の 隅っこで 泣いた 나는 늘 머리를 쥐어 뜯으며 마음 한구석에서 울었어そしてどうかなくさないでよって 그리고 제발 잊지 말아 줘 라며 高架下、 過ぎる 日々を 고가 다리 아래, 흘러가는 나날들을 後悔してんだよって　そう 言い 逃したあの 日 후회하고 있다고"
25,그렇게 전하지 못했던
26,그날 繫ぎ 合った 時もあった 서로 이어졌던 때도 있었어ほどけない 感情持ち 寄って　それが 僕のすべてだった 털어놓지 못한 감정을 안고 다가섰던
