,sentences
0,"사전적 의미로는 재생, 부활을 뜻하는 단어. 하지만 게임 시리즈 중에서 'rebirth' 또는 ' 부활' 을 부제로 한 시리즈는 이 뜻과는 정반대로 주로 실패한 시리즈가 되고 있다."
1,"( 대표적으로 그 라디우스 IV, 펌프 잇 업 리버스 등) 저기 맨 밑에 하나 빼고 사실 킹 덤 하츠 체인 오브 메모리즈도 리버스 버전이 나왔고, 성공했다(...). 코 나미는 자사의 장수 시리즈를 옛날 냄새 나는 게임으로 제작해서 Wii 웨어로 발매했는데, 이 게임들 뒤에는 rebirth가 붙어 있다."
2,"드라 큘 라 전설 리버스, 그 라디우스 리버스, 콘트라 리버스, 3개의 작품이 있고 사라 만다 리버스는 상표 등록만 되어 있다는 중 .reverse 인지, rebirth 인지, 의미가 명확하지 않은 경우나 둘 다에 해당하는 경우.' 역( 逆), 반대의' 라는 뜻을 지는 영어 단어. 리버스 엔지니어링이나 리버스 그래 비티 등으로 서브 컬 처에도 친숙한 영단 어이기도 하다."
3,인버스 (inverse) 와 동의어이다.
4,"인버스 펀드 문서 참조. 엔진 역추진. 즉, 엔진의 일부를 변형시켜 추력을 통상의 반대방향으로 작용하게 하는 것을 의미한다."
5,일반적으로는 활주로 거리가 짧거나 노면의 상태가 안 좋을 때 짧은 거리 안에서 빨리 항공기 기체를 정지시키기 위해 착륙시 가끔 씩 쓴다.
6,얘는 리버스 만으로 토 잉 카 없이 푸쉬백이 가능하다.
7,"동인에서 쓰이는 용어. 자신이 지지하는 ( 백합, BL, HL 등을 통틀어) 커플링의 공수 위치가 뒤바뀐 커플링을 의미한다."
8,일본에서 사용하는 단어는 逆カプ 이다.
9,"역 커플링( 逆カップリング) 의 약자 .BL 동인에서 자주 쓰이는데, HL은 공수가 확실한 편이고 백합은 공수 관계가 상대적으로 희미하기 때문이다."
10,쓰이는 빈도를 비교해 보자면 BL>> 백합 >>> 넘 사벽 >>HL 정도 된다.
11,[1] 빈 도가 많다는 것은 그만큼 경계한다는 뜻이다.
12,SM 계에서 돔( 주인) 과 섭( 노 예) 이 뒤바뀐 경우를 의미하기도 한다.
13,"한편, 리버스와 비슷하게 타 커플도 있다."
14,"BL 동인들 사이에서는 총수가 흥하여 ' 수' 캐릭터의 다양한 모습을 볼 수 있는 경우가 있는데, 이때 다른 커플링(= 타 커플, 타 컾) 이 취향 밖이라는 것을 의미할 때 쓰이곤 한다."
15,AxD 를 좋아하는 동인이 타 커플을 보지 못한다고 하면 BxD 나 CxD 등 다른 캐릭터가 ' 공' 캐릭터인 경우가 취향 밖이라는 것을 뜻한다.
16,"[2] 같은 캐릭터라고 해도 동인 A×B 와 B×A 는 상호 관계의 주도권을 누가 쥐고 있는지가 다르기 때문에, 캐해석의 차이로 인해 리버스를 받아들이지 못한다고 보면 된다."
17,"리버스에 관련된 화제는 물론이고 리버스 커플링이 눈앞에 보이기만 해도 싫어하는 사람들이 대부분이라, 대체로 리버스 관련 화제는 그 사람이 볼 수 있는 공간에서는 기왕이면 피하는 것이 불문율이다."
18,리버스( 유희 왕) 참조. 리버스( 게임) 문서 참조. 리버스( 유 튜버) 참조. 해 당 문서 참조. 리버스( 카드 파이트!! 뱅가드 )를 참조. 어원은 1번과 2번 둘 다를 차용하고 있다.
19,리버스 - 더 루나 틱 테이 커 참조. 리버스( 만화) 문서 참조. 동인에서는 리버스에 신경 쓰는 경우를 곧잘 찾아볼 수가 있다.
20,공수의 개념은 캐릭터 관계의 능동성/ 수동성 또는 성관계시의 탑/ 바 텀 개념을 기반으로 한다.
21,"기본적으로 개인 성향에 따라 캐릭터의 관계를 해석하는 데에 차이가 있기 때문에, 같은 작품을 좋아하는 사람이라도 리버스 팬 덤끼리는 서로 터치하지 않는 것이 암묵의 룰이다."
22,"이에 대해 민감하게 건드리는 경우 큰 사건으로 이어지는데, 정말 갈 때까지 가는 경우가 많다."
23,"특히 해리 포터나 반지의 제왕 급으로 범세계적인 장르의 경우에는, 영어로 소통할 수 있는 팬 덤 인구가 굉장히 많기 때문에 싸움의 규모가 크다."
24,[3] 텀블러 등지에서 공수 논쟁으로 랜 선배 틀을 뜨는 광경도 심심찮다.
25,이런 곳에 멋모르고 2차 창작물을 올렸다가 리버스 팬 덤 측의 메시지 폭탄을 얻어맞기도 한다.
26,물론 남성 동인에도 예외는 있어서 공수관계를 매우 철저하게 따지는 남 덕도 볼 수 있다.
27,"특히 좋아하는 작품의 팬 커뮤니티가 여초일 경우, 공수에 대해서 본격적으로 따지기 시작한다."
28,백합이라는 장르가 예전보다 발전하면서 남성 인구가 크게 들어온 이후로 리버스에 신경 쓰는 남성 동인도 빈번하게 찾아볼 수 있다.
29,"리버스에 신경 쓰는 경우에는 대부분 HL, GL, BL 등 어떤 커플링에서도 공수관계를 중요시하므로 언급에 주의할 필요가 있다."
30,한 편 리버스에 크게 신경 쓰지 않는 경우도 있다.
31,이런 동인은 리버스가 가능하다는 뜻을 담아 ' 리 버시 블' 이라고 불리우곤 한다.
32,"리 버시 블 동인은 있는 듯 없는 듯 보이다가도 잘 안 보이곤 하는데, 그 이유는 리버스를 경계하는 팬 덤 안에서는 리 버시 블 성향을 드러내려고 하지 않기 때문이다."
33,자신은 양쪽 다 덕 질할 수 있어도 상대방이 리버스를 싫어하니까 그걸 감안해 드러내려고 하지 않는 것이다.
34,결국 계정이 더블 본 항목에는 예전에 ' 리 버시 블은 영어 배워서 서역으로 진출해야 할 정도로 엄청난 마이너다
35,' 라는 설명이 있었으나 틀린 말이다.
36,리버시블의 수는 결코 적지 않지만 좀처럼 드러내려 하지 않으므로 수가 적어 보일 뿐이다.
37,리버스에 대한 다양한 시각이 존재하는 탓에 동인과 교류할 때에는 상대방의 개인적 성향을 잘 탐색해야 서로 간에 불편하지 않다.
38,"이런 문제를 처음 접하는 사람들은 으레 서양 동인은 이렇다 든가 동양 동인은 저렇다 든가 하는 식으로 구분해서 이해하려는 경향이 강한데, 그렇게 딱 잘라 말할 수 있는 문제가 아니다."
39,사용하는 언어가 비슷하다는 것만으로 묶어 버리기 엔 너무나도 다양한 성향의 개인들이 뭉뚱그려 지기 때문이다.
40,"공수개념은 창작물 한정의 성적 판타지에 가까운 것으로, 의도적으로 캐릭터에게 역할을 설정해 주는 개념이다."
41,공수의 정의는 육체적인 쪽과 정신적인 쪽으로 나눌 수 있다.
42,"육체적인 쪽은 성관계의 삽입( 탑)/ 피 삽입( 바 텀 )으로 정의하는 것이며, 정신 적인 쪽은 상호관계에서 누가 더 능동/ 수동적 인가를 비교하여 정의한다.2010"
43,년 이후에는 대체로 육체적인 쪽으로 공수를 정의하는 경향이 강해 졌다.
44,따라서 성관계의 포지션에 따라서 공 = 탑 / 수 = 바 텀이라고 보아도 문제가 없다.
45,"정신적인 쪽으로 정의하는 경우는 상당히 드물어 졌는데, 이것은 사람마다 캐릭터 해석이 다르기 때문에 자주 혼선을 불러일으켰기 때문이다."
46,"또 한 낮 져 밤이 같은 갭 모에 가 널리 전파되면서 부터, "" 캐릭터 성격 측면에서 적극적/ 소극적이라고 해서 성관계 포지션까지 정해지지는 않는다"" 라는 식으로 캐릭터 해석이 보다 입체적인 양상을 띠게 된다."
47,무엇보다도 포지션으로 정하면 알기 쉽고 간편하기 때문에 점점 이쪽을 따르는 추세다.
48,성인 위주의 팬 덤 및 실사화 작품 (2.5D) 의 팬 덤일수록 이러한 방식으로 공수를 설정한다.
49,"이렇게 되니 다시 근본적인 질문으로 되돌아가 "" 누가 탑이고 누가 바 텀인가"" 를 따지게 되었고, 여기서 의견이 갈리는 사람들이 리버스가 되었다."
50,"바로 위 문단에서도 서술했듯 리 버시 블 팬 덤도 존재하며, 이렇게 캐릭터 해석의 성향 차이는 개개인에 따라 천차만별이다."
51,"결국 캐릭터 해석에 차이가 있다는 것이 중요하기 때문에, 이 다음부터 는 창작물에 한정하는 이야기가 될 것이다."
52,"그렇다면 리버스로 넘어가서 이야기를 해보면, ( 주로) BL에서 리버스가 크나큰 의미를 가지게 되는 이유는 무엇일까?"
53,현실에서의 동성애 관계에 대한 인식은 이성끼리의 연애관계를 기반으로 한다.
54,"현실 사회에서 이성 간의 교제가 주류에 있다 보니, "" 자주 보고 들으면서 많이 경험한 것 ""에 근거하여 비주류를 이해하고자 하는 것이다."
55,이런 경향은 적당히 비현실이 등장하고 적당히 판타지가 가미된 창작물에서 더욱 두드러진다.
56,"가설이지만, BL 물을 향유하는 층이 주로 ( 딱 히 동성애자도 아닌) 여성들이기 때문에 리버스의 의미가 크다고"
57,추측해 본다.
58,여성들은 BL 물을 보면서 이성애적 만족을 느끼려는 경향이 강해 보인다.
59,"일종의 대리 만족을 추구하는 것이기 때문에, 자신의 만족과 정확히 반대 입장에 있는 리버스에 대해 공격적일 수밖에 없다고 생각된다."
60,"특히 서양권에서는 리버스를 별로 싫어하지 않는 반면 동양권에서만 리버스를 유달리 싫어하는 경향이 엄청 강한 것으로 보여 지는데, 어쩌면 동양에 자리잡은 가부장적 사회 분위기의 부작용으로 인해 지배 성과 피지배성의 문제가 전반적으로 무의식적으로 강하게 자리잡고 있기 때문일 것으로 추측된다."
61,"[4] 공과 수라는 개념에서 현실 연애관계의 능동/ 수동적인 모습을 비춰 보는 것으로 생각되며, 따라서 공수관계를 일종의 ' 애정 역학 '으로 여기므로, 자신의 입장과 반대되는 리버스를 싫어하는 것으로 추측된다."
62,반론을 쓰자면 위의 서술은 추측에 불과 하다. 서양권에서는 리버스를 별로 싫어하지 않는다고
63,"한 부분부터 사실과 다르며, 서양이라고 리 버시 블 팬 덤만 존재하는 게 절대 아니다."
64,슬래
65,"쉬 픽션 계열의 본고장이라 할 수 있는 미국에서는 리버스에 대한 극단적인 반대 세력이 존재하며, 거대 팬 덤인 해리 포터나 반지의 제왕 같은 경우에는 크고 작은 랜 선배 틀이 수 차례 있었다."
66,따라서 가부장제 국가에서만 유달리 리버스를 싫어한다는 주장은 근거 없는 추측에 불과 하다. 애초에 가부장 제의 부작용으로 인해 지배성- 피지배성 문제가 생겼다고
67,보는 것도 부자연스럽다.
68,결론적으로 이 부분에 대해서는 간단한 설명이 힘들다.
69,"차라리 원시적 마초 이즘이나, 교제 관계를 리드하고자 하는 정복욕에 기반해 설명하는 것이 더 자연스러울 수 있다."
70,혹은 창작물 속의 캐릭터 역할에 이입하는 독자의 감정 상태와 결부시켜 생각해 볼 수도 있다.
71,"절대 장난으로 라도 BL 파는 친구에게 리버스를 언급하지 말라, 리버시블이 아니라면 비엘 러들은 대부분 굉장히 불편 해한다."
72,그만큼 리버스는 터 부시된다.
73,대체로 여덕들에게 서 공수와 리버스 문제가 첨예한 갈등을 불러일으키는 경우가 많기 때문에 교류할 때 조심하는 것이 좋다.
74,웃지 못할 이야기로 Free! 의 하루 X 마 코를 덕 질하는 여덕이 있었는데 남 덕 지인이 아이 돌 마스터의 마 코 X 하루 얘기를 했다가 친 삭을 당했다는 에피소드가 있다(...) 리버스에 대한 거부감은 자신이 생각하던 캐릭터들 사이의 관계가 틀어지는 것에 대한 거부감이다.
75,그 관계가 아주 반대로 역전되어 버렸으니 거부감이 가장 강할 수밖에 없다.
