,sentences
0,"게임 유 튜 버들 중 한명으로, 각종 게임 관련 영상들을 올리고 있다."
1,"현재는 구독자 97만 명을 돌파한 상태. 블 로그도 운영하고 있는데, 사람들에게 유 튜브만큼 널리 알려 지지는 않았지만 기 리가 이따금 씩 여는 이벤트가 블 로그에서 공지, 진행되기 때문에 구독자라면 블 로그의 존재 정도는 알고 있다."
2,이벤트가 진행될 때마다 댓 글이 달리는 수가 엄청나게 많은 것을 보면 블 로그를 방문한 사람들도 마냥 적지는 않은 것으로 추측된다.
3,현재는 블 로그가 초기화되었다.
4,국내 아크 서 바이 벌 이 볼 브드 유튜버계의 선두주자 이자 레 전드. 국내 유 튜버 최초로 멸종 모드를 클리어했다.
5,"아크 진행 기간 동안 기가 노 토 여포 [3], 알파 화염 와 이번 장 난이, 고질 라 모드의 기질 라 등 다양한 기 벤 져스 소속 아이콘들이 등장해 시청자들을 사로잡았으며, 여기에 다양한 콘텐츠들이 기 리를 아크 유튜버계의 레 전드 반열에 올려 주었다."
6,현재는 다양한 아크 전문 유튜버들의 등장과 본인의 의지로 더 이상의 아크 콘텐츠를 진행하지 않음으로서 그 인기가 조금 식었지만 그래도 웁과 함께 한국에서 아크를 유명하게 해 준 공 신임이 틀림없다.
7,참고로 아크를 초 중 딩 게임으로 만든 장본인이 기도. 각종 게임을 직접 본인 계정으로 영상을 찍어 편집해서 올린다.
8,과 금을 상당한 수준으로 한다는 것을 알 수 있다.
9,한번은 14만원 연속 결제로 카드사에서 전화가 온 적도 있다.
10,그만큼 엄청난 과 금 러 지른 게임은 쥬라기 월드: 더 게임 동영상 편집 수준이 꽤 높다.
11,"iPhone 11 Pro Max, 갤 럭 시 노트 10+, 아이 패드 프로 아이 패드 미니 기종을 사용한다 캡 쳐 보드로 촬영, 베가스로 편집을 한다고 한다."
12,영상의 화질은 1080p에 60fps 로 상당히 좋은 편이다.
13,"[4] 영상의 깔끔한 편집, 그리고 적절한 드립에 일가견이 있다."
