,sentences
0,"대한민국의 오버 워치 프로 게이 머. 前 서울 다이 너스 티의 초대 주장 이자, 서브 힐 러였다."
1,오버 워치 이전 서든 어택이나 카운터 스트라이크를 제외하면 e 스포츠에서 마이너한 장르에 가까웠던
2,FPS에서 전설적인 커리어를 쌓은 리빙 레 전 드로 꼽힌다.
3,"초등학생 때부터 카운터 스트라이크를 시작해 중학생 땐 WCG 한국 대표 선발전에 출전하는 등 FPS 와의 인연이 오래되고, 약 10년 동안 스페셜 포스 2, 카운터 스트라이크, 카운터 스트라이크 온라인을 거쳐 가 FPS에 유능하며 경력이 긴 선수이다."
4,카운터 스트라이크 1.6 시절 아마추어 임에도 강세를 보였던
5,Elysium-Cell 클 랜 출신으로 팀 중에서도 두각을 보여 실력을 인정받아 Lunatic-Hai에 영입되었다.
6,[10] 이후 스페셜 포스 2로 전향하였고 스페셜 포스 2 PC 방 토너먼트 대회에 참여하였다.
7,이 대회에서 우승해 2011년 STX SouL로부터 드래프트되어 영입되었다.
8,"저격수 포지션으로서 활약을 해 2011년, 2012년 모두 팀 우승에 기여를 했으나 2012년 스페셜 포스 2 프로리그 마지막 시즌으로 STX SouL이 해체되었다."
9,2013년에는 다시 Lunatic-Hai 소속으로 카운터 스트라이크 온라인 더 챌린지 대회에 클 랜 마스터로서 참여해 준우승을 했다.
10,2014년에 군대에 입대해 2016년 5월에 전역했다.
11,[* 공군 740 기 출신이다.
12,오버워치는 때마침 전역 하루 전에 정식 출시되었으나 기존에 하던
13,밀리
14,터리
15,FPS와는 전혀 달라 손을 대지 않았다고
16,한다.
17,6월 중순에 김 인재와 이태준에게서 어떤 게임을 할지 정하지도 않고 서도 합숙을 하자는 연락을 받았고 이후 스페셜 포스 2 출신 선수 5명이 모여 별 도의 오버 워치 대회 팀 Lunatic-Hai을 꾸려 오버워치로 완전히 전향했다고
18,한다.
19,출처 이때 이태준이 오버워치를 해야 한다고 강력하게 주장했던 반면 류 제홍은 기존에 하던
20,밀리
21,터리
22,FPS 계열 인 서든 어택 2를 하자고
23,말했다고
24,한다.
25,다행히 이태준의 전방위적인 설득으로 류 제홍도 오버워치를 시작했다고.
26,본래 아이디는 자신의 실명인 ' 류 제홍' 을 한글 그대로 썼었으나 ID를 영문으로 작성 해야 하는 OGN 인텔 APEX 대회 규정 때문에 경쟁 전 시즌 2 중반부터 영문 표기로 닉네임을 변경하였다.
27,[11] 영웅 폭과 이해도가 같은 팀의 선수들보다 조금 더 넓고 숙련도가 높은 편이라 상황에 따라 다양한 픽이 가능하다.
28,"상징이 되어 버린 아나 외에 자리야, 맥 크리는 물론 요즘엔 솔 저 겐 지 메 르시를 들고 나오기도 한다."
29,"팀의 EscA, Miro, zunba와 함께 제 1회 2016 오버 워치 월드컵 대한민국 대표로 선발되었을 만큼 국내 메이저 대회 APEX가 출범하기 전 [12 ]부터 상당한 인지도를 자랑하고 있다."
30,"본래 시즌 1 때는 자리야를 주 영웅으로 사용했었으나, 시즌 2부터 는 아 나를 주 영웅으로 사용하고 있다."
31,"아 나를 하게 된 배경은 시즌 1 때 힐 러 포지션으로 주로 루시 우와 젠야타가 선택되었으나 시즌 2 때 젠야타의 너프와 아 나의 버프로 인해 아 나가 주류 영웅으로 떠올랐는데, 정식 출시 때부터 즐겨 하던"
32,아나가 해외 대회에서 좋은 모습을 보여 주자 팀과 상의해 과감하게 포지션을 변경한 것이다.
33,다만 가끔 씩은 대회에서도 쟁탈전 맵에 있을 때와 같은 몇몇 상황에 자리야를 선택해 좋은 모습을 보여 주고 있다.
34,또 한 팀이 APEX 시즌 1 8 강에서 탈락하자 또 한 번 포지션을 바꾸어 좋은 모습을 보여주고 있다.
35,[13] 제 1회 2016 오버 워치 월드컵에서 투표로 국가 대표 중 한 명으로 선발되었으며 주 포지션은 서브 힐 러를 맡았다.
36,"국가 대표로써 엄청난 활약을 한 덕분에 아나 유저 중 제일 많이 언급되었고, 여러 해외 해 설가들이 세계 최고의 아나라고 칭찬한 바 있다."
37,"월드컵을 계기로 더더욱 인지도와 인기가 상승하였고, 인기 많은 한국 오버 워치 선수들 사이에서도 슈퍼스타 라 불리기에 부족함이 없을 정도가 되었다."
38,"그래서 많은 프로 게이 머들에게 "" 스타의 임요 환, 롤의 페 이 커"" 같은 존재가 오버워치에서는 누구냐"
39,는 질문에 류 제홍을 지목될 정도다.
40,대회 결승도 아닌 APEX 시즌 4 16 강 META 와의 대결에서 류 제홍이 개인 사정으로 빠지자 네이버 인기 검색어 4위에까지 오르기도 했다.
41,포지션은 주로 탱커와 힐 러로 활동하지만 메인 딜러 수준의 정확한 에임을 갖고 있기 때문에 아 나가 나오기 이전에는 맥 크리와 트레이서를 하는 모습도 보여줬었다.
42,실제로도 kt GiGA LEGENDS MATCH OVERWATCH BJ 리그 결승에서도 맥 크리를 사용해 상대팀을 압살한 모습을 보여주었다.
43,APEX 시즌 3 콩 판과의 결승전에서는 상황에 따라 솔 져를 들어 최강의 딜러진이라 평가 받는 콩 판의 딜러진을 상대로 엄청난 위협을 주기도 하였다.2017
44,년 더 게임 어 워드에서 선정하는 ' 올해의 e 스포츠 플레이어 상 '에 페이커와 같이 후보에 올라 시상식에 참가하였다.
45,"영상 페이커는 작년에도 후보에 올랐지만 아쉽게 수상을 못했는데, 이 사실을 안 류 제홍은 방송에서 자신의 시청자들에게 ' 한국인 수상자가 나올 수 있도록 자신과 페이커를 도와 달라' 고 했다."
46,자신이 후보에 올랐다고
47,"들었을 때, 같은 후보에 누군가가 있는 건 중요치 않았고, 그저 이런 자리에 올랐다는 생각에 더 열심히 해야겠다는 다짐을 했다고"
48,한다.
49,"결국 페이커가 수상하였는데, 페이커는 시상식 날 올스타 전에 참가해 있던 터 라 수상 소감을 영상으로 대체하였다."
50,그 자리에 페이커가 있었다면 축하한다는 말을 전해 주고 싶었다고
51,한다.
52,"어쨌든 페이커도 페 이 커지만, 후보에 오를 만큼 최고의 플레이 [14 ]를 보여준 류 제홍도 정말 대단하다고"
53,볼 수 있다.
54,[15] 우승 경력 카운터 스트라이크 온라인 2011 카스 온라인 The CLAN 정규 시즌 1 우승대회 출범 →Lunatic-Hai →Project _kr 스페셜 포스 22011 스페셜 포스 2 대한민국 PC 방 팀 토너먼트 우승대회 출범 →123- 클 랜→ 대 회 폐지 4G LTE 스페셜 포스 2 프로리그 시즌 2 우승 CJ 엔 투스 →STX SouL→ 대 회 폐지 오버 워치 2016 & 2017 오버 워치 월드컵 우승대회 출범→ 대한민국→ 대한민국 오버 워치 HOT6 APEX 시즌 2 & 시즌 3 우승 EnVyUs→Lunatic-Hai →GC Busan 서울 컵 OGN 슈퍼 매치 우승대회 출범 →Lunatic-Hai→ 종목 폐지 준우승 경력 카운터 스트라이크 온라인 2013 카스 온라인 더 챌린지 준우승대회 출범 →Lunatic-Hai→ 대 회 폐지 오버 워 치로 지텍 G 오버 워치 대회 준우승대회 출범 →Lunatic-Hai→ 대 회 폐지 오버 워치 제닉스 파워리그 준우승대회 출범 →Lunatic-Hai→ 대 회 폐지 오버 워치 APAC Premier 2016 준우승대회 출범 →Lunatic-Hai →RunAwayIEM Season XI - Gyeonggi 준우승대회 출범 →Lunatic-Hai→ 종목 폐지 수상 경력 스페셜 포스 22011-12 생각대로 T 스페셜 포스 2 프로리그 시즌 1 최고 저격 수상 김 찬수 (KT Rolster)→ 류 제홍 STX SouL→ 심 영 훈 (SK Telecom T1) 오버 워치 오버 워치 HOT6 APEX 시즌 2 & 시즌 3 시청자투표 MVP 뽕폽 라 따나 생 촛 (EnVyUs)→ 류 제홍 (Lunatic-Hai)→ 김 효종 (RunAway) 스포 2 시절 최고 저격 수상을 받았지만 메인 스나 이 퍼 영웅인 위도 우 메이커는 그 명성에 비해 잘 다루지 못한다... 라는 말이 있지만 그래도 역시 에 임이 받쳐 주다 보니 위도 우 역시도 꽤 잘 다룬다.
55,"APEX 시즌 3 Rogue 와의 경기에서 깜짝 위도 우를 들고 나와 멋진 모습을 보여주며 그 에임 실력 어디 가지 않는다는 것을 증명하였고, 아케이드에서 위도 우를 들고 30초도 안 돼서 적 다섯 명을 전원 헤드 샷으로 보 내버리기도 했다."
56,아무래도 위도 우 메이커가 타 FPS에 서의 스나 이 퍼 와 달리 조금 더 긴 줌 모션과 [60] 쉴새 없는 딜 링을 방해하는 충전 메커니즘 때문에 아나 저격에 비해서 부족해 보이는 것. 거꾸로 아 나의 저격 총은 타 FPS 게임과 유사한 메커니즘을 갖고 있기 때문에 명성에 걸맞은 실력을 보일 수 있는 것이다.
57,[61] 거점 점령 맵 등등에서 점령 후반부 진행 중 지원 가 캐릭터를 들고 있다가 솔 저로 바꿔서 뛰어오는 게 자주 보여서 빡 치면 솔 저를 든다는 이야기가 나왔다.
58,"사실 솔 저가 생체 장으로 미약하게 나 마 치유 지원이 되면서 데 미지도 좋아 적군 정리에 유리하고, 리스 폰 후 거점이나 화물까지 가장 빠르게 합류할 수 있기 때문이지 딱히 류 제홍이 빡쳐서 솔 저를 드는 것은 아니다."
59,다만 실력이 매우 좋기에 이런 말도 나오기 시작하였다.
60,"만약 다른 선수가 솔 저를 하고 있다면, 트레이서나 솜브라를 사용하는 일이 많이 있다."
61,개인방송 중에 스페셜 포스 2를 실행하곤 [62] 스나 이 퍼 라이플 패 줌 [63 ]으로 상대를 한방에 보내는 실력을 보여주며 시청자들이 경악했다.
62,"오랜 프로 게이 머 생활로 과거 기사들을 발견 할 수 있는데, 흑역사 기사들도 간간히 찾아 볼 수 있다."
63,### 외국 쪽 인터뷰에선 ' 라이유지 홍' 같은 식으로 불린다.
64,류 현진이나 류( 캡 콤) 문서에서도 볼 수 있지만 영미권은 조음 구조상 ryu 발음을 잘 못하기 때문. [64] 2017년 이후에는 ' 류 제홍' 과 거의 비슷하게 발음한다.
65,식성이 상당하다.
66,다른 팀 소속 모 프로 게이 머가 밝힌 바로는 감자탕에 공기 밥 2 그릇을 비우고 당연하다는 듯이 추가로 밥을 비벼 먹은 후 옆 테이블에서 남은 고기까지 먹었다고...
67,"본 인 역시 ""Miro"" 공진 혁, ""EscA"" 김 인재와 함께 한 인터뷰에서 가장 자신 있는 것이 무엇이냐"
68,"는 질문에 "" 먹는 거요!"
69,""" 라고 답했다.APEX"
70,"시즌 2 우승 후, 일 러스트 레이터 KKUEM으로부터 팬 아트를 받았다."
71,' 제홍의 길' 이라는 별명에 착안해 그린 일 러스트라고. # 겐 지 실력이 상당하다.
72,APEXI 5-1 회에 김 정민 해설이 대한민국 겐 지 순위를 찾아봤는데 5~7 위에 류 제홍이라는 아이디가 있었다고
73,한다.
74,"또 카르 페, 후 아 유를 1대 1에서 이기는 굉장한 겐 지 피지 컬 을 보유하고 있다."
75,"배틀 그라운드를 플레이하는데, 숨 참기를 쓰지 않고 게임을 해서 같이 큐를 돌린 이태준이 답답해 미치는 장면을 몇 번 보여준 적도 있다."
76,[65] 숨 참기를 쓰지 않음에도 불구하고 우월한 피지 컬 과 에이밍으로 그냥 다 털어 버리는 모습은 시청자들에게 충격을 가하기도 한다.
77,"NDC 강연회 1 일차에 오버 워치 테크니컬 아티스트 이학성이라는 분이 가장 좋아하는 오버 워치 선수로 류 제홍을 꼽았다 ( 참고로 이분은 아나 캐릭터 과정에 참여했다) 힐 탱 딜 다 프로 급으로 준수한 실력이다 보니 "" 류 제홍이 한 팀에 6명이면 우승한다"" 라 던가 "" 류 제홍이 1인 분 못하는 건 메 르시뿐이다"" 라는 반쯤 농담인 평가도 있다."
78,# 상술한 대로 감도를 엄청 낮게 쓰는데 이게 하나의 캐릭터에만 국한된 게 아니라 모든 캐릭터를 저감도로 사용한다.
79,"보통 높은 감도를 쓰는 캐릭터들, 특히 트레이 서를 플레이할 때 손 캠을 보면 쉴새없이, 미친 듯이 마우스를 잡고 움직인다."
80,이 모습을 본 시청자들은 ' 류 화백' 이라는 별명을 붙였다.
81,개인방송을 할 때 가끔 씩 방종 전쯤 테트리스를 키곤 하는데 엄청난 고 수라 시청자들이 매우 놀랐다.
82,보면 다른 플레이어들과 라인 처리 수가 5 배 가까이 차이 난다.
83,보면 볼수록 빨려 들어간다.
84,히어 로즈 오브 더 스톰에 아 나가 참전하게 되자 집중 조명 영상에서 류 제홍 드립이 많이 나오고 있다.
85,"오버 워치 리그 서울 팀 멤버로 발표되었지만, 사실 그 이전부터 참가가 가장 유력한 선수였다."
86,해 설가 몬 테크 리스 토가 류 제홍의 수면 총 실력에 감탄하는 트윗을 올리자 가장 먼저 댓 글로 동의한다고 댓 글을 단 게 서울 팀의 구단 주인 케 빈 추였기 때문이다.
87,오버 워치 HOT6 APEX 시즌 4 마지막 조별 리그 경기인 메타 아테나와의 경기에 불참했다.
88,처음에는 예비군훈련 때문에 못 나온 것이라는 추측들이 많았으나 [66] 나중에 본인이 집안 사정으로 인해서 일주일 정도 연습을 못하여 경기에 참가하지 못했다고
89,밝혔다.
90,경기 당일 3 세트가 끝난 후 택 티 컬 퍼즈 때 화장도 안된 상태로 급히 부스에 들어왔다.
91,그 영향이 그대로 따른 까닭인지 다음 경기인 GC Busan 전에서 부진한 모습을 보여주기도 했다.2017
92,오버 워치 월드컵 8 강 미국전을 앞두고 반삭에 가까운 짧은 머리를 보여주었다.
93,서울 다이 너스 티 팀원들과 아케이드를 하던 중 아나 한 방전에서 꼴찌를 하는 굴욕을 겪었다.
94,"1등은 준바. 트위치에 서 오버 워치 리그 채널을 구독하면 각 팀을 대표하는 영웅 스킨을 하나씩 총 12개의 어웨이 스킨을 받을 수 있는데, 서울 다이 너스 티는 아나이다."
95,#' 효자 홍' 이라는 별명을 가지고 있다.
96,"리그가 진행되는 동안 반년 가까이 한국에 오지 않았는데, 그리운 것이 무엇이냐"
97,는 질문을 받을 때마다 부모님이라 답했다.
98,한 인터뷰에서는 어버이날에 카네이션을 드리지 못하고 전화로만 인사 드려 마음이 아팠다고
99,한다.
100,"귀국 후, 휴가 기간 동안 집에서 개인방송을 하면서 간간히 들리는 부모님과의 대화 내용도 매우 예의 바르다."
101,오버 워치 리그 시즌 1 결 승전 하루 전에 열린 뉴욕 엑셀 시어 홈 커 밍 파티에 초청 받았다.
102,"적지 않은 상금이 걸린 이벤트 경기가 열렸는데, 프로 8 인( 류 제홍 외 OGE, NOTE, CWOOSH, CUSTA, AKM, SAEBYEOLBE, PINE) 의 둠 피스트 데 스매 치에서 압도 적인 점수 차로 1위를 하며 가장 먼저 예선을 통과한다."
103,"최종 경기는 메 르시 딱총 20 탄창 데 스매 치로, 예선에서 올라온 뉴요커 4명과 프로 4명이 참여했으며 당시 1 페이지에서 유일한 메 르시 모 스트답지 않게 초반에는 하위권이었으나 후반부터 집중하는 모습을 보이며 4등으로 마무리해 상금을 받았다."
104,"나중에 개인방송에서 말하길, 메 르 시 데 스매 치에서는 헤드셋도 착용하지 않았으며 상금 여부도 몰랐다 한다."
105,"오버 워치 출범 시즌 올스타 전에서 넓은 영웅 폭과 함께, 정규 시즌 중반에 이발한 후 한번도 자르지 않은 머리 스타일로 이목을 끌었다."
106,# 그러고도 몇 개월이 지난 후에 머리를 잘랐다.
107,#2017 년도 어서 와~ 한국은 처음이지?
108,"핀란드 방송 분에서 이름이 언급된 데 이어, 2018년도 같이 걸을까"
109,(JTBC )에 다시 이름이 언급되며 두 유 노 클럽에 가입했다.
110,기사 영상 초등학생 때 피아노와 바이올린의 연주법을 배웠다.
111,당시 바이올린을 더 좋아했다고.
112,지금은 활에 송진을 바르던 것만이 기억난다고 한다.
113,"마우스는 Logitech MX518 Legendary 2018[67 ]에 완전히 정착했고, 마우스 패드는 Steelseries QcK+ Heavy[68], 키보드는 REALFORCE R2 PFU Limited Edition 저 소음 균등 45g 모델 [69], 번지 대는 BenQ Zowie CAMADE, 헤드셋은 RAZER Kraken 시리즈 전용으로 출시된 고양이 귀 액세서리를 장착한 RAZER Kraken PRO V2 Quartz Edition을 사용한다."
114,예전의 날렵한 디자인의 장비 콘셉트 이 레이저 스폰을 받은 이후 클래식함과 은근한 귀여움이 더 해졌다.
115,"방송 중이거나 친한 선수들과 있을 때에는 구수한 욕설을 자주 구사하는데, 때문에 팬들은 ' 공주' 라는 별명을 붙여 주었다."
116,물론 그 공주가 아니고 ' 공포의 주둥아리' 의 약자이다.APEX
