,sentences
0,"現 아프리카 TV의 BJ. BJ로 성공하기 전, 의류 쇼핑몰을 운영한 경력이 있다."
1,"이후 의무경찰로 복무하고 [1] 제대 후 원래 운영하던 의류 쇼핑몰을 정리하고, 2011년 초에 BJ의 길에 들어섰는데, 비교적 단기간에 큰 명성을 얻었다."
2,그랬던 그는 갑자기 아프리카 TV 활동 중단 [2 ]으로 유저들에게 혼란을 주었는데 며칠 뒤 KooTV에서 방송을 시작한 것이었다.
3,"그렇게 아프리카 TV에서 영구정지 처분을 받고 KOO TV의 란 이름으로 방송을 계속하지만, KooTV가 파산하게 되며 파산 후에 다음 TV 팟으로 자신의 플랫폼을 옮겼다."
4,"하지만 다음 TV 팟은 시청자들의 후원 빈도도 적었고, 시청자 수도 전성기였던 아프리카 TV 때에 비해서는 현저히 적었기 때문에 그는 점점 몰락하게 되었다."
5,"다음 팟 활동을 하던 중, 어느 날 그는 자신의 페이스 북에 자신의 대상 수상 당시 서수 길 대표와 함께 찍은 사진을 올린다거나, 곧 좋은 소식이 있을 것 같다는 글을 올리며 아프리카 TV 복귀 설을 만들어 나가고, 결국 다시 아프리카 TV로 복귀했다."
6,효 근의 아프리카 TV 복귀방송에서 효 근은 아프리카 TV 측에서 복귀를 제안했다고
7,한다.
8,하지만 아프리카 TV에서 별다른 입장을 내놓지 않아 결국 어디까지나 당사자의 말이다.
9,그러나 2017년 초 복귀 후 예전 같지 않은 시청자의 관심에 약 5개월 만에 그는 다시 잠적하게 되고 4개월 동안 잠적을 이어 나간다.
10,"그러나 여기서 문제 되는 것은 유 튜브 채널에는 피 파 17 홍보 영상을 여러 영상을 올렸다는 점에서, 큰 비판의 목소리가 일었고, 페이스 북의 재 복귀 글에 한 시청자의 불만 표출에 도리어 그 시청자를 차단해 버리는 행동을 벌이게 된다!"
11,"그로 인해 더불어 비판 받게 되었으나, 차단을 해제한다 든지 하는 아무런 입장을 보이지 않으면서 더이상 그는 돌아올 수 없는 강을 건넌 듯 하다. 결국 그는 2017년 9월 그 해 두 번째 복귀를 하였다."
12,그러나 시청자들의 반응은 매우 냉담 .2019 년 고향인 안동에서 카페를 운영하고 있는 것으로 알려 져 있다.
13,BJ 활동은 중단 한 것으로 보인다.2011
14,년 2012년 2013년 2014년 2015년 2016년 2011 아프리카 TV 방송대상 수상자 수상부문 수상자대상현장방송 예능인[ 최 군] 우수상 보이는 라디오 김 이브님 게임방송 택 환 ★BJ 현장방송 LeM。 기미 티 시사방송 망치 부인 신인 BJ 효 근 특별상음악방송 REMIX 현우 스포츠방송 유 후¿ 토끼♬ 시청자의 선택 PD 대정령 운 영자의 선택 소년 왕 꺄 옹이 당시 시상식 사이트 2011년 2012년 2013년 2014년 2015년 2016년 2013 아프리카 TV 방송대상 수상자 시상식 날짜 2013년 12월 17일 수상부문 수상자대상게임 러너 교 최우수상 게임 양 띵 대도 서관 러너 교 모바일 게임 보드 토크 박 현 서먹 방 The 디 바음악 리 썬 즈하람 스포츠 BJ 효 짱~★ 현장 예능인[ 최 군] 주식/ 금융주식 천재 동 하시 사/ 교육 디 바 제시 카 우 수상게임 BJ 로이 조 BJ 개소주 【BJ 효 근】 메도 우이 헌 터 악어∀ 팡이요 모바일 게임 산 향해 나♡ 몬 길 토크 찬이네
15,BJ 찬 몽 키님★ 먹 방범 프리 카님 BJ 골드 쿠폰음악 데 이 Min.G 스포츠 베 텔! 난 닝 구님 현장용 느님 춤추는 곰 돌주식/ 금융주식 포커 나인 방송 천재 ㅁ ㅁ 시사/ 교육_ 이 렛* 망치 부인* 특별 상신인상 BJ 로이 조운영 자상 기타 치는 배 찌 최고의 팬 아트 [1] 제작자 : 3tttoki 모델 BJ : 양 띵 최고의 동영상 BJ 로이 조 최고의 방송 상대 도서관 러너 교양 띵 BJ 쥬 팬 더 당시 시상식 사이트 [1] 상은 제작자에게 준다.2011
16,"년 2012년 2013년 2014년 2015년 2016년 2014 아프리카 TV BJ Festival 수상자 시상식 날짜 2014년 12월 23일 수상부문 수상자 BJ 대상게임 【BJ 효 근】 콘텐츠 대상 대도 서관 Star BJ 20[1] 게임 BJ 로이 조양 띵한 손에 총 들고 대도 서관 【BJ 효 근】 악 어 ∀BJ 이상호 PD 대정령 팡이요 보라/ 먹 방범 프리 카님 윰댕 님♡ 윤 Ma 윤 마♥ 김 이브님 노래하는 코트음악 버블 디아 현장 예능인[ 최 군] 스포츠 캐스터 안 탬 파 소 타전 경시사/ 교육/ 지식* 망치 부인* 디 바 제시 카 대표 BJ 50 게임 러너 교 BJ 개소주 해물 파 전택 환♥ 비제이 랜딩방송??? 메도 우이 헌 터 롤선생 홍 방장 커 맨 더지 코 가이 코 세 글자♡ 액 시스 마이 콜 보라/ 먹 방 대세는 BJ 세야 BJ 창현 밴 쯔 셀리♥) 뿌직( 복 순♡ 요리 왕 비룡♨ 박 현서 BJ 소프 BJ 짐 캐리님 음악ε♥з 선율 데이 현장★ 소희 짱★ 춤추는 곰 돌 스포츠 청율 님 난 닝 구님 시사/ 교육/ 주식 포커 나인 BJPEI 신인상 허 윤 미★ 멋 사∀ 슈 기님 인간 젤리란 마. 특별상 이병 훈이상 훈 MC 석주일 BJ: 오작교 비제이 안 나♥ 당시 시상식 사이트 [1] 대표 BJ 50 중 선정 그는 아프리카 TV, KOO TV, 다음 TV 팟, 유 튜브 총 4개의 플랫폼에서 활동을 하였으나, 현재로서는 유 튜브와 아프리카 TV 만이 유일하다."
17,"그의 2 번째 플랫폼인 KOO TV 는 서비스 4개월 만에 서비스 종료, 3 번째 플랫폼인 다음 TV 팟은 몇 개월 만에 활동 종료 후 유 튜브로 이동하는 등 해서 결국은 아프리카 TV 와 유 튜브 만이 그의 유일하게 내세울 만한 커 리어 이다."
18,"과거에 피 파 온라인 시리즈를 전문으로 하는 BJ 들 중에서 가장 인지도가 높았으며, 특히 피 파 온라인 3 초기에는 정말 넘 사벽 일 정도로 인지도가 높았으며, 당시에는 감스트도 그보다 시청자 수가 적었다."
19,오죽하면 그의 별명이 피 파 대통령이었을까.
20,"하지만 감스트가 종합 bj로 전향하고 활약하는 현재, 둘의 인지도는 상대가 되지 않는다... 피 파 온라인 3 전문 BJ로서 2011년 신인 우 수상, 2013년 게임 부문 우 수상, 2014년 대 도서관과 함께 아프리카 TV 방송대상을 수상하는 등 피 파 유저들이라면 들어봤을 법한 유명한 방송이다."
21,그의 화제의 리액션 인 왈 왈왈 [3 ]도 여기서 만들어 진 것이다.
22,"그러나 2015년, 아프리카 TV에서 방송대상을 받고 몇 개월 만에 KOO TV로 이적하여 영구정지를 당한다."
23,"그런 데, 2016년 말 자신의 페이스 북에 올린 게시 물들 로 [4] 보아 2017년 아프리카 TV로의 복귀가 유력하다."
24,그리고 2017년 1월 2일 본인의 페이스 북을 통해 1월 8일 일요일 밤에 아프리카 TV로 복귀한다고 알렸다.
25,그리고 예정대로 1월 8일 오후 10시 경에 아프리카 TV로 복귀했다.
26,그리고 역시 첫 방은 해명방송 그래도 꾸준히 노력한 끝에 아프리카 내에서 점 점 랭킹을 올리고 있다.
27,TOP20까지 가는 게 좀 힘들어 보였으나 컨텐츠를 진행하면서 랭킹이 제법 오르게 된다.
28,원래가 피 파 온라인 시청자들이 기본 베이스가 있기에 인기는 예전 같지 않아도 고정 시청자는 꽤 많아 보인다.
29,2017년 4월 24일 기준 TOP1240 위다.
30,역시 아프리카 TV 1 기 때처럼 피 파 온라인 3만을 기본으로 진행하다가 피 파 시리즈로 옮겨 탄다.
31,그런 데 2017년 4월 27일 이후로 방송이 뜸해 진 상태이다.
32,"공지 하나 제대로 올라온 것도 없고, 휴식인지 잠적인지 도저히 알 수 없는 상태. 이로 인해 골수 팬들도 참지 못하고 등을 돌리고 말았다."
33,[5] 그럼에도 최근 개인 유 튜브 채널에 피 파 18 홍보대사 영상은 찍었다.2017
34,년 9월 9일 11시에 복귀방송한다고 공지가 올라왔고 트위치에도 본인이 복귀한다고 밝히는 영상이 올라왔다.
