,sentences
0,"피 파 온라인 4의 Afreeca Freecs 소속 프로 게이 머이며, 아프리카 TV에서 활동하는 인터넷 방송인이다."
1,"자타가 인정하는 전술의 왕으로 불리우며, 넥슨이 게임에 장난질을 치더라도 메타에 맞게 전술을 변경하며 적응하는 피 파의 전술 전문가이다."
2,전 남 드래곤 즈 1st (2019.02 ~2019.11) 아프리카 프릭스 (Afreeca Freecs) (2019.11~) 피 파 온라인 4의 대부분의 모든 선수들을 다 쓰는 편이다.
3,"지공에 굉장히 집착하지만, 그렇다고"
4,크로스나 중거리 슛에 무능한 것도 아니다.
5,EACC 대회기간이 아니라면 컨셉 팀 [3] 을 하곤 하는데 컨셉 팀 대부분의 실 축 전술을 그대로 반영하곤 한다.
6,"역시 피 온 계의 제갈량 피 파 온라인 3 때부터 잘생긴 외모, 실력 등으로 피 파 유저들에게는 많이 알려 졌었으나 아프리카 TV 와 유 튜브를 시작하고 EACC를 통해 더욱 빠르게 인지도를 얻으며 유명 해졌다."
7,"피 파 온라인 4에서 창과 방패와 같은 각종 컨텐츠에도 출연하였으며, 자타가 인정하는 피 파 온라인 4 전술 계의 투헬으로도 불리게 되면서 피 파 온라인 4의 전술 복사 부분에서 압도 적인 1위를 기록하였다."
8,2020년 2월 21일 기준으로 방송을 시작한 지 1년 반 여 만에 유 튜브 구독자가 7만명을 돌파했다.
9,최근에는 정재 영( 프로 게이 머) 와 곽 민선과 함께 ' 전술 스웨 거' 라는 이름으로 방송하였다.
10,머리카락 스타일이 자주 바뀌는 편이다.
11,신경을 많이 쓰는 듯하다.
12,안경을 쓰는데 현재 투명 테 안경을 쓰고 나온다.
13,방송 중 모자를 자주 쓴다.
14,특히 비니를 자주 쓰고 나온다.???
15,"유행어로 샤또와 "" 새우 같네?"
16,"""를 자주 쓴다."
17,진주 출신이라서 그런가 사투리가 제법 심하다.
18,골을 넣으면 호우를 자주 쓴다.
19,"[4] 딱 히 선호하는 팀은 없으며 펩 과르디 올라, 나겔스만, 클롭 등의 감독을 좋아하는 편이다.e"
20,스포츠 관련 인물 연도대회 명 순위 2014 피 파 온라인 3 챔피언십 개인전 준우승 2015 피 파 온라인 3 아시안 컵 준우승 2020 피 파 온라인 4 N.F INVITATIONAL 우승 2020 피 파 온라인 4 EACC 국가 대표
