,sentences
0,"1979년 8월 9일, 가발 업체였던"
1,YH 무역의 여성 노동자 170 여 명이 회사 운영 정상화와 근로자 생존권 보장을 요구하며 서울 마포구 도화동 신민 당사 [1 ]에서 농성을 벌였던 사건이다.
2,'YH 여공 신민 당사 점거 농성 사건' 이라고도 한다.
3,"이 사건으로 신민당 총재였던 김영삼이 신민당 총재 직무를 정지당한 뒤 결국 국회의원 직에서 제명당하기까지 했고, 나 아가 부마민주 항쟁을 촉발시켰으며, 결과적으로 10.26 사건의 도화선이 되었다."
4,"사실상 유신 공화국 붕괴의 효시 .YH 무역은 1966년 10 여 명의 사원으로 출발한 가발회사로 가발 수출의 호경기와 정부의 수출 지원 정책에 힘입어 창립 4년 만인 1970년에 종업원 3,000명의 국내 최대 가발업체, 수출 순위 15위의 대기업으로 성장하였다."
5,"그러나 YH 무역은 회사 창립자 장 용호와 그 친인척이 경영하며 미국으로 외화를 반출시키기도 하였고, 노동자를 저임금으로 고용했을 뿐 아니라 노골적인 불법 해고, 부당 전직 및 전출, 감봉 등의 행위를 자행했다."
6,회사의 처사에 견디다 못한 가발업체 여성 노동자들이 들고 일어났다.
7,"1975년 3월 담당 감독의 독단적 인사이동 등 제반 문제로 건조 반 200 여 명의 노동자들이 작업을 거부하였고, 이를 계기로 5월 24일 전국 섬유노조 YH 지부를 결성했다."
8,"이에 앞서 회사 측은 건조 반 조장이었으며 YH 노동조합 결성에 핵심적인 역할을 하던 김 경숙· 박 금 순· 이 옥자· 전 정숙 등을 해고 하였고, 최고 참인 최순영에게 강원도 하청공장으로 출장 명령을 내렸다."
9,"회사의 방해로 설립신고를 한 달 만에 겨우 마친 노동조합은 조직 강화 활동과 사내 질서 안정을 기한다는 취지로 대의원대회를 비롯한 기숙사 자치회 구성, 소 그룹활동, 교육, 수련회 등을 가지며 회사와 지속적으로 노사 협의를 시도했다."
10,노조는 1975년 12월 50% 의 상여금 지급을 성취하는 성과를 얻기도 했다.
11,"하지만 회사의 경영상태는 무리한 사업 확장 등으로 악화되어 은행 부채가 급증하였고 이에 회사는 공장 이전, 위장 휴업 등의 형태를 취하면서 노동자들을 대량 해고 하였다."
12,"이러한 사태에 직면하여 노동조합은 1978년 5월 9일 제 3차 정기 대의원대회를 개최하였고, 회사의 위장 휴업 등을 지적하면서 농성에 돌입하였다."
13,"그러나 1979년 3월 29일 회사는 결국 부채와 적자 운영, 노조의 임금 인상 요구 등의 이유를 제시하며 4월 말로 폐업한다는 공고를 붙였다."
14,"이에 따라 노동자들은 4월 6일 긴급 대의원대회를 개최하여 회사 정상 조업을 위한 대책과 사업장 폐쇄가 불가피한 상황에 대한 대비, 타업체의 인수 및 고용 승계 등 대책을 협의 키로 하였다."
15,노조는 결의문을 통해 폐업을 철회할 것을 요구하면서 문제가 해결되지 않을 경우 극한 투쟁도 불사한다고 경고했다.
16,회사나 관계 기관들은 회사 정상화의 약속을 지키지 않았다.
17,이에 노동자들은 7월 25일 긴급 대의원대회를 열어 7월 30일까지 정상화 해결이 없으면 조합원 총회를 열기로 결의하였다.
18,"7월 30일까지 아무런 해결책도 제시되지 않았고, 이에 노동자들은 7월 30일 조합원 총회를 열고 회사 정상화를 요구하며 야간 농성에 돌입하였다."
19,"노동자들의 주간 조업, 야간 농성이 계속되는 가운데, 8월 6일 회사는 일방적으로 폐업 공고를 내고, 7일에는 기숙사 식당까지 폐쇄하고, 퇴직금· 해고 수당을 8월 10일까지 수령하지 않으면 법원에 공탁한다고 공고 하였다."
20,이에 YH 노동자들은 야당인 신민당에 호소하기로 결정하였다.
21,"신민당 총재 김영삼은 이들의 호소를 받아들여 흔쾌히 신민당 사를 집회 장소로 내 어주는 한편, 당직자들을 동원해 주변을 감시하는 경찰들의 접근을 차단했다."
22,YH 무역 여성노동자 187명은 8월 9일 마포구 신민 당사에서 회사 정상화와 노동자의 생존권 보장을 요구하는 농성 투쟁을 시작하였다.
23,"8월 10일 노동자들은 긴급 결사총회를 열어 YH 무역을 은행관리기업으로 인수할 것과 장 용호 회장을 소환할 것, 기업 정상화와 생계대책을 강구할 것 등을 결의하며 계속 농성을 하였다."
24,박정희와 여권은 YH 사건 배후에 김영삼 총재가 있다고
25,확신했다.
26,신민당 당사를 40시간 동안이나 노조 농성 자들에게 내준 것 자체가 그렇다.
27,이런 와중에 신민당에 내분이 일었다.
28,조일 환 씨 등 신민당 간부 3명이 김영삼의 총재 직 당선은 무효 라며 서울지방법원에 직무정지가 처분 신청을 냈다.
29,"""1979.8 .9.10 :00 시경, YH 회사 200 여 명이 회사 내 문제해결을 요구하며 신민당 사에 집결하여 농성을 벌임으로서 발단이 됐습니다."
30,"8.10.10 :00 경, 김 계원과 김재규가 강제 해산을 결의했습니다."
31,"사람들이 투신을 하면 그물망, 매트 리스 등의 안전 장구가 있어야 하는데 당시는 숫자가 부족함으로 며칠간 연기하자는 실무자들의 건의가 있었지만 김재 규 부장의 강행 지시로 안전대책이 불충분한 상태에서 8.11.02 :00에 경찰을 투입하여 강제 해산한 적이 있습니다."
32,"” 1979년 11월 18일, 계엄군 법회의 당시 김 정섭의 진술 8월 11일 새벽 2시 1,000 여 명의 경찰이 이른바 ‘101 작전’ 을 개시하고 신민당 사에 난입하여 노동자들을 폭력적으로 강제 연행하였다."
33,"작전은 23 분만에 종료되었지만 그 23분 동안 이들을 막는 신민 당원들과 집회 참가자들에게 무자비한 폭력을 가했으며, 마음대로 건물을 부수고 사무실로 쳐들어가서 관계자들까지 닥치는 대로 연행했다."
34,"이 과정에서 김 경숙 (21, 노조 집행위원) 이 사망하고 신민당 의원과 당원, 취재 중이 던 기자, 신민당 사에서 일하던 용역, 경비들까지 경찰에 무차별 구타당하여 중경상을 입었다."
