,sentences
0,"ㅇ ㅇ님! ㅇ 개 월 구독 냥이![ 일반 구독( 과거)][ 일반 구독( 현재)][ 중 급 구독][ 고급 구독] 전 아프리카 TV의 BJ, 현 트위치의 종합게임전문 스트 리머. 트레이드 마크는 볼에 그려 놓은 토끼( 고양이) 수 염, 고양이 귀 머리띠, 코 스프 레 의상, 귀여운 말투?, 거의 모에 화에 가까울 정도로 귀여운 오 너캐??   자 세한 내용은 서 새봄/ 주 콘텐츠 문서를 의 번째 문단을의 부분을 참고하십시오."
1,  자 세한 내용은 서 새봄/ 논란 및 사건 사고 문서를 의 번째 문단을의 부분을 참고하십시오.
2,골수 와우 저이다.
3,방송 초창기 때는 와우가 주력 콘텐츠였다.
4,지금도 새해 맞이 콘텐츠로 와 돋이를 진행할 정도. 종족은 호 드로 호드를 좋아하는 스트 리머들을 접하면 동질감을 느끼곤 한다.
5,과거 목소리는 아역 배우가 하는 것처럼 굉장히 귀여웠다.
6,[59] 실제로 서 새봄 유 튜브 초창기 동영상을 보면 목소리가 지금보다 훨씬 높고 가는 것을 알 수 있다.
7,"무려 2013 새봄 시절 영상 노래 부르기가 취미이며, 방송 시작 때 최소 1 곡식은 부른다."
8,또한 가끔 씩 부르고 싶을 때나 후원 리액션으로 부르곤 한다.
9,"유 튜브에 ' 고음 주역 테스트 '를 부른 영상이 있는데, 음이 얼마나 높게 올라가는지 알 수 있다."
10,최근에는 노래 실력이 조금 늘었다.
11,방송 초기에 블 로그를 운영했었다.
12,"주제는 여행/ 일상/ 게임이 주를 이루고, 심 즈 관련 포스팅이 매우 많다."
13,심 즈 3가 현역이 던 시절엔 심 즈 3 확장 팩/ 아이템 팩에 추가된 아이템을 하나하나 리뷰하던 인지도 있는 블 로 거였다.
14,현재는 블 로그 주인의 바쁜 일정 탓에 2017년 이후 몇 달에 [60] 한번씩 아주 가끔 게시물이 올라오고 있다.
15,이탈리아 세리에 A의 축구팀 유 벤 투스의 팬이다.
16,특히 파울로 디 발라 선수를 자기 남편이라고 칭하며 애정을 드러내고 있다.
17,그래서 피 파 20 카드 깡을 할 때 매일 유 벤 투스와 아 르 헨 티나가 동시에 나오길 바라지만 소식이 없다.
18,동시에 나온 적이 있긴 하지만 그녀를 반겨 준 인물은... 이게 워낙 유명해서 인지 트위치에서는 디 발라를 느그 남편이라 칭하는 게 요즘 분위기이다.
19,즐겨 찾기에 나무 위 키와 루 리 웹이 있다.
20,루 리 웹에서 사용하는 아이디는 '2994992' 로 주로 게임 플레이 영상이나 홍보를 올리기 위해 사용하고 있다.
21,"그 외에도 다른 스트 리머들이 잘 안하는 트위터, 페이스 북에서 꾸준히 방송 일정을 공 지하는 흔치 않은 스트리머다. 풍월 량의 방송을 보며 풍월 량에게 많은 영향을 받는다고"
22,한다.
23,워낙 풍월 량과 그 시청자들이 클린하기 때문이라고. 엉덩이를 좋아한다.
24,대표적으로 좋아하는 건 겐 지 엉덩이. 틈만 나면 검색해서 경악하는 척 하면서 보여준다.
25,"겐 지 엉덩이뿐만 아니라 다른 게임을 할 때도 엉덩이를 보는 편. [61] 심지어 바탕 화면엔 팬이 선물한 리퍼 엉덩이 짤 이랑 리퍼, 맥 크리, 겐 지, 솔 져 가 팬티만 입고 있는 팬 아트가 저장돼 있다."
26,# 아이디가 뭔 가 우울하고 어두운 분위기를 풍기는데 [62] 본인이 중 2 병 시절 이렇게 아이디를 지어 놓았다고
27,한다.
28,지금은 후회 중이라고. 구 글에 이 닉네임을 검색하면 별게 다 나온다.
29,보통은 한글 자막이 있는 게임이나 국산 게임을 우선으로 하지만 한글 미지원의 기대 작일 경우 어쩔 수 없이 영어 자막을 켜고 진행하기도 하는데 이때마다 서 새봄의 매력 중 하나 인 백치미를 느낄 수 있는 기적의 콩 글 리쉬 대잔치가 열린다.
30,분위기를 보고 대충 의역하려고 노력하나 매우 취약한 영어 실력으로 한계가 많아 대부분 시청자들의 도움을 받아 진행해 나가곤 한다.
31,본인 스스로가 학창 시절 영어가 취약 과목이었음을 밝히기도 했고 약점 중의 하나이니 살짝 씩 놀리되 이 악물고 조롱하지는 말자. 최근에는 영어를 못하더라도 채팅 창의 분위기가 놀리고 비웃기보다 클린한 분위기로 알려 주는 것을 보고 가끔 씩 영어로 된 게임을 가져와도 괜찮겠다고
32,생각하였다고
33,한다.2017
34,"년 9월 30일, 상당히 많은 종류의 도 네이션 짤 방이 추가 되었다."
35,100원 /200 원 /300 원 /500 원 단위가 나누어 져 있다.2017
36,"년 10월 24일, 피자 먹 방을 하려 다가 콜라를 쏟으면서 플스, 장 패드, 키보드 등등 소중한 장비들이 막대한 대 미지를 입었다."
37,"수습 중에 키보드가 분리된 걸 발견한 건 덤. 아이마스의 팬인데, 이 때문에 머 독과 연관되어 서로 덕력 대결을 하며 견제를 하기도 한다."
38,방송을 해 가 뜰 때 까지는 하는 경우 습관적으로 새벽 5시마다 큰일을 보러 간다.
