,sentences
0,"랑께 유 튜브의 역사. [22] 버블 파이터, Geometry Dash, 오버 워치, League of Legends, 카카오 오목 등을 주요 컨텐츠로 삼는 종합 게임 유튜버다. 과거에는 아프리카 TV에서 방송을 진행했으며, 이후 트위치에서 스트리밍을 했지만 유입률이 현저히 낮아 유 튜브로 옮겨 스트리밍을 진행 중이었으며, 일부 무개념 시청자 때문에 유 튜브의 채팅 상태가 매우 안 좋은 탓에 동시 송출을 하는 중이었다가 [23] 2020년 8월 20일 생방송 부로 완전히 트위치로 넘어갔다."
1,"스트리밍 시간은 불규칙적이며, 낮부터 새벽까지 다양하다."
2,[24] 스트리밍 후 직접 편집한 영상을 업 로드한다.
3,"지오 메트리 대시, 리그 오브 레 전드, 얼 불 춤 등을 주 콘텐츠로 한다."
4,사용하는 휴대폰은 갤 럭 시 S8+ 이다.
5,"나랑 께라는 이름은 초등학교 6 학년 당시 유행했던 ""~ 랑께"" 라는 사투리에서 따왔다고"
6,한다.
7,호성성 님이 아니고? [57] 예전에 컴퓨터가 랜 섬 웨어에 감염되어서 자료가 다 날아 가버렸다고
8,한다.
9,몇 년 전에 펜 비트를 많이 했던 덕분인지 리듬 게임은 워낙 잘한다.
10,[58] 후원 시 나오는 일 러스트는 나랑께가 버블 파이터에서 자주 사용하는 캐릭터 럭셔리 라비+ 트윙 클 스타 hc 이다.
11,본인 유 튜브 채널에 있는 ' 커뮤니티 '에 근황이나 공지사항을 올린다.
12,간혹 교과서나 시험지 지문 등에 있는 캐릭터를 모에 화한 사진을 같이 올리기도 했다.
13,애니메이션은 중학교 2 학년 때 내 여동생이 이렇게 귀여울 리가 없어로 입 덕했다고
14,한다.
15,"[59] 수능이 끝나고 다시 복귀를 했고 [60] 1부로 주로 버블 파이터, 2부로 오목, 지오 메트리 대쉬를 컨텐츠로 진행했다."
16,음악은 EDM에서 프로 그레 시브 하우스 장르를 가장 좋아한다고 한다.
17,편집 프로그램은 어도비 프리미어 프로를 사용한다.
18,"[61] 초등학교 4 학년 필리핀 어학연수 때 바다를 갔는데, 누가 밀어 빠졌을 때 수영을 못해서 죽을 뻔 했다고"
19,한다.
20,[62] 도전 골든 벨 때 대놓고 주변사람의 답을 베꼈다고
21,"한다... [63] 고등학교는 문과로 [64], 대학교는 이과로 갔다."
22,[65] 대학교는 정시로 들어갔다고
23,한다.
24,대학을 다니지만 연간 소득이 일정 수준이 넘어 이미 취업처리가 되어 있다고
25,한다.
26,"요즘은 버블 파이터를 많이 방송하지 않아 지 메부터 시작, 그리고 하다가 열받으면 옵치 또는 롤 형식으로 많이 진행되고 있다."
27,[66 ]나 랑께 TV 고인물 능력시험 문제지가 있다... 영 상 다운 [67] 과거에 7 ~ 8년 동안 검도를 했다고
28,한다.2019
29,년 9월 6일은 랑께가 모태 솔로가 된 지 7000일 되는 날이다(...) 방송 중에 섹드립이 나올 때가 있다.
30,하지만 시청자 평균 연령 대가 낮아 이해를 못하는 시청자가 있다... 만 이제는 트위치로 완전히 넘어오며 무개념 채팅이 많이 사라지는 등 상황이 바뀌었다.
