,sentences
0,"양 띵 또는, 양 띵 TV가 제작, 진행하거나 플레이한 대규모 콘텐츠에 대해 서술하는 문서. [1] 기준 1 양 띵이 직접 대규모 콘텐츠로 지정한 경우 [2 ]2 중소규모로 기획되었으나 의도치 않게 대규모로 발전된 경우 [3 ]3 대규모 콘텐츠의 정규 후속 작일 경우 [4 ]4 총 진행 회 차가 10회 차 내외인 경우 [5] 위 기준 중 하나라도 포함이 된다면 이 문서에 서술된 자격이 주어진다."
1,"쉽게 설명하자면, 진행 회 차가 10회 차 내외인 모든 콘텐츠들을 말한다."
2,"단, 양 띵 이 중 규모로 지정한 경우와 퀄리티가 낮은 경우는 제외. 현재 양 띵의 대규모 & 중규모 콘텐츠는 3개의 팀이 맡고 있다."
3,"새로운 팀 - 대규모 콘텐츠 인생 상가, 인생 상가 시즌 2 제작 풀 문 팀 - 장기 콘텐츠 뉴 띵 마을 제작 닭 껍질 팀 - 중규모 콘텐츠 크라 임 띵, 대규모 콘텐츠 파산 게임 시즌 2 리턴 즈 제작 2020년 4월 23일. 생방송 노가리에서 중규모 콘텐츠와 대규모 콘텐츠의 차이를 공식적으로 발표했다."
4,"중규모 콘텐츠는 5회 차 미만, 대규모 콘텐츠는 10회 차 내외라고 한다."
5,"트위치 클립 크게 핵전쟁, 마법학교, 인생게임, 파산 게임, 공성전이 5대 대규모 콘텐츠로 분류되며 최근에는 마법학교의 여러 문제점들이 드러나면서 마법학교를 제외한 핵전쟁, 인생게임, 파산 게임, 공성전이 4대 대규모 콘텐츠로 불리우는 경우가 많다."
6,하지만 해당 문서는 5대 대규모 콘텐츠로 작성하길 바란다.
7,"이후 마법학교가 2022년까지 제작되지 않을 시, 2016 년 마법학교 4 이후 6년 간 제작하지 않게 되기 때문에, 문서에서 마법학교를 5대 대규모 콘텐츠에서 제외할 것. 대규모 콘텐츠는 주로 시청자들이 중 고등학생 임을 고려해 방학 시즌마다 자주 진행되며, 시청자 참여 콘텐츠가 대부분이다."
8,"[6] 팬들과 시청자들 사이에서 가장 인기가 높은 콘텐츠 형태이며, 아직 까지도 대규모 콘텐츠 방송일이면 항상 2~4 만명 이상의 동시 시청자 수 [7 ]를 기록할 정도로 그 인기가 높다."
9,다시 말하면 양 띵 TV에 있어 연 2-3 회 상 하반기 최고 행사 중 하나라 할 수 있겠다.
10,양 띵이 최초로 진행한 대규모 콘텐츠는 인생게임 [8] 이다.
11,"또 한 핵전쟁, 마법학교, 인생게임, 파산 게임, 공성전, 인생 상가 등 여러 콘텐츠를 진행했다."
12,[9] 2019년 초에는 처음으로 악어와의 콘텐츠 교환 방송을 통해 마크 에이지 YD를 대규모로 진행했다.2011
13,"년 시도한 인생게임 이후, 2012년 10월부터 핵전쟁 시즌 1을 시작으로 약 1~2 달에 한 번 씩 대규모 콘텐츠를 진행해 왔다."
14,그러다 2013년 겨울에 진행한 늪지대와의 합동 방송 이후 부터는 방학 시즌마다 정기적으로 대규모 콘텐츠를 진행하고 있다.
15,"양 띵의 대규모 콘텐츠의 큰 특징은 대부분 시즌 제로 진행된다는 점. 가장 인기를 끌었던 콘텐츠인 핵전쟁은 시즌 1, 시즌 2, 시즌 3, BJ vs 시청자, 핵 국지, 핵전쟁 리턴 즈, 즉 총 여섯 시즌이나 진행한 만큼 양 띵 이 콘텐츠 성공작에 대해서는 얼마나 애정이 많은지 엿볼 수 있다."
16,"이에 걸맞게 대규모 콘텐츠는 매번 양 띵의 5대 대규모 콘텐츠인 핵전쟁, 마법학교, 인생게임, 파산 게임, 공성전은 시즌 별로 진행하고 있다."
17,대규모 콘텐츠를 정기적으로 진행하기 시작한 후의 콘텐츠들은 이전에 비해 평균 진행 기간이 훨씬 길어 졌다는 특징이 있다.
18,파산 게임 시즌 1 이후 양 띵 TV 공성전을 제외한 모든 콘텐츠들은 모두 10회 차 이상 진행되었다.
19,그나마도 마법학교 시즌 4를 진행했던
20,"2015년 겨울 까지는 1주일에도 2회 씩 진행했기 때문에 기간 자체는 길지 않았지만, 1주일 1회 방송을 하게 된 인생게임 2 때 부터는 점차 계절을 초월하게 되었고 [10], 특히 파산 게임 시즌 3는 5월에 제작을 시작해 11월에 콘텐츠가 종료되는 등 최장기간을 양 띵 TV와 함께 한 콘텐츠가 되었다."
21,갈수록 규모가 거대해 지고 퀄리티가 높아 지며 콘텐츠 속에서도 즐길 거리가 다양 해져서 점차 장기 진행하는 것으로 추측된다.
22,"초기 대규모 콘텐츠 였던 인생게임, 핵전쟁, 마법학교는 공통적으로 시즌 1[11] 진행 중에 밸런스나 방송 진행에 문제를 느껴 진행을 중단하고 다시 제작하여 진행했었다."
23,[12] 이하는 핵전쟁 - 인생게임 - 파산 게임 - 마법학교 - 공성전 - 인생 상가 - 기타 순으로 서술한다.
24,양 띵 이 2012년 아프리카 TV 방송대상을 수상하는 데 아주 많은 기여를 한 콘텐츠. 뿐만 아니라 이 콘텐츠를 계기로 양 띵의 인지도가 높아 진 양 띵 TV의 레 전드 콘텐츠이다.
25,핵전쟁은 양 띵 을 1 군 인터넷 방송인의 자리에 앉게 해 준 콘텐츠라고 해도 전혀 손색이 없는 콘텐츠이다.
26,"양 띵의 전성기 시작을 열어 준 콘텐츠. 양 띵 뿐 아니라 멤버들, 팬들 역시 양 띵 TV의 레 전드 콘텐츠를 꼽으라"
27,면 항상 핵전쟁 특히 시즌 2이 언급되곤 한다.
28,"[20] [21] 총 다섯 시즌을 진행했으며, 멤 버들끼리 진행한 시즌은 시즌 3 과 핵 국지보다 이후에 방송된 리턴 즈이며, 이후 진행한 BJ vs 시청자 전쟁은 시청자 팀과, 핵 국지는 악어와 진행했다."
29,"기본적인 게임 룰을 설명하자면, 금괴로 주민을 구입한 뒤, 주민을 통해서 콘텐츠 내 화폐인 에메랄드를 최대한 확보해서 미사일을 구매한다."
30,전쟁시간에 미사일의 한 종류인 핵 미사일을 발사해 다른 국가의 땅에 핵을 터트리면 된다.
31,한 국가가 소유한 모든 땅에 핵 미사일이 터지면 그 국가는 멸망한다.
32,"자신을 제외한 모든 국가를 멸망시키면 우승. 미사일의 종류로는 핵 미사일 뿐만 아니라 빨간 미사일, 용암 미사일, 방어 미사일, 파란 미사일 등이 있다."
33,빨간 미사일은 기존의 TNT보다 조금 더 큰 규모로 터지는 미사일이다.
34,용암 미사일은 터질 때 용암과 함께 터지는 미사일이다.
35,방어 미사일은 날아오는 미사일을 방어할 수 있는 미사일이다.
36,파란 미사일은 블럭에 맞는 순간 수백 개에 가까운 작은 폭탄들이 여기저기로 퍼져 나가 얇고 넓게 터지는 미사일이다.
37,"핵 미사일이 터지면 지름 수백 개의 블럭, 기반암까지 드러나는 매우 큰 원형 구멍이 생긴다."
38,그에 따라 생기는 렉은 덤이다.
39,"미사일의 판매 가격 및 폭발 위력은 빨간 미사일< 파란 미사일< 핵 미사일 순. 폭발물 추가 모드를 이용하는데, 미사일 뿐만 아니라 던지는 폭탄, 지뢰, 연막탄, 물 폭탄 등 많은 아이템들이 추가 되어 있다."
40,"핵전쟁 시즌 1, 2에서는 이러한 다양한 아이템들을 많이 활용한 반면, 시즌 3 이후의 핵전쟁에서는 돈 낭비라는 것을 알았는지 던지는 폭탄, 빨간 미사일, 방어 미사일, 핵 미사일만 구입될 뿐 나머지 아이템들은 판매는 하지만 거의 고인 취급되었다."
41,초창기 콘텐츠라서 그런지 룰이 비교적 간단하다.
42,"그래서 허점, 빈틈이 있는데, 특히 타 BJ와 진행한 핵 국지 때는 룰이 불명확한 부분에 대해 논란이 많았다."
43,"평화시간에 PvP가 가능한 지, 전투 중에 서버를 나가는 행위가 허용되는지, 한 나라에서 동시에 두 나라에 핵 미사일 발사가 가능한 지, 만약 마지막 일차에 핵 미사일을 주고 받아서 두 땅이 모두 터져 버리면 어떻게 되는지 [22] 등에 대한 대책이 없다는 게 다소 아쉬운 부분이다."
44,"역대 핵전쟁 우승자 시즌 1 시즌 2 시즌 3BC 전쟁 핵 국지 리턴 즈 없음 양 띵 삼식, 서 넹 양 띵 TV, 보헤미안 팀 양 띵 TV서 넹 마인 크래프트에 존재하는 거의 모든 아이템을 돈으로 바꾸어 가장 많은 돈을 모으는 사람이 우승하는 콘텐츠. 상당히 간단한 룰, 평화로운 분위기와 컨셉으로 양 띵 TV 스타일에 적합 다는 평가가 많고, 그만큼 매니아층이 많은 인기 콘텐츠 중 하나이다."
45,"특히 나머지 대규모 콘텐츠들이 감정 소모가 심한 전쟁 및 전투 콘텐츠, 도박 콘텐츠다"
46,보니 평화 콘텐츠인 인생게임에 대한 선호도가 높아 지고 있는 추세이기도 하다.
47,역대 인생게임 우승자 시즌 1 시즌 1(A) 시즌 2 시즌 3 양 띵 늪지대 콩콩 콩콩 인생게임을 경쟁 콘텐츠로 전환시켜 놓은 콘텐츠로 인생게임의 업그레이드 판이라고 볼 수 있다.
48,인생게임처럼 돈을 번 후 그 돈으로 도박을 돌려 상대의 금액을 차감시킨다.
49,금액이 (-) 가 되고 10분 내에 (+) 로 회복하지 못하면 파산. 최후의 1 인을 제외한 모두가 파산될 때까지 게임은 진행된다.
50,"아이디어 및 기획은 양 띵, 파산 게임 시즌 1~ 시즌 3의 맵과 플러그인 등 시스템 제작은 화려한 팀에서 맡았다."
51,"참고로 파산 게임의 설명서 나 룰 같은 걸 읽어 보면 이걸 다 이해를 하나 싶을 정도의 치밀함과 정교함, 그리고 복잡함을 자랑하고 있다."
52,"하지만 실제로 보면 그닥 어렵지 않고, 양 띵 이 방송에서 한 말처럼 보면서 룰을 배우게 된다."
53,"인기 콘텐츠인 인생게임을 모티브로 했기 때문에 초반에는 평화로운 분위기, 도박이 시작되는 순간부터 는 마음을 놓을 수 없는 긴장되는 분위기가 펼쳐지는데, 이 덕분에 연합을 맺고 배신을 하는 양 띵 TV 특유의 정치질, 강냉이 스킬을 볼 수 있어 가장 찰떡같이 잘 맞는 콘텐츠로 평가 받고 있다."
54,"양 띵 TV 시청자 중에 크게 호불호가 갈리지 않으며, 여러모로 다음 시즌을 기다리는 팬들이 많아 최근에는 핵전쟁과 순위권을 함께 달리고 있는 레 전드 콘텐츠라고 볼 수 있다."
55,핵전쟁이 양 띵 을 1 군 인터넷 방송인의 자리에 앉혀 놓은 콘텐츠라면 파산 게임은 그 자리를 굳히게 해 준 콘텐츠라고 할 수 있다.
56,"현재 양 띵의 대규모 콘텐츠들 중 단연 1위로 꼽히는 콘텐츠이며 파산 게임은 시즌 1부터 시즌 3, 시즌 3 리턴즈까지 모두 대성한 콘텐츠이다."
57,실제로 파산 게임 시리즈는 현재 양 띵 유 튜브에 업 로드된 모든 대규모 콘텐츠 중에서 엄청난 조 회수를 자랑한다.
58,"파산 게임 시즌 2는 1 일차 1편이 120만 회 정도로 모든 대규모 콘텐츠 조 회수 1위이며, 2위 역시 파산 게임 시즌 1로, 100만 회를 넘겼다."
59,"파산 게임 시즌 3도 업 로드된 모든 회 차 조회 수가 20만 회를 넘겼으며, 생방송 시청자 수는 핵전쟁 시즌 2, 인생게임 1의 뒤를 이을 정도다."
60,현 상황에서는 치트키라고 불릴 정도로 가장 인기가 많은 콘텐츠 라 할 수 있겠다.
61,역대 파산 게임 우승자 시즌 1 시즌 2 시즌 3 시즌 3(A) 시즌 3 리턴 즈 시즌 2 리턴 즈 후추 양 띵 양 띵 악어 양 띵 팀 [35 ]TBD 핵전쟁과 더불어 인기와 역사가 상당한 대규모 콘텐츠이다.
62,아스매 지카 모드를 이용한다.
63,"준비 시간에는 마법을 학습 및 강화시키고, 숙달시키는 등 마법대전을 준비한다."
64,마법대전 시간에는 다른 학교와 토너먼트 형식으로 마법 대결을 펼치는 콘텐츠이다.
