,sentences
0,"대한민국의 前 스타 크래프트 / 스타 크래프트 2 프로 게이 머, 現 프로 포커 플레이어 및 T1 소속 방송인. 사실 스타 크래프트 리그의 시작이라고 볼 수 있는 인물들은 임요 환보다는 신주 영, 이 기석 등의 태동기 시절 게이 머들이다."
1,"또 한 팀 단위 대회에서도 임요 환의 SKT T1, 이에 대립하던 당시 KTF 매직엔 스는 反 임요 환의 상징 인물인 박 정석, 홍진 호, 강 민을 영입함으로서 팬 덤 간 경쟁 구도를 심화하며 프로리그 홍보 효과로 이득을 얻었다."
2,"전성기 시절에는 팬 클럽 회원이 60만을 기록했었고, 이후 팬 클럽 회원 수가 40만 명까지 줄어든 모습을 보면서 계속해서 자신을 쇄신해야 할 필요성을 느꼈다고"
3,하기도 했으며 실제로 보여주었다.
4,"다만 20만 명에 달하는 회원들이 "" 임요 환이 싫어서 나가겠다"" 하고 나간 건 아니고, 다음 측에서 휴면 아이디, 중복 아이디 등을 대거 정리한 등의 이유가 컸다."
5,물론 이 경우 또한 ' 팬 '으로 의미를 크게 둘 순 없으므로 마음가짐을 새로 할 동기는 될 수 있다.
6,"스타 판에서 은퇴하기 직전 팬 클럽의 회원 수는 약 45만 명. 김 가연과 혼인 신고를 2011년 2월에 이미 마쳤고, 2016년 5월 8일 결혼식을 치렀다."
7,"올드 게이 머들에게는 부득이하게 벌어지는 현상인 ' 정리되지 않는 과거 전적' 과 더불어 본인의 30 대 게이 머를 향한 의지로 떨어지는 승률과 손상되는 개인 기록 등의 현상을 모두 겪었는데, 요 환 단물을 빨고 싶었던 양대 개인 리그 주최 측은 골든 마우스 제작이나 32 강 체제, KPGA의 MSL 편입 등 자신들의 전당에 임요 환의 이름을 올려 경력을 유지하기 위해 갖은 선전을 한 바 있다."
8,"예를 들어 골든 마우스는 임요 환의 후에 그의 마지막 결승 진출이 될, So1 스타리그 2005 결승 진출로 다시금 우승을 노릴 수 있게 되자 급히 만들어 졌고, 신한 은행 배에서 임요 환이 차기 리그 진출권을 확보하지 못하고 듀얼로 떨어지자, 이번 리그부터 24 강으로 확 대라며 노골적인 임요 환 특별법을 만든 바 있다."
9,[9] MBC GAME 역시 2007년 임요 환에게 MSL 우승자 배지를 전달하며 그를 MSL 우승자 전당에 올린다.
10,"이러한 노력에도 2006 이후 임요 환의 성적 하락은 두드러져, 특례로 얻은 전적은 개인 실력 하락으로 없다시피 하다.2001"
11,"년, 2002년, 2004년, 2005년 4년 간 결승에 진출하였고, 2005년 온 게임 넷 스타리그 결승에 다시 한 번 진출하였다."
12,한동 욱은 2006년 우승 이후 2007년에 마지막으로 개인 리그에 진출한 이후로 본선에 올라간 적이 없다.
13,모 승부조작 범도 2007년 온 게임 넷 스타리그 우승을 차지했지만 2008년 이후 스타리그 36 강 진출조차 없었다.
14,"실제로 올드 게이 머들 중에 연단위까지 시간 차이를 내면서 결승에 진출한 선수는 2003년, 2004년, 2005년, 2006년, 2007년의 이윤 열, 2004년, 2005년, 2008년의 박성 준 정도밖에 없다."
15,콩라인 개념이 생겨나고 준우승을 반복하는 선수들이 생겨나자 준우승을 깔보는 경향이 강해 졌으나 온 게임 넷 스타리그에서 준 우승자는 16명 중 2위이고 임요 환 시대의 (KPGA) MSL에서도 16명 중 2위이다.
16,"결승 진출이라는 것 자체가 대단히 어려운 것으로, 진출 자체가 대단한 것이다."
17,"임요 환보다 케스 파 양대 개인 리그 결승 진출을 더 많이 해 본 선수는 이윤 열, 이제 동, 이 영호뿐이다."
18,[10] MSL에서는 얼굴도 못 비췄다는 평판이 있으나 임요 환의 최 전성기인 2001년엔 MSL이 없었다.
19,"KPGA Tour 1차부터 MSL의 전신으로 보아 MSL에 편입시키는데, KPGA Tour 1차 리그도 2002년 2월에 시작. 그리고 2002년부터 열린 MSL의 전신인 KPGA Tour에서 부터도 임요 환은 우승 1회, 4 강 1회로 온 게임 넷 스타리그에 비해 적다는 것뿐이지"
20,MSL에서도 톡톡히 활약 [11] 하고 있던 셈. 결코 전적이 적은 선수가 아니다.
21,"거기에 다가 2002년 경부터 집중해 열린 각종 이벤트 전이나 iTV 랭킹 전, 프리미어 리그에서도 결승에 진출한 경험이 있다."
22,"특히 프리미어 리그는 일반 이벤트 대회와 달리 지명도와 실력에서 상위권 선수들 만을 모아 진행한 리 그이며 상금 규모, 팬들의 주목 또한 남달랐던 대회이기 때문에 이 대회에서 결승에 진출했다는 점은 특히 고무적이다."
23,온 게임 넷 스타리그 본선 연속 출전은 9회이다.
24,"최고 기록은 송 병구, 타이 기록은 박성 준, 그리고 dlqudals & 김 택용, 이 영호 .2006 년 1월 온 게임 넷 신한 은행 스타리그 2005 16 강에서 온 게임 넷 개인 리그 본선 사상 최초로 100승을 달성.# 상대가 바로 송병 구인 데, 아이러니하게도 송 병구는 토스로서 유일하게 브루드 워 온 게임 넷 스타리그에서 100승을 달성했다."
25,"현재 e 스포츠계의 정확한 출발점을 잡을 수는 없으나, 방송 리그가 시작된 것부터가 1999년부터인 데 다가, 스타 크래프트가 1998년 나왔다는 점, 임요 환이 1.5 세대 프로 게이 머로 분류되는 점을 생각하면 1999년 경이 활동의 시작이었다고"
26,봐도 무리는 없다.
27,무엇보다 본인이 말했던 대로 2009년 당시 기준으로 30대 프로 게이 머가 되었다.
28,"사실 공식 나이에는 언제나 만 나이를 써야 하므로 실제로 30대 프로 게이 머가 된 것은 2010년이 긴 하다. 나머지 한 명은 임 재덕. 임 재덕 선수는 브루드 워, 스타 2 통합으로 봤을 때 30대 프로 게이 머 최초의 메이저 대회 우승자다.2012"
29,년 10월 부터는 슬 레이 어스의 해체로 ' 선수' 로 활동하고 있었다고
30,보기는 어렵다.
31,이후로는 아예 종목을 전환하여 새로운 출발을 하면서 의미를 되새겼다.
32,"시청률에서는 역대 온 게임 넷 스타리그, MSL, 프로리그를 통틀어 1, 2위를 마크했는데, So1 스타리그 결승전과 4 강 전이 그 것. 최고 시청률인 So1 스타리그 4 강 전의 기록은 1.73% 이다."
