,sentences
0,아프리카 TV에서 방송활동을 하는 파트너 BJ. 나이 33 세로 기혼자이며 아내와 슬하 2 녀를 두고 있다.
1,주 방송 게임은 던 전 앤 파이터이며 카시 야스 서버에서 활동한다.
2,던 전 앤 파이터 방송 하나만 9년 차인 베테랑 BJ 이다.
3,방송이 아닌 게임 활동 자체는 던 파의 극 초창기 시절부터 시작됐다.
4,"엄청난 외길 인생 던 파 이외에도 가끔 스팀게임을 하기도 하고, 게스트를 초대해 술 먹 방 및 토크쇼를 하기도 한다."
5,"인터넷 문화에도 친숙하고, 웬만하면 무슨 개 드립을 쳐도 그냥 들어주지만 당연히 아내와 딸을 엮으면 ' 차라리 날 욕하지 애먼 아내랑 딸은 왜 욕하냐"
6,' 면서 방송에서 대놓고 화를 낼 정도. 애초에 두말할 것 없이 패드 립인데 양심이 있으면 해서는 안 될 행동이니 당연하다.
7,"채팅에서 타 던 파 bj 등을 언급하는 걸 싫어하고, 그분들도 다 열심히 하시는 분들이니 비교는 하지 말라 고도 한다."
8,건빵 및 급식 충들에게 관대한 편이며 인성이 좋다고
9,알려 져 있고 여느 사건/ 사고에 거의 연관되지 않아 고정 시청자들이 많은 편. 그래서 그런지 어 그로도 별로 없고 채팅 창 환경도 나름 쾌적한 편. 과거 키 약믿 사건이 있었으나 본인의 철없던 시절 흑 역 사라며 실수를 인정하고 공개적으로 사과했다.
10,해 당 BJ를 까는 사람들은 발 컨 을 지적하거나 시간이 한참 지난 키 약믿 사건을 거들먹거리곤 한다.
11,"반성하는 모습을 인정하든, 인정하지 못하든 어떤 시점으로 볼지는 시청자의 판단이다."
12,"본 캐는 에어 비스를 닉네임으로 한 레 이븐이지만, 말이 본 캐지 다른 웬만한 부 캐들도 어 마무 시한 현질과 시간투자를 통해 종결 급 스펙에 가깝게 만들었다."
13,85 제 에 픽 조각은 만 개를 넘겼으며 90 제도 4~5 천 개는 되며 2020년 이후 100 제 헬 창 메타에서도 캐릭터들을 싹 다 종결 급 스펙으로 졸업시켜 놨다.
14,[1] 던 파하는 유저들은 이게 얼마나 대단한 던 창인지 알 수 있을 정도 .2017 년 11월 초경 오랫동안 던 파 BJ 자리를 지키며 드디어 파트너 비제이 자격을 땄다!
15,에어 비 스는 감동의 눈물까지 ..2017 년 11월 중순 경 드디어 루크 첫 졸업캐가 나왔다.
16,[2] 넨마로 졸업 기념 딜 표를 깔끔하게 찍었다.
17,#2019 년 6월 22일 현재 프레이- 이시스 레 이드 클리어 횟수가 1060회를 넘어선 상태이다.
18,2019년 3월 18일에 200회 클리어 기념 인터뷰 영상에서 본인피셜로 클리어 수 중 50~60 퍼는 부주가 했다고
19,"밝혔지만, 이 점을 감안해도 2019년 6월 현재 에어 비스 다음 가는 클리어 횟수 보유자가 800 클에 근접하고 있으니 대단 하다면 대단한 기록이다."
20,"상기했다시피 방송은 주로 던 파방송을 하는데 주로 템 귀 초대석, 대리( 봉자, 강화, 도 박탈 던 등), 룩 콘테스트 등과 던 파의 신규 컨텐츠 소개를 하며, 대리는 100이면 97은 손해, 2는 본전, 1은 이득을 본다고 할 정도로 성공할 확률이 극악인 편이다."
21,"본인은 70% 손해, 30% 이득이라고 주장하는데, 답은 대리를 맡겨 본 경험 자만이 알고 있다."
22,시청자 18 명의 안 톤 항아리를 망치고 자신의 항아리만 남은 상황에서 자 이기가 떠서 시청자가 폭동을 일으키기도 하였다.
23,헌데 2019년 6월 기준으로 제법 성공률이 높아 지는 듯한데 다 미션이 걸렸을 때 더 강해 지는 컨셉처럼 성공률도 좋은 터라
24,가끔 에어 갓을 외치기도 한다.
25,물론 이건 운이 좋아서 그렇지 실패하기도 하는 때도 있기는 하다.
26,"업데이트가 올라오면 바로 시청자들에게 알려 주기도 하고, 최근엔 시청자들이 정한 직업을 0부터 시작하여 한 달 안에 최종스펙을 만들어 루크레이드를 클리어하는 새로운 컨텐츠를 개발했다."
27,"미션에 실패하면 머리를 빨갛게 염색하고, 요구르트를 50개 먹는다고"
28,한다 2017년 하반기에는 가이아를 한 달 동안 키우고 있다.
29,이후 최근에 지갑 전사 인생 캐릭을 한 번 더 진행했는데 결과는 버서커로 선정이 되었다.
30,그나마 프레이- 이시스 레 이드를 도는 캐릭이라 증폭만 해 주면 끝나는 실정이어서 4월 달에 추가로 진행하기로 하였다.
31,증폭은 2019년 3월 28일 점검 이후 하는 걸로 정했다고
32,한다.
33,"그리고 2019년 4월 10일 밤 11시부터 50분+ 아프리카 딜레이를 고려한 10초 간 진행한 결과, 진정한 막판 1초 뒤집기로 소드 마스터에 서 엘 레 멘 탈 마스터로 바뀌는 일이 벌어졌다."
34,이후 5월에 진행했던
35,"3회 차에서는 소환 사, 최근 2019년 6월 20일 밤 11시 반에 진행했던"
36,4회 차에선 3 연속 여 법사냐
37,다른 캐릭이냐
38,로 경쟁이 붙었다가 결국은 배틀 메이지를 누르고 남 넨 마스터가 선정되었다.
39,고정된 컨텐츠보다는 고정되지 않은 컨텐츠가 훨씬 많다.
40,"패키지 판매 하루를 앞두고 장사꾼들이 어떻게 물건을 팔아 치우는 지를 알아보는 일일 장사꾼 체험 컨텐츠라든지, 뜬금없이 결투장 연승을 한다 든지 등 그 날 따라 즉흥적으로 컨텐츠를 만들어 낸다."
41,컨텐츠가 부족한 게임이다 보니 반짝이는 아이디어로 승부하는 경우가 많다.
42,9년을 계속 해 온 베테랑 BJ 여서 그런지 진행 자체에 큰 어색함은 없다.
43,가끔 씩 신규 유저( 던 린이) 들에게 캐릭터 추천이나 팁을 이것저것 설명해 주는 등 자신의 노하우를 가르쳐 준다.
44,"에어비스가 손 안 대본 캐릭이 거의 없다 보니 캐릭터의 기초적인 스킬 구성과 시스템을 어느 정도 파악하고 있다 [3]. 그러나 각주 [2 ]에 쓰여 진대로 방송 상에서 공개적으로 부주에게 대리 육 성과 레 이드 등을 약 50~60% 정도 대신 맡긴다고 말한 만큼, 모든 캐릭터를 전부 다 완벽히 이해한다고 볼 수는 없으니 주의. 다만 워낙 캐릭터가 많고 대부분 전직 방어구 마스터 리에 맞춘 90 제 에 픽을 거의 착용하다 보니 천년 셋을 낀 캐릭터들이 상대적으로 약하게 보일 수도 있는 건 주의해야 한다."
45,"에어비스의 말로는 업 글 픽을 하면 12 증폭 기준 나가라 자가 초대륙을 이긴다고 하는데, 무기만 12 강을 띄우기도 돈이 한 두 푼 깨지는 게 아닌데 방어구에 12 강도 아닌 12 증폭을 할 수 있는 유저는 극소수 일터다."
46,이후 프레이- 이시스 레 이드가 나오고 2 달 가까이 된 2019년 4월 11일 기준 보내는 캐릭터가 30개인 상태다.
47,때로는 네오플의 밸런스 패치나 업데이트를 평가하면서 일침을 가하기도 한다.
48,"대표적인 게 에 픽 정가와 초월 시스템이 비효율적이라고 했고, 유저들의 하소연을 토대로 던 파가 나아가야 할 방향을 나름 합리적으로 제시하기도 했다."
49,"최근에는 루크 싱글 레 이드 등장과 더불어 내년에 만렙 확장과 새 컨텐츠 추가를 예상했는데, 루크에 비해 운 빨 과 기간이 너무 비효율 적인 안 톤 레 이드 특산 에 픽의 문제점을 정확히 꼬집기도 했다."
50,"이후 오퍼레이션 : 호프의 지루함 예측과 최근에 이루어진 온라인 게임 결재한도 폐지에 관해서도 꽤 신빙성 있는 견해를 피력한 상태. 최근에는 불 닭볶음 면 5개 연이어 먹기, 매운 짬뽕, 디진다 돈까스 등 큰손의 휘하 아래 별 풍선 만개 야외 미션을 수행하고 있다."
51,"미션이 잠깐 하고 끝나는 것이 아니라, 계속해서 이어지는 것이 묘미. 생각보다 어려운 음식들을 완 먹하고 [4] 별 풍을 받는 모습에서 아버지의 이미지를 강하게 어필하였다."
52,"딱 히, 미션이 없어도 본인이 음식을 먹으며 이야기하는 방송 타임을 즐기는 편. 그리고 이것의 정점을 찍은 것이 매주 월요일에 고정 컨텐츠로 밀고 있는 ' 시키면 한다' 인데 2019년 6월 22일 작성 시점에서 7회 차까지 이루어졌다."
53,"카드 합성, 엠 블 렘 합성, 시청자에게 물건 전달해 주기 [5], 별 풍선 1개에도 리액션 해 주기 등등이 있다."
54,이렇다 보니 던 파 BJ 이지만 가끔 씩 타 BJ 들과 합방을 하거나 [6] 스팀 게임을 하는 등 여러 모로 노력하는 모습이 꾸준히 보인다.
55,한번씩 모바일 게임회사에 협찬을 받은 듯 뜬금없는 폰게임을 플레이하기도 한다.
56,그리고 가끔 일상 영상도 올리는데 주로 에어비스가 아이 아빠로써 아이를 키우는 모습이 담겨 있다.
57,에 버지 유 튜브 영상 편집자를 매우 잘 구했다는 말이 있다.
58,"# # 업 로드 속도가 빠른 편이고, 액기스만 편집해서 영상이 깔끔한 편이며, 무엇보다 종종 올리는 약 빤 영상이 일품. 상당한 고 퀄리티 작품이 종종 등장하며 최근엔 약 빤 영상만 모아 둔 재생 목록이 따로 생겼다."
59,영상 한 편을 만들려고 밤을 새거나 직접 녹음하여 음성 변조를 하는 등 편집자가 직접 작업 과정을 밝힌 적이 있다.
60,약 장인정신 더불어 댓 글로 종종 편집자들의 월급을 인상하라는 말이 보인다.
61,해 당 편집자가 약 빤 영상과 액 기스 영상을 올리기 시작한 뒤로 유 튜브 구독자 수가 엄청난 속도로 상승했다.
62,"영상 스타일을 보면 금방 눈치채겠지만 편집자는 두 명이며 한 명은 깔끔한 편집력, 한 명은 약 빤 편집력을 가지고 있어 분담 시너지가 좋은 편이다."
63,덕분에 목록 생성 후 반년 만에 구독자가 2 배인 4만명으로 늘었다.
64,"이후 2019년 6월 하순에 근접한 현재 79,500명을 돌파한 상태 .https: //youtu .be /5LNwDRpP3Yghttps: //youtu .be/ -pev4G0W0Cghttps: //youtu .be /kuY31IEXPP0https: //youtu .be /WZVMt6Menmw 편집자 이러다 해고 당하는 거 아닌가?https"
65,: //youtu .be /OnqJp7e _ud8 이외에도 약 빤 영상은 꽤 많으므로 직접 찾아보도록 하자. 이쯤 되면 집 지하실에 대마초 키우는 게 아닌지 검사 해봐야 한다 최근 미션 진행 도중 별 풍 4만개 이상이 터져 삭발을 하였다.
66,일명 가 오 갤 욘 두 컷 # 에게느 실사 판 암 속 토 그 다단 히트 넣고 싶다 나무 위 키에 다시 생성된 자신의 문서를 보았다.
67,# 최근 올라오는 영상들의 인트로의 반응이 좋다.
68,뿌잉 2017년 던 파 페스티벌에 BJ로서 초대되었다.
69,그런 데 관객 중에서 무작위로 공 대원을 뽑아 루크 레 이드를 도는 행사장에서 장지 [7] 와 함께 주작질을 하다 걸렸다.
