,sentences
0,"철권 7의 요시미 츠, 리그 오브 레 전 드의 볼 리 베어 등 마이너한 캐릭터를 주로 플레이하는 게임 유 튜버. 편집이 매우 깔끔하고 큰 목소리로 핵심을 빠르게 설명하는 것이 특징인 유 튜 버이다."
1,ㅇ y ㅇ의 주력 컨텐츠. 주로 비주류 캐릭터 하나에 대해 이해도가 높고 그 캐릭터만 사용한다.
2,재생 목록 기준으로 서술합니다요
3,"시미 츠 영상 피드백 [17] 이메일로 자신의 요시미 츠 플레이 영상 2~3 시간 분량을 보내면 ㅇ y ㅇ 가 습관, 잘못된 패턴 등을 집어 피드백해 준다."
4,피드백 영상은 유 튜브에 올라가며 이걸 보고 공부하는 요시 유저도 꽤 많은 모양. 신청은 겐 부 이상부터 가능하다.
5,어느 정도 이해도가 있어야 피드백을 받아들일 수 있다고.
6,"요 시미 츠에 대해 알아보자요 시미 츠 고유의 개성 있는 기술, 자세, 심리를 영상 하나 당 한 개씩 매우 자세하게 설명 해 주고 있다."
7,"지금까지 왼 어퍼, 어퍼, 신뢰 검, 요 블, 외 법 섬, 화륜, 할복, 왼 이슬, 송아지, 만자 앉기, 금 다 더 퍼/ 이카루가 영상이 올라갔으며 이중 금 타 더 퍼/ 이카루가 영상은 유 튜브에 목소리를 내고 난 이후에 시작한 거라"
8,본인 목소리가 들어 가 있다.
9,요시 유저는 왜 이렇게 게임할까?
10,"요 시미 츠 유저가 왜 이런 상황에 이런 심리를 거는지, 왜 심리가 걸리는지 설명한 영상이다."
11,영상을 보다 보면 심리 회전 설명이 게임 진행속도를 못 따라가기에 ㅇ y ㅇ 본인의 말이 충분히 빠른 데도 배 속을 낮춰 설명을 해야 한다.
12,"최종 심리는 아무튼 걸림(...) ㅇ y ㅇ 롤 하이라이트 자신의 플레이 영상을 상황에 맞는 브금, 편집을 사용하여 재미있게 편집한 하이라이트 영상이다."
13,"유 튜브를 제대로 시작한다고 한 시점 이전에도 U.R .F 리신, U.R .F 아트 록스, 사일 러스, 레 오나 하이라이트를 올렸다."
14,"ㅇ y ㅇ 본인이 롤 유저들에게 본격적으로 알려 진 영상은 바로 볼 리 베어 하이라이트로, 이 영상을 보고 ' 볼 리 베어가 저렇게 쌨다고?"
15,' 하면서 볼 리 베 어에 입문함과 동시에 ㅇ y ㅇ의 구독자가 된 경우가 상당히 많다.
16,"볼 리 베어 상대 법 시리즈 자신이 연구한 룬, 아이템 빌드, 콤 보 등을 가지고 OP 챔피언이나 자주 나오는 챔피언 상대 법을 올린다."
17,보통 6렙 이후를 많이 노리는 편이며 한번에 잡기 힘든 챔피언은 2번에 걸쳐 잡는 플레이를 자주 선보인다.
18,"예외적으로 케넨, 아 칼리 등은 적이 선을 넘지 않으면 절대 못 잡는 챔피언이라고 못박기도 했다."
19,"그리고 항상 같은 클럽 태그를 달고 있는 클럽원에게 볼 리 베어를 시키고, 본인이 샌드백 역할(..) 을 한다."
20,20.08.25 자 영상으로 레넥톤을 상대로 리메이크 이후 첫 상대 법 시리즈가 업 로드되었다.
21,단순한 챔프에서 꽤 복잡한 챔프로 바뀌어서 인지 이전보다 상대 법 영상이 꽤나 길어 졌다.
22,그런데 왜 길어 졌는지 설명한 영상에 따르면 새 편집자가 볼 베를 못해서(..) [18] 알고 쓰면 더 재밌는 우 르 프 챔피언 U.R .F 모드 단기 컨텐츠로 영상 길이가 매우 짧은 게 특징이며 사람들이 잘 사용하지 않는 숨은 우 르 프 강캐를 소개하는 게 목적인 컨텐츠다.
23,자매 품으론 단일 모드 버전도 있다.
24,다만 단일 모드 특성상 많이 만들기는 힘든 듯 하다 ㅇ y ㅇ 볼 리 베어 풀 영상 다양한 탑 챔프를 상대로 하는 영상이다.
25,주로 상대의 실수나 헛점을 낚는 법 혹은 상대 법 영상에 나오지 않은 챔피언들 킬 각 잡는 소소한 팁을 알려준다.
26,* ㅇ y ㅇ 볼 리 베어 더빙 풀 영상 vs( 챔피언) 형식으로 된 영상이 아니라 부제목도 같이 올라온다.
27,게임 내용이 좋으면 올라오는 듯하다.
28,예외적으로 김 곧 뚜 레가 그린 썸 네 일이다.
29,리메이크 볼 리 베어 영상 볼 리 베어 리메이크 전 본섭에 넘어오기까지 관련한 볼 리 베어 영상 목록이다 김 곧 뚜 레 재생 목록 이름이 김 곧 뚜 레다.
30,매월 썸 네 일 콘티와 완성 본 비교 영상이 올라간다.
31,신년 맞이 ㅇ y ㅇ 채널 새 단장 스피드 페인팅도 올라 가있 다. 자! [19] 가시죠!
32,[20] 만 바! [21] 재생의 바람과 도란의 방패를 든 볼 리 베어 에게 유의미한 피해를 줄 수 없습니다.
33,[22] 언제까지? ~~ 할 때까지 [23] 닉네임인 ㅇ y ㅇ는 자신의 본명의 자음인 ' ㅇ ㅅ ㅇ' 을 뒤집어 ㅇ y ㅇ라고 지었다.
34,"간혹 oyo 등으로 잘못 쓰이는 경우가 잦지만 본인 피 셜 바른 표기는 한글 "" 이응"" 을 사용한 ㅇ y ㅇ 하나 뿐. 하지만 본인도 편의 상 읽기는 ' 오와 이오' 로 읽는다."
35,' 이응 와이 이응' 은 너무 길다고.
36,"oyo로 보이는 것 때문에 오 요로 읽히는 경우도 꽤나 있고, 이 경우 오요 와 헷갈리는 사람도 많아 진다."
37,영상들의 썸 네 일 또한 영상 시청을 유발하며 이 그림들은 자신의 친구 이자 노예인 ' 김 곧 뚜 레 [24]' 가 그린 그림들이다 [25]. [26] 케넨 상대 법 등의 썸 네 일을 보면 상당히 퀄리티가 높다.
38,[27] 그래서 인지 시청자들의 요청에 볼 리 베어 프로 필 사진을 스피드 페인팅하는 것을 올리기도 하였다.
39,영상 편집은 모두 본인이 직접 한다고 한다.
40,"원래는 영상에 자막 정도만 들어갔지만, 몇몇 영상에 들어갔던 목소리가 상당한 호평을 얻었고 이후에는 대부분의 영상에 목소리가 함께 들어가게 되었다."
41,"이에 따라 영상 하나에 들어가는 작업량이 배로 늘었고, 방송은 진행하기 어려워 유 튜브 영상 업 로드에만 집중한다고 한다."
42,"다만 요즘은 방송도 짬짬이 하는 편. 추천 채널에 oyo, 오요, oyo life 등 자신의 닉네임과 헷갈릴 만한 채널을 달아 놓았다."
43,본인도 관련 밈을 인지하고 있는 모양. 지금은 친구인 김 곧 뚜 레 채널만 올라 가있 다 여러 유 튜브를 취미 삼아 보며 2019년 10월 이후 리그 오브 레 전드 영상에서 국제 사나이 협회 (IMA )를 언급하고 그 스타일에 맞는 자막 [28] 도 추가했다.
44,"모 스트 2, 3 번째 챔피언은 각각 말 파이트와 모 데 카이저다."
45,다만 모 데 카이저는 더 이상 자신이 없어 사실상 서브 챔피언은 말 파이트 뿐이라고. 아이 워너비 더 가 이의 팬게임 중에서 인지도가 높은 아 이워 너 킬 더 카 밀리
46,아 시리즈의 1편을 만들어 낸 인물이 기도 하다. 후속 편은 다른 개발자가 제작. 철권 유저였기 때문에 영상에 철권 관련 용어를 자주 사용하는 편이다.
