,sentence
0,"알려 진 국내 최정상 유 튜브 콘텐츠 크리에 이 터 중 1명이며 유치원생, 초등학생 저학년 학부모들이 인정하는 한국 유 튜브 내 저 연령층으로만 승부하는 자로 도티 방송의 가장 큰 특징은 순수, 클린 함이다."
1,"방송 초기부터 현재까지 모든 콘텐츠에서 욕설과 성적 발언을 거의 사용하지 않으며 [38], 10대 초 중반 학생들을 겨냥한 방송이다 보니 학교 교우관계를 고려했는지 방송 진행 시 유튜버와 고정 멤버 사이가 아닌 1:1 의 동등한 관계로 진행한다."
2,클린 함이 어느 정도냐
3,"면, 문제점 문서에는 무개념 저 연령층 팬들 로 인한 문제들을 제외하면 문제점이 거의 없을 정도로 6년 간 방송을 하면서 모욕이나 분쟁 같은 타 유튜버들이 겪는 고질적인 문제점이 거의 없다."
4,몇 년 전부터 유 튜브의 고질적인 문제인 수많은 유튜버들이 치고 박고 싸우고 문제를 일으킬 때도 도티는 클린한 방송 행보 덕에 5년 만에 큰 하락세 없이 대한민국 게임 유 튜버 최초로 200만 유튜버를 달성했다!
5,화가 나는 일이 생겼을 때 라든 가 통수를 당했을 때 욕 대신 사용하는 말이다.
6,"또, 감스트는 과거 리버풀 FC에게 리 중 딱이라는 치욕스러운 별명을 널리 퍼뜨렸고, 송 대관의 노래 유행가의 반주에 맞춰 우스꽝스러운 노래를 지어 부르면서 조롱하는데 앞장 서기도 했다."
7,"이 들은 도배를 하여 다른 테일 즈 런 너 R 유저들이 조용히 좀 하라고 댓 글을 올렸고, 심지어 이 과정에서 욕설까지 사용되었다."
8,"[138] 사람들이 잼 민 이를 욕 하는 것에 대해, 무개념 행동을 꼭 초등학생들 만 그런 게 아닌, 성인들도 많이 그러한 행동을 한다고 한다."
9,"덕분에 176만의 많은 구독자 수를 보유하고 있음에도 불구하고, 비슷한 규모의 유 튜브 채널들에 비해 꽤나 클린 하다. 간혹 보이는 무개념 시청자들도 김 블루 본인의 철저한 관리와 재치 있는 대응으로 처리하기에 별다른 문제는 없다.2015"
10,"[16] 욕설 // 같이 방송 안하는 유 튜버, 스트 리머 언급 금지 // 훈수, 도배 // 친 목, 닉 언 // 게임 강요 // 일 기 = 밴 김 블루의 트위치에서 직접 명시된 규칙을 기준으로 작성한다."
11,방송에 욕설이 거의 등장하지 않는다.
12,"욕을 재미를 유발하는 요소가 아닌, 불쾌감을 표출하는 방식으로 여기기 때문. 대신, 법규처럼 적당히 순화된 표현으로 재미를 끌어낸다."
13,"극도로 짜증나는 상황에 ' 나는 욕을 하지 않는 스트리머야 '라고 중얼거리다 마침내 한계에 다다르면, 마이크를 꺼 버리고 욕을 하는 모습을 보여준다."
14,2018년 기준으로 가끔 씩 가벼운 욕이 튀어나올 때가 있다.
15,"일반적으로 상식인 컨셉이라서 기존 게임 방송 BJ 들과는 다른 진행과 대도 서관 고유의 긍정적이고 개념 있는 인격 때문에 기존의 욕설, 막 장들 로 초 중고 학생들을 갖춘 BJ 들과는 달리 탄탄한 여성 시청층의 지지로 tv 팟에서 방송하던 시절부터 여초 사이트에서 가장 인기 많은 BJ로 알려 져 있다."
16,대도 서관은 하루에 1 자랑을 실천하고 있으며 자랑을 할 때는 말투가 능욕 말투로 조금 바뀐다.
17,"시청자들은 대도 서관이 자랑을 할 때엔 "" 뉘에뉘에"", "" 아닌데요"", "" 또 자랑이다"" 등 능숙 히 대처하며 이제는 자랑을 하면 시청자들이 역으로 능욕하는 경지까지 도달했다."
18,"비판과 사건 사고 문서에 적힌 일 때문에 게이 머들에게 욕을 먹기도 했지만, 대도 서관은 게이 머들의 입장을 대변해 주고 게임과 크리에 이 터의 인식 재고를 위해 적극적으로 활동하는 인물 중 한 명이다."
19,욕해서 죄송합니다;;;
20,"방금까지 여기 있던 우리 아빠( 엄마, 형) 가 어디 가셨지??"" ( 원래 목소리) "" 하늘나라, 하늘나라 가셨어!!!!"" ( 동물, 괴물들을 연속으로 능욕하며 죽일 때) ""2 세 방지 킥!!!!"" ( 상대방의 영 좋지 않은 곳에 발차기를 날릴 때 1)"" 알 까~ 기~!!"" ( 상대방의 영 좋지 않은 곳에 발차기를 날릴 때 2)"" 빡 퉁 치기!!!"" ( 적의 머리를 가격할 때)"" 비천어 검류... ○○ 베기"" ( 적을 검 등으로 공격할 때) 중 2 병 환자처럼 낮게 읊조리는 게 포인트"" 무지개 방어!!!"" ( 적의 공격을 막아낼 때)"" 이거 방탄 유리야!!!!!"" ( 적이 장애물에 막혀 다가오지 못한 걸 보고 능욕할 때)"" 세이 부 세 이부! 세이브 한 번만 할게요~"
21,""" (GTA 등에서 F*** You처럼 영어 욕설이 나올 때)"" 대 도서관의 < 게 임명> 이었습니다!"
22,반 또 반신 욕+ 또라이라는 뜻으로 반신 욕을 원체 좋아하며 콘텐츠를 짤 때 항상 반신 욕을 하면서 아이디어를 얻어서 나오게 된 별명이다.
23,닉네임 윤 슬하는 일 매니저 초대 양 띵 카페 부 매니저한 때는 양 띵 카페에서 시크한 매력으로 양 띵 카페를 가입한 팬들에게 인기가 많이 있었으나 양 띵 TV 제작팀 내부 고발 사건 당시 욕설 논란으로 인해 현재 양 띵 TV 관련 모든 활동을 더 이상 하지 않고 있다.
24,"2012년에 방송했던 콘텐츠인데, 서넹의 사투리나 욕설도 마다하지 않는 거 침 없는 멘트, 적절한 상황에서 나오는 BGM 등등이 정말 재미있다고"
25,이 곳에 서술되어 있는 잘못을 비롯하여 주로 양 띵 TV 마인 즈 사건 때문에 양 띵 을 향해 도를 넘는 각종 심한 욕설과 비난을 하는 악플러들이 많다.
26,"이 들은 심한 욕설은 기본, "" 양 띵"" 과 검열 삭제를 교차로 합성한 양보 띵 지라는 단어를 쓰고, 성 드립 또는 패드 립, 이상한 합성 사진 및 영상을 제작하여 업 로드를 자주 한다."
27,[111] 위의 영상이랑 비슷한 영상. [112] 양 띵 카페 악 플 러들이 양 띵 카페에 찾아와 양 띵 또는 팬들을 욕하기도 하지만 바로 스탭에 의해 영구 활동정지 조치를 당한다.
28,사진처럼 욕하고 바로 카페에서 탈퇴하는 비겁한 행동을 하는 악플러들이 있기도 하다.
29,한 욕설로 분쟁을 일으키고 있으며 현재도 계속 진행 중 [115] 이다.
30,양 띵 이 직접적으로 나오지 않았는데도 불구하고 마인 크래프트 얘기가 나오기만 하면 양 띵을 욕한다.
31,영 상주 시청층이 초등학생이 되기 전( ~2013 년 )에는 강냉이 국밥집을 차린 욕쟁이 할머니 컨셉을 자청할 정도로 욕을 많이 했다.
32,멤버들 콘텐츠에 간간히 국밥 집 할머니가 출연한 것도 이 때문. 아프리카 TV 방송국에 ' 욕쟁이 양 할머니의 강냉이 국밥집' 영상이 있는데 욕이 많아서 19 금 처리되어 있다.
33,이후 양 띵의 주 시청층이 초등학생이 되면서 양 띵 이 방송에서 사용하는 욕설과 관련해서 많은 이야기가 있었다.
34,그러다 보니 방송에서 욕을 쓰지 않겠다고
35,자 주 발언하게 되었고 결국에는 욕을 쓰지 않겠다고
36,"양 띵은 유 튜브 채널을 운영하면서 제 1회 유 튜브 뮤직 어 워드 (YTMA) 의 50 인 중 한 명으로 추천되어 뉴욕으로 간 적이 있고, 유 튜브 골드 플레이 버튼도 받았다."
37,"그리고 약 2 시간 뒤 1시 7분 양 띵 카페에 양 띵이 "" 양 띵 TV 악성 루머 및 욕설 대응에 관련하여 공지 올립니다."
38,저의 잘못이 있었기에 일이 생기게 된 것이어서 반성하고 몇 년 간 몇 차례의 사과 문과 방송도 해 오며 더 이상의 실수는 없도록 노력하고 반성하며 방송을 진행해 왔지만 시간이 지날수록 더 심 해져 가는 입에 담을 수 없는 욕설들과 사실과 다르게 부 풀어져 버린 소문들 안에서 방송을 진행하기는 쉽지 않았습니다.
39,제 안 티 커뮤니티를 운영하며 각종 루머를 만들고 입에 담을 수 없는 욕설에 저 뿐 아닌 소중한 제 주변 사람들과 저를 좋아하는 팬 분들까지 욕을 하는 것을 몇 년 간 지켜보기만 했었습니다.
40,이제는 악성 루머 및 욕설 비하에 강력한 대응을 진행하겠습니다.
41,"이제는 사실이 아닌 루머를 퍼뜨리거나 저와 제 팬에 대한 지나친 인신공격, 모욕과 욕설을 하시는 분들에 대해서는 더이상 간과하지 않고 강력하게 대응하겠습니다.did7297"
42,@naver .com 악성 루머 및 욕설 자료 스크린 샷 및 주소를 보내주시면 감사하겠습니다.
43,도가 지나친 욕이나 성 드립을 친 악플러들이 대거로 신고 받을 것으로 보인다.
44,저는 올해 10년 간 방송을 진행하면서 각종 루머와 악성 댓 글 및 허위사실 유포 및 명예훼손이나 모욕을 담은 제작 동영상 등에 변호사를 선임해 고소 진행을 단 1회 벌금형으로 마무리 지은 것을 마지막으로 더 이상의 고소를 진행하지 않았었습니다.
45,"제가 참고 참다 1회의 고소를 진행했었던 것은 여러분들에게 알려 진 제 악성 루머들이 잘못된 허위사실이고, 명예훼손으로 법적인 처벌이 가능하다는 것을 알려 드리고 싶어 몇 년 간 저를 욕하던"
46,각종 커뮤니티에 제 이야기만 있으면 욕을 하고 다른 크리에 이 터들의 채널에 가서 까지 제 욕을 해도 저는 제가 잘못을 했으니 욕을 먹어도 마땅하다 생각했습니다.
47,하지만 그 사이 루머들이 더 생겨나고 내용들에 살이 붙고 부풀려 지며 없었던 일까지 생겼고 이제는 저를 욕하는 영상을 주기적으로 제작해 업 로드하여 그 영상에 광고를 붙여 수익을 내고 있는 사람 까지도 생겨나고 있습니다.
48,"나로 인해 그 사람이, 많은 사람에게 욕을 먹을까"
49,"양 띵 님에 관해 영상이나 댓 글로 비하 및 욕설을 하신 분들 전부 14세 미만은 부모님 혹은 법적 보호자에게 민사처벌을, 14세 이상에게는 형사처벌을 변호사 선임 후 진행할 예정입니다."
50,콘텐츠 아이디어는 반신 욕을 하면서 생각한다고 한다.
51,"반신 욕 또라이 스킨이 스티브의 스킨을 개조한 것이었는데, 베타 버전의 스티브 기반인 탓에 얼굴의 수염을 입인 줄 알고 지우지 않아 여성인데도 수염이 있다."
52,[97] 하이라이트 영상 위주로 업 로드. [98] 미국 뉴욕 [99] 영국 런던 [100] 미국 로스 앤 젤 레스 [101] 말레이시아 [102] 미국 뉴욕 [103] 한국 [104] 호주 [105] 미소와 서넹만 참여한 것이며 양 띵은 없다.
53,"이는 욕설, 트롤링, 탈주, 미성숙한 프로의식 등으로 때에 따라 논란을 일으켰던 일부 프로 게이 머들과 는 확연하게 비교되는 모습이다."
54,또 방송의 욕설 감소를 위해 자체적으로 노력하는 모습을 보였다.
55,그 덕분에 방송에서는 놀라울 정도로 욕설이 깨끗이 사라졌다.
56,"( 물론 마크 에이지 4와 해신은 RPG가 주 이긴 하지만) 1년 내내 전쟁 진짜 전투민족이었다 하필 이 때가 ' 변화 없이 반복되는 일일 컨텐츠' 라며 욕을 먹고 있던 상황인지라, 일일 컨텐츠의 비중을 줄이고 대규모 컨텐츠로 롱런을 기대한 것 같지만 시청자 입장에선 ' 변화 없이 반복되는 일일 컨텐츠 → 전쟁 컨텐츠' 가 됐을 뿐이다."
57,"방송 도중에 일어난 일이라 악어 크루 전원이 분노했고, 그 중 만득은 욕설과 함께 "" 이래서 대규모 컨텐츠 만들기가 싫은 거다."
58,컨텐츠의 대한 상세한 설명은 하위 문서 참고. 본래 방송 내 욕설 규제사항은 없었으나 욕설 때문에 방송을 보는 도중에 눈 쌀을 찌푸리는 시청자들이 여럿 있었기 때문에 늪지대에서 대개혁이 일어난 2014년 중반기 부분 부터는 방송 내 욕 사용을 자제하고 있다.
59,때문에 방송 내 욕설이 거의 없는 편. 다만 핑 맨 같이 입이 거친 멤버들은 우발적으로 욕을 하는 경우가 있긴 하지만 다른 방송에 비해서 심한 정도는 아니다.
60,"이 때문에 2015년 초에 팬 카페에서는 등수놀이, 빠, 욕설 등의 행위는 전부 삭제하고 차단하겠다고"
61,[70] 특히 악어가 빠르게 탈락하거나 패배하는 상황에서는 해당 원인을 제공한 멤버를 향해 욕설과 비난이 넘친다.
62,반면에 다른 이들은 욕설과 비난이 난무했다.
63,"상대 팀 핵쟁이도 뻔뻔스럽게 그에게 비난하였고, 오히려 핵쟁이가 욕을 덜 먹는 기이한 현상이 발생했다... 이전에는 트위치보다 접근성이 편한 유 튜브에서 많은 시청자 수로 인해 미흡한 채팅 관리를 보였는데, 트위치에서도 종종 보인다."
