,sentences
0,트위치에서 게임 방송을 진행하는 스트 리머. 현재 샌 드박스 네트워크 소속으로 활동 중이며 중저음의 목소리 톤과 또박또박 한 발음을 바탕으로 게임 리뷰 콘텐츠를 전문으로 만드는 유 튜브 채널을 운영하였지만 2018년 이후 스트리머로 완전 전향을 선언하였다.2016
1,"년 유 튜브를 시작했을 당시 오버워치에 대한 관심과 홍 개의 콘텐츠 제작 능력이 맞물려 샌 드박스 네트워크에 가입하게 되고 10만 명의 구독자를 보유하게 되기까지의 기간이 채 한 달이 걸리지 않을 정도로 폭발적인 성장세를 보였지만, 개인 방송에서 유튜버로서의 활동에 대한 회의감을 표시하기 시작하고 어느 순간부터 유 튜브 활동이 점차 뜸 해지기 시작하더니... 현재는 홍 개 채널의 모든 영상이 비공개처리가 되어 있어서 남아 있는 영상이 없어 져 버렸다."
2,"[2] 하지만 2020년 4월 트위치 개인 방송에서 밝힌 바, 본업인 음악 활동에 매진하고자 방송계를 떠났었다고"
3,한다.
4,"오래 전부터 음악을 전공했으며 미디 작곡, 믹싱, 마스터링 모두 할 수 있는 프로듀서라고 한다."
5,하지만 방송에서는 자신의 음악 활동 명을 밝히거나 작업 물을 공개할 생각이 없다고.
6,홍 개의 이름은 용 개에서 유래되었다고
7,한다.
8,EE 길드 출신으로 추정. 비트 코 인이 유행하던 당시 전재산 40%를 날렸다고
9,한다(... )2018 년 1월 19일에 삭발하여 대머리가 되었다.
10,"유사 탈모 삭발한 이유는, 전부터 대머리와 탈모에 대해서 전부터 많이 놀려 왔는데, 그 영상이 탈모의 수장이라고 불리우는 노 돌리에게 전달되었다."
11,"그리고, 스트 리머 노 돌리의 탈모 노트에 적히면서 여기서 1차 플래그가 세워 졌다."
12,"그 후에, 아래 영상에서 자기가 직접 "" 이 방송을 보고 계시는 전국 탈모 협회 여러분들, 일이 커지면 반성의 차원에서 머리를 밀겠습니다.."
13,"""라고 말하여 최종 플래그까지 세워 졌다."
14,"예상한 대로, 스트 리머 노 돌리에게 간 클립들 로 인해 일이 점점 커져, 결국엔 자기가 머리를 밀겠다고"
15,선언하였다.
16,"결국 삭발이 진행되면서, 20번 이상에 절규와 혼란에 빠졌고, 최종적으로 해탈의 경지에 이 르 렀 다. 머리가 다시 자라서 더 이상 그 얘기는 자제해 달라고 한다.2018"
17,년 1월 23일 본인의 트위치 생방송 발언 중 유 튜브를 시작한 계기는 핑 맨 이라고 밝혔다.2018
