,sentences
0,자기 소개게임 영상 올리는 사람 [12] 아무 생각 없이 보기 좋은 스☆ 낵☆ 무- 비 [13 ]No idea see like snack movie[14] 주로 약간 매 운 리그 오브 레 전드 영상을 올리는 유 튜 버이다.
1,"과거에 아프리카 TV에서 활동하거나, 웃긴 대학 등 여러 유머사이트에 자신의 탈론 플레이 편집 영상을 올리면서 유명 해지게 되었으며 이후 현재 채널 좀비 왕 소속으로 유 튜브를 중심으로 활동을 하기 시작한다."
2,과거에는 텔 론 스스로 편집하고 업 로드하였으나 현재는 편집자들이 편집해 준다.
3,"물론 지금도 몇몇 영상들은 자신이 직접 편집하며, 트위치에서 편집 생방송을 하기도 한다.2016"
4,년 5월 30일 20만 명을 달성했다.2017
5,년 1월 26일 구독자 24만 명 감사 영상을 올렸다.2019
6,년 3월 24일 구독자 60만 명을 달성했다.2019
7,년 7월 5일 구독자 70만 명을 달성했다.2019
8,년 10월 18일 구독자 80만 명을 달성했다.2020
9,년 1월 29일 구독자 90만 명을 달성했다.
10,"[15] 설명하듯이 주로 업 로드 하는 영상은 리그 오브 레 전드 관련 영상. 이름의 어원은 텔 든 탈론. [16] 이름부터 엄청 솔직해 보이는 "" 상 대법 시리즈""( 이하 존나 진지한 탈론 vs□□□ 상대 법) [17] [18],"" 스낵 무비"", [19]"" 븅 딱 무비"" [20 ]를 올리고 있으며 탈론이라는 챔피언에 대해 상당한 애정이 있는 것 같다."
11,애정이 생긴 이유는 본인이 카레를 매우 좋아해서 라고 했다.
12,[21] 대부분의 챔피언에 대하여 능동적으로 대처하는 모습을 보인다.
13,가령 극 카운터인 다리 우스의 경우 탑에서 답이 안 나오자 로 밍 위주의 플레이를 펼치는 예가 대표적. [69] 탈론 장인이라고 불렀던 전성기 시절 [70 ]에는 엄청난 실력을 선보인 적 있다.
14,또 한 존나 진지한 □□□ 상대하는 법이라는 영상도 올리며 탈론 이외의 챔피언 운영 법도 알려주고 있다.
15,[71] 동 영상을 만들 때 적절한 브금을 까는 점도 재미 요소 중 하나. 라인 전에서 갱 킹을 당해 죽은 암울한 상황에서도 뜬금없는 브금을 깔아 그 상황을 희화화 시켜 재밌는 상황으로 만들기도 한다.
16,본인 목소리도 나쁘지 않은 지 자기 목소리를 통한 효과음 예↗ 후↘! 를 자주 써먹기도 한다.
17,또 한 갈매기 소리 끼 룩를 상당히 잘 내는데 이 소리도 동영상에 자주 이용한다.
18,다만 본인 목소리에 자신감이 많았는지 직접 본인 동영상을 더빙 해보았지만 영 좋지 못한 평을 듣기도 했다.
19,유 튜브 시청자들 과도 잘 소통하는 편이다.
20,거의 모든 영상에 2개 이상 글을 올리며 자신을 언급하는 글에는 웬만하면 다 답 글을 달아 주는 편이다.
21,유 튜버 금시 르의 ' 흔한 노 말 겜' 시리즈를 보고 영감을 받아 영상 제작을 시작했다고
22,한다.
23,다만 Kshaway의 Very Serious Montage 시리즈와는 관련이 없는 듯. 텔론이 직접 밝히 길 존나 진지한 시리즈를 시작하고 갓샤웨이를 알게 되었다고
24,한다.
25,구독하면 티버가 콧구멍을 파 주는 듯하다 죠죠
26,애니 판 2부 오프닝과 오라 오라 러 쉬 브금으로 보아 죠죠
27,러라는 오해를 받기도 했으나 아니었다.
28,"본인 왈, 죠죠"
29,는 안 보지만 오라 오라는 안다고 한다.
30,우는 천사에 대한 소개 영상을 올려서 닥터 후의 팬인 것을 인증했다.
31,여자친구가 있었으나 헤어지고 새로 만나는 여자친구가 있다고
32,한다.2016
33,년 4월 21일 롤을 접는다는 발언이 담긴 영상을 유 튜브에 업 로드했다.
34,"롤을 접는 이유로, 헬 퍼의 난립, 그로 인해 더 이상 의미가 없어 진 티어, 라 이엇 코리아의 반응으로 인해 롤이라는 게임에 많이 실망했다고"
35,했으나 댓 글에는 롤을 정식 컨텐츠로 삼지는 않지만 아예 롤에 손을 뗀 것은 아니라고 텔론의 댓 글이 올라왔다.
36,4월 22일 우 르 프 스페셜이 올라왔다.2016
37,"년 5월 1일 유 튜브에 자신의 속마음과 고민을 털어놓고, 그동안 시청자들에게 큰 혼란을 준 것에 대해 사과하는 영상을 올렸다."
38,롤 컨텐츠는 올리되 롤을 좀 까는 방향으로 올릴 것이라고 의사를 밝혔다.
39,top 10은 계속 올릴 예정이라고... 이 담화에서 자신이 아직 군대를 안 갔다왔으며 조만간 갈 예정이라고 한다.
