,sentences
0,"이 호진 대한민국의 前 리그 오브 레 전드 프로 게이 머 이자 現 아프리카 TV BJ. 소드가 리 빌딩 될 때 신 동진 대신 들어온 정 글러로, 마스터즈에서 오뀨와 함께 데뷔하였다."
1,"아마추어 시절 랭킹 2위에 올라 운 더 플레이어, 특히 기이한 픽으로 게임을 승리하는 것으로 유명했다."
2,"일반적인 루트였던 입단 후 소기의 연습생 생활을 거치지 않고 바로 프로 생활로 입문했던 탓이었던지, 나 진 블랙 소드에서는 나름 불안불안한 요소와 잠재력을 동시에 지닌 정글 러였었다."
3,하지만 이후 GE Tigers에서 프로 세계에 적응하고 안정감을 겸비하여 팀의 강력한 전력으로 탈바꿈하였다.
4,"특히 팀 내 MVP 1위로 팀의 1 라운드 단독 1위를 이끌었고, 2015 SBENU LoL Champions Korea Spring 준우승과 2015 SBENU LoL Champions Korea Summer 3위를 달성하였다."
5,이후 롤 드컵에 진출해 2015 롤 드컵에선 모두가 이 팀이 과연 패할까에만 관심이 있었을 정도로 전력이 강했던 부동의 최강 팀을 상대로 제대로 고춧가루를 뿌리면서 준우승을 일궈 내며 Tigers의 옐로 로드를 이끌었다.
6,메카닉이 우수하고 갱 킹 성공률이 대단히 높은 육식 정글 러이다.
7,심지어 최악의 슬럼프였던 잿불 거인 메타 초기에도 누 누를 꺼 내들어 탑 갱을 성공시키는 모습을 보여주었다.
8,"다만 메카닉도 메카닉이지만 팀원 과의 어 그로 분배가 중요한 2~3 인 타워 다이브 능력은 좋지 못한 편으로, 상대가 작정하고 타워에 허 깅하면 존재 감이 추락한다는 평가도 있다."
9,"[19] 대신 그래서 코리안 탑신 병자의 하드 카운터 다 [20] 잘 쓰기로 유명한 챔피언으로 역시나 갱 킹 성능이 좋은 리 신, 이 블 린, 엘리스가 있으며, 단 한 번 사용했던 판테온도 상당히 인상적이었다."
10,대신 갱 킹보다 운영이 중요한 세주 아니나 누 누 플레이는 그에 따라가지 못했던 수준으로 평가 받기도 한다.
11,그래서 몬 테크 리스 토는 정글 아이템 용사에 맞는 정 글러라
12,평하기도 했다.
13,성장보다는 갱 킹과 커버 위주로 플레이하는 스타일이기 때문에 성장에 치중하는 타입의 정글 러와는 상성이 좋지 못했다.
14,"다만, 중 체 정 정글 러들과 나머지 지역의 한국 맹주들인 더 협곡과 더 술통 같은 정글 러들이 그럼에도 높은 평가를 받는 이유는 공격적인 플레이를 일삼으면서도 갱 실패시 귀신같이 카 정 등으로 복구하며 레벨 링을 따라간다는 것인데, 호진은 그런 성장력이 다소 떨어졌다."
15,( 물론 이는 어디까지 나 s 급 정글 러 와의 비교에 한할 뿐이다.)
16,"특히 레인 오버 급으로 던지지는 않았기에 레인 오버에게는 자주 이겼다 이로 인해 KOO의 정글 러들은 길을 잃으면 탑으로 간다는 이야기가 유명한 데, 팀 플레이 스타일이나 오프 더 레코드를 보면 스멥이 플 레 임 급으로 지원 핑을 찍는 스타일은 아니었으므로 그냥 호진의 수싸움 능력이나 변수 생성능력이 다소 떨어진다는 것으로 이해하면 되겠다."
17,다만 낮은 성장치에도 불구하고 한 타에서는 신기하게 제 몫을 다하는 편이었다.
18,"KOO가 워낙 한 타에서 열세인 조합으로도 뒤집어엎는 기적의 한 타를 몇 번 보여줬는데 [21], 이는 서 폿 고릴라와 호진의 감각 적인 이니 시와 탱킹이 뒷받침되었기 때문이다."
19,다만 멘 탈이 그렇게 까지 좋지는 않은 편이라 어느 선을 넘으면 나 진 소드 시절이 떠오르는 급격한 쓰로잉을 보여 주기도 하였다.
20,"우승 기록 리그 오브 레 전드 IEF 2014 우승 [22 ]Xenics Storm→ 한국 대표 팀 [23] →IEF 2015 우승팀 준우승 기록리그 오브 레 전드 2015 SBENU LoL Champions Korea Spring 준우승 Samsung Galaxy Blue→GE Tigers→kt Rolster 리그 오브 레 전드 2015 시즌 월드 챔피언십 준우승 Royal Club→KOO Tigers→Samsung Galaxy 한 때 몸무게 110kg까지 찍어 봤을 정도로 건강관리가 잘 안돼서 노안소리를 많이 들었지만, 성공적인 다이어트와 관리로 인해 외모가 최근 훈훈 해졌다는 소리를 많이 듣는다."
21,탈모가 있어서 오후 3시에 탈모 약을 복용한다고 한다.
22,머리를 심었다고
23,한다.
24,영국 유학 파여서 영어가 상당히 능통하다.
25,응 6개월 클 템이 추천한 영어가 되는 잘하는 프로 중 하나. 한식 요리사 자격증도 있다고
26,한다.
27,그러나 최근에는 요리 잘 안 해먹는다고.
28,프로 게이 머를 하기 전에는 아프리카 TV 1 세대 메이저 BJ 들의 방송을 대부분 시청했다고
29,한다.
30,"아마추어 시절 때 리신으로 유명했으며, 블 리 츠 크랭크로 랭킹 2위까지 찍어 봤다고"
31,한다.
32,"외국 서버에서 슈퍼 계정으로 PAX 트페 스킨을 사용하면 외국인들이 Who are you? 라며 물어 보는 경우가 많았는데, 그걸 이용하여 어 그로를 끌고 다녔다고"
33,한다.
34,"프로 게이 머의 시작과 끝을 미드, 정글로 쿠로와 함께 했다."
35,본인 말로는 쿠로에게 애정이 깊다고
36,한다.
37,롤 드컵 대회에서 룬을 실수로 든 적이 있다고
38,한다.
39,"자크를 픽 했는데, 실수로 누 누룬 을 들었다고"
40,한다.
41,결과는 어 땠을지... ㅈ ㅈ 근데 15 년 롤 드컵에서 자크한 거면 프나 틱 전 아녀? 만약 15 년도 롤 드컵에서 우승을 했다면 은퇴하지 않았을 것이라고 한다.
42,몸값이 얼마가 더 올랐을 텐데노페가 썰을 풀었을 때 선수 중에 가장 미친놈이 호진이라고 했다.
43,명 불허 전 조 토 진유 튜브 편집자는 꿀 탱탱 유 튜브 편집자와 같은 편집자이다.
44,두 유 튜브 다 하이라이트가 굉장히 꿀 잼이다.2018
45,"년 8월 21일, 문화 체육관광 부와 한국 콘텐츠 진흥원 소재의 e 스포츠 명예의 전당에 선정되었다."
46,별명 조 토 진이 화제가 되었다.
47,이름이 이 호진이다 보니 이 분과 관련된 드립이 많이 나오는 중이다.
48,아이고 호지나 실제로 OP.GG에서는 Ho Jin Lee가 라일락의 아이디인 줄 알고 IM 팀에 속해 있다고
49,적어 놓았다.
