,sentences
0,前 아프리카 TV BJ 이자 유 튜브와 트위치 스트리머로 활동 중인 전 게 리 모드 전문 인터넷 방송인이다.
1,다수의 크루 원들과 함께 방송하는 형식을 취하고 있었으나 현재는 가이 코가 크루 원들의 사정 등으로 인해 1 인 방송으로 체제를 바꾼 탓에 합방도 크루 원들과 방송을 한다는 것보단 게스트 신분으로 참여하는 스트 리머들 끼리의 합방을 한다.
2,"2017년 5월 16일이 아프리카 TV에서의 마지막 방송을 했고, 2017년 5월 17일부터 는 트위치만 송출을 하고 있다."
3,2017년 9월 19일 이후에는 트위치 파트너 계약을 해서 유 튜브 스트리밍을 중단했다.
4,2018년에는 해외 MCN 업체인 콜 랩과 소속 계약하였다.
5,가이 코라는 닉네임의 어원은 Guy + Korean. 자캐로는 오드 아이( 빨강+ 초록 )에 고 글( 빨강+ 초록) 을 씌운 캐릭터를 사용하며 게 리 모드 상에서는 주로 텔 레 토비에 고 글( 빨강+ 초록) 을 씌운 PAC를 사용한다.
6,예전에는 빨강+ 파랑의 조합이기도 했지만 요즘은 빨강+ 초록( 또는 초록+ 빨강 )으로 굳어졌다.
7,한 때 텔 레 토비 머리에 머리카락을 씌우기도 했었다.
8,울산 사람인지라 약간 사투리가 배어 있다.
9,그 영향을 받았는지 일부 멤버는 서울 출신임에도 불구하고 사투리를 사용하기도 한다.
10,또 한 본인은 상당히 정이 있는 사람이라고 한다.
11,"별명은 게이코( 변 태 코). [6] 본격적으로 트위치에서 캠을 킨 이후에는 통장, 돼 장 등. 이 문서에 있던 유명 발언 문단을 No Brand( 크루) 문서로 2018년 7월 29일에 옮겼다."
12,아프리카 TV 방송을 시작하기 전에는 주전자 닷컴에서 오랫동안 플래시 창작활동을 벌였다.
13,아직 그의 작가 방은 존재하지만 당시 아프리카 TV BJ( 현재 트위치 스트 리머) 로 활동하고 있어 주전자 닷컴에서의 활동은 그만둔 상태이다.
14,그리고 본인은 4주년 기념 방송 때 이와 관련된 영상을 보고 흑 역 사라며 울부짖었다 이후 자신의 그간 작품들은 삭제한 듯 보인다.
15,"최근에 몇몇 팬들이 그 그림들을 찾아서 영상으로 후원을 해 가이 코에게 고통을 안겨 주었다(...). 클립을 보면 가이 코의 엄청난 비명소리를 들어볼 수 있다(...). 당시 트위치 클립. 주전자 닷컴 활동 당시 낮은 연령 탓인지, 본성인지 상당히 시비를 많이 걸고 다니는 악성 유저였다."
16,친 목질로 다른 유저들에게 싸움을 거는 유저라는 인식이 당시 주전자 닷컴에 멀리 퍼져 있었다.
17,"당시 기준으로도 낮은 수준의 그림작품을 순위권에 올리기 위해 친목질을 동원하는 것을 공공연하게 자행해서 상당히 평판이 좋지 못한 유저였으며, 방송으로 유명 해지자 입 싹 닫고 사라진 모습이라고 밖에 볼 수 없다."
18,"4주년 방송 당시에도 방송상 문제는 크게 없었을지 모르나, 타 작가의 작품을 조롱 소재로 삼거나, 가이 코의 낮은 연령 대 악성 팬들이 다른 작가들을 조롱하고 비방하면서, ' 가이 코는 저렇게 잘 됐는데 니 넨 찌 질하게 이게 뭐냐."
19,' 식으로 묻지 마 공격을 해서 작가들이 매우 큰 상처를 받은 일이 있었다.
20,물론 본인은 그 이후 아무런 언급 없이 방송을 진행했다.
21,더군다나 그날은 가이 코 시청자들의 유입 탓인지 혹은 그 이상의 행위 탓인지 주전자 닷컴 서버가 터져서 한동안 서버가 정상 작동되지 않았다.
22,"주전자 닷컴 유저들 사이에서는 ' 가이 코라는 유저의 트롤링, 해킹' 이라는 말이 왔다갔다 했으며, 사실 관계를 확인하기 위해 가이 코 방송국 ( 당시 아프리카 )에 문의했으나, 팬 덤들의 공격으로 작가들은 다시 상처를 받았다."
23,"본인이 창작 자거나 컨텐츠 제작가로서 자부심을 갖고 있다면, 다른 작가들에게 입힌 피해에 대한 자각을 갖고 반성해야 할 것이다."
24,2018년 초에 가이 코가 중 2 때 주전자 닷컴에 올린 삭제된 작품들이 발굴되어서 다시 고통 받는 중이다.
25,심지어 팬들이 검색을 많이 했는지 구 글 자동 검색으로도 뜬다.
26,크루 원 중 T 평범 는 아예 그걸 게 리 모드 pac로 만들어 팬들과 같이 놀리고 있다.
27,액 셀 가이 코 가미 코 받아 라 손톱할 퀴 2 배로 강한 이후 초등학생 때부터 방송을 시작했는데 이때는 울산 큰고래 멤버였다.
28,아프리카 TV에 발을 들여놓게 되면서 울산 큰고래의 멤버 이자 엔지니어로 활약하였고 [7] 방송이 한창 인기 있을 때에 개인사정으로 멤버를 떠났다.
29,[8] [9] 울산 큰고래가 군 입대를 하고 난 후 아프리카 TV에서 게 리 모드 방송을 쉽게 볼 수 없게 되자 본인이 개인적으로 방송을 시작하였다.
30,[10 ]2014 년 아프리카 TV 시상식에서 인기 BJ 50 인에 선정되며 인기 BJ 상을 수상하였다.
31,그리하여 현재 가이 코 방송국 메인에 방송대상 훈장이 달려 있다.
32,가끔 씩 맨탈 케어로 헥사곤을 한다.
33,메탈 슬러그를 할 때도 있다.
34,웃음소리가 상당히 유쾌하다.
35,다른 말로 하자면 꽤 호탕한 웃음소리. 다른 멤버들은 평범하게 웃는다 치면 가이 코 본인은 혼자 두드러지게 박장 대소를 터트리는 것이 매력이라면 매력. ㅍ 핰↗ 핰↗ 핰↗ 핰↗ 핰↘ 핰↗ ( 직접 들어보는 것을 추천한다.)
36,가끔가다가 컨텐츠 중 즉석 상황 극을 가이 코가 먼저 시작하는 경우가 잦은데 이때만 되면 어색하고 유치한 말투로 말하게 되는데 보는 시청자로 선 오그라들게 된다.
37,하지만 이런 말투는 굳이 컨텐츠 중이 아닌 당일 방송을 보다 보면 자주 나온다.
38,서 바이 벌을 못한다.
39,"오죽하면 승리 횟수가 손가락에 꼽을 정도. 심지어 공포게임을 걸고 필사적으로 서 바이 벌을 진행했으나 서버가 튕겨서 중간에 중단 되질 않나,"
40,그래서 승부를 정하려 가위바위보를 했는데도 져 버렸다.
41,심지어 자살한 경우도 있다.
42,이렇기에 시청자들도 지친 나머지 포기에 이 르 렀 다. 수많은 탈락 덕분에 시청자들에게 중계 실력이 증가한다고 놀림 받는다.
43,멤버들 중 가장 운이 없다.
44,"일례로 게 리 모드 젤다맵에서 상자를 여는 게 있는데, 2개의 상자 중 하나는 보석이, 하나는 열쇠가 들어 있다."
45,"둘 중 하나만 열 수 있으며, 보석을 얻으면 최초의 방으로 돌아가고 열쇠를 얻으면 다음 방으로 이동한다."
46,그 방에도 상자가 2개가 있다.
47,"이런 식으로 5개의 방 끝까지 가는 미니게임을 했는데, 테스트에서 가이 코는 105회 만에 성공했다."
48,"허나 평범이 원 코인 성공을 해 버리고, 이후에도 대다수의 멤버들이 2 번째 도전에서 성공해 버려서 사실상 가장 운이 없는 사람이라고 해도 될 정도다."
49,"자료 영상 하루는 악어 이빨을 때려 내려오는 미니게임을 하였는데, 가이 코는 자신이 운이 없는 사람이 아니라는 것을 보여주겠다고"
50,했지만 그린에게 농락당한 후 절망을 하기도 했다.
51,"# 최근에는 코인 게임 특집으로 남들이 룰렛이나 잭팟으로 승승장구 할 때 불행하게 그 몇 번을 못 따 다시 한 번 자신의 운을 증명하기도. 유 튜브 영상 여담으로 공포 탈출 컨텐츠와 관련해서 본인은 공포게임을 굉장히 싫어한다고 하지만, 평소에는 엄청 겁쟁이인 척 무서워하면서도 진지하게 임하는 모습도 보인다."
52,공탈에서는 시청자들의  재미를 위해 무서워하는 척 하는 것으로 보인다.
53,"본인이 얘기하길 게 리 모드 공포 탈출 맵은 익숙하며, 그 특성을 파악하고 있으나, 공포게임의 경우는 전혀 특성을 알 수 없고, 낯설기 때문에 하기 싫다고"
54,"했으며, 특히 공포 분위기가 짙은 게임과 갑툭튀가 싫다고"
55,언급했다.
56,"혼자서 공탈을 하는 대담함도 보여주었으며, 무섭다고"
57,오두 방정 떨면서도 도중에 포기하거나 그만두는 적이 거의 없다.
58,[11] 마인 크래프트 P.T 도 첫 시도 때는 포기했었지만 나중에는 결국 성공해 냈다.
59,하지만 레이 어스 오브 피어는... [12] 나중에 밝혀진 사실인데 광대 공포증이 있다.
60,공포 탈출 맵이나 공포게임을 할 때의 모습은 비명을 지른다 기보다는 기합으로 돌파한다는 편에 가깝다.
61,그런 데 에 밀리는 놀고 싶어라는 게임의 광대 인형 앞에서는 그런 거 없고 그냥 진짜 욕설이 튀어나왔다.
62,탄막 피하기 게임류를 잘한다.
63,동방 프로젝트도 한창때 많이 했었다고
64,하며 당시 헥사곤을 자주 해서 그런지 언더 테일 플레이 당시에도 학살 루트 샌 즈 탄막을 본능적으로 피해 내 시청자들의 의심을 사기도 했다.
65,"자신이 직접 "" 내가 탄을 본능적으로 피해 버렸어 "" 라고 말한 적도 있다."
66,[13] 게다가 패턴 이해 능력도 좋은지 샌즈를 7회 만에 클리어 하였다.
67,"[14] 언다 인은 3회 근데 스포는 6회 만에 깬 것이 안 습 탄막을 본능적으로 피하는 스트 리머 양반이나, 언급할 가치도 없는 명 불허 전 "" 슾 신 ""이나(...) 다만 이 부분은 시청자들에게 의혹이 좀 오갔었는데, 처음 해 봤을 때 샌즈를 제대로 공격하지 않았다.2015"
68,년 안에 입대하겠다고
