,sentences
0,게임 리뷰를 주력 컨텐츠로 하는 트레 져 헌 터 소속의 유 튜 버이다.
1,"특유의 말투와 높은 텐션, 스피디"
2,"한 진행이 특징이며, 특히 양산 형 똥겜을 신랄하게 비판하는 모습으로 사랑받고 있다."
3,"아프리카 TV에서 배 그를 주력 컨텐츠로 하며 방송을 시작하였으나, 잘 되지 않자 유 튜브로 전향하여 게임 리뷰 어로 활동하고 있다."
4,"주로 무료 모바일 게임을 다루며, 유료 게임, PC 게임, 비디오 게임도 가끔 다룬다."
5,구독자 애칭은 핥짝이이다 .2013 년 9월 28일 유 튜브 채널 개설 / D+2663 일 2017년 8월 20일 유 튜브 첫 영상 [3] [4 ]2018 년 8월 17일 유 튜브 구독자 200명 달성 2018년 10월 23일 유 튜브 구독자 1000명 달성 2019년 1월 7일 유 튜브 구독자 1만명 달성 2019년 2월 18일 유 튜브 구독자 2만명 달성 2019년 3월 14일 유 튜브 구독자 3만명 달성 2019년 4월 19일 유 튜브 구독자 4만명 달성 2019년 4월 30일 유 튜브 구독자 5만명 달성 2019년 6월 6일 유 튜브 구독자 6만명 달성 2019년 7월 8일 유 튜브 구독자 7만명 달성 2019년 9월 2일 유 튜브 구독자 8만명 달성 2019년 10월 12일 유 튜브 구독자 9만명 달성 2019년 11월 1일 유 튜브 구독자 10만명 달성 2019년 11월 29일 유 튜브 구독자 11만명 달성 유 튜브 멤버십 개설 2019년 12월 23일 트위치 트윕 개설 2020년 1월 3일 유 튜브 구독자 12만명 달성 2020년 3월 17일 유 튜브 구독자 13만명 달성 2020년 5월 21일 [5] 첫 100만 조 회수 - 쿠키 런 - 영상 2020년 8월 6일 유 튜브 구독자 14만명 달성 2020년 10월 14일 트위치 정기 구독 개설 2020년 11월 21일 유 튜브 구독자 15만명 달성 양산 형 게임은 돈 받고 광고하지 않는다.
6,"광고를 받더라도 게임 같은 게임만 광고를 받고, 자기 뜻대로 리뷰를 해야 하며, 광고를 받은 사실을 자세히 명시해야 한다."
7,[6] 깔 땐 까더라도 칭찬할 점은 칭찬한다.
8,영상에 욕을 넣지 않는다.
9,[7] 시청자들과 소통을 중요시한다.
10,"후원과 구독, 좋아요를 강요하지 않는다."
