,sentences
0,"녕이루~ 오늘은 뭐 먹지?~ 내 말 들료?... ㅠㅠ# 예쁜 외모와 이녕 특유의 솔직하고 털털한 성격, 재치 있는 입담으로 많은 녕빡이들의 지지를 받고 있으며 시청자가 욕을 해도 화려한 입담으로 받아치며 유머 있는 상황을 만드는 능력이 있다."
1,시청자들에게 웃음을 주고 재미있는 방송을 보여주기 위해 자기 자신이 망가지는 건 신경 쓰지 않는다고
2,말한다.
3,생 얼 정도는 아주 양반이다.
4,하지만 뱃살 노출은 신경 쓴다.
5,"문제는 상위 클립이 뱃살 노출이다## 주 종목은 리그 오브 레 전 드로 시작했으며, 현재는 LOL( 리그 오브 레 전드) 은 그만두고 오버워치로 종목을 변경하였다."
6,하지만 2018년 가을 부터는 롤 영상도 유 튜브에 자주 올라온다.
7,가끔 배그도 진행한다.
8,이젠 데 바데도 주 게임이 되었다.
9,본인 성향에 LOL보다 오버워치가 맞다고
10,한다.
11,"최근 1부는 오버 워치, 2부는 스팀, 콘솔 위주로 진행하고 있으며 배틀 그라운드에서 오버워치를 보면 기동 사격이란 개념 자체가 없는 수준의 에 임이었음 이도 불구하고 의외로 뛰어난 성적을 보이는 중이다."
12,"방송시간은 평균적으로 8시 ~ 12시 이지만, 일찍 시작하는 경우도 가끔 있으며, 야 방 컨텐츠나 새벽게임 등 새벽까지 방송을 하기도 한다."
13,"자세한 방송시간과 방송 일정은 네이버 카페 ' 이녕 Club' 의 오늘 일정을 확인하자. [9] 오버 워 치가 주요 컨텐츠인 만큼, 오버 워치 게임 편집 영상, 하이라이트 등이 가장 많이 올라온다."
14,"장인, 심해 초대석, 오버 워치 학원도 편집돼서 업 로드 된다."
15,"그 외에도 콘솔게임, 야 방, 먹 방, 노래, 일상, 요리 등의 다양한 종류의 영상이 올라온다."
16,업 로드 주기는 거의 매일 하나씩 올라온다.
17,영상 말미에 팬들이 이녕을 그린 팬 아트가 올라간다.
18,꽤나 멋지게 그린 아트도 있지만 괴 작들도 꽤 있다.2017
19,"년 5월 7일 구독자 5만명을 달성, 2018년 5월 12일 구독자 10만명을 달성 하였다."
20,20년 7월 6일 20만을 달성했다.
21,"유 튜브 스트리밍을 하기도 하였으나, 현재는 트위치 단독 송출로만 생방송을 진행한다."
22,유 튜브 관리에 꽤나 신경 쓰는 편이다.
23,편집자도 5명으로 많은 편. 트위치 생방송을 보다 보면 종종 유 튜브 보고 생 방도 보러 왔다면서 생방송으로 유입되는 사람들이 종종 있다.
24,[18] 주력 게임은 오버 워치. 공포겜이나 기타 다른 게임도 많이 한다.
25,"그 외에 야외 방송, 먹 방, 일상 등을 주요 콘텐츠로 삼고 있다."
26,트위치 방송을 할 때 거의 먹 방으로 시작한다.
27,"[19] 방송을 시작하게 된 이유가 중, 고등학교 때 따돌림을 당해 집에서 게임만 하는 은둔 형 생활을 지속하다가 어머니의 권유로 방송을 시작하게 됐다고"
28,한다.
29,코 카스 파니 엘( 강아지 )를 키우고 있다.
30,이름은 태풍이. 이제 2살. 부 X이 없어 ...라고 명대사를 만들었다 트수들에게 인기 만점이다.
31,가끔은 시청자들이 이녕 말고 태풍이 가 방 송하라고 한다.
32,"메인스트 리머가 태풍이라고 하고, 매니저가 이녕이라고도 간혹 한다."
33,팬들이 보내는 선물이 오면 태풍이 간식이 본인 물품보다 많다 고도 한다.
