,sentences
0,원래 유 튜브와 아프리카 TV에서 방송하였지만 아프리카를 떠나고 유 튜브와 트위치에서 방송하고 있다.2020
1,년 기준으로 구독자는 16만명으로 변성기가 오기 전부터 유 튜브를 하며 구독자 수를 올렸다.
2,유 튜버 진호( 인터넷 방송인) 와 친분이 있어서 꽤나 많이 합동방송을 했었다.
3,하지만 요즈음 들어 많이 줄어들었다.
4,모드 스토리 리뷰에서는 가난한 거지 광부이고 집도 금방 무너질 것 같은 형상을 하고 있으며 맨날 멜 리에게 놀림당하며 빵을 구걸한다.
5,[6] 하지만 가끔 엄청난 물건을 발견해 멜 리를 역관광을 하는 일도 많다.2019
6,년 9월 기준으로 아크를 주로 하고 있다.
7,트위치에서 일요일을 제외하고 방송시간 편성은 오후 8시 ~ 11 시 이다.
8,"하지만 평소 10분 정도씩 지각이 잦아, 시청자의 불만이 있는 편 .2019 년 9월 기준으로 트위치 방송을 키는 경우가 많이 잦아졌다.2020"
9,"년 4월 기준 유 튜브에 영상을 올리며, 트위치에서 아크 방송을 하고 있다."
10,가끔 씩 아크 방송이 끝나면 노예들 이랑 게임을 하기도 한다.
11,발로란 트가 오픈하고 나서 부턴 트위치에서 방송을 하면서 게임을 하기도 한다.1.
12,마 즈 2. 멜 리 3. 하린 ( 구 )4. 귀여운 수달 5. 히 빈 6. 히 디 7. 세주 8. 피 연 9. 샤이 10. 닌 별 11. 귀여운 당근 고졸이며 몸무게 미달로 군대에서 공익 판정을 받았다.
13,공익인 상태에서는 생방송은 하지 않고 유 튜브는 그대로 진행될 거라
14,한다.
15,유 튜버를 직업으로 삼지는 않을 것이라 하며 컴퓨터 분야 쪽을 공부하고 있다고
16,한다 썬 이 랑께의 거주지를 트위치 생방송 채팅 방을 통해서 언급한 적이 있다.
17,[10] 본 위 키에 등록되어 있는 것을 보았다.
18,썸 네 일은 당연하게도 나무 위 키 꺼라.2019
19,년 2월을 기준으로 아크 어드벤쳐만 유 튜브에 올라오고 있으면 마인 크래프트는 안 올라오고 있다.
20,"마지막 마인 크래프트 영상은 포켓 몬 생존 기 시즌 3 #16 구독자가 늘지 않는 것을 보면 초보라서 그런것 이라고 오해할 수도 있지만, 사실 학생 때부터 마인 크래프트 영상을 올리기 시작한 유 튜브 베테랑이다."
21,"초창기에는 학교 친구와 함께 마인 크래프트 서 바이 벌이나 모드 서 바이 벌, 탈 출맵 등을 했다."
22,"대표적인 예로 모드 서 바이 벌은 28 주 모드나 우는 천사 모드, 탈출 맵은 번호로 표기되어 있다."
23,성인이 된 후로 럭키 블럭 파쿠 르나 파쿠 르맵 등을 플레이 했다.
24,"그 후로 진호, 도티와 합방을 한 경력이 있으며, 하이픽셀에 접속이 안 되는 이유로 멜 리와 함께 침대전 정이나 럭키 블럭 파쿠 르 등을 했다."
25,2018년 2월을 기준으로 아크 서 바이 벌만 유 튜브에 올라오고 있다.
26,"마인 크래프트 파쿠 르 실력이 상당한 데, ' 전설 적인 파쿠 르' 때는 ' 제가 한국에서 파쿠 르 가장 잘해요."
27,'라고 한 적도 있다.2020
28,년 9월 12일 기준 김 진호의 가족사진 영상 최상 단 인기 댓 글에 올라 있다.
