,sentences
0,'' 철저한 분석과 탄탄한 구성으로 여러분을 만족시키는 리 뷰어 튜 나입니다.
1,""""" 여러 분의 매일이 평안하시길... 마치며, 튜 나였습니다."
2,"""- 리뷰 영상 엔딩 멘트. [3] 대한민국의 게임 및 영화 리뷰 유 튜버. 현재 트레 져 헌 터 소속으로, 과거 채널 좀비 왕 소속이었다."
3,오너 캐는 참치모양의 일체형 잠옷을 입은 캐릭터. 배부분에 지퍼가 있으며 T 자 지퍼 손잡이가 특징. 간략하게 그려질 때 종종 넥타이로 오해 받는다.2017
4,년 1월부터 활동하였다.
5,"초기에는 게임이 중심이고, 영화는 부차적인 주제였으나, 2018년 부터는 영화 리뷰를 중심 컨텐츠로 하고 있다."
6,영상 업 로드를 하지 못하는 경우에도 커뮤니티에 짧게 라도 글을 올린다.
7,"다만 2019년 게임 중독 질병 코드 등록 논란에 대한 의견을 피력하고, 트위치에서는 게임 방송을 하는 등 여전히 게임에는 관심을 가지고 있다.2018"
8,"년도의 영화 염력과, 2019년 초에 개봉한 자전차 왕 엄 복동과 걸캅스를 신랄하게 비판하여 주목을 받았다."
9,특히 염력과 자전차 왕 엄 복 동 1부의 경우는 2020년 7월 기준 조회 수가 둘 다 200만을 넘을 정도이다.
10,이 채널은 여러분 개개인의 감상을 절대적으로 존중합니다.
11,"제가 영화를 어떻게 보았건 여러분의 감상은 그 자체로 존중 받아야 하며, 이것은 정해진 답을 논하는 오답 노트가 아니라 많고 많은 감상 중 하나일 뿐이라는 점 참고 하세요."
12,미국에서 수년 간 생활한 적이 있어 영어 사용에 막 힘이 거의 없는 모습을 보여준다.
13,"덕분에 해외 게임을 진행할 때 차질을 겪는 일이 적고, 영화 리뷰에서는 번역과 관련한 설명을 시청자들이 쉽게 전달하는데 능숙하다."
14,"목소리가 부드럽고, 영상 편집이 비교적 퀄리티가 높고, 리 뷰 대상과 관련한 전문적인 지식과 대본 역시 좋은 편이다."
15,기본적으로 진지하지만 적절한 때에 유머를 삽입하는 센스도 있다.
16,"이 밖에도 욕설이나 비속어 사용을 지양하고 있으며, 올바른 단어를 사용하려 노력한다."
17,다만 비교적 인용하는 자료나 지식이 명확한 편이기는 하지만 종종 중대한 실수를 한다.
18,[4] 또한 시비조로 받아들여 질 수 있는 유머 아닌 유머를 할 때도 있다.
19,영상 시작 부분에서는 개개인의 감상을 절대적으로 존중한다 밝혀 놓고서는 정작 영화를 재미있게 본 사람들을 생각 없는 바보들처럼 묘사한다 던가.
20,"[5] 이 밖에도 초창기에는 딱딱한 나 레이션, 반복적이고 정신없는 편집, 날 선 비꼬기 농담이 지적되었으나 이 점은 본인도 인정하고 차차 개선하면서 현재는 상당히 해소되었다."
21,"일반적인 리 뷰 중심 유 튜버와는 차별된 영상 제작 스타일 및 업 로드 일정도 특이점. 보통 신작 리뷰는 최대한 빨리, 짧고 굵게 올리는 다른 리 뷰어들과 달리 여러 이유 탓에 트렌 디한 영상 제작 및 업 로드를 거의 하지 않는다."
22,"영상의 길이는 짧아도 10분 이상에 30~40 분도 흔할 정도이며, 2부 3부로 자르고 가는 경우도 부지기수에 각 영상 간 텀도 길다."
23,"자료 찾아보고 검증하느라 주구 장 창 길어 지고 있다는 걸 스스로 알면서도 이 방식을 버릴 맘이 없는 듯. 또 리뷰의 시의 성을 거의 고려하지 않는데, 대표적으로 자신의 리뷰가 개봉 중인 영화의 흥행에 영향을 줄 거라고 판단되면 [6] 가급적 영화관에서 내려간 후에 리뷰 영상이 올라온다."
24,[7] 리 뷰를 한다는 말을 던진 후 수 개월이 지 나 그 영화가 대중의 기억에서 사라질 즈음에서야 리뷰를 다 깎았다며 업 로드하는 일도 많다.
25,"정확히 스크린에서 내려간 뒤인 11월 19일부터, 2개월에 걸쳐 도합 3 부를 업 로드한, 총 영상 길이 103분에 달하는 82 년생 김 지영 리뷰는 튜나의 스타일을 여실히 보여주는 사례. 이런 장인정신에 가까운 스타일은 시의 성 상관없이 고 퀄리티 리뷰를 원하는 사람에 겐 매력요소 지만, 시의 적절한 의견을 구하는 경우에는 도움이 되지 않으니 호불호가 확 갈릴 수 있다."
26,위에서 언급한 '82 년생 김 지영 리뷰' 는 너무나 많은 배경지식을 반론 및 서술하여 같은 말을 계속 듣는다는 느낌을 주었다.
27,[8] 또 다른 특징으로는 비교를 위해서 다른 영화를 가져와 설명하는 분량이 상당히 많다.
28,최근의 사냥의 시간 리뷰는 사실상 노인을 위한 나라는 없다 심층 리뷰를 겸한다고 봐도 좋을 정도 .2019 년 9 월경 나무위 키에서 튜나를 비판하는 문단/ 개별 문서에서 실제로 하지도 않은 일로 잘못 서술된 바 있다.
