,sentences
0,"아프리카 TV BJ, 주 콘텐츠는 보이는 라디오와 야외방송이었으나 리 니지 m 비제이로 전향하였고 그 후에는 비트 코 인, 트레이딩 비제이가 되었다."
1,[2] 여러 구설수도 있어서 민심이 그렇게 좋은 방송인은 아니지만 막상 방송에 나오면 활약하는 경우가 많아 애매한 위치에 있다.
2,"위 방송 시즌별 행보를 클릭하면 확인할 수 있음 위 사건, 사고를 클릭하면 확인할 수 있음 나이가 젊어 기본 적인 메카닉은 좋은 편이지만 막상 실력을 보면 컨트롤만 빠르지 실속 없는 헛손질을 많이 하고 종종 뇌정지를 일으키며 발암 플레이를 자주 보여준다."
3,"게임 취향은 앙 빅, 피드 앤 그로 우 피쉬, H1Z1: King of the Kill 같은 액션 장르나 아케이드성의 승부욕 불타는 게임들을 선호하는 편이다."
4,분 냄새를 좋아한다.
5,맡으면 각성 모드 그래프 컨트롤에 매우 능하다.
6,"난방 텐트를 데 코 삼아 수면 바지, 후 리스, 노 스페이스 700 을 한두 달 내내 작업복으로 착용한 적이 있다."
7,본인은 찍 먹이라고 밝혔지만 정작 부먹도 잘 먹는다.
8,[3] 식탐이 없고 입이 짧다.
9,[4] 공지사항을 작성할 때 ' 습 니다 '를 ' 읍 니다' 로 적는다.
10,시력이 좋지 않아 아 큐브 렌즈를 주로 착용한다.
11,비염을 심하게 앓고 있어 방송 중에도 코를 항상 킁킁거리고 코를 자주 푼다.
12,해산물을 매우 싫어한다.
13,최근 탈모가 진행 중이라고 한다.
14,한화 이글스의 팬이다.
15,한 때는 피드백을 받는가
16,"싶었지만 어느 시점부터 는 피드백을 하는 사람들을 블랙을 넣고 본인을 무조건 좋아하는 소위 말하는 ""은 맘"" 들과 함께 그 사람들을 조리 돌림을 하기 시작했다."
17,[5] 이는 결국 리 니지 유동 시청자는 늘렸지만 반대로 고정 시청자는 줄어드는 결과를 초래하였다.
18,중 2 때 무려 10살 가량 나이 차이가 나는 레이싱모델을 만난 경험이 있다고
19,한다.BJ
20,데뷔 전 SM 엔터테인먼트의 연습생이었다고
21,"한다 커 맨 더지 코 방송 중 시청자들이 "" 지 코님 왜 은 호 따라하세요?"
22,ㅄ 같아요.
23,""" 라며 드립을 치던 웃지 못할 헤프닝이 있었다."
24,"그 말을 들은 지 코는 샷 건을 치고 극 대노를 하며 "" 기분이 나쁘다."
25,은 호는 그저 나의 복사기 일 뿐이다.
26,""" 라고 맞불을 놨고, 이 사건 이후 은 호는 지 코에게 연락을 쉽사리 못하고 있다."
27,"메이 플 스토리 현질방송을 하면서 생겨 버린 2,000만 원 가량의 빚을 2017년 2월 부로 모두 청산했다!"
28,[6] 매일 여자를 만나러 다닌다고 의심 받고 있다.
29,"본인 말로는 방 종하게 되면 아프리카 TV 방송을 보거나 개인적인 스케쥴을 소화한다고 매번 핑계를 일삼았지만, 김 봉 준 이 불시에 여러 차례 옥탑 방을 습격한 결과. 항상 집에 없었다."
30,[7] 여대 앞에서 분식집 장사를 하거나 유 튜브에서 성인용품 리뷰를 해보고 싶어 한다.
31,목욕탕 안에서도 아프리카 TV를 시청한다.
32,수건을 싸매면 괜찮다고
33,한다.
34,터치 되는 방수 팩을 사면 될 텐데 하연 수 같은 포켓 몬 상을 가진 여성상을 선호한다.
35,일본인 BJ 모 모 띠의 열성 팬이다.
36,일본 AV 배우 우츠노미야 시온을 가장 선호한다.
37,우 츠 노미야 시온 900만 원 가까이 주고 전담 변호사를 선임할 정도로 고소절차가 매우 체계적인 편이고 고소 활동도 활발하다.
38,형사로 고소를 한 후 판결이 나면 민사로도 걸어 버린다고 한다.
39,그냥 대놓고 욕을 하는 수준은 거들떠도 안 보지만 패 드립이나 성 범죄자 관련 허위 사실을 유포 한 채팅이 제보되는 순간 합의는 일절 해 주지 않는다고
40,한다.
41,실제로 김 봉 준 방송에 어떤 9 급 충 고시 낭인이 강은 호에게 허위사실로 계속 강은 호방에서 채팅으로 개 드립 치다 고소 당하자 그 9 급 충이 자기 전과 붙는 순간 공무원 못된다는 걸 알고 김 봉 준 에게 싹싹 빌고 좀 얘기해 달라고 하고 [8] 돈은 얼마든지 드리겠다며 빌었고 그래도 사람이 좋은 김 봉 준 은 말을 들어줬으나 김 봉 준 이 강은 호에게 전화를 걸어 의사를 묻자마자 강은 호는 ' 아 그거 말 좀 해 주실 필요 없어요
42,' 하면서 단호히 뺀 찌를 놨을 정도. 김 봉 준 도 순간 무섭다고
43,말하며 아 후 고소 애기만 나오면 존나 단호 하다며 얘 앞에서 무슨 드립을 칠 수가 없다.
44,아 어쩔 수가 없어요
45,그러게 왜 그런 글을 쓰셨어요
46,하면서 혀를 내두를 정도(...) 첨 언하자면 강은 호는 무엔 터 내에서도 손꼽히는 봉 쥬 리 충성 파 [9] 이다.
