,sentences
0,일본의 비디오 게임 회사 닌텐도의 한국법인. 흔히 줄여서 한 닌 이라고 불린다.
1,"닌텐도의 한국 마케팅 및 한국 판매를 목표로 하는 법인으로, 2 종류의 법인들 중 마케팅 사무소로 분류되며 일본 본사의 영향을 받는다."
2,"그러므로 한국 닌텐도가 담당하고 있는 것은 제품 한글화, 고객지원, 그 외 잡다한 서비스 정도로 하드웨어· 소프트웨어 유통은 대원게임이 주로 하고 있다."
3,그 외에는 전부 본사가 담당하고 있다.
4,한국 닌텐도가 담당하고 있는 일은 생각 외로 매우 적은 편이다.
5,본사는 2012년 초까지 지하철 2호 선 역 삼 역에 연결되어 있는 GS 타워 37 층에 소재하고 있었다.
6,"일단 대기업 사옥에 입주했었던 만큼 일반인이 들어가려면 사전에 허락을 받아야 하는 것은 물론이고, 건물 입구에서 자신의 신분증을 출입증과 교환한 후에야 출입이 가능했다."
7,"1 층에서 엘리베이터를 통해 한번에 갈 수는 없었고 35 층에서 내려 다시 37 층으로 이동해야 했으며, 입구에서 더 들어가기 위해서는 사전에 허락을 받거나 아니면 잠긴 문 앞에 있는 전화를 통해야 했었다."
8,"입구 오른쪽에는 닌텐도가 지금까지 발매한 하드와 DS의 소프트가 진열되어 있었고, 왼쪽에는 포스터가 붙어 있었다."
9,그리고 접객실(?) 비슷한 장소에는 일본의 각종 게임 잡지가 진열되어 있었다.
10,"안쪽의 문은 잠겨 있었는데, 이 안쪽은 업무구역으로써 여러 부서가 나뉘어서 업무를 진행하고 있었다."
11,"이후 지하철 2, 3호 선의 을지로 3가 역으로 이전했다."
12,"상세한 주소는 서울특별시 중구 을지로 100, 7 층 (을 지로 2 가, 파인 애비 뉴). 2013년 말, 2014년 초부터 한국 닌텐도에서 자체적으로 진행하는 몬스터 헌 터 4 스터디 이벤트를 통해 일반 유저들의 방문도 가능 해졌다."
13,"이후 한번 더 이전하여 현재는 서울특별시 중구 서 소문로 50, 12 층 ( 중림동, 센트럴 플레이스 )에 있다."
14,한국 닌텐도 연도 별 실적( 단위: 원) 연도 매출액 영업이익 당기 순이익 비고 2006년 236억 -59억 -59억 회사 창립 2007년 2045억 331억 251억 닌텐도 DS Lite 발매 2008년 2654억 -219억 -185억 Wii 발매 2009년 2942억 310억 248억 2010년 2010억 91억 74억 닌텐도 DSi 발매 2011년 1220억 -49억 -29억 2012년 726억 -247억 -257억 닌텐도 3DS 발매 2013년 529억 -107억 -117억 2014년 450억 -19억 -36억 2015년 397억 -1억 3천만 3억 1천만 New 닌텐도 3DS 발매 2016년 392억 56억 58억 한국 닌텐도 구조조정 2017년 1250억 91억 98억 Nintendo Switch 발매 2018년 1687억 74억 83억 2019년 2305억 126억 97억 (2020 년 3월 31일까지) 위를 보면 알 수 있듯 닌텐도 DS의 최전성 기와 Nintendo Switch의 중흥 기를 제외하면 매년 몇 억~ 몇 백억의 적자가 매년 발생하고 있다.
15,이런 사정으로 Wii U의 정 발이 어려웠던 것이 아니냐
16,는 추측이 있다.
17,그런 데 Wii U는 일본에서도 망해서 들여왔다면 2017년까지 는 LG 전자 MC 사업부 뺨칠 정도로 적자를 냈을 것이다 중화권도 그딴 거 없었지만 하지만 최근 2015년도에 그래도 흑자로 전환되었고 2016년도에 순이익 58억원의 흑자를 기록하게 되었다.
18,"매츨액은 지속적으로 감소하였으나 50억대의 흑자를 낸 것은 인원 감축, 광고비 절감 등이 한국 닌텐도의 흑자에 영향을 끼쳤으리라"
19,추측되고 있다.
20,"그러다가 최근 매출액이 3 배, 순이익도 2 배 가량 증가했다."
21,이는 Nintendo Switch의 발매 효과로 보이며 닌텐도 DS 때의 전성기 이래로 최고의 실적이라고 할 수 있다.
22,한국 닌텐도에서 정발하는 게임들은 대부분 티비 광고로 송출하고 있으며 마케팅에 돈을 아끼지 않기로 유명하다.
23,"광고에 천문학적인 자금을 쏟아붓는 닌텐도답게, 유명 연예인들을 기용하는 TV CF 역시 일본 본사 쪽의 영향을 많이 받은 듯하다."
24,"과거 장 동건을 시작으로 이나 영, 송 혜교, 유 재석, 원 빈, 수지, 김 병만, 하하 같은 톱 모델이나 예능인 등의 등장시키며 일반인들에게도 크게 어필하고 있다."
25,[3] 이러한 마케팅의 결과는 국내에서 닌텐도의 인지도를 알리는데 크게 기여했다.
26,몇몇 게임 광고의 내레이션은 닌텐도 게임 원작 애니메이션에서 출연한 성우를 쓰기도 한다.
27,별의 커 비 Wii까지 내레이션을 맡은 이인 성은 에스 카르 곤을 맡았고 포켓 몬스터 AG 전까지 웅이를 맡았던 구자형 성우는 포켓 몬스터 시리즈 게임 광고에서 내레이션을 계속 하고 있으며 포켓 몬스터 레 츠고! 피 카 츄· 레 츠고! 이브 이의 광고에서는 애니메이션 한지 우의 성우인 이 선호를 캐스팅하는 모습까지 보여주었다.
28,실제로 한국 닌텐도가 엄청난 적자를 보기 시작한 년도는 2012년도부터인데 한국에서 3DS 가 발매된 이후부터이다.
29,"3DS 도 국가 코드 추가 등등의 문제점이 있었지만 그만큼 한국 닌텐도에서 소프트웨어 현지화를 진행해서 정 발을 많이 해 주어야 하는 것이 정상인데, 3DS 때는 NDS 때 비해 최악의 시절을 보냈다."
30,한국 닌텐도는 NDS 때처럼 3DS 마케팅에 연예인을 기용하고 TV 광고를 내보냈는데 이 시기부터 는 이미 휴대기기 시장의 많은 부분을 스마트 폰이 잡아먹기 시작하던 시 기라 3DS 는 NDS처럼 폭발적으로 팔리지 못하였고 한국 닌텐도는 2012~13 년도에 어마어마한 적자를 냈다.
31,[4] 그 이후부터 발매 라인업 게임들이 줄기 시작하였고 Wii U의 발매마저 무산되면서 점점 적자를 이어가 다가 2016년도에 사업 철수 논란이 생길 정도로 대규모 구조조정을 단행하게 되었다.
32,그러다가 소규모로 인한 낮은 인건비 + 마케팅 비 대량 감축 등으로 오랜만에 흑자경영을 얻어냈다.
33,하지만 기본적으로 밀어주는 마케팅 방식이 없어 졌고 무엇보다 한 닌 이 3DS 하나만으로 연명하는 시기였기 때문에 예전처럼 위험한 상황인 것은 여전했다.
34,"그렇게 앞으로도 규모와 마케팅을 줄여 겨우 흑자를 내려는 것으로 사업을 진행할 것으로 추측되던 와중, 2017년 11월 24일, 한국 닌텐도 유 튜브 계정으로 공개된 Nintendo Switch의 광고에서 광고 모델로 배우 강 소라를 발탁하는 모습을 보여주었다."
35,# 국내 3DS 부진과 Wii U 미 출시로 인한 인지도 및 수익 하락을 다시금 매워 보려 시도하는 것으로 보인다.
36,"정 발 초기에는 루 리 웹 등 여타 게임관련 커뮤니티에서 초라한 정 발 라인 업과 기기 미한 글 [5], 한국 eShop[6], 한국 계정의 온라인 미지원 [7] 등을 이유로 실패할 것으로 보았지만 Switch는 3일 만에 5만 5천대를 판매하였으며 이는 NDS 초기 판매 속도 보다 빠르다고"
37,한국 닌텐도에서 공식적으로 발표했다.
38,# 이후의 실적도 점차 나아져 현재는 문제점이 점차적으로 해결 되어가는 상황. 역대 사장 임기 표 대수 이름 임기 비고 1 코다 미네오 2006년 7월 7일 ~ 2010년 5월 15일 2 사 카 구치 다이스케 2010년 5월 15일 ~ 2011년 7월 28일 3 후 쿠다 히로 유 키 2011년 7월 29일 ~ 2018년 3월 8일 역대 최장 4 미우라 타 카 히로 2018년 3월 9일~ 현임 [27] 게이 머 즈는 닌텐도의 한글화 정 발 방침에 동조하는 취지에서 정 발되지 않은 닌텐도 기종의 게임은 공략하지 않고 있다.
39,"타 사의 게임기/ 닌텐도 스위치와 같은 경우 닌텐도와 같은 한글화 방침이 없으므로, 비 정 발 게임에 대해서 제약을 걸고 있지 않다.2014"
40,년 12월 1일에 홈페이지를 크리스마스 분위기로 리 뉴 얼했다.2015
41,년 8월 10일의 주에 회사 전체가 휴가를 갔다.2016
42,년 6월 기준으로 5000 여 명의 사원이 있는 본사와 달리 한 닌 은 총 사원이 26명이었다.
43,2019년 3월 기준으로 31명으로 소폭 늘었다.
44,수능 끝난 고 3 들을 잘 챙겨 주기로 유명한 데 [66 ]2009 학년도 대학수학능력시험 당일에는 별의 커 비 울트라 슈퍼 디 럭스 2013 학년도 대학수학능력시험 당일에는 포켓 몬스터 블랙· 화이트 22014 학년도 대학수학능력시험 이후 진 여신 전생 42015 학년도 대학수학능력시험 이후 포켓 몬스터 오메가루 비· 알파 사파이어 2016 학년도 대학수학능력시험 당일에는 키 노 피오를 제외한 마리오 시리즈와 커 비 amiibo2017 학년도 대학수학능력시험 이후 포켓 몬스터 썬· 문이 잇달아 출시되었다.2018
45,학년도 대학수학능력시험 다음날에 포켓 몬스터 울트라 썬· 울트라 문의 출시가 예정되어 있었으나 지진으로 인해 수능이 일주일 연기 돼서 수능 전에 발매된다.
46,수능 1 주 후인 12월 1일은 닌텐도 스위치의 정식 발매일이다.2019
