,name,key,sentences,label,
0,박닝겐,개요[편집],닝겐 DA★ZE,0,
1,박닝겐,연혁[편집],2014년 1월 28일 아프리카TV에서 첫 방송2017년 10월 16일 군대입대 군대입대영상2019년 6월 24일 군대 전역 군대전역영상 [전역후],0,
2,박닝겐,주컨텐츠[편집],마인크래프트를 위주로 종합 게임을 하고 있다.특히 가면라이더와 디지몬 관련으로 진행 중,0,
3,박닝겐,여담[편집],"2016년 5월 28일 박닝겐의 나무위키 문서가 생길 뻔 했는데, 뻘문서 수준의 토막글이라서 삭제된 것 같다.러브라이브 시리즈를 좋아한다.",0,
4,Xbox,개요[편집],"마이크로소프트에서 제작하는 가정용 게임기 시리즈이자, 윈도우(PC)와 엑스박스(콘솔)을 통합하는 게임 서비스.엑스박스는 초창기에는 게임기만을 지칭하는 브랜드였지만, 2012년 이후로는 마이크로소프트의 엔터테인먼트 계열 서비스 전체를 아우르는 브랜드가 되었다. 그러나, 이후 대부분의 사업에서 명칭 혼동 문제로 이름이 변경되었고, 현재는 게임기 사업을 제외하면 Windows 10의 자체 게임 서비스 명칭만으로 사용되고 있다.",0,
5,Xbox,역사[편집],Xbox/역사 참조.,0,
6,Xbox,기종 목록[편집],[ 펼치기 · 접기 ]역사 · OS · 컨트롤러 · 키넥트 · Xbox Live(아케이드) · 게임패스,0,
7,Xbox,Xbox Live[편집],엑스박스 게임기와 Windows 10용 온라인 게이밍 서비스. 자세한 것은 문서 참고.콘솔 게임기 최초의 유료 온라인 게임 서비스이기도 하다. 추후 엑스박스 라이브를 토대로 온라인 스토어가 제작되었다.,3,
8,Xbox,컨트롤러[편집],"엑스박스의 컨트롤러는 엑스박스용뿐만이 아니라 PC용 게임패드의 표준으로도 통한다. Xbox 360컨트롤러부터 윈도우즈에서의 사용 지원을 시작했는데, Windows XP에선 MS에서 직접 USB 인터페이스를 이용한 PC연결 드라이버를 제공했고, Windows 7 이후부터는 지원 드라이버 목록 중에 존재하여 드라이버 세팅만 해주면 되며, Windows 10은 USB로 꼽으면 바로 된다. 무선으로 플레이하고싶어도 3만원쯤 하는 전용 리시버 하나 사서 꽂아주면 끝이다. 거기에 블루투스 지원 PC라면 그마저도 필요없다.그렇다보니 고사양 게이밍 PC 소유자들은 오히려 PC로도 같이 발매된 콘솔 게임이라면 그냥 이 패드 꼽고 PC로 즐기는 경우가 더 많다. PS4를 따로 가지고 있어 듀얼쇼크가 남아돌아 쓰는 경우를 제외[2]하면 PC에서 게임패드를 사용한다고 하면 무조건 엑스박스 게임패드를 사용하는게 당연시되고, 거의 모두가 엑스박스 컨트롤러의 사용을 추천하니 컨트롤러 자체의 판매량만큼은 이미 플레이스테이션의 듀얼쇼크를 한참 따돌린지 오래다. 자세한 것은 Xbox 컨트롤러 문서 참고.",0,
9,Xbox,지원 앱[편집],"Xbox: Windows 10용 게임 ESD. 마이크로소프트 스토어는 윈도우와 엑스박스 콘솔, 윈도우 모바일까지 MS 플랫폼을 모두 아우르고 게임만 있는 것이 아니라 앱, 영화&TV 프로그램, 하드웨어까지 포괄하는 ESD인지라 Windows 10에서 MS 스토어에 올라온 게임을 검색, 구매, 설치, 관리 특히 게임 패스 구독자들에게 유용한 앱이다. 모바일에서의 Xbox 앱은 아래 본체 도우미 앱의 모바일 버전이다.Xbox 본체 도우미: 기존 이름은 Xbox였으나 위의 Windows 게임 지원 앱이 같은 이름으로 등장하면서 현재의 명칭으로 변경됐다. Windows 10에서 엑스박스 원 콘솔을 지원하는 앱으로 이 앱을 통해 같은 네트워크 상에 있는 PC에서 스트리밍으로 엑스박스 원을 연결해 조작할 수도 있다.Xbox Game Bar: Windows 10에서 PC 게임을 지원하는 앱으로 키보드의 Win+G키를 누르면 현재 PC 화면에 오버레이되며 PC 상태나 캡쳐, 녹화, 방송, 소셜 기능 등을 지원한다.Xbox Identity Provider: PC 게임의 Xbox Live 연결을 지원하는 시스템 앱.게임 서비스Xbox Game Pass: 모바일 앱으로 게임 패스 구독 관리를 지원하며 2020년 9월 15일부터 시작하는 클라우드 게임 서비스를 하기 위해서는 이 앱을 설치해야 한다.Xbox Family Settings: 가족 계정으로 묶인 계정의 게임 활동을 관리하는 모바일 앱으로 아직 프리뷰 단계다.Xbox Game Streaming: 클라우드 게임 서비스가 게임 패스로 귀속되기 전 신청한 인사이더를 대상으로 모바일에서 클라우드 테스트를 진행하는 앱이다. Project xCloud라는 명칭으로 클라우드 게임 스트리밍을 지원할 뿐만 아니라 엑스박스 원 콘솔을 원격으로 스트리밍하는 기능도 탑재되어 있다. 다만 콘솔에서 원격 스트리밍을 하려면 콘솔 내부 설정이나 네트워크 설정 등 조건이 맞아야 한다. 이 앱의 기능은 엑스박스 원의 정식 업데이트와 클라우드 기능이 게임패스로 정식 편입되면서 종료됐다.Xbox 참가자 허브: 콘솔, PC용 앱으로 참가자(인사이더)로 신청하면 Xbox 내에서의 베타 테스트 신청으로 신기능을 미리 체험할 수 있고 참가자들을 대상으로 설문조사를 통해 피드백 받는 앱이다.Xbox 액세서리: 엑스박스 컨트롤러를 관리하는 앱이다.Xbox 아바타 편집기: 리뉴얼된 아바타를 관리하는 앱이다.Xbox 원본 아바타: 리뉴얼 이전의 기존 아바타를 관리하는 앱이다.Xbox 360 SmartGlass, Xbox One SmartGlass: PC와 모바일에서 엑스박스 360과 엑스박스 원을 지원하는 앱으로 같은 네트워크 상에서 연결을 통해 관리할 수 있는 앱이나 본체 도우미 앱에 비하면 기능이 제한적이다.Microsoft Rewards on Xbox: 엑스박스 내 활동을 통해 포인트를 얻어 현금처럼 사용하거나 기프트 카드나 상품을 받을 수 있는 앱이나 국내에서는 사용할 수 없다.Events: 엑스박스 내 게임 이벤트 정보를 알려주는 콘솔 전용 앱으로 베타 단계다.Xbox Dev Mode Companion: 엑스박스 내에서의 게임, 앱 테스트가 필요한 개발자들을 지원하는 앱으로 프리뷰 단계다.",0,
