,sentences
0,"마인 크래프트를 주로 하는 팀 샐러드 소속의 유 튜 버이자 트위치 스트 리머. 그리고 팀 샐러드 멤버, 관계자, 매니저 중 유일하게 트위치 파트너 스트리머가 아니다."
1,마인 애플은 마인 크래프트와 사과( 애플 )를 합성한 이름이다.
2,"마인 크래프트 닉네임이 MinedApple이라서 마인 애플이 아니고 마인드 애플이 아니냐고 하는 사람들이 있는데, 초기에는 마인드 애플이라고 불렸다."
3,[43] 오너 캐는 사과처럼 빨간 머리에 사과 꼭지가 달려 있다.
4,마인 크래프트의 명령어를 능숙하게 다루고 건축을 잘한다.
5,"대신 전의 비밀, 하늘 섬의 비밀, SPEEEEEEED!!!!, 똥 겜 메이커 [44], 멀티 존 [45] 등의 제작자다."
6,샌즈전을 마인 크래프트로 구현하기도 했다.
7,"영상은 하루에 한 번 업 로드하며 [46], 업 로드 시간은 랜덤이다."
8,주로 오후 10시 이후에 올리며 새벽에는 올리지 않는다.
9,[47] [48] 마인 크래프트 유저 중에서도 손꼽히는 고인물이다.
10,"PvP, 파쿠 르, 겉 날개, 커맨드, 심지어 마크 관련 상식 [49 ]에서도 썩은 물의 수준을 보여주지만, 단 하나 마크에서 마플이 못하는 것이 있으니 바로 노트 블록이다."
11,직접 보자. 유성은 이 점을 이용해 마플을 마린이라 한다.
12,"지방 사람이며, 가끔 사투리를 쓴다."
13,꾸몽의 인공지능 마 플 ver 영상에서 스웩 모드 일 때 사투리를 사용하는 것을 볼 수 있다.
14,[50] [51] 파크 모도 마플과 같은 동네에 산다고 한다.
15,웃음 소리가 굉장히 높고 특이 하다. 거의 모든 영상에서 한 번 이상은 웃는 장면이 나온다.
16,마플의 영상들은 대부분 텐션이 높은데 이에 큰 영향을 주는 요소 중 하나이다.
17,웃음 소리를 표현하자면 흐 으 학 앜핰↗→ 핰 핰핰↗!!! 정도 될 듯하다.
18,비속어를 거의 쓰지 않는다.
19,[52] [53] 파크 모가 말하길 마플은 현실에서도 욕을 한 번도 쓰지 않는다고
20,말했다.
21,[54] 평소의 목소리( 방송이나 녹화를 하지 않을 때의 목소리) 는 의외로 낮은 톤인 듯하다.
22,다른 멤버들의 영상에서 종종 유 튜브에서의 모습과 상당히 다른 낮은 텐션의 목소리를 들려주는 모습을 보여준 적이 있다.
23,팬들은 과거 마인 애플 유 튜브에 올라왔던 청사과 마 플 영상을 그대로 가져와 저 텐션의 마플을 청사과 마플이라고 부르기도 한다.2011.
24,10 .11. 아프리카 TV 활동 시작 2011. 12. 11. 블 로그 활동 시작 2012. 08. 19. 첫 유 튜브 활동 2014. 03. 20. 본격적인 유 튜브 활동 시작 2017. 05. 09. 구독자 1만 명 달성 [55 ]2017. 07. 19. 구독자 2만 명 달성 [56 ]2018. 04. 29. 유 튜브 구독자 10만 명 달성 2018. 09. 15. 유 튜브 구독자 15만 명 달성 2019. 01. 23. 유 튜브 구독자 20만 명 달성 2019.05.28. 유 튜브 구독자 25만 명 달성 2019. 06. 15. 트위치 방송 활동 시작 2019. 06. 23. 마플의 잡다한 채널 활동 시작 [57 ]2019. 12. 13. 유 튜브 구독자 30만 명 달성 2020.04.05. 유 튜트 구독자 35만 명 달성 2020. 05. 04. 잡다한 채널 구독자 10만 명 달성 2020. 05. 30. 유 튜브 구독자 40만 명 달성 2020. 12. 08. 유 튜트 구독자 45만 명 달성 이외의 나머지 역사는 이 영상에서 확인 가능하다.
25,원래는 네이버 블 로그를 운영했다.
26,이 시절 닉네임도 마인 애플이라 했지만 마플은 ' 애플 맨' 이라는 닉네임을 많이 사용했다.
27,[58] 옛날 블 로그 게시물 댓 글 중에 애플 맨으로 달린 댓 글이 있는데 그게 마인 애플이다.
28,타 유 튜버 애플과의 혼동을 방지하기 위하여 마인 애플이란 닉네임을 다시 사용했다.
29,다만 캐릭터가 눈 색을 제외하면 거의 다 겹친다.
30,타 유튜버에 의해 잘못된 유입이 발생했기 때문이 기도 하다. 2011년에 첫 게시물을 올렸으며 처음에는 마크의 특이한 사진과 회로 강좌( 마인 크래프트 연구실) 등을 주로 올렸다.
31,이때까지만 해도 평범한 블 로 거였으나 바운스 볼을 공략하기 시작하면서 바운스 볼 유저들에게 서 인지도가 매우 높아 지게 되었다.
32,"당시 바운스 볼은 꽤 높은 인기를 누리던 게임이었는데, 유저들은 어려운 단계가 나오면 그 맵을 클리어하기 위해서 공략을 찾아보게 되었다."
33,그렇게 하다가 마인 애플의 블 로그로 오게 되었고 그런 유입이 점점 늘어나면서 블 로그는 급속도로 성장해 누적 토탈 100만 명을 넘기게 되었다.
34,마인 애플은 처음에는 알골 단계를 공략하기 시작해 그 뒷 부분 단계는 모두 공략하고 그 앞 단계( 알골 이전) 는 시청자들의 댓 글 요청으로 그 단계만 공략했었는데 언제 부턴가 모든 단계를 공략하기 시작해 현재는 마지막 단계인 유로 파를 제외한 모든 단계의 공략이 블 로그에 있다.
35,"공략은 5 단계로 나뉘어서 했다 (1 ~5 스테이지, 6~10 스테이지, … 21 스테이지). 마플의 목소리가 들어간 공략과 밑에 목소리가 없는 클리어 만을 위한 빠른 공략이 있는데 시간이 좀 있는 사람은 마플의 재미있는 입담을 들으며 공략을 보는 것도 좋을 듯 하다. 바운스 볼에 맵 에디터가 처음 나왔을 때 혁명이라고 말하며 여러 맵을 만들었다."
36,총 6개의 맵이 있으며 'appleman' 이라고 검색하면 나온다.
37,6개의 맵 모두 고 퀄이기 때문에 한 번 플레이 해봐도 좋을 듯 하다. [59] 공략은 모두 블 로그 바운스 볼 자작 탭에서 확인할 수 있다.
