,sentences
0,한국의 모바일 게임 개발/ 유통 사. 모비릭스와 서브 모 비 릭스 두 회사로 나뉘어서 안 드로 이드에서 게임을 유통하고 있다.
1,유 튜브를 통해 광고를 하는데 조회 수가 100 만이 넘는 영상도 있다.
2,"모 비 릭스 유 튜브 https: //www .youtube .com /user /mobirix1 /videos 모 비 릭스 홈페이지 https: //www .mobirix .com /main /main .html 모 비 릭스 페이스 북 https: //www .facebook .com /mobirixplayen 현재 사이쿄사의 게임 판권을 인수, 퍼블리싱하는 제로 디브와 협력을 해서 사이 쿄 사 게임 위주로 게임을 출시하고 있다."
3,"전국 에이스, 전국 블레이드, 건 버드 , 건 버드 2, 스트라이커 즈 1945, 스트라이커 즈 1945 II, 스트라이커 즈 1945 III, , 제로 거 너 2 드래곤 블레 이즈는 출시 예정이다."
4,"솔 디바이드, 스페이스 봄버, 건 스파이크도 유통할 거 같다."
5,구 사이 쿄 사의 전 게임을 퍼블리싱하는 듯 하다. 스트라이커 즈 1945 콜렉션을 출시했다.
6,레트로 게임 IP를 이용해서 낮은 사양의 게임을 재 출시하는 경우가 많은데 이는 사양이 낮은 스마트 폰을 사용하는 저개발 국가시장에 어필하기 위해서 이다.
7,"스노우 브라더 스나 버블보 블, 뱀파이어 슬래"
8,셔 등 사양에 부담이 없는 레트로 게임 포팅 판을 재 출시 한다.
9,사실 엔 하계 위 키 [2 ]에서는 이 회사에 관한 문서가 한번 작성된 적이 있었다.
10,"(2010 년대 초) 다만 과거의 해당 문서는 당 회사가 당시 독자 IP로 내놓은 모바일 축구게임 및 몇몇 게임의 완성도, 레트로 게임 이식의 이식도가 엉망이라는 이유로 모비릭스를 비난하는 성향으로 서술된 문서였고, 모 비 릭스 측의 요청으로 인해 엔 하- 리그 베다 당시 기존에 작성된 모 비 릭스 문서가 작성금지처리되어서 한동안 없었을 뿐이다."
11,https: //www .mobirix .com /pr /press _release .html ?bmain =view &uid =33 &language =KOR &page =1 모바일 게임 개발 및 공급업체 모 비 릭스( 대표 임 중수) 가 연말연시 게임 성수기를 맞아 신작 게임을 연이어 출시해 실적 기대감을 높이고 있다.
12,모 비 릭 스는 지난 3일 RPG 장르의 미 드코어 게임 3 종을 글로벌 시장에 신규 출시했다.
13,외부 IP를 바탕으로 자체 개발한 게임 1 종 ‘ 뱀파이어 슬래
14,"셔 히 어로’ 와 퍼 블 리 싱 서비스를 맡은 게임 2 종 ‘ 소 울 마스 커’, ’ 아이들러 쉬’ 가 주인공이다."
15,모 비 릭 스는 올해 하반기 미 드코어 게임 다수 출시로 회사의 포트폴리오를 다각화하고 인 앱 매출 또한 대거 개선했다.
16,미 드코어 게임은 단조로운 캐주얼 게임과 복잡하고 긴 플레이 시간이 필요한 하드 코어 게임의 중간 단계에 있는 게임이다.
17,캐주얼 게임보다 고차원의 재미 요소를 포함하고 하드 코어 게임보다는 데이터 소모가 적은 것이 특징이다.
18,수익 창출도 인 앱 결제와 광고 플랫폼 매출이 고르게 발생한다.
19,모비릭스는 미 드코어 게임 군 강화로 인 앱 매출 ARPU( 가입자당 평균 매출) 증가를 통한 전체 매출개선을 목표로 하고 있다.
