,sentences
0,( 구) 게임 하이인 넥 슨 GT에서 제작하고 넥슨에서 배급 [5] 하는 온라인 FPS 게임. 게임 제목 자체는 ' 기습공격' 이라는 뜻이며 이 게임 때문에 국내에서는 ' 서든' 이라는 단어 자체가 이 게임을 명칭하는 용어나 다름없게 되었다.2016
1,년 7월엔 후속 작인 서든 어택 2가 발표되었지만 게임 내외적으로 논란이 많아서 출시 2개월 만인 2016년 9월 29일에 서비스가 종료되었다.
2,"서든 어택이 남긴 기록들 (2015 년 8월 )2019 년 6월 19 일자로 일본 서든 어택의 서비스 종료 공지가 등록되었고, 일본 넥슨에는 더이상 FPS 게임이 존재하지 않는다."
3,"[6 ]2019 년 9월 25일 정오, 일본 서든 어택은 서비스를 종료하였고, 이제 전 세계에서 서든 어택이 서비스 되는 중인 국가는 대한민국 뿐이다."
4,일본 서든 어택 서비스 종료 공지 아 카 이브시스템 권장 사양 Windows 7 이상 CPU: Intel Core2 Duo E8400 이상 RAM: 8GB 이상 HDD 여유공간: 20GB 이상 [7 ]VGA: GeForce 9600GTDirect X: Microsoft® DirectX® 10.0 이상 기타: 네트워크 VDSL 이상 서든 어택 베타 버전은 인텔 펜티엄 III 시리즈의 RIVA TNT에 128MB 램 정도로 어지간한 옛날 컴퓨터로도 다 돌아 갔었다.
5,"게임 모드는 목표를 기준으로 데 스매 치와 점령 미션, 폭파 미션, 탈취 미션, 터치다운, 인질 구출, 헤드 헌트 [10], 런 어웨이( 일명 술래잡기) 등이 있으며, 사용가능한 무기를 기준으로 칼 전 [11], 권총 전, 샷 건전 등이 있다.2008"
6,년도엔 FPS에서 최초라고 주장하고 있는 [12] 터치다운 모드를 새로 추가하였는데 터치다운 모드는 특정 물건을 중앙에서 한 사람이 탈취해 적진의 골인 지점으로 집어넣는 방식의 모드다.
7,절대 CTF 같은 게 아니라 FPS 최초인 터치다운 모드라고 한다.
8,[13] 하지만 이마 저도 퀘이크와 어깨를 나란히 했던 언 리얼 토너먼트 시리즈의 바 밍 런 모드를 표절한 것이다.https
9,: //youtu .be /1zAOEp6gE90 그리고 과거 클 랜 전을 하기 위해 선 클 랜 전용 채널에 직접 광고를 하여 게임을 진행하는 방식이였으나 업데이트를 통하여 클 랜 전용 서버와 ' 퀵 매치' 라는 시스템을 도입하였다.
10,"' 퀵 매치' 시스템은 맵, 인원수를 선별하여 클 랜 전을 원하는 각 클 랜끼리 일시적으로 같은 게임 룸에 입장시켜 줌으로써 클 랜 전을 원하는 유저들을 바로 매칭시켜 주는 시스템이다."
11,상당히 편하다.
12,게다가 드디어 2008년 12월에는 ' 크로스 카운터' 란 저 격전 맵을 만들었다.
13,말 그대로 스나 이 퍼 라이플만 허용되는 스나 이 퍼의 모든 것을 볼 수 있는 모드라고 할 수 있다.2006
14,년부터 2008년까지 점유율 10%를 꾸준히 유지하며 pc 방 점유율 1위의 자리를 고수할 정도로 인기를 끌었다.2010
15,"년 11월 23일, 약간 뜬금없이 ' 어메이 징 모드 '라고 하는 모드가 추가 되었다."
16,언 리얼 토너먼트 기본 MOD 인 Big head MOD를 그대로 가져가서 만든 모드로 특이하게 캐릭터들은 모두 대두로 묘사되며 위쪽에 대두 미터가 나타나게 된다.
17,이 모드의 가장 큰 특징은 내가 적을 더 많이 죽일수록 머리가 커진다(!). 물론 머리가 커진 만큼 헤드 샷 당할 확률도 그만큼 커지게 된다.
18,하지만 이와 반대로 적에게 내가 더 많이 당할수록 머리가 작아지게 된다.
19,2005년에 서든 어택 테스트 서버에서 진행한 대두 모드를 되살리면서 조금 더 발전시킨 듯 하다. 참고로 대두 모드는 워록에서 이벤트로 선보인 적이 있었던 모드이다.
20,그리고 훨씬 오래 전부터 팀 포트 리스 2에서 일부 해외 서버에서 이런 비슷한 컨셉의 유저들이 만든 모드가 있었다.
21,뱀파이어 모드처럼 이 맵을 주로 하는 사람은 별이 상당히 많다.
22,대두 미터가 MAX에 다다랐을 때 팀 포의 우 버나 메탈 레이 지의 레 이지 모드처럼 일정 시간 동안 무적이 되고 이동 속도가 늘어난다.
23,하지만 이에 대한 패널 티로 뿅 망치를 이용한 근접공격만 가능하게 된다.
24,[14 ]12 월 7일 경에는 뱀파이어 모드라는 것이 추가 됐다.
25,사실상 FPS 최초라고 주장하고 있지만 어째 카운터 스트라이크 좀비 모드를 교묘히 뱀파이어로 바꾼 의심이 든다.
26,하지만... 일반 뱀파이어의 기능이 고작 왼쪽 마우스 키를 눌러 팔 휘두르는 것과 스킬을 이용해 빨리 걷는 것 말고는 없다.
27,조세핀이라는 특수 뱀파이어와 여자 숙주 뱀파이어는 우 클릭으로 핏덩이를 던질 수 있는데 이게 헌 터들 가까이에서 터지면 헌 터들의 무장이 강제로 해제된다.
28,처음에는 상당히 헌 터들에게 불리 하다고 했으나 현재 어느 정도 숙련된 헌 터 들은 엑칼과 성수 들고 밖에서 떼로 모여 뱀파이어를 맛있게 냠냠 하는 장면을 볼 수 있다.
29,뭐 카스 1의 좀비 모드보다도 못한 모드라는 평이다.
30,심지어는 뱀파이어 모드 전용 막자 클 랜마저 있을 정도 니... 재밌는 것은 뱀파이어 모드를 즐겨 하는 유저들 중에 상당히 별이 많다.
31,즉 뱀파이어 모드= 좀 비 모드라고 생각하는 논리를 가지고 맵에 들어가다가 멘 탈 터져서 ESC 누르고 나갈 수 있다.2011
32,년 2월에는 AI 디펜스 모드가 추가 되었다.
33,사실상 폭주한 안 드로 이드의 습격을 4명이 서 막아내는 방식의 모드이고 전용 무기인 미니 건이 세 종류 추가 되었다.2011
34,년 3월에 타 코 매치가 추가 되었다.
35,사실상 소규모 전투 방식인데 맵의 종류가 아지트 딱 하나밖에 없지만 꾸준히 하는 사람은 하는 듯하다.2012
36,년 7월에는 서든 어택 2.0으로 새롭게 개편되었다.
37,"[15] 전체적으로 캐릭터와 맵, 무기 디자인이 일신되었고 많은 FPS처럼 AI 와 싸우는 모드가 추가 되었다."
38,그런 데 사실 AI 모드는 이전에도 있었다.
39,"(AI 매서 커 )2013 년 1월 24일, 협동 플레이 모드로 공룡 모드가 추가 [16] 되었다."
40,레드 팀 블루 팀이 모두 같은 편이 되어 사방에서 몰려드는 공룡을 하나하나 잡아 나는 방식인데... 밑에 소개할 좀비 모드에 비해 재미도 없고 참신하지도 않아 빠르게 묻혔다.
41,하지만 여전히 공룡 모드만 하는 사람들도 있고 무엇 보다 핫 타임 게이지 채우기용으로 아주 유용하다.
