,sentences
0,"모든 쿠키들은 사람 모양 과자인 진저 브레드 맨 형상을 하고 있으며, 그리고 기본 캐릭터인 용감한 쿠키 군을 제외하면 특수 능력을 갖고 있다."
1,그리고 귀엽다.
2,"쿠키의 최고 레벨은 8[1] 이며, 코 인을 사용하여 레벨 업을 할 수 있다."
3,레벨이 올라가면 기본 체력이 늘어나고 특수 능력도 강화된다.
4,다만 쿠키의 등급이 높아 질 수록 업그레이드 비용도 비싸지는 데다 레벨 7~8 업그레이드 시에는 체력이 증가하지 않으므로 [2] 체력 강화가 목적이라면 초반엔 쿠키 레벨보단 추가 체력 업그레이드를 먼저 하는 것이 좋다.
5,대부분의 쿠키들은 굳이 크리스탈을 쓰지 않아도 코 인으로 구입할 수 있다.
6,"물론 그냥 쉽게 구입할 수 있는 건 아니고, 특정 도전과제를 달성해야 비로소 코 인으로 구입할 수 있게 되는 식. 그러나 높은 등급의 쿠키 중에는 레벨 76 달 성, 만렙 쿠키 42개 이상 보유, 쿠키 58개 보유, 펫 50개 이상 보유, S 급 보물 70개 보유, +9 강화 보물 30개 보유, S 급 진화 보물 25개 보유, 만렙인 펫 25개 보유, 친구 수 333명 보유 [3], 쿠키들의 따듯한 마음 100개, 에피소드 유물 특별 보상 같은 아 스트랄한 해금 조건을 갖고 있는 것도 있다."
7,이 점 탓에 후속 작인 쿠키 런: 오븐 브레이크에 서는 조건이 매우 완화 되었다.
8,"크리스탈로 바로 구매할 때의 가격은 C 급 3개, B 급 15개, A 급 50개이다."
9,"S 급은 대부분이 119개이나, S 급 중 초기에 나온 천사, 해적, 닌 자 맛 쿠키는 99개이고, 한정판 쿠키인 의적맛 쿠키, 구미호맛 쿠키는 129개, 보유효과가 있는 S 급 쿠키 [4] 는 149개이다."
10,역시 보유효과가 있는 L 급 쿠키는 유물 보상이므로 코 인이든 크리스탈이든 구매로는 불가능하다.
11,쿠키는 갖고 싶은데 도전과제가 달성하기 벅차면 꾸준히 출석하거나 이벤트를 노려서 크리스탈을 모으자. 물론 L 급은 꾸준히 유물을 모아야만 한다.
12,바다 요정 쿠키는 예외적으로 미스터리 박스에서 쿠키들의 따뜻한 마음을 100개 모아야만 얻을 수 있다.2013
13,년 8월 15일 두 번째 이야기 업데이트 이전 쿠키들 19개 [5 ]를 첫 번째 쿠키 군단이라 부른다.
14,"이런 식으로 대규모 업데이트 직전까지 출시된 쿠키들을 한데 묶어 ○ 번째 쿠키 군단이라 칭하며, 각 군단의 쿠키를 전부 모을 때마다 해당되는 쿠키 군단 완성 기념 액자가 지급된다."
15,어떤 쿠키가 몇 번째 쿠키 군단에 포함되는지는 위의 표를 참조하면 된다.
16,"여담으로 산타맛 쿠키, 의적맛 쿠키, 구미호맛 쿠키는 한정판이라 제외이고, L 급은 정규가 아니라 제외. 체력, 점수, 능력 등 모든 게 상향된 현재로는 가면 갈수록 오버 스펙인 쿠키들이 출시되는 파워 인플레가 진행되고 있는 탓에 이전에 출시된 쿠키들이 사용 빈도가 줄어들고 입지가 좁아 지는 등 상대적으로 저 평가되는 현상이 발생하고 있다."
17,"애초에 등급으로만 봐도 C 급 (2 개), B 급 (4 개), A 급 (7 개) 을 합친 것 (13 개 )보다 S 급 (52 개) 이 훨씬 더 많으며 거기에 출시되는 신규 쿠키들도 산타맛 쿠키를 제외하곤 모두 S 급이라는 것을 고려해 보면 쿠키 런의 파워 인플레가 얼마나 심해 졌는지를 단적으로 보여준다고 하겠다."
18,이쯤 되면 등급 시스템의 존재 자체가 궁금 해지는 수준이다.
19,심지어 등급을 없애면 좋겠다는 의견도 나오는 중. 또 한 업그레이드할 것이 갈수록 많아 지면서 뉴 비의 진입 장벽은 날이 갈수록 높아 지고만 있다.
20,"[6] 어째 공주 맛 쿠키, 해적맛 쿠키 등 직업 명칭에 '- 맛' 을 붙여 쿠키를 만드는 기묘한 경우가 많았다."
21,그나마 평범하게 재료에다 '- 맛' 을 붙인 명칭을 가진 쿠키들도 많이 나오게 되면서 별로 눈에 띄는 문제는 아니게 되었다.
22,"[7] 또한 산타맛 쿠키나, 눈 설탕맛 쿠키 등 마녀의 오븐 출신이 아니거나, 적어도 오븐으로부터 완전히 벗어난 적이 있는 쿠키가 도로 들어와서 다시 탈출하는 어이 없는 상황이 있었으나 [8], 새로운 세계 업데이트 이후 ' 오븐 탈출 성공 → 멸망한 쿠키 왕국 목격 → 쿠키 왕국 되찾기' 로 점차 스토리가 잡혀가고 있다."
23,여담으로 게임 시작 전 로딩화면에서는 선택된 쿠키가 말을 한다.
24,"하는 대사는 쿠키들마다 다르며, 모든 쿠키들이 최소 5 종류 이상의 대사를 가지고 있다."
25,신규 쿠키 일 수록 대사의 종류가 많아 져 8~12 개 정도 된다.
