,sentences
0,級數 영문명은 Series. 급수는 부분합의 극한을 의미한다.
1,특정 수열에 대해 지정된 항에서 지정된 다른 항까지의 수를 모두 더하란 의미다.
2,유한 급수와 달리 특정한 항까지 더하는 개념이 아니며 끝없이 보탠다.
3,급수를 시그마를 이용하여 표현하면 시그마 위에 있는 수가 ∞ \infty∞ 로 바뀐다.
4,lim⁡n→∞ ∑k =1nak \displaystyle \lim_ {n \to \infty} \sum_ {k =1}^ {n }a _kn→ ∞lim ​k =1 ∑n ​ak​ ∑n =1 ∞an \displaystyle \sum_ {n =1}^{ \infty }a _n n=1∑∞ ​an​ 또는 ∑n ∈Nan \displaystyle \sum_ {n \in \mathbb {N}}^{} a_n n∈N∑ ​an​ [1] 또는 ∑an \displaystyle \sum a_n ∑an​ [2] 위 ana_nan​ 의 생성 함수를 f(x )f (x )f (x )라고 정의하고 적분 기호로 표현하면 다음과 같다.
5,"∫1 ∞f (x)  d ⌊x⌋ \displaystyle \int_ {1}^{ \infty} f(x) \, \mathrm {d} \lfloor x \rfloor ∫1∞ ​f (x )d ⌊x⌋ [3] 즉 급수는 이산 함수의 이상적 분과 동치이다."
6,[4] 급수의 수렴에 대한 정확한 정의는 아래와 같다.
7,"급수 ∑k =1 ∞ak \displaystyle \sum_ {k =1}^{ \infty }a _kk =1∑∞ ​ak​ 의 nnn 항까지의 부분합을 SnS_nSn​ 로 나타내자. 이때, 수열 {Sn} \left\ {S _n \right\} {Sn​} 가 어떤 실수 SSS로 수렴할 때 급 수가 수렴한다고 정의한다."
8,급 수가 수렴하지 않으면 발산한다.
9,정의를 보면 알겠지만 급수의 정의는 부분합의 극한 값이다.
10,저 위에 무한히 많은 항을 더한 것 같은 표현은 그저 무한대 표시처럼 관습적인 표현으로 알아두자. 그래서 인지 급수를 처음 배울 때는 많은 수학 선생님들이 첫 번째 표현을 많이 강조한다.
11,무한 번 더하는 것과 무한 급수가 다르다는 것은 리만 재배열 정리라는 걸 통해 직관적으로 이해할 수 있다.
12,단순하게 말해서 조건 수렴하는 급수는 덧셈과 달리 교환 법칙이 안 먹힌다는 이야기다.
