,sentences
0,그냥 니 구 독 한 방이면 된다.
1,고맙다!
2,"- 아웃 트로 사랑해 요~- 화면 조정 [7]"" 꼬마님 그만 좀 해요."
3,아파 죽겠어요.
4,""" - 힐 러 유저- 페이스 북과, 트위치, 유 튜브에서 활동하는 인터넷 방송인이다."
5,오버 워 치의 둠 피스트 유저이다.
6,[8] 앞서 상술했듯이 둠 피스트로 보여주는 플레이가 방송 곳곳에 녹아들어 있다.
7,"빠른 대전, 경쟁 전을 가리지 않고 암살 각이 보일 때마다 뒤돌아 힐 러진 [9 ]이나 위도 우 메이커, 솔 저: 76 같이 아군에게 거슬리는 딜러진을 암살하고 살아 도망친다."
8,적군이 여럿 모여 있다고
9,해도 딱 젠야타만 골라서 죽이고는 유유히 도망가는 모습은 힐 러 유저에 겐 역겨움 그 자체이다.
10,( 시청자 제외) 특히 한 번 암살한 적군을 적 리스 폰 진영 근처에서 대기하며 리스 폰된 적군을 여러 번 다시 죽여 진영 밖으로 나오는 것조차 못 하게 만드는 모습은 가히 사탄과 같다 할 수 있다.
11,랭 커 급 둠 피스트들은 천상 계인 만큼 피지 컬 이 각각 비슷한 수준이지만 각 유저마다 플레이 스타일에서 차이가 생기는데 꼬피스트의 경우에는 변태 플레이에서 압도적이라고 볼 수 있다.
12,꼬마 둠 피스트의 변태성을 가장 잘 드러내는 부분으로 유 튜브 영상 중간 중간 암살 각이나 리스 폰 킬 중일 때 흘러나오는 특정 노래가 보는 이로 하여금 둠 피스트를 플레이하고 싶게 만든다.
13,[10] 힐 러는 죽을 맛이다.
14,"둠 피스트에 대한 이해도가 출중하여 대각선 펀치나 슈퍼 점프를 이용한 지붕 존버 변태의 창시자격이 기도 하다. 파리나 아이 헨 발 데, 리 알토 같은 맵에서는 특히 더 역겨운 지붕 플레이를 보여주는데, 평 평한 지붕 위에서 방향키를 이용해 미끄러짐을 조정하며 아래에 적군이 지나갈 때 원콤을 내버리고 도망가는 플레이가 능숙하다."
15,높은 영웅 이해도 덕분에 암살에 실패하고 적진에 고립되어도 종종 살아서 돌아오는 미친 플레이를 보여주기도 한다.
16,"[11] 또, 둠 피스트의 변태적 피지 컬 만큼 뛰어나다 할 수 있는 특징은 매우 높은 철권 포 명중률이다."
17,스킬은 하나만 사용하고 에임으로 철권 포 2~3 방을 머리에 꽂아 넣어 암살하는 에 임형 둠 피스트 플레이를 자주 보여주는 편이다.
18,"둠 피스트의 스킬은 쿨 타임이 짧고 하나하나가 압도 적인 강력함을 보여주는 대신 기본 평 타인 철권 포는 느린 투사 체에 산탄이며 기본 탄창이 4발밖에 되지 않아 딜 교보다는 콤 보 사이 사이에 끼워 넣는 보조 딜 특성이 강한데, 스킬이 다 빠지거나 해킹을 당 했어도 철권 포와 근접공격만으로 상대 트레이서와 솜브라를 두들겨 패는 수준의 에임을 보유하고 있다."
19,"둠 피스트는 에임이 중요한 영웅이 아니라는 인식이 강한데, 둠 피스트가 에임까지 좋았을 때 게임을 얼마나 잘 터트리는지 보여주는 예시라고 할 수 있다."
20,[12] 반응 속도도 상당히 빠른 편이다.
21,특히 위도 우에게 접근할 때 헤드를 피하기 위해 순간적으로 뒤를 도는 플레이는 리 거나 천상계 유저들도 혀를 내두를 정도. 둠 피스트 출시 이후 랭 커 점수를 기록하곤 했지만 3대 둠 피스트 장인 [13] 와 인지도 차이가 났기에 초대 둠 피스트 장인 반열에는 아쉽게 들지 못했다.
22,그러나 둠 피스트가 당시 엄청난 너프를 먹고 많은 둠 피스트 유튜버들이 점수 유지를 위해 다른 영웅으로 갈아탔음에도 꾸준히 둠 피스트를 사용하며 몇 없던 둠 피 모 스트 유튜버가 되었다.
23,"유 튜브 초반에는 둠 피스트 실용 강좌 영상을 업 로드 했고 [14], 구독자 수가 상승세를 보이자 힐 러진 암살이나 지붕 타기, 서 프 등 자신의 영상 클립들 로 이뤄 진 2~3 분 내외의 프 랙 무비를 업 로드했다."
24,워크 샵 출시 당시 여러 워크 샵 영상을 올리면서 구독자 수가 급증하게 되었다.
25,특히 인 피니 티 스톤 영상에서는 타노스가 따로 없을 정도로 압도 적인 플레이를 보여주었다.
26,이후 구독자 수는 매일 빠르게 늘었으며 2019년 10월 5일 구독자 10만명을 달성한다.
27,같이 합방한 스트 리머 도현과 10만명 달성 날짜가 같다.
28,특이한 점은 도현의 유 튜브 10만 구독자 게시 글에는 응원과 축하의 글이 많은 반면 아론의 10만 구독자 게시 글에는 힐 러 영혼 10만 스택 같은 글이 보인다.
29,롤 큐에 입사하고 이후 유 튜브 대기업으로 성장해 명성과 인맥 그리고 역겨움이 늘어나고 있는 추세이다.
30,실크로: 가장 많이 듀오를 하는 스트 리머이다.
31,접속 알림이 뜨면 즉석에서 듀오를 만들어 돌리기도 한다.
32,"원 정상: 너 넨져쓰 멤버로써 어느 정도 친분이 있는 사이인 듯 하다. 원정상이 아론 페이지에게 농담으로 "" 둠 피스트로 1위 자리를 곧 가져가겠다"" 고 선전 포고한 적이 있었다."
33,물론 실패했다.
34,김 규 태: 일명 적폐 듀오 라는 이름으로 가끔 듀오를 돌린다.
35,2019년 6월 22일 꼬
36,"규 태 듀오는 10 연 승 이상을 하였고, 이날 오버 워치 네이버 카페에서는 42, 43 층 양민 학살이 일어나고 있으니 점수 빨리기 싫다면 경쟁 전을 돌리지 말라는 글까지 올라왔다."
37,# 김도현: 방송에서 보여주는 모습을 보면 관계는 꽤나 친한 편인 듯 하다. 김 병장: 같은 둠 피 유저라
38,알긴 아는 듯 하다. 우리팀에 아론이 있다고
39,기뻐할 수 없는 이유. 한 타가 일어나면 우리 힐 러가 없다.
40,둘이 한꺼번에 팀으로 만난 때는 적군이 닷 지해 서 플레이는 보지 못했다.
41,그러나 미라지와 아론이 만나고 상대에 김 병장이 잡히면서 역겨운 둠 피들 두 명을 볼 수 있게 되었는데 클립 상에는 김 병장의 활약이 그렇게 두드러지지 않지만 아론 말로는 김 병장이 팀 다 패고 다녔는데 미라 지가 제때 저지를 했다고
42,한다.
43,그리고 아론은 B 거점 공격군 기지 2 층에서 서식하는 변태 짓을 했다
44,페이스 북과 인스타 그램을 통한 팬들 과의 소통도 자주 하는 편이 다트 위치 명령어 중 ! 크기라고 치면 ! 큼 이라고 나온다 무엇이 큰지는 개인의 생각 2020년 9월 28 일 페이스 북과 인스타 그램에 ' 부산에서 힐링 중' 이라는 말과 함께 복근사진이 올라왔다.
45,시청자들은 둠 피스트를 너무 많이 해서 몸까지 둠 피스트가 되었다는 댓 글이 대부분이다.
46,둠 피스트와 닮았을 것이라는 많은 힐 러들의 바람과는 다르게 외모는 모발도 풍성하고 잘생긴 편이다.
47,다만 성격은 둠 피스트 머리처럼 둥글둥글 해서 방송 중에 욕을 하는 경우가 거의 드물다.
48,학창시절 교외대회 육상 계주 선수로 뛰었다고
49,"하며, 운동신경이 매우 좋다."
50,현재는 족구를 즐겨 하는 듯 하며 족구 영상도 유 튜브에 종종 올라온다.
51,훌륭한 운동신경과 날쌘 몸 덕분에 족구 기술 또한 역겨운 둠 피스트 유 저라고는 생각되지 않을 만큼 좋다.
52,"몸을 회전시키며 족구 공을 상대편 코트 깊숙히 찔러 넣고 땅을 손으로 짚거나 다리를 박 차 균형을 잡는 기술을 많이 쓰고, 잘한다."
53,트위치 채팅에서 여자친구 명령어를 사용하면 [17] 둠 피스트가 나온다.
54,둠 피와 아론 둘 중 하나는 여자다.
55,"둠 피스트를 모 스트로 하는 랭 커 이지만, 둠 피스트가 출시되기 전까지만 해도 트레이서 랭 커 였다."
56,"또, 다른 영웅들도 수준급의 변태처럼 잘 다루며(?) 토르비욘을 빠대에서 즐겨 하기도 한다."
57,"레 킹 볼이나 시그마, 애 쉬 등 신캐에 대한 적응과 이해 또한 빨라서 출시 이후 얼마 되지 않아 매 드무 비를 찍어 올리기도 한다."
58,오버 워치 외의 게임으로 마운트 앤 블레이드 워 밴드를 즐긴 적이 있다.
59,"여기서는 기병, 그중에 서도 투척 기병을 예술적으로 활용해 멀 티 유저들 사이에서 극찬 받았었다."
60,"마운트 앤 블레이드 시리즈의 팬이며, 마운트 앤 블레이드 2: 배 너 로드가 나오면 스트리밍 할 예정이라 한다."
61,유 튜브 영상에서 둠 피스트로 변태 짓을 할 때 이 음악이 항상 나온다.
62,자동차를 뽑았다고
63,한다.
64,차량은 기아 K5. 많은 사람들이 왜 둠 피로 철권을 하냐
65,따지자 결국 진짜 철권을 가져왔다.
66,(...) 모르면 맞아야 죠. ???: 알아도 맞아야 죠 ㅎㅎ 본인의 티어와 점수가 높은 만큼 핵을 참 다양하게 만난다.
67,역겹다고
68,소문난 둠 피를 자주 해서 인지 1 인 궁을 자주 당한다.
69,"[18] 아예 자신이 당한 1 인 궁과 다 굴 장면을 모아 업 로드했을 정도. 영웅 로테이션 4 주차에서 히트 스캔 영웅 4명( 맥 크리, 솔 져: 76, 위도 우 메이커, 솜 브라) 이 전부 밴되면서 기어코 둠 피로 46등을 찍었다."
70,신규 영웅 에코가 출시된 후 에코 영상이 자주 올라온다.
71,특히 궁극 기로 상대 둠 피스트를 복사한 후 상대 힐 러진 들을 삭제 시키는 모습은 역겨움 그 자체(...) [19] 둠 피스트가 너 프 당할 때마다 목소리가 우울 해진다.
72,- 둠 상필-( 제 프 카플란이여 제발 둠 피 상향 좀...) 이 영상에서 날개 달린 이 빡빡이는 지상 빡빡이 보다 강하죠라는 명언을 남겼다.
73,이로 인해 해당 영상의 댓 글에는 둠 상필이 또 난무하고 있다.
74,"(...) [20] 발로 란트를 시작한 듯 하다. 플레이 영상도 올라오는데 고지대에 숨어 있다 적을 암살하는 등 둠 피스트 시절 습관이 상당부분 녹아 있다(...) [21] 인기가 많아 지고 유 튜브에서 트위치로 유입된 청자들이 많아 진 탓인지, 트위치 채팅 창이 갈수록 더러워지고 있다."
75,[22] 하다 못 해 생 방 중 성희롱을 당했다.
76,"직접 처리 후 하는 말이 압권인데, 본인 피 셜 남성에게 인기 많은 타입이라(...) 신경 쓰이지 않았다고.2020"
77,년 1월 5일 ' 새해 첫날부터 핵 의심 유저를 두 번 만났습니다
78,' 라는 제목으로 영상을 게재하면서 일어난 사건이다.
79,당시 공개된 영상에서는 리 플레이를 돌려보면서 ' 트레이서' 캐릭터가 핵을 사용하는 것일 수도 있다고
80,추측했다.
81,"리플 레이 당시 트레이서 유저의 에 임이 역행 직후 에임 스킵 현상이 일어나며 상대 젠야타의 머리에 가 있었고, 이후 추가로 역행을 할 때마다 에임 스킵이 자주 반복 되며 테두리 에 임 법과 비슷한 모습을 보여주었다."
82,"' 아론 페이지' 도 ' 핵이 아니라면 엄청나게 잘하는 유저이거나, 리 거일 것이다 '라고 말했다."
83,"이후 아론 페이지가 의심 가는 정황을 토대로 블리자드에 신고를 하였고, 이후 ' 아론 페이지' 는 블 리 자 드로부터 해당 계정이 영구 정지됐다는 신고 처리 결과를 공개했다."
84,유 튜브 댓 글로 핵 정지가 되었다는 메일이 왔다는 ' 아론 페이지' 의 댓 글을 통해 끝나는 듯 했다.
85,""" 핵 정지됐다고"
86,메일 왔습니다
87,여러 분. 핵 맞아요~
88,아니라고 쉴 드치는 핵 쟁 이쉐 키들 나가 죽으십쇼
89,"'' [15] 그러다 22일, 애 틀 랜 타 레인의 DPS 에디슨 선수가 트위터로 해명 글을 쓰면서 상황이 반전된다."
90,""" 무분별한 박제와 계정 영구정지 때문에 해명 글 씁니다"
91,연습용 계정으로 게임하는데 다짜고짜 디스코드에 박제가 됐니
92,뭐니 쌍 욕하면서 핵으로 몰고 가서 게임도 못하게 만들고 이제는 이런 영상 박제까지 해서 자세히 알지도 못 하면서 막말하는 거 그만했으면 좋겠습니다.
93,"''"" 무분별한 박제와 계정 영구 정지 때문에 해명 글 쓴다."
94,""" 고 말하면서 "" 연습용 계정으로 게임하는데 다짜고짜 디스코드에 박제가 됐니"
95,뭐니 쌍 욕하면서 핵으로 몰고 가서 게임도 못 하게 만들고 이제 이런 영상 박제까지 해서 자세히 알지도 못 하면서 막말하는 거 그만했으면 좋겠습니다.
96,""" 라고 트위터에 게시하면서 여론이 순식간에 반전됐다."
97,이후 ' 새해 첫날부터 핵 의심 유저를 두 번 만났습니다
98,' 영상이 유 튜브에서 내려가고 사과 영상이 올라왔다.
