,sentences
0,슈퍼 셀의 3vs3 배 틀 로얄 등 모바일 슈팅게임. 브롤 스타 즈 관련 문서게임 요소 브롤 러( 상성) · 게임 모드 · 맵 · 리그 · 시스템 · 브롤 패스 패치 기록 패치기록 (2017 년 · 2018년 · 2019년 · 2020년 · 2021년 )E 스포츠 2019 브롤 스타 즈 오픈 코리아 · 2020 브롤 스타 즈 월드 챔피언십 기타 문제점 및 비판 · 팁 · 광고 · 테마 · 버그 · 공식 카페 슈퍼 셀에서 제공하는 공식 팬 키트 최신 버전 2017년 6월 화면이 세로였던 시절에 첫 출시되고 2018년 3월에 업데이트로 게임이 가로로 바뀌기 전까지 사용됐던 로고 겸 로 딩 화면. 베타 테스트 버전 때 로 딩 화면이다.2018
1,년 5월 패치로 변경된 로 딩 화면. [7] 이것도 베타 버전 때 로 딩 화면이다.2018
2,"년 12월 패치로 변경되고 2019년 12 월 패치 전까지 사용하던 로 딩 화면. 로 딩 화면에는 쉘 리, 콜트, 포코가 폭발을 피해 도망가고 있다."
3,"왼쪽 상단에 크로우의 단검들이 날아가고 있고, 오른쪽 상단에 모 티스의 박쥐들이 있다."
4,역사 깊은 상징적인 로 딩 화면이다.
5,정식 출시된 후 로 딩 화면이다.2019
6,"년 12 월 업데이트 때 사용된 해적 테마 로 딩 화면. 로 딩 화면에는 ( 해적) 콜트, ( 캡틴) 칼, ( 해적) 포코가 있다."
7,배경은 대 릴의 해적선이다.
8,2020년 7 월 업데이트 패치로 대릴 의 해적선 테마의 맵들이 전부 다른 테마로 바뀌어서 인 게임에서 완전히 삭제당했다.2020
9,년 1월 패치 때 사용된 로 딩 화면 이자 오락실 맵의 일 러스트. 오락실 컨셉에 맞춰 제작되었다.
10,"로 딩 화면에는 ( 히로인) 비비, ( 길거리 닌 자) 타라, ( 바이러스) 8 비트가 있다."
11,비비의 포즈가 용자 검법과 비슷하다는 의견이 많다.
12,2020년 3월 대규모 업데이트에서 사용된 로 딩 화면. 메인 테마인 축구의 콘셉트를 가지고 있다.
13,"로 딩 화면에는 ( 코치) 다이 너 마이크, 틱, ( 마스코트) 대릴, (PSG) 쉘 리, 레 온, 엘 프리모가 있다."
14,그리고 로 딩 음악이 처음으로 바뀌었다.
15,그리고 쉘 리와 엘 프리모 사이에 있는 상자를 잘 보면 스프 라 우 트의 종이가 있다.
16,"[8] [9 ]2020 년 5월, 슈퍼 셀 10주년/ 브롤 패스 시즌 1: 타라의 바자 업데이트에서 사용된 로 딩 화면. 로 딩 화면에는 ( 상인) 게 일이 물건을 훔쳐 달아나고 있고 뒤에 ( 도적) 모 티스와 (이 블) 진, ( 수호자) 리코가 그를 쫒 아가고 있다."
17,[10] 2020년 11 월 업데이트 패치로 타라의 바자 테마의 맵들이 전부 미스터 P의 스노우 텔 테마로 명칭 맵이 변경되어 인 게임에서 완전히 삭제되었다.
18,"[11 ]2020 년 7, 8월 브롤 패스 시즌 2: 괴물들의 여름 업데이트에서 사용되는 로 딩 화면. 로 딩 화면에는 괴물로 변해 버린 ( 킹 크랩) 틱, ( 울트라 드릴 러) 재키, ( 메가 비틀) 비가 슈퍼 시티를 파괴하려 하고 ( 길거리 패션) 맥스와 서 지가 이들을 저지하려고 싸우고 있다."
19,두 무리 사이에 있는 건물에 ( 슈퍼 레인 져) 브록과 슈퍼 시티 램 피지의 보스가 싸우는 그림이 그려져 있다.
20,로 딩 음악이 바뀌었다.2020
21,"년 9, 10월 브롤 패스 시즌 3: 스타 파크에 오신 걸 환영합니다!"
22,"업데이트에서 사용되는 로 딩 화면. 로 딩 화면에는 스파이크 인형을 안고 매우 즐거워하는 콜레트, 폭발을 내는 ( 마스크) 스파이크와 ( 스타) 포코, 그 폭발을 피해서 도망가는 ( 슈 가 러시) 샌 디와 ( 슈퍼 팬) 엠 즈, 프 랭크, 다이 너 마이크의 모습이 보이며, 가장 우측 하단에 콜트가 죽어 가면서도 콜레트의 책에 사인을 해 주는 모습이 보인다."
23,오른쪽 상단에 스프 라 우 트의 종이가 있다.
24,로 딩 음악이 바뀌었다.2020
25,"월 11, 12월 브롤 패스 시즌 4: 연말 휴가 업데이트에서 사용되는 로 딩 화면. 로 딩 화면에는 SNOWTEL[12] 이라는 호텔에서 아이스크림을 팔고 있는 루에게 니 타가 달려들고 있고, 중앙에 미스터 P가 화를 내면서 불, 보에게 가방을 던져 쫓아내고 있다."
26,"[13] 뒤쪽에 파이 퍼 와 ( 벨 보이) 마이크, ( 호두 까 기) 게 일의 모습이 보인다."
27,"호텔 안에는 엠즈와 포코가 있으며, 입구의 지붕 위에는 레 온이 물 [14] 을 마시고 있다."
28,입구의 지붕 바로 왼쪽 창문에 스프 라 우 트의 종이가 있다.
29,"특이하게도 시즌 3 때의 로 딩 음악을 사용하고, 2020년 12 월 업데이트 패치로 브롤 리 데이 로 딩 음악이 바뀌었다."
30,"2017 년 베타 첫 출시 후 2017년 12월 1차 대규모 업데이트 전까지 사용하던 아이콘. 2017년 12월 대규모 업데이트부터 할로윈 업데이트 이전, 라인 프 렌즈 업데이트 때 사용하고 아케이드 업데이트부터 여름 업데이트까지 사용한 브롤 스타 즈 원조 격인 아이콘. 2020년 11 월 업데이트부터 다시 사용되고 있다."
31,2019년 할로윈 업데이트 때 사용했던 아이콘 색상이 보라색으로 바뀌었으며 호러 느낌을 주기 위해 해골 마크 턱부분을 송곳니 모양으로 팠다.
32,그런 데 오류였는지 대부분의 기기에서 적용이 안되는 모습이 나왔고 이 아이 콘을 보려면 플레이 스토어/ 앱 스토어에 들어가야 볼 수 있었다.
33,2019년 12 월 해적 업데이트 때 사용했던 아이콘. [15] 2020년 9월 10월 브롤 패스 시즌 3 업데이트 때 스타 파크의 로고로 아이콘이 바뀌었다.
34,브롤 패스의 테마와 관련된 아이콘으로 바뀐 경우는 이례적이라고 볼 수 있다.
35,2020년 11월 패치로 다시 원래 아이콘이 복귀하며 사라지게 되었다.
36,"공식 사이트에는 ★ 표 .Brawl Stats - 클래 시 로얄 정보 사이트인 Stats Royale의 제작자인 Overwolf가 만든 Play Store와 App Store의 애플리케이션으로, PC 용으로는 위의 링크로 정보 추적 사이트를 만들었다."
37,"들어가면 브롤 앱 내에서도 볼 수 있는 본인 프로필, 그리고 각 브롤러의 현재 트로피와 최대 트로피, 레 벨, 랭크 등이 나와 있으며, 다음에 열릴 신규 맵이 뭔지도 확인할 수도 있다."
38,"일부 맵은 정확하지 않은 정보를 포함할 수 있음에 유의하자 .Google Play, iOS 현재 PC 사이트 서비스를 하지 않는다."
39,크리에 이 터 코드 statsStar List Henry 라는 개인 개발자가 만들었다.
40,Brawl Stats보다는 이용자 수가 적지만 전적 갱신에 걸리는 시간이 더 짧고 접속 밀 조회가 원활 하다는 장점이 있다.
41,앱은 웹 앱 형식으로만 제공되며 크롬이나 삼성 인터넷 등으로 접속 시 앱을 다운로드 할 수 있다.
42,크리에 이 터 코드 StarList 브롤 마스터★ - 슈퍼 셀에서 만든 플레이 계산 사이트. 계정을 만들면 매달 추첨으로 500명이 피자 [30 ]를 배달 받으며 [31] [32] 각 역할 군에서 가장 높은 top 10 안에 [33] 들 시엔 브롤 마스터 패키지를 받는다.
43,"자신의 성향과 운 좋으면 선물도 받으니 들어가 볼만한 사이트. 로보 럼 블, 빅 게임 순위 표★ - 슈퍼 셀 공식 사이트로, 주말마다 열리는 로 보 럼 블 과 빅 게임의 최장 기록을 보여준다."
44,한번 열릴 때마다 초기화된다.
45,"현재는 서비스를 하지 않는 듯 하다. 브롤 스타 즈 맵 제작기 - 원래는 잘 사용되지 않던 사이트 지만, 2018년 9 월 업데이트 때부터 이 사이트에서 맵을 만들어 레딧에 올린 맵들이 커뮤니티 제작 맵으로 다수 채택되어 인 게임 내에 추가되면서 인기를 끌기 시작했다."
46,혹시 라도 관심이 있다면 맵을 만들어 레딧에 올려보자. 실제로 추가된 사례가 존재한다.
47,"현재 브롤 스타 즈 내부에 맵 메이커가 생기면서 브롤 스타 즈 내에서 직접 맵을 만들 수 있게 되었지만, 제한 사항이 꽤 많아서 이 사이트에서 맵을 만들기도 한다.Supercell"
48,"MAKE★ - 공식 커뮤니티 스킨 제작소. 특정 기간마다 공모전을 열며, 우승 작은 인 게임에 출시된다."
49,자세한 내용은 브롤 스타 즈/ 브롤 러 문서의 4.2 문단 참조 .Wikia 계열 브롤 스타 즈 위 키자체 서버 스페인어 브롤 스타 즈 위 키 브롤 스타 즈 상징 아이콘 해적 업데이트와 브롤 패스 시즌 3 업데이트를 제외하고는 쭉 사용했던 공식 SNS 계정 프로필 사진 해적 업데이트 때 사용했던 공식 SNS 계정 프로필 사진. 브롤 패스 시즌 3 업데이트부터 사용 중인 아이콘. 해 골 아이콘이 스타 파크의 로고로 변경되었다.
50,2018/3 월 패치로 변경된 새로운 로고 사전 예약이 시작 될 때 공개된 한글 로고 정식 출시 후 사용 되는 한글 로고 [34] 슈퍼 셀이 처음 출시하는 장르의 게임답게 이전 슈퍼 셀 게임에서는 없었던 여러 가지 커다란 변 경점이 있었다.
51,대표적인 예로는 다음과 같다.
52,슈퍼 셀 게임 최초로 인 게임 재화 변경이 많이 이루어졌다.
53,[44] 슈퍼 셀 게임 중 두 번째로 게임 로고가 바뀌었다.
54,[45] 슈퍼 셀 게임 중 가장 긴 베타 기간을 가졌다.
55,[46] 슈퍼 셀 게임 중 최초로 팀 전을 베이스로 했다.
56,"[47] 최적화가 좋지 않은데 만약 자신의 브롤러의 이동 속도가 다른 브롤러보다 훨씬 느린 것 같다면, 네트워크나 기기의 상태가 안 좋은 것 일 수도 있다."
57,"자신의 화면에서는 안 그렇지만, 타인의 화면에서는 캐릭터가 멈칫 멈칫하며 움직이는 것처럼 보이기 때문이다."
58,"확인된 바에 의하면 국내 제조사가 출시한 대부분의 중 저가 형, 보급 형 폰에서는 인터넷이 아무리 좋아도 그래픽 요소 처리 능력이 부족한 지라 기기에서 정상적으로 처리를 하지 못해 딜레이가 생기고, 위에 나오는 대로 공격, 이동, 특수 공격 사용이 타인에 비해 느리게 진행되는데, 빠른 템포의 3대 3 게임이라는 특성에서는 기기를 바꾸지 않는 이상 정상적인 플레이가 불가능하다."
59,"# 유 튜브에 본 게임이 등록이 되지 않았을 때, 공식 채널에서 대 난투 스매시 브라더 스 X로 [48] 게임 등록이 되어 있어 살짝 유머가 되었다."
60,게임의 전체적인 배경은 미국 서부로 정해진 것으로 보인다.
61,특히 개발 초기 당시의 모습은 대놓고 서부극을 연상케 하는 느낌이었다.
62,현재는 서부극의 요소들이 초기에 비해 덜 해졌다.
63,"다만 초기 개발 때부터 존재한 캐릭터들의 디자인들은 여전히 서부극 느낌과 비슷하게 맞춰 져 있기도 하고, 일부 모드들의 배경은 사막 내지는 황무지 인 등 어느 정도의 잔재는 남아 있다."
64,"[49] 또한 캐릭터들의 대사 일부가 스페인어로 되어 있다 던지( 쉘 리 등) 아예 이름과 대사의 절반 이상이 스페인어로 되어 있고 루 차도르의 모습을 하고 있는 듯한 엘 프리모 [50] 나 마리아치+ 망 자의 날을 모티브로 삼은 듯한 포코를 보면 멕시코의 모습도 어느 정도 참고한 듯. 브롤 러들이나 소환 수가 쓰러지면 물감 같은 액체가 남는데, 이것은 클래 시 오브 클 랜, 클래 시 로얄에서도 볼 수 있는 엘릭서로 보인다."
65,베타 초기에 브롤러들을 강화하는 자원으로 엘릭서가 존재했던 것을 생각하면 브롤 스타 즈 세계관에도 엘릭서가 존재하는 것일 수도 있다.
