,sentences
0,"전 하스 스톤 프로 게이 머이며 지금은 트위치, 아프리카 TV, 유 튜브에서 메이플스토리와 하스 스톤을 주력으로 방송하는 스트 리머. 게임에 대한 재능이 매우 뛰어난 편이다."
1,"유 튜브에서 여유롭게 사냥만 하는 모습과는 다르게, 메이 플 스토리 전체 랭킹 3 위 및 제네 시스 무기 해방자, 하스 스톤 전 프로 게이 머, 롤 토 체스 챌린저 10 위권 등 하는 게임들마다 엄청난 이해도와 피지 컬 을 가지며 최상 위권의 랭킹을 달성하곤 한다."
2,노력 왕 먼 치의 게임 재능을 비롯한 기본 적인 지능이 높다는 말이 괜히 나온 말이 아닌 것. [7] 본인 또한 머리 쓰는 게임을 좋아하는 편이라고. 다만 FPS의 경우 멀미를 느껴 오버워치는 골드~ 플래 티 넘 구간이였고 배 그는 못하겠다고
3,밝힌 적 있다.
4,목소리가 비교적 나긋나긋하고 여유로운 편이다.
5,"유 튜브 영상도 마찬가지인데, ' 죠습니다"
6,죠습니다
7,' 라는 멘트는 이러한 먼 치의 방송 특징을 잘 나 타 내준다.
8,그렇다고
9,절대로 먼 치가 방송을 가볍게 하는 건 아니다.
10,"오히려 매우 빡센 편이라고 볼 수 있는데, 그 예로 하스 스톤 프로 게이 머 일 당시 진행하던 하스 스톤 방송에서는 목적을 달성할 때까지 방송을 하며 메이 플 스토리에서는 하루에 12 시간을 넘게 사냥을 한다."
11,"유 튜브 녹화 이래 최고 기록은 신 만렙 확장 당시의 22시간이였으나, 2018년 10월 19일에 3위로 추월당하자 자그마치 24 시간 1분 동안이나 사냥방송을 하였다... 사람인가?"
12,진짜 노력 왕이다.
13,게다가 트위치나 다른 방송 플랫폼을 찾아보면 몇몇 방송에서는 그것마저 넘는 영상이 몇몇 보일 것이다.
14,만 렙 달성을 앞두고 먼 치는 부주 대신 본인이 끝까지 경험치를 올려 만렙을 찍겠다며 12월 7일 오후 2시부터 12월 9일 오전 1 시경까지 자그마치 35시간 동안 사냥을 했다.
15,그러나 먼 치도 사람인지라 결국 방송 도중에 피로가 몰려와 방송을 끄고 드라마를 시청하면서 사냥을 했다.
16,"쉰 게 아니다메이플에서 사냥을 할 때 하도 같은 빌 드로 사냥을 오랜 시간 동안 진행하다 보니 아예 누운 채로 사냥하거나, 눈을 감거나 관심 법 사냥, 천장을 보면서 사냥하는 모습을 종종 목격할 수 있는데, 이런 먼 치의 모습으로 인해 인간 매크로라는 별명이 생겼다."
17,사냥하는 빌 드도 본인이 직접 만들고 테스트하여 만든다.
18,방송을 안할 때 플레이 영상이라고 하는데 아예 누워서 한다.
