,sentences
0,유 튜브와 트위치에서 활동하는 종합 게임 크리에 이 터이며 샌 드박스 네트워크 소속이다.
1,2014년 10월 경 다음팟에서 방송을 시작했으나 테스트 수준이었고 [8] 본격적으로 방송에 뛰어든 시기는 2014년 12월 3일 [9] 이다.
2,"아프리카 TV에서 활발히 활동 하다 2016년 7월 경 샌 드박스 아카데미 1 기생으로 선발, 생방송을 중단하고 유 튜브 채널에 집중했다."
3,[10] 당시 유 튜브 채널 이름은 왕 군의 즐 겜 상영관 .2017 년 2월부터 ' 게임하는 임금' 을 캐릭터로 잡고 곤룡포와 익선관을 착용한 채 게임 방송을 진행했다.
4,[11] 역사적인 그 순간 이 때 채널이 주로 성장하면서 아직도 많은 시청자들의 머릿속에는 이 캐릭터가 남아 있는 듯하다.
5,현재는 임금 캐릭터를 내려놓고 본인 만의 스타일을 찾아가는 중이다.
6,그 이유는 곤룡포가 입기 어렵기 때문이 아니라 계속 임금 콘셉트에 갇혀 진짜 자신을 잃어버린 느낌이었다고.2019
7,"년 8월, 후술할 마요 성폭행 및 성 추행 논란으로 인해서 약 8개월 동안 모든 활동을 임시 중단했다."
8,그러나 2020년 3월 28일 기준으로 기존과 다른 스타일의 영상을 올리면서 다시 복귀를 알렸다.
9,다만 한동안은 업 로드 주기가 불규칙적일 거라
10,하고 타르 코프 등의 실사 FPS 게임에 중점을 둘 것으로 보였다.
11,하지만 영상의 주기는 3개월에서 1개월까지 들쑥날쑥 했다.
12,그러다 9월 초부터 TABS 영상이 규칙적으로 올리며 다시 완벽하게 복귀했다.
13,"종합 게임 크리에 이 터답게 PC, 모바일, PS4 등 다양한 플랫폼의 게임을 가리지 않고 플레이한다."
14,다만 유 튜브에 업 로드하는 게임과 생방송으로 진행하는 게임은 다소 차이가 있다.
15,시즌 별로 스토리를 진행하는 콘텐츠가 많기 때문에 아직 보지 못한 콘텐츠가 있다면 스포일러 주의. 덧니가 굉장히 심했다.
16,옛 영상을 보면 캠에서 입을 벌리고 웃을 때 왼쪽 상단 치아가 굉장히 뾰족 하게 보인다.
17,[16] 그러나 2018년 11월 교정을 끝내면서 덧니는 더 이상 볼 수 없게 됐다.
18,임금 콘셉트를 잡기 전엔 리그 오브 레전드를 굉장히 많이 플레이했다.
19,또 한 GTA 5등 자극적인 컨텐츠도 많았다.
20,이 영상에서 첫 얼굴 공개를 했다.
21,그리고 당시의 캐릭터 컨셉은 노란 머리에 호피 무늬 속옷을 입고 선글라스를 끼고 있다.
22,이때 당시의 모습은 지금이 장난끼가 꽤 있는 모습이라면 저 때에는 상당히 훈 남이 여서 의외라고 하는 사람들도 있다.
23,[17] 그러나 현재는? 그냥 동네 아저씨 잘 알려 지지 않았지만 스팀 큐레이터 활동도 했었다.
24,아프리카 TV에서 유 튜브로 넘어갈 무렵 ' 왕 군의 흥 겜 망 겜 '이란 제목의 스팀 그룹이 만들어 졌고 다양한 인 디게임들을 리뷰했었다.
25,[18] 현재는 활동이 줄었는지 2017년 3월 15일 글이 마지막이다.
26,주소는 이곳 생방송 중에 설레임 에디션의 팬이라고 언급했다.
27,네이버 카페 개인방송 커뮤니티의 매니저다.
28,또 한 유 튜버 공식 팬 카페를 직접 운영하는 유 튜 버이다.
29,팬 카페 주소 야근쟁이다.
30,인스타 그램을 보면 야근하는 사진이 있을 정도다.
31,비누 TV에 올라온 괴담에서 조 차 왕 군이 야근을 한다는 내용이 나오는 것으로 보아 야근을 자주 하는 모양이다.
32,비누 TV 괴담 영상 왕 군이 이끄는 한글화 팀 ' 팀 우리말' 이 콜로니 서 바이 벌을 공식 한글화 하였다.
33,"본래 개인적으로 혼자 진행하던 한글 패 치를 기반으로 팀을 꾸려 개발 사와 접촉, 공식 한글화를 진행했다고"
34,한다.
35,콜로니 서 바이 벌 한글 패치 배포 영상 토탈 탱크 시뮬레이터 개발 사에서 선물을 보내줬다.
36,선물 개봉 영상의 외로 많은 시청자가 왕 군이 왕 씨라는 사실을 알지 못한다.
37,밀 덕이다.
38,총 중에선 벡터를 가장 좋아한다.
39,혁명적인 작동 구조가 멋있지 않을 수 없다고.
