,sentences
0,"포유 강 빈 치상 목에 속하는 동물. 그야말로 이름이 참 잘 어울리는 잉여 동물로, 한국어는 나무와 느림보의 합성어인 나무 늘보, 영어로는 Sloth( 나 태) 이름이 너무나도 잘 어울리는 빈 치류의 동물. 일본어로도 게으름뱅이를 의미하는 나 마케 모노(なまけもの, 樹懶) [2] 이다."
1,"프랑스어 Paresseux 나 독일어 Faultiere, 네덜란드어 Luiaards, 스페인어 Perezoso도 마찬가지로 나태함이나 게으름뱅이라는 의미를 갖고 있다."
2,터키어의 tembel hayvan은 아예 ' 게으름뱅이 동물' 이라는 뜻이다.
3,그리고 러시아 어에서는 ленивый( 게으르다) 라는 형용사에 파생된 лениве ц를 의미한다.
4,특이하게 그리스어 인 βραδύποδας (vradipodhas) 는 ' 저녁에 걷는 동물' 이라는 뜻이다.
5,같은 나무 늘보에 속하는 종들을 제외하면 현존하는 가장 가까운 친척은 개미핥기로 둘 다 유모 목에 속한다.
6,과거에는 아르 마 딜 로와 함께 ' 빈치목' 이라는 분류 군에 속해 있었지만. 현재 아르 마 딜 로는 피갑 목이라는 별도의 분류 군에 속한다.
7,다만 유모 목이나 피갑 목이나 상목수준에서는 빈 치상 목 (Xenarthra) 이라는 동일한 분류 군에 속하므로 다소 거시적인 관점에서 보자면 어느 정도 유연관계에 속한다.
8,코끼리와 듀공과 바위 너구리와 코끼리 땃 쥐가 모두 다른 목에 속하기는 하지만 아프로 테리아 상목에 속하므로 분류학적으로 가까운 사이라고 하는 것과 비슷한 맥락. 나무 늘보의 빠른 이동 너무 느린 움직임 탓에 무능력한 동물이라는 인식이 있으나 실은 나름대로 환경에 적응을 한 케이스다.
9,움직임이 느린 것은 근육 량이 적기 때문인데 그 덕에 에너지 소모량도 적다.
10,신진대사가 극단적으로 느려서 적은 양의 먹이만 있어도 살아갈 수 있는데 1주일에 한 번 배설할 정도라고 한다.
11,여기에 체중도 가벼워서 나무에 매달린 채로 의식주를 해결하는 것이 가능하다.
12,너무 안 움직이는 탓에 역으로 의태가 되어 생각보다 천적도 많지는 않다.
13,여기에 보태서 잠도 굉장히 많다.
14,"하루에 18 시간을 잠으로 보내며, 심지어 식사 중에 졸기도 한다고 한다."
15,땅바닥에 내려오는 경우는 거의 없으며 그나마 1주일에 한 번 씩 내려오는 건 배설을 하기 위해서 다. 주식은 나뭇잎인데 문제는 이 나뭇잎이 영양가가 너무 없고 뱃속에 들어가서 1 달이 넘게 있어도 소화가 거의 안 될 정도라는 것. 얻을 수 있는 에너지가 너무 적어 차라리 신진대사를 극도로 낮추는 쪽으로 진화했다.
16,이 때문에 현재의 나무 늘보들은 하루에 나뭇잎 3개 정도만 먹어도 충분할 정도이다.
17,"하지만 영양가가 풍부하고, 소화도 잘되는 먹이가 잔뜩 공급되는 동물원에서는 야생에 비해 활발하게 움직이는 편. 다만 어디까지나 야생에 비해 서지 느리고 잠이 많은 건 여전하다."
18,"다만 일반적으로 1개 나무당 1마리의 나무 늘보가 서식하며, 나무 늘보들도 기왕이면 튼튼하고 약초 효능이 있는 나무를 선호해서 나무 쟁탈전을 벌이기도 한다."
19,나무에 매달려 살기 때문에 털이 거꾸로 나며 움직임이 너무 느려서 털에 녹조류가 끼기도 한다.
20,"다만, 이 녹 조는 오직 나무 늘보에게 서만 자란다고 한다."
