,sentences
0,"유 튜브 의 키즈 크리에 이 터 채널, 라이 언은 태어난 곳은 텍사스 이지만 현재 LA에 거주하고 있다."
1,"2011 년생이며 아버지는 일본계 출신 이민자인 시온 카지, 어머니는 베트남 계인 로 앤 카 지이다."
2,그 외 여동생인 엠 마와 케이트가 있다.
3,가족의 내력이 비밀로 쌓여 있는데 카 지는 예명이고 원래 성씨는 관 (Guan) 씨이다.
4,일본어로 관은 보통 세 키나 칸으로 읽기 때문에 아버지 시온 관의 조상이 중국계 화교 일 가능성이 있다.
5,"다만 패밀리 채널에서 일본에 있는 할아버지, 할머니도 나오는 걸 보면 오래전에 이미 일본에 귀화한 모양이다."
6,시온은 도쿄 출신이라는 말도 있고 후 쿠시마
7,출신이라는 말도 있다.
8,"어머니 로 앤의 원래 이름은 키에 우 로 앤 티에 응우옌으로 베트남계 이민자의 자손으로 미국에서 태어났으며 텍사스 공대를 다니다가 미국으로 유학 온 시온을 만 나 캠퍼스 커플로 발전, 2011년 라이 언을 낳았다."
9,2013년 정식으로 둘은 결혼했다.
10,여담이지만 엄마 로 앤은 18 살 때 옷가게에서 좀 도둑질을 하다가 걸려서 30 일간 구류 처벌을 받은 바 있다.
11,가족의 내력에 대해 침묵하는 것도 이런 이유 때문인 듯 하다. 이후 로 앤은 고등학교 교사를 했고 아버지 시온은 텍사스 공대를 졸업 후 엔지니어 일을 했다.
12,원래 라이 언이 각종 장난감을 가지고 노는 걸 촬영하여 올리는 영상 채널이었다.
13,"2015년에 장난감 리뷰 채널을 운영하면서 인기를 끌자 이 채널은 온갖 놀이나 장난감 리뷰는 물론, 애니메이션 캐릭터들도 전부 리뷰하는 편이다."
14,더해서 라이 언 패밀리 리뷰 채널을 만들어 일상 생활 영상이나 여행 영상도 올리고 있다.
15,일본계 미국인으로서의 자각이 큰 지 일본 문화 소개 영상이나 일본어 소개 영상도 자주 올리는 편이다.
16,미국을 비롯해 전세계에서 큰 인기를 끌고 있으며 특유의 홍보 성과 소문이 좋은지 구독자 수가 엄청나게 높다.
17,"2020년 5월 기준으로 구독자 수는 2510만명, 채널의 조 회수는 390억 회로 세계 인구수를 훌쩍 넘는 수치다."
18,"그 외 관련 채널인 패밀리 채널도 570만명, Gus gummy gator도 100만명의 구독자 수를 보유하고 있다.1"
19,년 수익이 약 2600만 달러에 이른다고 한다.
20,그야말로 유튜버계의 제왕이라고 할 만하다.
21,라이 언 좌 라이 언은 미국 대형 마트 체인인 ‘ 월 마트’ 와 단독으로 ‘ 라이 언스 월드 (Ryan ’s World)’ 라는 장난감 및 의류 브랜드 판매를 시작했다.
22,거기다
23,"자신의 이름과 얼굴을 딴 칫솔, 치약도 판매한다."
24,유 튜브 광고 조 회수에 따른 수입 외에 기업들 과의 협업을 통해 창출하는 수입도 있는 것이다.
25,최고 조 회수 동영상은 라이 언이 워터 슬라이드에서 노는 영상으로 무려 20억 회를 찍었다.
26,# 예전에는 그래도 순수하게 노는 모습이 보였는데 요즘은 머리가 굵어 젔는지 어른 뺨치는 연기도 한다.
27,(....) 미국의 유명한 어린이 채널 니켈로 디 언과 협업하고 있다.
