,sentences
0,"오버 워치 배그 막 하는 유튜버요. 배틀 그라운드, 오버 워치, 포트 나이트의 영상을 편집하는 인터넷 방송인이다."
1,"[10] [11] 초반에는 자신의 영상만을 찍어 편집한 영상이 대다수였지만, 어느 샌가 시청자의 영상도 등장하고 결국 제보를 받아 편집하는 형식이 되었다."
2,"영상 편집 방법이 유 튜브를 운영하며 바뀌었는데, 하우 카우 본인이 영상을 찍어 편집하는 방법에서 한동안 제보 받은 장면을 편집하는 방법으로 갔다."
3,현재는 초창기처럼 거의 본인의 플레이 영상을 편집한다.
4,하우 카 우가 만든 콘텐츠는 아주 뛰어난 예술 작품.... 은 페이크고 그냥 미친 영상 컨텐츠를 만든다.
5,자세한 건 아래를 보자.[ 오버 워치] 루시 우 볼 버그에 시달리는 영상 [17] [18][ 오버 워치] 옵치 관 짝 밈 Coffin dance meme[19][ 포트 나이트] 타노스가 포트 나이트 양 학하는 영상[ 월드 오브 탱크] 전차 정비병 혹사시키는 게임 [Vrchat] 살다 살다 이딴 주제로 맞짱까지 뜨네
6,[ 귀 멸의 칼날?] 너희들이 그렇게 만들어 달라 던 ' 둠 즈 코' 다 [20][ 오버 워치] 저 주 받은 만화 트레이서 이 영상에는 슬픈 전설이 있어 [21] 본 계정의 밈 위주의 편집과는 다르게 평소의 방송이나 타 스트 리머와의 합방 내용을 편집하여 업 로드하는 채널이다.
7,부계 정에 2020년 12월 13일 첫 업 로드를 시작하였다.
8,김 나성 김 박사 게 렌 뒷목 잡는 맹꽁이 방 [25] 담담 델 로 략 국사 모장 실크로 아론 페이지 아미타 빌 통 깡이: 같이 게임도 하고 서로 사이 좋게(?) TS 짤 도 교환한다 [26]. 광복절 기념으로 디스코 드로 장난을 치기도 한다.
9,# [27] 표 림 장마 군 왈도 쿤 유 뚱 알로 직 렘 짱 윤 루트 해마 티 엘류 으 미 Simple Life OnAir 공파리 파 연다만 우 절 기념 영상으로 야 동 [28] 을 올렸다가 광속으로 잘린 적이 있다.
10,이후 두고 두고 폰 허브 관련 드립을 치는 사람들이 튀어나오곤 한다.
11,[29] 죠죠
12,러이다.
13,프사부터 쿠죠
14,죠
15,타로와 라인 하르트를 섞은 이미지를 쓰다가 죠죠
16,그림 체의 아바 타로 바꿨다.
17,영상에 죠죠
18,밈이 자주 나온다.
19,"예를 들어 메이, 둠 피스트가 DIO로 나오고, 젠야타가 카 쿄인 노리아 키, 라인 하르트가 쿠죠"
20,"죠타로, 혹은 스타 플래 티나로 나온다."
21,둠 피스트를 심히 싫어하는 듯하다.
22,썸 네 일이나 워크 샵 컨텐츠를 보면 대부분이 둠 피스트 능욕당하는 장면이 나온다.
23,이 ' 모'( 毛) 없는 쓰레기 야유 튜브 커뮤니티에 여 체화 팬 아트가 올라온 후 방송에서 표 림처럼 여자 라 부르는 밈이 생겼다.
24,본인은 안 좋아하는 듯 보이지만 구독자 및 시청자들은 좋아한다.
25,[30] 방송에서 남자냐고 묻는 청자의 질문에 여자라고 답한 적이 있다.
26,영상의 2:28 초 부분 [31] [32] [33] 나이를 공개한 적은 없지만 델로략국이 형이라 부른다.
27,이탈리아에서 인턴을 한 적이 있다고
28,한다.
29,주 콘텐츠가 마약 편집이다 보니 스패즈와 엮이는 경우가 있다.
30,각각 코카인과 대마초 그리고 가끔 씩 서로서로 유 튜브 영상에 댓 글을 주고받고 있다.
31,라이 벌의식 12월 7일 트위치 방송에서 일상 채널 [34] 을 개설했다고
32,소식을 전했다.2020
33,"년 12월 20일 유 튜브 커뮤니티 게시물을 통해 "" 엌 ㅋ 오늘 8시까지 영상 못 올리면 내 캐릭터로 야 짤 만든다"
34,"ㅋㅋㅋㅋㅋㅋ"" [35] 라는 글을 올렸다."
35,그리고 8시까지 올리지 못했다.2020
36,"년 12월 26일 유 튜브 커뮤니티 게시물을 통해 "" 또 마감 시간 내기 해볼까 방송 켬"" 이라고 글을 남겼고 7초 차이로 영상을 업 로드 하지 못하였고 본인 캐릭터의 ts 화 한 캐릭터를 픽 시브에 올리기로 하였다.2021"
37,년 1월 3일 트위치 방송에서 자기 자신이 여자라고 인정을 하고 썸 네 일에 하 카 순으로 그리는 걸 썸 네 일 러한테 허락했다.2021
38,년 1월 3일 트위치 방송에서 본인의 키는 178cm라고 밝혔다.
39,"[36] 부 계정의 영상 조회 수가 일명 "" 하 카 순"", 하우 카우의 여체화 캐릭터가 썸 네 일로 올라와 있는 영상이 조회 수가 잘 나오자 여자로 그려 달라고 말한 적이 있다."
40,[37] 유 튜브 트위치 개 [38] 죠죠
41,"러 [12] 카드 캡 터 리퍼, 마법 소녀 라인 하르트, 천사 소녀 모이라 등등... 게임만 써서 저만한 퀄리티를 뽑아내는 것도 경이로운 지경인데 그 걸로도 부족한 지 각종 일 러스트, 시각효과, SFM까지 동원해 가며 영상을 만드는데도 정말 위화감이 하나도 없이 편집해 내며, 그 퀄리티는 약을 넘어선 무언가 다(...). 아예 작품이라고 봐도 무방할 정도... 심지어 영상 주기도 최소 3일 최대 1 달이라는 굉장히 짧은 텀임에도 불구하고 퀄리티는 초창기 이래로 늘었으면 늘었지 퀄리티가 줄어들은 적이 단 한번도 없는 괴 인. 직장까지 병행해 가며 영상을 편집한다고 본인이 언급했으면서 단 한번도 구독자들을 실망시킨 적이 없었다."
42,오버 워치 유 튜 버인 실크로와 전 노 돌리 멤버였던
43,델 로와 굉장히 친하다.
44,델 로 같은 경우는 영상에 대신 목소리를 넣어 줄 때도 종종 있다.
45,가끔 델 로 략 국× 통깡이 [13] 듀오와 함께 레인 보우 식스 시즈를 즐기기도 한다.
46,최근에는 워크 샵을 활용한 마약 영상을 올리고 있다.
47,"한국인은 절대 불가능한 일심 동체 모드 둠 피마저 씹어 버리는 젠 야 타 워크 샵 사회적 거리 ' 안' 두기 라인 하르트 워크 샵 적폐 "" 에코 ""를 더욱 적폐로 만드는 모드 한국인의 우정 개 박살 확정 워크 샵 호그 갈고리로 미사일 발사하는 모드 보시다시피 배 틀 그라운드 영상은 대부분 웃긴 장면 모음집이지만 몇몇 영상은 더 미쳤다."
48,"[PUBG 배틀 그라운드] 프라이팬만 있으면 난 두려울 게 없다!! [14] [PUBG 배틀 그라운드] 에너지 드링크( 약 )에 너무 취하진 말게 - 웃긴 장면들 모음집 [PUBG 배틀 그라운드] 드디어 모습을 드러낸 4 레벨 뚝배기!! - 웃긴 장면 모음집 [PlayUnkownsBattleGround - WTF moments[PUBG 배틀 그라운드] 탈출 하기엔 늦었다!!! "" 레. 토. 나 다""!!!!!!!!!!!! - 웃긴 장면 모음집 [PUBG 배틀 그라운드 - WTF] 상대방이 과연 널 못 보고 지나쳤을 것 같나?"
49,"- 웃긴 장면 모음집 [PUBG WTF moments] [HOWCOWuuu [PUBG 배틀 그라운드] 무슨 게임이건 적은 언제나 내부에 있다... - 웃긴 장면 모음집 [PUBG WTF Moments] [HOWCOW [PUBG 배틀 그라운드] 난 나보다 느린 놈에게 보급을 주지 않는다 - 웃긴 장면 모음집 [PUBG WTF Moments] [HOWCOW[ 포트 나이트] 총? 넌 곡괭이로 처리한다 - 웃긴 장면 모음집[ 포트 나이트] 그들이 ' 뚫어 펑' 을 사용하는 방법 - 포나 하이라이트 모음[ 포트 나이트] 포린이의 아이템을 모두 강탈해 가는 고인물 - 포나 하이라이트 모음 인 피니 티 건 틀 렛 모드 요약 [ 포트 나이트 신 모드] [HOWCOW 타 노 스가 포트 나이트 양 학하는 영상[ 포트 나이트] [HOWCOWAPEX 예고편? [HOWCOWuuu 열받게 만드는 에이 팩스 레 전드 [HOWCOWuuu] [APEXDARKSOULS 3 - Voldt's Great Hammer PVPDARK SOULS 3 - PVP 21winsDARK SOULS 3 - WINGED KNIGHT TWINAXES PVP 롤버워치라고 불리는데 오버워치랑 전혀 다른 게임, 발로 란트 [15] [Among us] CAR SHEARER DANCE MEME[16] [Among us] 1 루 수가 누 군 데 어몽어스에서 날 힘들게 해 [Among us] 어 몽 어스! 롤링 발 칸이다!! [Among us]AMONG US but Sans [Among us] 제발 전기 좀 고쳐 ㅓㅓㅓㅓ 우리 그냥 여기서 살자![ 인 사일 런스] [22] 귀 접하는 게임 [ 파스 모포 비아] 델 로 캐릭터 쩔더라"
50,ㅋㅋㅋ [23] 통 깡이 가 직접 판매하는 통 깡이 여장 [ 하우 카우 우우 우][ 물건 모른 채 판매하기] 후 후후 이렇게 멋진 얼굴을 한 남자 라니 나는 어째서 픽 시브에 본인 야 짤을 올렸는가
51,[24] 후 후후 이렇게 멋진 얼굴을 한 남자 라니
