,sentences
0,"이제, 모든 곳이 배틀 그라운드 배 틀 그라운드의 모바일 버전으로 2018년 5월 16일, 국내에서 서비스가 시작되었다."
1,기존 PC 버전의 배 틀 그라운드와 동일한 FPS 게임이다.
2,"최소 사양 권장 사양 AP 퀄 컴 스냅 드래곤 800 애플 A7 퀄 컴 스냅 드래곤 820 애플 A9OS 버전 Android 4.3Android 5.1.1 사 양 충족 기기 갤 럭 시 노트 3, LG G2, 아이 폰 5s 외 동급 기기 [7] 갤 럭 시 S7, LG G5, 아이 폰 6s 등 동급 기기 안 드로 이드 디바이스의 최소 소프트웨어 버전은 안 드로 이드 4.3, AP의 경우는 퀄 컴 스냅 드래곤 800이며 권장 소프트웨어 버전은 안 드로 이드 5.1.1 이상, AP는 퀄 컴 스냅 드래곤 820 이상을 권장한다."
3,상당히 고사 양 게임이라 권장 사양으로 명시된 스냅 드래곤 820에 서도 프레임 드랍 등 렉이 꽤 심하다.iOS
4,"는 iPhone 5s, iPad Air, iPad mini 2와 같이 애플 A7 이상 탑재 기기를 지원한다."
5,배틀 그라운드 모바일 관련 문서 [ 펼치기 · 접기 ] 플레이 정보 전략 및 팁 · 무기( 모바일 한정 주무기) · 랭크 모드 클래식 모드 · 아케이드 모드 · 이벤트 모드 · 팀 데 스매 치 · Play Lab · 메트로 로얄 맵에란 겔 · 미라 마 · 사 녹 · 비 켄 디 · 리 빅 · 훈련장 · 플레이 그라운드 업데이트 내역 2018 · 2019 · 2020 · 2021 기타 캐릭터& 버디 · 개인 업적 · 로얄 패스 · PC 버전과 비교 · 무기 스킨 · 문제점 및 사건 사고   자 세한 내용은 배틀 그라운드 모바일/ 플레이 정보 문서를 의 번째 문단을의 부분을 참고하십시오.
6,  자 세한 내용은 배틀 그라운드 모바일 /PC 버전과 비교 문서를 의 번째 문단을의 부분을 참고하십시오.
7,"안 드로 이드 지원 기기 이지만 키보드/ 마우스의 사용, 큰 화면, 좋은 성능을 위해 PC를 사용할 수 있다."
8,"글로 벌 버전 기준 2018년 4월 10일부터 에 뮬 레이터 사용시 ""에 뮬 레이터가 감지됐습니다."
9,에 뮬 레이터 유저와 만 매칭될 것입니다.
