,sentences
0,"2013년 8월 9일에 방송을 시작한 前 아프리카 TV의 게임 BJ, 現 유 튜브 크리에 이 터 및 트위치 스트 리머 .2016 년 10월 28일 처음으로 트위치 방송 송출을 했었다."
1,하지만 방송은 아프리카 TV 와 유 튜브 스트리밍으로 진행하다가 트위치 계약 이후 현재까지 트위치로만 생 방을 한다.
2,"캐릭터 컨셉은 분홍머리에 빨간 왼쪽 눈, 파란 오른쪽 눈과 목에 혈사 문양이 그려진 남성 [2] 현재는 거의 유 튜브에서만 방송하고 있다."
3,주로 아이 작의 번제: 에프터버스와 배틀 그라운드 그리고 데드 바이 데이 라이트를 한다.
4,2016년까지 는 아이 작이나 오버워치를 주류로 했고 2017년에 들어와서는 배 틀 그라운드를 자주 한다.
5,특히 아이 작은 서 농에게 뗄래
6,"야 뗄 수 없는 관계인데, 정말 질리도록 했지만 유 튜브 조회 수가 다른 영상에 비해 2~3 배 가량 나오기 때문에 [3] 자의 반 타의 반으로 아이 작 방송을 장시간 [4] 해 온 입장으로서는 아이 작이 애증의 대상일 듯. 때문에 아이 작 망했으면 좋겠다거나, 청자가 아이 작 좀 더 해 달라는 말을 하면 그런 끔찍한 소리하지 말라는 말을 종종 하기도 한다(…) 이래서 시청자들은 서 농이 아이 작 방송을 하면 "" 일 한다 ""라고 표현한다."
7,아이작의 플레이 방식은 주로 스피드 플레이. 귀찮은 걸 매우 싫어한다.
8,서 농은 아이 작 게임을 즐기는 것이 아니라 빠르게 클리어하는 것이 목적이기 때문에 이 귀찮음이 가끔 씩 신 박한 플레이를 보여 주기도 하고 시청자가 매우 답답 해질 때도 있다.
9,"아이템 파밍을 거의 안 하고, 아이템이 떨어져 있는데 잘 안 줍고, 맵 상에 아이템이 있어도 너무 멀리 있으면 안 먹기도 한다."
10,멀리 있을 땐 황금 방도 버린다.
11,"다만 D4 혹은 D100 을 먹었을 때는 달라지는데, 악마 방 템도 나올 수도 있기 때문에 황금 방이나 상점도 정말 꼬박꼬박 챙긴다."
12,큰 그림 성애자다만 현재는 텔 레포트 창작 모드를 사용하면서 있는 아이템을 버리는 일이 거의 없다.
13,또 한 최근 방송에 선 디 버그 콘 솔로 원하는 아이템을 얻어 가면서 컨셉 조합을 짜는 컨텐츠를 주로 하고 있다.
14,데드 바이 데이 라이트는 가끔 한다.
15,퀘스트 패 치가 되고 나선 자주하는 것처럼 보였지만 최근은 뜸하다.
16,아재 개그를 많이 친다.
17,이에 시청자들도 아재 개그를 친다. ~~
18,"대표적으로 "" 님들 물리치료가 왜 물리치료인지 알아요?"
19,""" "" 병을 물리치려고"" 아이 재밌다."
20,등이 있다.
21,미 스테이크 이 짓 좀 안했으면 좋겠다 서 농이 노래를 부르면 그야말로 충 공 깽... 물론 장난이고 제대로 부르면 굉장히 잘 부른다.
22,자세한 것은 서 농의 노래 항목 참조. 방송 도중 식사를 하는 경우가 많다.
23,여담으로 서 농은 햄버거를 제일 좋아한다.
24,"상하이 스파이 시 버거, 케이 준 더블 버거를 좋아한다고 알려 져 있다."
