,sentences
0,미래의 전장에서 궁극의 팀 기반 슈팅 게임을 플레이하십시오.
1,오버 워치는 블 리 자드 엔터테인먼트의 팀 기반 멀티 플레이 하이퍼 FPS 게임이다.2016
2,"년 5월 24일에 PC, PS4, Xbox One으로 전 세계에 발매되었다.2019"
3,년 10월 15일에 닌텐도 스위치 버전이 출시되었다.
4,콘솔 버전 중 유일하게 한국어가 지원된다.
5,"패키지 버전도 출시될 예정이나, 게임 카드는 빠지고 DL 코드만 동봉된다고. [6] 추가로 스위치 온라인 3개월 이용권도 함께 동 봉된다."
6,이것을 하면 그랜드 마스터도 브론즈가 된다 [7] 가장 좋은 점으로 채팅을 못 해서 싸울 일이 없다는 점이 지적되고 있다.
7,자세한 사양은 문서 참조# 최소한 64 비트 운영체제 와 DirectX 10.1이 시스템 상에 설치되어 있어야 한다.
8,"다만, DirectX의 경우, 그래픽카드에서 지원하는 API 버전을 의미하며, 시스템 상에 DirectX 11 이상의 버전이 설치되어 있어야 클라이언트의 실행이 가능하다."
9,"최소 사항 이하의 그래픽카드는 성능 타협으로 플레이는 가능하나 Intel HD Graphics 2500 이하의 내장 그래픽은 정상적으로 플레이하기 어렵거나 게임 실행이 안 될 수 있다... 노트북의 경우 HD 1280*720 해상도를 기준으로 라 데 온 530( 혹은 940MX, MX110) 급이거나 그 이상의 급일 경우 60 프레임 고정에 수직 동기화 활성화 상태로 구동이 가능하다."
10,물론 CPU가 4 코어이면 60 프레임 고정도 노려볼 수 있다.
11,"다만 램을 무조건 8GB 이상으로 맞추도록 하자.( 렌더링 스케일 80% 기준, 모든 옵션 최하) 인기 온라인 게임들 중에서는 최적화가 상당히 잘 된 편으로 꼽힌다."
12,IT 유튜버들의 CPU와 그래픽 카드 벤치 마크를 보면 벤치 마크에 주로 나오는 타 게임들에 비해 초당 프레임 수가 월등히 높다.
13,GTX 960으로 풀 옵션 60 프레임 대 유지가 가능하다.
14,시스템 요구 사항 구분 최소 사양 권장 사양운영체제 윈도우® 8 / 윈도 우® 10 64-bit[8] 프로 세서 Intel® Core™ i3 [9] 또는 AMD Phenom™ X3 8650Intel® Core™ i5AMD Phenom™ II X3 그래픽 카드 NVIDIA® GeForce® GTX 460ATI Radeon™ HD 4850Intel® HD Graphics 4400[10 ]NVIDIA® GeForce® GTX 660AMD Radeon™ HD 7950 램 4GB6GB 용량 30 GB 이상의 하드 드라이브 여유 공간 인터넷 광대역 인터넷 연결해 상도 최소 1024 x 768 디스플레이 해상도 블 리 자드 게임답게 공식 BGM의 퀄리티가 상당한 편이다.
15,"다만 인 게임의 BGM과는 다소 차이가 있으며, 시네마 틱 영상에 쓰인 브금도 있다."
16,위의 영상은 하나의 영상이 아닌 ' 목록' 이다.
17,다음 곡을 듣고 싶다면 넘길 수 있다.
18,"이하는 각 트랙 목록. 본래 유저가 추출하여 모아 놓았던 목록이 삭제된 관계로, 대신 2020년 중반부터 공식에서 제공하는 ost 목록으로 대체한다."
19,번호 제목 비고 1Opening( 서곡) 영웅 픽 창에서 나오는 음악의 어 레인지 2Busan( 부산) 부산 테마 3Temple of Anubis( 아누
20,비스 신전) 아누
21,"비스 신전 테마 4Blizzard World( 블 리 자드 월드) 블 리 자드 월드 테마 5Eichenwalde( 아이 헨 발 데) 아이 헨 발 데 테마 6Ayutthya( 아 유타야) 아 유타야 테마 7Oasis( 오아시스) 오아시스 테마 8Watchpoint: Gibraltar( 감시 기지: 지브 롤 터) 감시 기지: 지브 롤 터 테마 9Hollywood( 할리우드) 할리우드 테마 10Hanamura( 하나무 라) 하나무 라 테마 11Paris( 파리) 파리 테마 12Ilios( 일 리 오스) 일 리 오스 테마 13King 's row( 왕의 길) 왕의 길 테마 14Route 66(66 번 국도 )66 번 국도 테마 15Lijiang Tower( 리 장 타워) 리 장 타워 테마 16Rialto( 리 알토) 리 알토 테마 17Dorado (도 라도 )도 라도 테마 18Nepal( 네 팔) 네 팔 테마 19Ch âteau Guillard( 샤토 기야 르) 샤토 기야 르 테마 20junkertown( 쓰레기 촌) 쓰레기 촌 테마 21Numbani( 눔 바니) 눔 바니 테마 22Havana( 하 바나) 하 바나 테마 23Volskaya Industries( 볼스 카야 인더스 트리) 볼스 카야 인더스 트리 테마 24Horizon Lunar Colony( 호라이 즌 달 기지) 호라이 즌 달 기지 테마게임 내에서 스토리가 거의 진행되지 않기 때문에, 공식 미디어 믹스들이 스토리에서 차지하는 비중이 크다."
