,sentences
0,"한국의 오버 워치 유 튜버. 개인 신상은 잘 밝히고 있지 않으나, 군대 언급을 한 것을 보면 20살 즈음을 넘긴 성인으로 보인다."
1,그리고 친구랑 듀오하는 영상에서 본인과 7년 지기 친구 말 카 디 아의 나이를 22세라고 적었기에 98 년생 임이 확인되었다.
2,[4] 이후 영상에서도 사진이 22살이라 지속적으로 언급한다.
3,오버 워치 유저로서의 주 티어는 그랜드 마스터. 주 포지션은 딜러 이지만 피드백을 해 주는 유저답게 탱커와 힐 러도 곧잘 플레이하는 모습을 자주 보인다.
4,"일단 겐 지, 트레이 서가 주 캐라 고 하며, 그 외 한조, 아나 등 투사체 영웅들을 주로 했다가 부계 정으로 맥 크리와 위도 우 메이커를 엄청나게 연습한 이후에는 히트 스캔 영웅들도 사용한다."
5,"핵 의혹 시비도 있었을 정도로 에이밍이 뛰어 나서 주캐 인 겐 지, 한조, 위도 우, 맥 크리 외 메이와 솔 저 등 비주류 영웅들 로도 1인 분 이상은 해낸다."
6,"전반적인 플레이 스타일은 필요할 때만 뒤돌기 같은 변수 플레이를 두며, 철저한 포지션 및 어 그로 관리로 생존을 도모하면서 처치 기회를 노리는 안정적인 스타일이다."
7,"주로 포지션과 어 그로 관리를 강조하고, 에이밍은 따로 영상을 제작하여 설명한다."
8,생방송을 할 때는 마이크를 사용하지만 어째서 인지 주로 올라오는 경쟁 전 및 플레이 영상에는 본인의 목소리가 녹음되지 않도록 한다.
9,"[5] 이후 후 술할 스트 리머 대전에서 목소리가 공개되었는데, 저음으로 밝혀졌다."
10,영상 내용은 전체적으로 신사적이며 방송을 할 때도 욕설을 거의 하지 않는다.
11,그런데 거기서 가끔 씩 작렬하는 병맛스러운 그림과 은근한 드립이 매력 포인트라
12,할 수 있다.
13,초기에는 그림을 그리지 않다가 인트로에 대충 그려 둔 그림이 댓 글에서 엄청난 호평을 받으면서 [6] 거의 모든 영상에 직접 제작한 그림을 넣고 있다.
14,대부분의 영상에 들어가는 특유의 음악이 있다.
15,트레이드 마크라고 할 수 있을 정도. 대표적으로 The Green Orbs - Rainy DayGames[7] 이 있다.2019
16,년 9월 즈음엔 영상 업 로드 빈도가 줄어들었는데 오버 워치 스트 리머 대회에 참가하기 때문으로 보인다.
17,주 포지션은 딜러 임에도 불구하고 서브 탱커로 섭외되었다.
18,이유인 즉 해당 팀의 딜러 두 명이 무시 무시한 인물이라 명단을 보고 바로 수긍했다고
19,한다.
20,"나중에 올라온 영상에서 섭외된 딜러는 김 병장, 안산 저격수, 그리고 김도현으로 밝혀졌다."
21,2020년 4월 20일에는 실시간 피드백을 진행했다.
22,"즉, 목소리를 직접 넣으면서 피드백을 진행하는 컨텐츠를 했다."
23,2020년 7월에는 하이 퍼스 케이프에 빠져 있다고
24,한다.
25,8월 19일에는 서든 어택(...) 을 플레이 한 영상을 올렸다.
26,의외로 나름의 재미와 중독성은 있다고
27,호평하면서도 게임을 삭제했다.
28,9월부터 는 핵 의심 해명 컨텐츠를 없애기 위함인지 손 캠을 키기 시작했다.
29,잠깐 얼굴이 캠에 비춰 진 것을 은근슬쩍 영상에 넣었는데 댓 글에서는 왜 대머리가 아니냐고 질타 중이다.
30,실전 강의 - 본인이 플레이한 경쟁 전 영상을 토대로 만든 강의 영상. 해 당 영상에서 플레이한 영웅에 대한 강의라고 보면 된다.
31,"경쟁 전 영상에 편집을 해서 포지션 잡기, 플레이 센스, 스킬 활용법 등에 대한 설명을 넣어 업 로드한다."
32,"영상 길이는 대체로 10분 내외. 피드백 - 김 규 태, 석방이 와 비슷한 컨텐츠. 초창기에는 주력 컨텐츠였으나 현재는 올라오는 빈도가 좀 줄었다."
