,sentences
0,배틀 그라운드 모바일을 주력 컨텐츠로 하는 유 튜브 크리에 이 터이다.
1,주로 TTS[3 ]를 넣어서 말을 한다.
2,멤버십 전용 영상이 추가 되었다.
3,"모 마님 멤버십은 2019년 8월부터 시작됐다 지금까지 커뮤니티 시즌 1, 시즌 2, 시즌 3, 시즌 4, 시즌 5가 나왔다."
4,현재 멤버십 채팅 방은 운영되지 않는다.
5,멤버십 구매 시 각종 채널 전용 이모 티 콘을 댓 글이나 실시간 채팅으로 사용 할 수 있다.
6,또 본인이 댓 글을 달 경우 본인 채널 옆에 생기는 모 마님 캐릭터 로고 색깔도 개월마다 변경이 가능하다.
7,"예) 1개월 하얀색 , 2개월 하얀색, 검은색 , 3개월 하얀색, 검은색, 노란색 현재 학생 (990 원) , 모범생 (4990 원) 으로 나뉘어 져 있다."
8,"멤버십 가입하기 2016년 5월 29일 첫 영상 게시 2017년 8월 12일 구독자 1,000명 달성 2017년 11월 5일 구독자 5,000명 달성 2018년 1월 3일 구독자 10,000명 달성 2019년 2월 24일 구독자 20,000명 달성 2020년 1월 21일 구독자 35,000명 달성 2020년 2월 12일 구독자 50,000명 달성 2020년 3월 6일 구독자 60,000명 달성 2020년 3월 13일 구독자 70,000명 달성 2020년 3월 26일 구독자 80,000명 달성 2020년 4월 9일 구독자 90,000명 달성 2020년 4월 17일 구독자 100,000명 달성 2020년 4월 24일 구독자 110,000명 달성 2020년 5월 5일 구독자 120,000명 달성 2020년 5월 18일 구독자 130,000명 달성 2020년 6월 2일 구독자 140,000명 달성 2020년 9월 25일 구독자 150,000명 달성* 마인 크래프트 닉네임은 payco 이다."
9,배틀 그라운드 모바일 닉네임은 모 마님 구독이다.2020
10,"년 4월 기준, PUBG 공식 파트너다."
11,모바일 배 틀 그라운드의 각종 맵에 숨겨 진 장소를 찾아낸다.
12,숨겨 진 장소 모바일 배 틀 그라운드의 거의 모든 맵들을 탈출한다.
13,이젠 컨텐츠로 자리잡은 듯하다.
14,"펍 파 잘릴 수도; 맵 탈출적 몰래 차 타기, 적 차에 태워 주기, 검문 낚시, 눈덩이 사용법 등 일부 영상은 인기 업 로드 1위로 높은 조 회수를 차지하고 있다."
15,교육적인 영상이라는 데 교육적 인지를 모르겠다.
16,유 튜브 재생 목록 가끔 찍는 컨텐츠다.
17,유 튜브 재생 목록
