,sentences
0,"공식 시스템 요구 사항 구분 최소 사양 권장 사양 WindowsCPU3 GHz[6 ]SSE2 이상의 명령어 지원 3 GHz 듀얼 코어 RAM2 GB4 GBHDD12 GB16 GB 그래픽 카드 Shader 버전 2.0b 지원 DirectX 9.0c 지원 NVIDIA GeForce 8800AMD Radeon HD 5670(512 MB VRAM) 운영체제 Windows 7, 8, 10Windows 7, 8.1, 10macOSCPU3 GHzSSE2 이상의 명령어 지원 3 GHz 듀얼 코어 SSE2 이상의 명령어 지원 RAM2 GB(4 GB 적극 권장 )4 GBHDD5 GB10 GB 그래픽 카드 NVIDIA GeForce 8600M GT[7 ]AMD Radeon HD 2600NVIDIA GeForce GT 330MAMD Radeon HD 4670 운영체제 Mac OS X 10.10Mac OS X 10.13 더 자세한 정보는 여기서 볼 수 있다."
1,"해 당 게시 글의 마지막 사양 업데이트 일자는 2019년 9월 3일. 위의 공식 요구사양은 ' 클라이언트 실행 '에 필요한 사양이며, 실제 플레이 사양은 폭등한 지 꽤 오래되었다."
2,"클라이언트 발적 화인 건 안 비밀 실제 플레이 시스템 요구 사항 (Windows) 구분 솔로 잉 권장 사양한 타 권장 사양 CPU 인텔 코어 2 쿼드 2.66GHzAMD 페 넘 2 x4 3GHz 인텔 i3RAM6 GB8 GB 그래픽 카드 NVIDIA GeForce 9600GT D3ATI Radeon HD4850 (512 MB VRAM)NVIDIA GeForce GTS 450 AMD Radeon HD 5750 (1GB VRAM) 운영체제 Windows 7, 8.1, 10 64비트 Windows 7, 8.1, 10 64 비트 32 비트 게임인 주제에 램을 엄청나게 퍼먹기 때문에, 램 4GB로는 32 비트 윈도우든 64 비트 윈도우든 시스템에 굉장히 부담이 많이 걸리며 정상적인 장시간 플레이가 어렵다."
3,플레이는 한다고 해도 후폭풍이 크다.
4,32비트 OS에서 램 4GB 장착 시 램 용량 3.5GB 인식되는 메인 보드에 저 사양용 임 베 디드 계열 32 비트 윈도우를 깔고 인식되지 않는 0.5GB 도 주소 확장 영역 설정하고 램 디스크로 만들어 페이지 파일 가상 메모리 활용 우선순위로 잡아 주고 HDD에 보조 가상 메모리까지 지정해 주고 나서야 그나마 가상 메모리 버벅임이 최소화되어 램 4GB 로 원활하게 플레이가 된다.
5,"해서 64비트 OS에 램 6GB 는 기본이고, 브라우저나 플러그인을 같이 돌리려면 8GB 가 필요하다."
6,"관련 정보 [ 펼치기 · 접기 ] 리그 오브 레 전 드맵 소환 사의 협곡 · 칼바람 나락 · 전략적 팀 전투 모드 랭크 게임 · AI 대전 · URF · 기타 유닛 챔피언 · 포탑 · 미니 언 · 몬스터 · 드래곤 · 내 셔 남작( 바론) 전략 탑 · 정글 · 미드 · 바 텀 · 서포터 챔피언 관련 능력치 · 소환 사 주문 · 특수 능력 · 군중 제어기 (CC) 룬 정밀 · 지배 · 마법 · 결의 · 영감 · 시즌 8 이전 아이템 소모품 · 장화 · 시작 · 기본 · 서사 · 전설 · 신화 · 삭제된 아이템 · 특수 설정 세계관 · 지역/ 국가 · 종족 및 인물 · 챔피언 관계 기타 용어 · 시스템 · 패치 내역 · 개발자 · LoL e 스포츠 · 흥행 · 패러디 기본적으로 플레이어는 소환 사 (Summoner), 플레이 어가 조종하는 캐릭터는 챔피언 (Champion )으로 부른다."
7,현재 리그 오브 레 전 드는 세계관 개편 중이며 마블 코믹스와 협력 등으로 확장하고 있다.
8,총 13개의 나라가 있다.Runeterra
9,룬 테라 펼치기 / 접기 그림자 군도 녹서 스데
10,마 시아 밴들 시티 빌지 워터 슈 리 마아이 오니아이 쉬 탈자 운 타곤 프렐요 드필트오버공허대구 칠 곡 티 저 예고편 시즌 시네마 틱 The Climb | Season 2018 CinematicAwaken | Season 2019 CinematicWarriors | Season 2020 Cinematic 아케 인 - 리그 오브 레 전드 지역인 자운과 필트오버를 배경으로 두 챔피언의 탄생과 그들을 갈라놓은 힘에 관한 이야기를 다룬 애니메이션 시리즈 룬 테라 이야기 챔피언 시네마 틱 - 해당 챔피언 문서에서 개별로 볼 수 있다.
11,"' 애 쉬: 전쟁의 어머니' 라는 그래픽 노 블을 출간 한 적이 있으며, 이 밖에도 여러 코믹스들이 있다."
12,"#LoL e 스포츠 국제 대회 [ 펼치기 · 접기 ] 미드 시즌 인 비테 이셔 널 월드 챔피언십 올스타 전 2015 2016 2017 2018 20192020 20212011 2012 2013 2014 20152016 2017 2018 2019 20202021 20222013 2014 2015 2016 20172018 2019 2020> 지역 리그 LoL e 스포츠 지역 리그 [ 펼치기 · 접기 ] 메이저 리그 한국 LCK 북미 LCS 유럽 LEC 중국 LPL 마이너 리그 브라질 CBLOL 독립국가연합 LCL 일본 LJL 라틴 아 메리 카 LLA 오세아니아 OPL 태평양 연안 PCS 터키 TCL 베트남 VCS> 국제 대회 Welcome to LoL Esports 라이 엇이 직접 주최, 주관하는 리그 오브 레 전 드의 e 스포츠는 여러 지역에서 흥행을 일으켰고, 리그 오브 레 전드 월드 챔피언십은 세계적인 e 스포츠 게임으로 자리잡았다."
13,  자 세한 내용은 LoL e 스포츠 문서를 의 번째 문단을의 부분을 참고하십시오.
14,선정 2010년대 10대 비디오 게임 [ 펼치기 · 접기 ] ※ 2019년 미국 주간지 타임이 2010년대 최고의 비디오 게임을 선정했고 하단은 선정된 비디오 게임들이다.
15,"2009《 리그 오브 레 전드 》2009《 마인 크래프트 》2011《 다크 소 울 》2011《 엘 더 스크롤 5: 스카이 림 》2011《 포 탈 2》2013 《GTA 5》2016《 포켓 몬 GO》2017《 젤 다의 전설 브레스 오브 더 와일드 》2017《 포트 나이트 》2019 《Disco Elysium》2019 년 발표 / 출처 플랫폼 스코어 유저 평점 78/100 5.3/10 패치 한번, 추가 컨텐츠 하나하나에도 수많은 호불호와 의견이 오가는지라 평가를 딱 잘라 내리기가 어렵다."
16,하지만 출시 초반 그렇게 뛰어나지는 않았던 게임을 꾸준한 업데이트와 개선으로 현재까지 올렸다는 점은 좋은 평가를 받는다.
17,전세계에서 가장 많이 플레이하는 게임 중 하나이며 e 스포츠를 세계적인 수준으로 끌어올린 평가로 타 임지 선정 2010년대 10대 비디오 게임에 선정되었다.
18,  은( 는) 여기로 연결됩니다.
19,"나무위 키 내 시즌과 메타에 대한 자체적인 연구에 대한 내용은 리그 오브 레 전드/ 시즌 문서를 의 번 문단을의 부분을, 에 대한 내용은 문서를 의 번 문단을 의 번 문단을의 부분을, 에 대한 내용은 문서를 의 번 문단을 의 번 문단을의 부분을, 에 대한 내용은 문서를 의 번 문단을 의 번 문단을의 부분을, 에 대한 내용은 문서를 의 번 문단을 의 번 문단을의 부분을, 에 대한 내용은 문서를 의 번 문단을 의 번 문단을의 부분을, 에 대한 내용은 문서를 의 번 문단을 의 번 문단을의 부분을, 에 대한 내용은 문서를 의 번 문단을 의 번 문단을의 부분을, 에 대한 내용은 문서를 의 번 문단을 의 번 문단을의 부분을, 에 대한 내용은 문서를 의 번 문단을 의 번 문단을의 부분을 참조하십시오."
20,리그 오브 레 전 드의 패치 내역 베타 서버 패치 내역 2010 ~ 2013 시즌( 시즌 1 ~ 3)2014 시즌( 시즌 4)2015 시즌( 시즌 5)2016 시즌( 시즌 6)2017 시즌( 시즌 7)2018 시즌( 시즌 8)2019 시즌( 시즌 9)2020 시즌( 시즌 10)2021 시즌( 시즌 11) 롤 챔피언 패치 횟수 (V. Closed Alpha - 10.12) 20092009-2013.102013 .10-20192019- 패러디가 많이 함유되어 있고 일본 서브 컬 처 오타쿠 적인 패러디들의 비율이 많아 지는 중.   자 세한 내용은 리그 오브 레 전드/ 패러디 문서를 의 번째 문단을의 부분을 참고하십시오.
21,"챔피언의 성우는 각 챔피언 문서 및 링크 참조. 맵 아 나 운서 튜 토리 얼: 박 희은 기본: 김 상현 이벤트 불타는 파도: 김 영찬( 갱 플 랭크) 암흑의 별: 홍범 기( 쓰레 쉬) 침공 모드: 이용 신( 아리) 프로젝트 모드: 김 상현 2018 MSI: 전용 준, 클 템 [19 ]2018 도 살 자의 다리: 이 현( 파 이크 )2018 오디세이: 김 명 준( 케인), 고 구인( 라 아 스트 )NPC 그레 고르, 핀: 시 영준 라이트, 버브스: 민응식 내레이션 눈 맞이 축제: 민응식 챔피언 집중 탐구: 김동 준리그 오브 레 전드/ 비판리그 오브 레전드와 도타 2의 분쟁리그 오브 레 전드/ 사건 사고   자 세한 내용은 리그 오브 레 전드/ 서버 폭파 기록 문서를 의 번째 문단을의 부분을 참고하십시오."
22,"마스코트로 티 모, 포로 가 있다."
23,게임의 대표 OST로 'Summoner 's Call' 가 있다.
24,수많은 어 레인지 곡이 있다.
25,"각 로그 인 화면이나 대회에서도 조금씩 바뀌어 사용되며, 심지어 챔피언의 귀환 시, 스킬 시전 시에도 있기도 하다."
26,"( 팝스타 아리, DJ 소나 )2018 년 11월 3일에는 아리, 이 블 린, 카이사, 아 칼리로 이루어진 K/DA 라는 그룹의 POP-STARS는 현재 유 튜브 2억 내외의 조 회수를 기록하는 중이다.2015"
27,년 11월 25일부터 12월 7일까지 가나인사 아트센터에서 < 리그 오브 레 전드: 소환 展> 이라는 이름으로 전시회가 개최된다.
28,"리그 오브 레전드와 한국 미술을 접목시킨 작품들 20점이 전시되며, 참가한 작가는 총 6명. 작품과 작가 인터뷰. 리그 오브 레 전드 챔피언들뿐만 아니라 프로 게이 머들을 주제로 한 그림도 있다."
29,특히 페이커와 제드를 그려 놓은 그림은 티 저 영상에서부터 많은 호응과 호평을 받았다.
30,# 텐 센트가 워크 래프트 성공을 보고 롤 애니 화랑 영화화를 제작한다고 밝혔다.
31,"그러나 원작 스토리가 좋은 다른 작품들도 실사 영화로 나오면 망 작이 되는 판에, 스토리가 부실한 롤이 가능하냐"
32,는 부정적인 의견들이 많다.
