,sentences
0,"몸높이 30~41 ㎝, 몸무게 20~25 ㎏ 가량으로 [1], 영국의 국견으로 영국 잉 글 랜드 원산이다."
1,"평균 수명은 8~10 년. 오랜 역사를 가진 투견으로, 영국 토착 견과 마스 티프로 와의 교배로 만들어 졌다고"
2,"하나, 기원은 분명하지 않다."
3,이름의 뜻은 숫소 (bull) 개 (dog) 로 소를 잡기 위해 태어난 견 종이다.
4,"머리가 크고, 아래턱이 위로 올라가 있으며, 안면 부의 폭이 넓다."
5,"이마는 평평하며, 주름이 있고, 주둥이는 매우 짧다."
6,불도그같이 주둥이가 짧은 개들을 단두 종이라 부르는데 코가 위로 벌어져 있어 잠 잘 때 코를 심하게 곤다.
7,귀는 머리 윗부분에 위치하며 작고 엷다.
8,목은 굵고 짧으며 강인한 인상을 풍긴다.
9,"등은 짧고, 어깨 폭이 넓은 반면, 허리는 약간 좁다."
10,"가슴 폭이 아주 넓고, 앞다리가 뒷다리보다 짧고 튼튼하다."
11,"꼬리는 굵지만, 길이가 짧고 끝은 가늘다."
12,종류가 의외로 상당히 많다.
13,"우리가 흔히 아는 잉글리쉬 불도그와 아메리칸 불도그 [2], 프렌치 불도그 이외에도 콘티 넨 탈 불도그, 올드 잉글리쉬 불도그가 있다."
14,단모 종이라 털이 많이 빠지는 것도 빠지는 거지만 문제는 털이 짧고 빳빳해서 한 번 안고 나면 무수히 옷에 박혀 있는 불도그의 털을 볼 수 있을 것이다.
15,실내에서 키울 시 각오해야 된다.
16,주름이 많아 얼굴 관리를 자주 해 줘야 되고 개체에 따라 다르지만 침을 많이 흘릴 수 있다.
17,독특한 외모에 혹해서 분양 받는 건 가급적 삼가고 불도그에 대해 충분한 공부 후에 분양 받기를 권한다.
18,불도그는 생김새가 다른 견 종들에 비해 유독 개체 차가 심하다.
19,부모의 영향을 크게 받으므로 아무 데서 나 막 데리고 오지 말고 가급적 부모 견들도 확실히 보고 왠 만하면 좋은 켄넬에서 분양 받자. 불 베이 팅으로 교배된 투견의 성질을 이어받은 탓에 쉽게 흥분하고 공격적이다.
20,국내에서 최 시원 개 주민 습격 사망 사건과 부산 서구의 개 습격사건이 크게 문제가 된 적이 있었다.
21,"아메리칸 불독은 공격적인 성질 때문에 여러 나라에서 사육이 금지되어 있고, 프렌치 불독 역시 쉽게 물려고 하는 특징이 있기 때문에 사육자의 각별한 주의가 필요하다."
22,대한민국 유명 견 종 트레이너 강형 욱이 세나 개에서 밝힌 바에 따르면 해당 견 종은 흥분하면 턱을 쓰고 싶어 하는 본능이 있어서 어떻게든 물어야 직성이 풀리는 것이 특징이라고 한다.
23,불도그의 새끼는 불 펍이라고 한다.
24,동명의 소총 종류를 가리키는 단어는 여기에서 유래했다.
25,영국 해군의 마스코트이고 또 미 해병대의 상징적인 동물이다.
26,포기할 줄 모르는 성격과 특유의 우 직함과 끈기가 마치 해병대와 같다고
27,"생각한 듯. 맥주 레드도 그의 마스코트이기도 하며, 예 일대, 조지 타운 대학교, 캐나다 하키 팀, 미국 풋볼 팀, 대학 농구팀, 축구 팀 등등 팀 이름이나 마스코트로 많이 쓰이며 광고 계, 화장품 브랜드까지 설 렵한 매우 인기 있는 녀석이다."
28,또 한 영국의 자동차 브랜드의 차량 명이나 군대 탱크 중에도 불도 그라는 이름을 붙힌 것 들이 있다. 맥 트럭의 마스코트이다.
