,sentences
0,풍월 량은 대한민국의 인터넷 방송인이다.
1,"트위치, 유 튜브 게임 전문 스트 리머이며 현재 샌 드박스 네트워크에 소속되어 있다.2008"
2,년 경 아프리카 TV에서의 월드 오브 워크 래프트 방송을 시작으로 인터넷 방송에 발을 들였다.
3,"게임 ESD에 올라온 여러 가지 최신 게임이나 해외 AAA 급 타이틀, 온라인 게임을 주로 방송했다."
4,2014년 7월 아프리카 TV 파트너 BJ로 뽑혔다.
5,"2016년 8월 기준 애청자 24만명, 누적 시청자 수 약 1억 400만명에 이르는 명실상부 아프리카 TV가 자랑하는 스타 BJ 였다.2016"
6,년 10월 26일부터 는 아프리카에 위약금을 물어 준 후 트위치에서 방송 중이다.
7,"첫 방송일에는 트위치 + 유 튜브 시청자를 합쳐 25,000명까지 도달해 트위치 전체 시청자 수 1위를 찍었다."
8,"그 뒤로도 꾸준히 10,000~15,000 명 정도의 시청자들이 [7] 풍월 량의 방송을 보고 있으며 롤 프로선수의 방송이나 대회방송을 빼면 한국 트위치 스트 리머 중 손꼽히는 시청자 수와 팔로 워 수를 가지고 있다."
9,[8] 2020년 10월 기준 유 튜브 구독자 수 44만명을 넘어섰다.
10,게임 스펙트럼이 굉장히 넓다.
11,"유명하지 않은 인 디 게임, 모바일 게임부터 유명 작, 기대 작이라면 콘솔, 스팀, 및 장르를 가리지 않는다."
12,[9] 다양한 게임을 하는데도 전반적으로 게임 몰입도가 굉장히 높은 것이 큰 장점이다.
13,[10] 본인은 게임은 잘 못하지만 태생이 즐겜러라고 표현할 만큼 어떤 게임이건 푹 빠져서 한다.
14,"[11] 그 중에서도 주종목은 망 전스 [12] 라는 별명처럼 완성도가 조금 떨어지는 게임들, 주로 인 디, 모바일 게임이나 정식 출시 전 게임 등이다."
15,진행이 빠른 액션류의 게임을 좋아한다.
16,"평가가 나쁜 똥겜도 잘 살리다 보니 똥믈리에, 게임계의 김 경식 등으로 불린다."
17,방송한 지 10년이 넘은 베테랑 방송인으로 롱런하면서도 사건 사고가 없는 클린한 방송인이다.
18,"논란을 일으킬 발언, 과한 친목질, 채팅 등을 철저히 관리한다."
19,안 티 생성을 막는 데 성공한 것이다.
20,[13] 트위치 계의 유 재석이라고 불릴 정도. 다른 스트 리머와의 합방을 자제하는 것도 이에 도움이 되었다.
21,"하스 스톤 아만 보라 던가 혹은 배틀 그라운드 스트 리머 간담회에서 타 스트리머에게 담배를 구걸했다든지 [14], 진라면 순한 맛을 선호한다 등의 논란이 있다고"
22,"장난스럽게 말할 정도. 어떻게 보면 인터넷 방송 주류인 자극적인 컨텐츠 대신 재치 있는 입담과 한번 잡으면 쉽게 포기하지 않는 근성, 한결같은 방송 진행 기준과 처신, 그리고 성실함으로 사랑받고 있다."
23,"덕분에 시청자 유지가 어려운 종합게임 내에서도 콘크리트층이 상당하고, 충성심이 매우 높은 편이다."
24,[15] 컨트롤 실력도 뛰어나다고
25,는 할 수 없어도 처음에 게임을 하는 사람 치고는 평균 이상은 하는 실력을 자랑한다.
26,"다만 적응을 완료하고 나서 실력이 정점에 이르렀다가 점점 못 해지는, 소위 풍화되었다는 말이 있다."
27,"게임 플레이의 단점을 적자면 타고난 길치 [16] 란 점과 퍼즐 풀이 등 머리를 써야 하는 부분에 약한 모습, 지나치게 모자란 영어 실력 정도 [17]. 공식 팬네 임은 ' 풍뎅이' 로, 본인이 직접 지은 건 아니고 단군이 방송 중 지어 준 것이라 한다."
28,"[18] 과거 월드 오브 워크 래프트 방송을 할 당시엔 아프리카에 서 데 저트 이 글, 불양과 함께 아프리카 TV 월드 오브 워크 래프트 공중파 방송 3 인방이라고 불릴 정도로 인기를 모았었다."
29,리그 오브 레전드를 한국 서버 서비스를 오픈하지 않았을 때부터 북미에서 해 온 북미 유학파 롤 유저 이기도 하다.
30,"백수였을 때 BJ를 시작했으며 [19][ 백수시절]] 을 풀기도 했다.],"
31,이후 아이를 가진 후 결혼을 하였고 2011년 리그 오브 레 전드 방송을 시작한 즈음에 웹진 인 벤 에 취직해서 인 벤 방송국 부서에서 일한 적이 있다.
32,본인 말로는 취미 생활이 던 것을 일로 하니 행복했다고
33,한다.
34,그러나 2012년 11월 19일 개인적인 사정으로 인 벤 에서 물러나고 리그 오브 레 전드 방송으로 복귀하였다.
35,더불어 자타가 공인하는 랜 선 연애의 장인. 연상의 여성을 와우 방송 중에 알게 되어 결혼까지 골인했다.
36,솔로라고 주장하였던 풍월 량이 여자친구가 생기자 솔로 시청자들이 반풍을 외쳤던 적이 있었다.
37,"홀 연 듯 나타나 별풍선을 100개 씩 쏘곤 했다는 전설은 이미 유명. [21] 풍월 량 본인은 "" 나는 여자가 아니라 한 명의 와우 저와 결혼한 것이다 ""라고 주장하고 있다."
38,[22] 자녀로는 풍 주니어가 있다.
39,부자가 함께 어울려 게임도 자주 하는 듯. 2014년 11월 25일 풍월 량 자신의 생일날 아들인 풍 주니어를 정식 데뷔시키면서 케이크에 초를 켜고 함께 노래를 부르면서 자축을 하였다.
40,오래전 H1Z1 방송 당시 고추 참치 [48] 와의 만담에서 ' 트위치 이즈 베드 플랫폼' 이라는 농담 뉘앙스의 발언을 한 적이 있다.
41,이때는 이야기 흐름 맥락상 서로 말을 받아치면서 단순한 농담에 지나지 않았으나 시간이 지난 후 아프리카 TV 갑질 논란 사건이 실제로 터져 버리면서 현실로 다가와 버리게 된다.
42,사건 이후 플랫폼을 이전할 생각이 있냐
43,"는 질문에 파트너 BJ 전속 계약을 마친 후 고려해 볼 것이라고 답했었으나 돌연 2016년 10월 25일 아프리카 마지막 방송을 통해 예정보다 일찍 이적한다고 말했으며, 파트너 BJ 위약금을 지불하고 떠나는 가장 큰 이유는 개선되지 않는 아프리카의 안 좋은 화질 때문이라고 한다."
