,sentences
0,"전 아프리카 TV BJ이며 트위치에서 스트리밍을 하고, 유 튜브에 업 로드를 하는 인터넷 방송인이다."
1,"[10] 견 자 희라는 이름은 자 희태 후라는 이름에서 ' 자희 '를 따왔으며, 그 이름에 잘 어울릴 것 같은 성으로 ' 견' 을 따왔다고"
2,한다.
3,"과거 성우 지망생이었기 때문에 목소리를 유연하게, 그리고 잘 내는 편이다."
4,때문에 목소리가 좋아서 유입했다는 경우가 많은 편에 속하는 스트 리머이다.
5,목소리를 유연하게 낼 수 있기 때문에 주변의 스트 리머들을 잘 따라하며 [11] 특히 페뇨의 성대 모사를 잘한다.
6,해 당 링크 참고. 주로 Just Chatting과 게임이 방송의 많은 부분을 차지한다.
7,[12][ 시 그니 처 접기/ 펴기 ]442: ' 잘 자요' 라는 뜻을 가졌다.
8,햐햐햐 흐 에에 퉤 에뭉 멍: 구독 리액션과도 동일하다.
9,식기야 주 겨 버려 너무 부럽다 뭐 어고 다 고시 러 ^^7: 도 네이션에 쓰면 ' 충성 충성 칠' 로 읽힌다.
10,크흠 넘 모 좋고 웨에 짜 희ㅗㅜㅑ 나와 앙칼진 녀석 찰싹 노예 왜 이래 이제 그만 어! 훙훙 ㅎㅎ 네에 아니( 불편 안) 짜희 두 힘 두러 어서 도망쳐: 어~ 서~ 도~ 망~ 쳐~! 로 한 박자 한 박자씩 읽힌다.
11,어쩔? 한번만 하세요!
12,( 견보 벌레) 넘 모 맛있고 화나 견하 넘 모 넘 모 좋고: 좌우로 번갈아가며 ' 너무 너무너무 너무너무 좋고 '라고 소리가 나온다.
13,크크크 빵 땡 똥 몽: ' 빵 그리 땡 그리 똥 그리 몽 그리 '라고 읽힌다.
14,끼익 1: 상자 여는 소리를 낸 것이다.
15,해 당 소리가 나오게 된 배경은 해당 링크 참고 https: //youtu .be /tlf76mzNNac 끼익 2: 상자 닫는 소리를 낸 것이다.
16,' 끼익 1' 과 함께 같은 계기로 탄생했다.
17,[ 플레이한 게임 목록 접기/ 펴기] Lost EmberThe Room 포탈 시리즈 RaftDeceitLuna The shadow dustThe Painscreek Killings 플 로렌스 테이블탑 시뮬레이터 Rust 더 포 레스트 모여 봐요
18,"동물의 숲 I'm on observation dutyReturn of the Obra DinnISLANDERSThe White Door 리그 오브 레 전드 GRISThat Dragon, Cancer 배 틀 그라운드 마인 크래프트 데스 스트 랜딩어 몽 어스 We Need to Go Deeper 영원 회귀: 블랙서 바이 벌 VRChat 편집자: 편 노, 한배인트로/ 아 웃트로 : 신사고 양이 [13] 일 러스트 레이터 : 율무 & 디나 비 [14] 매니저: 라 썬 前 썸 네 일 일 러스트 레이터 : 신사고 양이 [15] 세 븐 나이 츠 더빙에 참가했다."
19,2018년 하반기 기준으로 견자희의 목소리가 남은 영웅 중 스토리와 관련이 있는 영웅들은 3명이 전부이며 [26] 비 각성 영웅들도 차례대로 교체되고 있다.
20,"하지만 교체가 시작된 당시 제작진의 미스 캐스팅이 심해 캐릭터에 알맞지 않은 더빙이 대거 발생했고, 예전만 못 하다는 혹평이 쇄도 하여 다시 돌려놓으라는 여론이 판을 쳤으나 지금은 바뀐 목소리만 들어본 신규 유저의 비율이 늘고 기존 유저도 적응하여 비교적 줄어들었다."
21,"그래도 인연이 있었는지 세 븐 나이 츠 2에 유 준호와 함께 더빙에 참가했으며, 이후에도 연희의 CV를 계속 맡고 있다."
22,거의 대부분의 세 븐 나이 츠 캐릭터는 유 준호가 맡은 것처럼 거의 대부분의 여성 캐릭터는 견자희가 맡았다.
23,"세 븐 나이 츠 견 자희 더빙 참여 역 총 39개 캐릭터 (2016.8 .9 기준) 보기 [ 견자희가 더빙한 캐릭터 목록 접기/ 펴기 ] 린 연희 ( 각성, 신화 각성 포함) 키 리 엘 카 린 ( 각성 포함) (2 주년 업 데이트 전) 아리엘 ( 각성 포함) (2 주년 업 데이트 전) 쥬 피 ( 각성 포함) 실비아 ( 각성 포함) 벨리 카 ( 신화 각성 포함) 헬 레니 아 ( 각성 포함) (2 주년 업 데이트 전) 헤 브니 아 ( 각성 업데이트 전) 밍밍 샤오"
24,메이 ( 신화 각성 업데이트 전) 노호루 리 ( 각성 포함) 니 아 ( 각성 포함) 에스파다
25,"( 각성 포함) 세인 ( 각성, 신화 각성 포함) 블랙 로즈 세라 발리스타 ( 각성 포함) 코 코캐 티 리나 ( 각성 포함) ( 업데이트 전) 데이지 ( 업데이트 전) 레이 소이 ( 각성 포함) 링 링 초선 소 교 ( 각성 업데이트 전) 나 타 ( 각성 포함) 아수라 피나 레 아주의. 사건· 사고 관련 내용을 설명합니다."
26,이 문서는 실제로 일어난 사건· 사고의 자세한 내용과 설명을 포함하고 있습니다.
27,처음 인터넷 방송 출연은 2011년 기미 티 방송에 게스트로 출연 한 것이다.
28,오래 전부터 나무 위 키에 문서가 생길 때마다 MCN 측에서 임시조치를 걸어왔지만 2020년 4월에 이의제기로 인해 문서가 복구되면서 더 이상의 임시조치는 되지 않고 있다.
29,"아프리카 BJ 시절 이 춘 향, 이초 홍, 사과 몽과 함께 매혹된 이란 클럽을 결성했으며 2014년 해체되었다."
30,"일명 백 견 초 몽( 백설 양, 이초 홍, 사과 몽 )으로 유명했던 적이 있다."
31,당시 저 4 명이 롤 성대 모사를 한 영상이 높은 조 회수를 기록하고 있다.
32,성우 지망생이었다고
33,한다.
34,그래서 그런 것인지 대부분의 시청자층은 목소리의 영향을 많이 받았다.
35,키가 작은 편임에도 비율이 좋다.
36,본인은 자기 키에 만족하며 산다고. 다른 스트리머의 방송에 비해 구독자 비율이 굉장히 많은 편이다.
37,[36] 일본어를 전문적으로 배우지 않았음을 감안하면 굉장히 능통한 편이다.
38,일본인과 대화도 큰 무리가 없을 정도. [37] 캠 방은 하지 않는다고
39,한다.
40,전에 캠 방을 했다가 신상 정보를 털린 적이 있어 트라 우마가 있다.
41,대신 합방 등의 불가피한 상황 등에서 마스크를 착용하고 캠을 키기는 한다.
42,대표적으로 견 와 독 합방. 어찌 되었든 본인 방송에서 캠을 키지는 않는다.
43,팬 미팅 선물 개봉 같은 특별한 경우는 예외. [38] 한때 GE 소속이었으나 나왔고 이를 둘러싼 여러 가지 의혹이 있었지만 공식적으로는 자신과 맞지 않아 재계약을 하지 않았다고.
44,마인 크래프트 닉네임은 424242이다.
45,"[39] 오른 손은 메그 돔스, 왼손은 마 네트로라고 부른다고 한다."
46,채팅 창 명령어에도 있다.
47,유 튜브의 인트로/ 아 웃트로는 여름/ 겨울 버전이 따로 있다.
48,둘 모두 ikson의 노래를 사용하고 있다.
49,"여름 버전은 Skyline, 겨울 버전은 Cloudy를 사용한다.19-20"
50,시즌 UEFA 챔피언 스리 그를 8 강 바 르샤 vs 뮌 헨 전 [40 ]부터 공파리 파와 함께 입 리액션을 진행하게 되었다.
51,이후 바 이에 른 뮌헨을 응원하고 뮌 헨 승리에도 미션이 많이 걸린다.
52,알 폰 소 데이 비스를 빵 빵이라고 부르며 굉장히 좋아한다.
53,"조 슈 아 키 미 히를 미희, 니 클라 스 쥘레를 쥘 레트 라고 부르며, 킹 슬 리 코 망 꼬망, 이반 페리 시 치도 좋아하고, 마 누 엘 노이 어가 잘생겼다고"
54,말한다.2020
55,"년 8월 기준, 목 상태가 많이 좋지 않음 언급했다."
56,이유는 후두염과 기관지염이라고 하며 8월 6 일자 방송에서 후두염 염증이 심 해져 링겔을 맞았다고
57,한다.
58,"8월 7 일 레 바, 와 나 나와 진행했던"
59,캠 방송에서 한 번 더 언급했다.
60,[41] 팬 카페의 사연 게시판에 올라온 글들을 바탕으로 매주 금요일 사연 라디오를 진행한다.
61,줄여서 견사라라고 부른다.
62,최근엔 라디오를 쉬어 가고 있다.
63,한번은 특별 컨텐츠의 일환으로 악녀와 함께 야 디오를 진행한 적이 있다.
64,"생방송 시청자가 5,000명에 달할 정도의 인기가 있었다."
65,당시 방송 화면으로 키드 모의 일 러스트가 쓰였었다.
66,형이 왜 거기서 나와 유행하는 게임보다는 후술할 게임 항목처럼 조용하고 잔잔한 게임을 주로 하는 편이다.
67,"합방보다는 홀로 힐링 혹은 추리게임을 즐기는 방송. 현재는 해체된 상태 [16] 공파리 파: 현재 우 결 상대. 우 결이 진행되기 이전에는 주종관계에 있었는데, 공파리 파가 술을 마시며 혼자 방송을 하다가 현재의 상황 사단이 나왔다."
68,"견 자 희는 노예계약의 종결을, 공파리 파는 소원권( 우 결) 을 내걸고 가위바위보를 했고, 악녀의 부추김과 도움으로 견자희가 가위바위보에서 지며 우 결이 시작됐다."
69,"원래는 2주 동안만 진행되는 것이 될 뻔했으나, 현재처럼 무기한 연장이 된 것으로 바뀌었다 [17]. 우 결 중인 현재 서로를 부르는 호칭은 ' 견 냥' 과 ' 공 멍'. 자숙 기간 동안 끊겼다가 복귀하면서 계속 우 결을 지속한다."
70,"하지만 최근 공파리 파가 어 몽 어스 합방을 진행하다가 "" 너 임 포스터 아니라는 데 우 결을 걸 수 있냐"
71,""" 라는 심문에 대뜸 "" 걸어"" 하고 즉답하는 바람에 AMAZING CANADIAN 그 일로 장본인인 견 자희, 이초 홍 등이 달려와 재판을 벌이는 등 난리가 났으며, 결국 벌로 2주간 주종관계가 되었고 시간이 지 나 다시 우 결상태가 되었다."
72,[18] 2020년 11월 27일 오랜만에 두 명이서 합방을 했다.
