,sentences
0,트위치에서 활동하는 종합게임 스트 리머이다.
1,트위치로 이적하기 전에는 아프리카 TV BJ[11] 로 활동했으며 한때 다음팟에서 고전 게임 방송도 진행하기도 했다.
2,퍼스널 컬러는 보라색. 캐릭터는 적 안에 [12] 늘어진 롭이 어 토끼 귀 닮은 물체가 있는 연보라색 비니 와 보라색 후드 집 업을 입고 있는 남자 캐릭터 (로 우토끼의 귀라고 한다). [13] 표정은 시크하거나 무표정이 대다수. 마스코트로는 펭귄을 닮은 오리지만 시청자들은 편하게 땡 컨 이라고 부르는 중( 땡 컨 이는 오리다). [14 ]2018 년 12월 4일에 해체된 게임 크루인 FEVER의 초대 크루 장 [15] 이자 초기 멤버였다.
3,주로 많이 하고 가장 잘하는 게 임은 롤. 그 다음으로는 뱅 드림을 자주 한다.
4,"배틀 그라운드, 데 바데는 합방을 할 때만 많이 하고 이런 합방 멤버들이 모이면 예능 컨텐츠가 되는 일이 적지 않다."
5,"현재 리그 오브 레 전드, DJMAX RESPECT V의 파트너 스트 리머이다."
6,"닉네임의 유래는 테일 즈 오브 심포니 아의 캐릭터 콜레트 브루넬로 추정되는데, 옛날 코렛트의 행적 중 콜레트 브루넬에 관한 포스트가 있었기 때문. 상당히 입이 거칠고, 까 칠하며, 꽤 짓궂은 성격을 가지고 있지만 그 이면에는 코요 미란 별명이 붙을 정도로 뭔 가 귀엽고 욕하면서도 뒤에서 은 글 슬쩍 챙겨 주는 성격을 가지고 있다."
7,차분한 목소리로 새벽에 듣기 편안한 조용한 중저음 목소리를 가지고 있다.
8,"[16] 심지어 유 튜브로 각 잡고 ASMR 올리라고 하는 사람도 있을 정도인데, ASMR 이라는 장르가 워낙 호불호가 갈리기도 하고 오글거릴 것 같아서 본인은 잘 못한다고 하지만 영상 자체는 남아 있다."
9,#1 [17] 또한 밖에서 목소리 톤이 상당히 높게 올라간다.
10,"타 스트 리머 방송에서 폰으로 전화를 거는데, 목소리 톤이 방송보다 상당히 높아 코 렛 트인지 모르는 트수들도 있을 정도. 코 정치 라 불릴 만큼 정치인 기질이 있으며 거의 모든 대상에게 정치가 통할 정도로 무서운 말 빨을 가지고 있다."
11,[18] 정치를 하는 이유는 롤에서 자신이 정치 당하기 전에 선 빵 필승을 위해 정치를 한다고. 실제로 친한 스트리머랑 같이 롤을 하면서 비 매너 소환 사들에게 부당하게 정치를 당한다면 그 화살을 자연스럽게 돌려 같이 힘을 합쳐 남 탓 하던 플레이어들이 어느 순간 서로 물어 뜯고 싸우게 하는 진풍경을 볼 수 있다.
12,문제는 가끔 자기가 똥을 쌀 때 아군과 같이 정치를 하는 경우가 있는데 시도 때도 없이 입을 털다가 정치의 표적이 되는 경우도 간혹 있다.
13,"자기가 업 보를 쌓고 있다 실제로 코 청자들이 롤을 보는 이유도 코렛트의 게임 실력이 아니라 정치력과 후술하는 코요 미스러운 모습 때문에 본다고. 시청자들에게는 반말과 존댓말을 섞어 쓰며, 코 청자들 또한 이 둘을 섞어서 쓴다."
14,"평소에는 존댓말을 쓰지만, 시청자들과 서로 장난을 걸거나 받아칠 때, 혹은 뇌 절이나 심각한 훈수 등에 화낼 때는 반말을 한다."
15,코 렛트 역시 트수들의 장난은 대부분 잘 받아 주지만 욕으로 받아칠 때가 많다.
16,심지어 이걸 노리고 장난하는 트수들이 상당히 많다.
17,오죽하면 욕해 달라고 도네
18,하는 코 청자들도 있을 정도. 심한 정치질이나 선을 넘는 행동은 어느 방송을 가든 그렇지만 당연히 화를 내니 적당히 하는 게 좋다.
19,그리고 특히 자신의 채팅 방에서 평소 같이 자신을 까는 건 좋지만 다른 사람의 채팅 창에 가서 평소 코렛트의 채팅 방에서 하는 것처럼 과격하게 까지 말아 달라고 부탁했다.
20,코 렛트 방송의 채팅 창에서 트수들이 자신을 까는 건 코 렛트 본인 방송의 분위기가 원래 그러니 괜찮지만 다른 방송에서 그러는 것은 민폐이며 다른 방송에서는 그 방송의 채팅 창 규칙을 지켜 달라고 누누이 강조했다.
21,"[19] 아프리카 시절에는 주로 후술할 반코 파 요인들에게 방송 채팅에서 바른 말을 하는 시청자들을 강 퇴 혹은 채팅금지를 먹이는 경우가 종종 있었지만, [20] 이런 요인이 사라지고 본인 역시 착해 진 트위치에서는 밴은 하는 경우는 거의 없다."
