,sentences
0,''' 예쁜 꿈 꾸세요~!
1,예쁜 꿈은 두부 꿈' 現 트위치 종합게임 스트 리머. 방송의 시작은 아프리카 TV에서 방송한 것이 계기였다.
2,"이후 카카오 TV를 본진으로 유 튜브와 트위치에서 동시 송출을 해 왔었으나, 2018년 11월 27일부터 트위치 단독 송출로 전향을 했다."
3,"겜 수저 [7 ]라고 불릴 만큼 스팀, 플레이스테이션, 닌텐도, 모바일 등 폭 넓은 종합게임을 메인으로 방송하고 토크, 노래, 먹 방 또한 볼 수 있다."
4,"짬에서 나오는 게임 학습력이나 컨트롤 덕분에 진행이 원활한 편이고, 공감 및 과 몰입에 특화되어 있어서 시청자들도 게임에 더욱 몰입하게 해 준다."
5,"방송적인 재미와 더불어, 방송 약속은 무조건 지키고자 하는 성실함과 시청자와 많이 소통하려는 모습 덕분에도 많은 사랑을 받고 있다."
6,닉네임을 연두부로 지은 대는 본명의 ' 연' 을 딴 것과 자신의 멘 탈이 약하다는 이유로 ' 연두부 '라고 지었다고
7,한다.
8,"유 튜브 동시 송출 시절에는 유 튜브 스트리밍 송출 영상의 시스템 특성상 길면 7~8 시간 짜리의 스트리밍 영상이 유 튜브 채널에 있고, 이와 별개로 30분 혹은 1시간 정도의 분량으로 편집된 영상들도 함께 올라와, 시청자들 취향에 따라서 어느 방송을 볼지 선택해서 볼 수가 있었다."
9,[8] 이는 유 튜브 스트리밍 자체 시스템이었기 때문에 트위치 이적 후 편집 영 상은 엄선된 일부 게임들 위주로만 올라오곤 했다.
10,[9] 현재는 익명의 편집 요정에 의해 토크/ 게임 하이라이트 편집 본이 올라오고 있다.
11,샌 드박스 네트워크 매니저의 권유로 유 튜브는 게임 풀 영상만 올라오는 게임 채널과 하이라이트 편집 본만 올라오는 하이라이트 채널로 분리되었다.
12,  자 세한 내용은 연두부( 인터넷 방송인)/ 시리즈별 플레이게임 리스트 문서를 의 번째 문단을의 부분을 참고하십시오.
13,  자 세한 내용은 연두부( 인터넷 방송인) /2016 ~2017 플레이게임 리스트 문서를 의 번째 문단을의 부분을 참고하십시오.
