,sentences
0,"김성룡이 한국 기원에서 제명된 이후 생계 및 바둑 활동을 이어 나가기 위해 만든 채널. 2018년 11월에 개설하여 처음에는 큰 인지도 없이 활동했지만 점차 구독자들이 늘어나 구 독자 수가 13만 명을 넘었고, 무려 3만 명이 그의 바둑 방송을 실시간으로 시청하는 등 전세계 바둑 유 튜버 중에서는 1인 자 자리를 구가하고 있다."
1,"다만 바둑 갤러리 등지나 일부 시청자들은 김성룡이 특정 한국 기사들에게 영상을 편중하고 [4], 편파적으로 해설하며, 인공지능에게 지나치게 의존한다는 이유로 바둑 랩의 해설 영상을 보기가 불편 하다고 말한다."
2,인공지능을 쓰지 않아도 되는 상황에서도 대놓고 인공지능에만 의존하는 것으로 비치기도 하는 것이다.
3,그렇지만 바둑 특성상 시청자들의 평균 연령 대가 높다 보니 딱히 크게 얘기는 나오지 않는다.
4,"[5] 불만이 있으면 K 바둑과 같은 다른 바둑 방송을 보라는 분위기이고, 실제로도 맞는 말이 긴 하다. 방송 상에서 다른 기사들과 직접적인 교류를 하는 장면은 없다."
5,좋지 않은 이유로 제명 당한 탓이 클 것이라는 추측은 있지만 따로 밝히지는 않았기에 상세한 이유는 불명. 일부 바둑기사들은 그런 점과 관련하여 김성룡이 바둑 컨텐츠로 유 튜브를 하는 것에 불편함을 표하기도 한다.
6,바둑이라는 어찌 보면 마이너한 주제만을 다룸에도 불구하고 구독자 수 대비 조회 수가 높은 편이다.
7,"2020년 12월 16일 기준으로 1억 5천만회를 넘겼는데, 이는 구독자 수 13.3만의 1000 배가 넘는다."
8,이 때문에 구독자 수가 훨씬 많은 채널보다도 실제로 버는 수익은 더 높을 것으로 예측되고 있다.
9,[1] 인공지능이 추천하는 최적의 다음 한 수. 바둑판 화면 위에 파란색 점으로 위치를 띄우기 때문에 ' 블루 스팟' 이라고 부른다.
10,[2] 오디오가 비지 않는 것은 좋은데 너무 시끄럽다는 비판이 있었다.
11,[3] 우리나라 기사가 졌을 때 외국인들이 통쾌 해하는 걸 영상으로 올려 봤자
12,"구독자들이 좋아할 리 만무 하다(...). [4] 보통 박정 환, 신진 서, 최정, 김은 지 등에 영상들이 집중되었다."
13,그러다가 2020년 8월 문민 종이 글로비스배에서 우승하자 바로 문민 종의 바둑을 집중적으로 다루는 등 집중대상은 계속 바뀐다.
14,"[5] 젊은 층은 남녀 상관없이 커뮤니티 사용이 활발하기 때문에 이런 비판이 있으면 의견교환이나 전달이 바로 바로 되는 편이지만, 중 장년층은 상대적으로 회자되는 빈도도 적고 이런 느낌 자체를 신경 쓰는 정도도 젊은 층보다 적다."
15,더군다나 바둑 인구가 젊은 층에서는 계속해서 줄어든다는 점도 한몫한다.
16,"이 문서의 내용 중 전체 또는 일부는 김성 룡( 바둑기사) 문서의 r125 판, 번 문단에서 가져왔습니다."
17,이전 역사 보러 가기 이 문서의 내용 중 전체 또는 일부는 다른 문서에서 가져왔습니다.
