,sentences
0,여성 게임 유 튜버. 아프리카 TV BJ 시절 2013년에 베스트 BJ로 선정되었다.
1,그리고 2014년에 상위 BJ 등급인 ' 파트너 BJ' 로 선정되었다.
2,그러나 현재는 2017년 7월 20일부터 유 튜브에서만 방송을 진행하고 있다.
3,아프리카 TV에서의 방송은 접었다고
4,한다.
5,현재 유 튜브 크리에 이 터 겸 유 튜브 스트리머가 되었다.
6,팬 아트의 머리는 투 톤인데 자 몽을 모티브로 했다고
7,한다.
8,동화적인 분위기의 캐릭터를 잡고 싶어서 도로 시라는 닉네임을 짓게 되었다고
9,한다.
10,' 얀 데 레 시뮬레이터' 한국 유 튜브 실황 자로서 그 게임을 아는 사람들 사이에선 나름 인지도가 있다.
11,"현재는 자극적인 컨텐츠를 다루기 꺼려 하여 얀 데 레 게임을 잘 하지 않지만, 얀 시 뮬 뒤로 공식 캐릭터인 고양이+ 교복+ 투 톤( 자몽) 헤 어가 그녀의 상징이 되었다."
12,"그러나 의상인 ' 교복' 은 얀 데 레 시뮬레이터 교복이 아닌, 그녀가 좋아하는 애니메이션 ' 지옥 소녀' 엔 마 아이의 교복이라고 한다.2010"
13,년부터 방송을 시작했으나 2012년에 취업 문제로 방송을 잠시 접고 2013년에 복귀하였다.
14,게임 화면을 보여주며 채팅만 치는 무 마이크 방송이었다.2013
15,년 초반까지만 해도 인지도가 높지 않았는데 2013년 중 후반부에 갑작스럽게 방송의 인지도가 오르고 기량이 상승했다.
16,처음에는 고전 게임 방송을 했는데 공포 게임 방송을 시청한 뒤 지금 같은 종합 게임 방송을 시작하게 되었다고
17,한다.
18,"2D 프리 호러 게임, 19 금 게임, 플래시 게임, 모바일 게임 등을 주로 하며 가끔 아웃 라스트 등 PC 게임과 일상생활( 주로 집) 을 배경으로 한 프리 호러 게임을 제작, 시도 해보기도 했다."
19,"게임 방송 외에는 공포 라디오, [1] 수다 방, 갸루 쿡 등 만들어 먹는 일본 군것질 먹 방, 고양이 [2] 보여 주기 등을 한다."
20,"방송 고정 시간대는 시즌마다 요일, 시간이 다르다."
21,매주 일요일은 쉰다.
22,"구독자 애칭은 요 롱 짱. 요 시+ 메롱 이 합쳐 진 단어 = 요 롱 , 메롱 의 경우 팸 닉 이자 도로 시 로고 Ð 가 흡사 메롱 처 럼 보여 나오게 된 단어이다."
23,"유행어는 "" 요 시"" 혹은 ""로 시"" 이다."
24,원래 애칭은 앞에 ' 도 '를 뺀 로 시였지만 영상 중간 중간과 오프닝에 요 시를 쓰다 보니 대부분이 요 시로 알고 있지만 좀 더 정확한 애칭은 로 시이다.
25,성격은 털털하고 밝은 편이며 목소리 자체에 확실한 개성은 크게 없는 편이나 캐릭터에 맞춰서 목소리를 다 다르게 내며 실황을 하고 있다.
26,여자 목소리는 다양하게 하지만 아무래도 여자 다 보니 남 캐들은 다 비슷한 목소리로 더빙한다.
27,가끔 시청자들이 목소리가 안 어울린다고 지적하면 할머니 목소리로 더빙하는 심술(?) 을 부리기도 한다.
28,원래 목소리가 걸걸 해서 소년 연기도 자연스럽다.
29,그래서 남자 아니냐
30,는 질문이 태반이다 요즘은 남자 연기는 레드에게 맡기는 일이 많다.
31,"게임 중간 중간에 뭔 가 러브라인이 있을 장면에서 섹드립을 치고 게임 스토리나 대사에 찰진 츳 코 미, 브금을 적절히 까는 게 특징. 또 한 시청자들 과의 내기에서 져서 에로 게임을 올린 바 있으나 현재는 모두 지워 졌다."
32,수익도 잘 나서 좋았다고
33,"하지만 자극적인 컨텐츠로 어린 시청자들에게 영향이 안 좋고, 또한 자신도 ' 이건 아니다 '라고 생각했기에 과감히 접었다고"
34,한다.
35,짜고 치는 고스톱이 아니란 걸 보여주기 위해 게임을 해보지 않은 상태에서 게임을 진행하는데 가끔 씩 눈 앞에 있는 힌트도 모르고 지나치는 경우가 많아서 처음 보는 사람들 중 답답해 했던 사람들이 꽤 되는 듯. 유 튜브에 올라오는 영상은 가끔 전부 올라오지 않아 당황하는 팬도 대다수였다.
